Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/28/2014,36535,2298,2298,0,851,851,0,1185,223.0,136.0,826.0,0.0,581,,169.0,,,176,4915,2365,2796.0,-431.0,0,29255,28147,14959,13188,,,939,31620,,2195,1651,232.0,,312,0,0.0,0.0,0.0,,,897,0.0,108.0,864,3092,13358,13358,0.0,0.0,,4400,0.0,244,3867,181,17758,20850,8320.0,7691,4,7320,367.0,0,,-574,15437,248,15685,36535,
03/29/2015,121312,3080,3080,0,1969,1969,0,3266,0.0,0.0,2619.0,647.0,1317,313.0,,,,1004,9632,7812,8283.0,-471.0,0,103868,101469,45040,56429,,,2399,111680,,5800,3090,361.0,279.0,2070,1417,1.0,,,,1416.0,156,,,156,7373,22984,22984,,,,24967,,3444,19728,1795,47951,55324,8320.0,58360,20,57973,367.0,0,65.0,-989,65756,232,65988,121312,
09/27/2015,121792,4437,4437,0,1613,1613,0,2981,611.0,405.0,1965.0,0.0,1380,,127.0,,,822,10411,6432,7045.0,-613.0,0,104949,103443,46750,56693,,,1379,111381,,4262,2719,410.0,,1133,74,0.0,,,,74.0,1410,,59.0,1397,5746,25250,25250,,,,23437,,3019,19684,675,48687,54433,8320.0,59634,12,59622,0.0,-14,-196.0,-613,67131,228,67359,121792,
01/03/2016,122973,4837,4837,0,871,871,0,2618,563.0,393.0,1662.0,0.0,1454,,160.0,,,803,9780,6524,7430.0,-906.0,0,106669,105171,43051,62120,,,1338,113193,,5608,2844,417.0,1163.0,1184,79,0.0,,,,79.0,1245,0.0,49.0,1239,6932,25151,25151,,,,24654,0.0,2405,21497,703,49805,56737,8320.0,58387,12,58375,0.0,-31,,-671,66005,231,66236,122973,
04/03/2016,123273,4199,4199,0,939,939,0,2892,624.0,411.0,1857.0,0.0,1782,,109.0,,,1227,9812,6434,,,0,107027,105591,43542,62049,,,1327,113461,,5439,2773,575.0,1060.0,1031,0,,,,,,1291,,35.0,1257,6730,25167,25167,,,,24776,,2380,21659,702,49943,56673,8320.0,58450,12,58438,,-40,193.0,-560,66363,237,66600,123273,
07/03/2016,121684,4237,4237,0,1114,1114,0,2881,601.0,369.0,1911.0,0.0,1115,,107.0,,,638,9347,6423,,,0,105914,104403,44641,59762,,,1404,112337,,4752,2960,368.0,393.0,1031,2751,645.0,,,,2106.0,2090,,24.0,2035,9593,30002,30002,,,,24042,,2341,20900,777,54044,63637,,58537,12,58525,0.0,-41,263.0,-933,57826,221,58047,121684,
10/02/2016,121080,3920,3920,0,855,855,0,3108,656.0,405.0,2047.0,0.0,1060,,92.0,,,549,8943,6490,,,0,105647,104138,44518,59620,,,1417,112137,,4781,3456,142.0,311.0,872,2700,653.0,,,,2047.0,1933,,31.0,1916,9414,29980,29980,,,,23818,,2367,20706,714,53798,63212,0.0,58579,12,58567,0.0,-82,374.0,-1229,57642,226,57868,121080,
12/31/2016,120480,4204,4204,0,769,769,0,2684,542.0,388.0,1754.0,0.0,1096,,107.0,,,447,8753,6688,8518.0,-1830.0,0,105039,103422,44125,59297,641.0,0.0,869,111727,,5572,3996,255.0,415.0,906,2691,645.0,,,,2046.0,1238,0.0,37.0,1189,9501,29713,29713,,,,23692,0.0,2038,20848,769,53405,62906,0.0,58605,12,58593,0.0,-207,588.0,-1628,57358,216,57574,120480,
04/01/2017,120946,3242,3242,0,936,936,0,3094,,,,,1767,349.0,98.0,0.0,269.0,565,9039,6689,,,0,105218,103614,44301,59313,,,1506,111907,,4805,3858,,346.0,601,2931,909.0,,,,2022.0,1905,,42.0,1842,9641,29747,29747,,,,23740,,2016,20873,809,53487,63128,0.0,58577,12,58565,,-223,705.0,-1453,57606,212,57818,120946,
07/01/2017,119322,1445,1445,0,973,973,0,3012,,,,,1604,359.0,37.0,0.0,237.0,557,7034,6804,,,0,105484,103949,44566,59383,,,1498,112288,,4710,3805,,406.0,499,1109,1090.0,,,,19.0,1589,,60.0,1557,7408,29978,29978,,,,23516,,1975,20840,641,53494,60902,0.0,58609,12,58597,,-223,1129.0,-1308,58207,213,58420,119322,
09/30/2017,119902,1441,1441,0,938,938,0,3136,,,,,1612,368.0,54.0,0.0,290.0,591,7127,6902,,,0,105873,104342,44859,59483,,,1477,112775,,4668,3873,,295.0,500,3204,457.0,,,,2747.0,1578,,15.0,1475,9450,28276,28276,,,,23364,,1808,20841,700,51640,61090,0.0,58630,12,58618,,-223,1280.0,-1087,58600,212,58812,119902,
12/30/2017,120092,1629,1629,0,921,921,0,2760,560.0,384.0,1816.0,0.0,1891,345.0,40.0,0.0,538.0,656,7201,7061,9150.0,-2089.0,0,105830,104257,44825,59432,871.0,,662,112891,,5470,4362,,419.0,689,3195,462.0,,,,2733.0,1489,0.0,11.0,1447,10154,28308,28224,84.0,84.0,,15554,0.0,427,14039,1077,43862,54016,0.0,58646,12,58634,0.0,-224,8495.0,-1054,65863,213,66076,120092,
03/31/2018,120787,1794,1794,0,1044,1044,0,3144,588.0,478.0,2078.0,0.0,1455,,38.0,,150.0,964,7437,7267,,,0,106083,104443,44843,59600,,,1602,113350,,5444,4241,291.0,345.0,567,3743,1001.0,,,,2742.0,1142,,16.0,1114,10329,28561,28561,,,,15434,,400,14085,933,43995,54324,0.0,58745,12,58733,,-240,8718.0,-975,66248,215,66463,120787,
06/30/2018,121896,3369,3369,0,1950,1950,0,3161,633.0,449.0,2079.0,0.0,1021,,28.0,,177.0,365,9501,7258,,,0,105137,103371,44270,59101,,,1738,112395,,5292,4326,88.0,404.0,474,2788,34.0,,,,2754.0,1011,,39.0,1006,9091,31380,31380,,,,15553,,394,14230,890,46933,56024,0.0,58778,12,58766,0.0,-254,8710.0,-1557,65677,195,65872,121896,
09/29/2018,119730,1366,1366,0,2032,2032,0,3287,635.0,502.0,2150.0,0.0,905,,51.0,,195.0,225,7590,7216,,,0,104924,103035,44308,58727,,,1838,112140,,5225,4312,104.0,315.0,494,1378,973.0,,,,405.0,978,,76.0,947,7581,30998,30998,,,,15573,,394,14215,888,46571,54152,0.0,58805,12,58793,,-264,8576.0,-1732,65385,193,65578,119730,
12/29/2018,103461,1130,1130,0,2129,2129,0,2667,510.0,343.0,1814.0,0.0,3149,400.0,5.0,1376.0,152.0,1216,9075,7078,9662.0,-2584.0,0,87308,85971,36503,49468,999.0,,333,94386,,5283,4153,,408.0,722,398,21.0,,,,377.0,1822,0.0,192.0,1795,7503,30770,30571,199.0,199.0,,13410,0.0,306,12202,710,44180,51683,0.0,58735,12,58723,,-282,-4853.0,-1943,51657,121,51778,103461,
03/30/2019,103562,1096,1096,0,2010,2010,0,3118,614.0,350.0,2154.0,0.0,2611,384.0,537.0,1026.0,85.0,940,8835,7635,,,0,87092,85644,36091,49553,,,911,94727,,5083,4184,,356.0,543,1471,2.0,190.0,26.0,164.0,1279.0,1418,,89.0,1346,7972,30306,29636,670.0,167.0,503.0,13449,,308,12161,891,43755,51727,0.0,58264,12,58252,,-291,-4586.0,-1684,51703,132,51835,103562,
06/29/2019,103201,1452,1452,0,2049,2049,0,3074,598.0,324.0,2152.0,0.0,2593,395.0,548.0,1035.0,105.0,846,9168,7597,,,0,86436,84932,35989,48943,,,956,94033,,5045,4153,,384.0,508,1457,1.0,185.0,27.0,158.0,1271.0,1295,,93.0,1211,7797,30309,29671,638.0,161.0,477.0,13418,,308,12128,889,43727,51524,0.0,57781,12,57769,0.0,-291,-4140.0,-1807,51543,134,51677,103201,
