Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,15.847,,15.847,202.241,202.241,-4.444463,,,-4.444463,0.322006,,,0.322006,
06/30/2008,15.262,,15.262,91.875,91.875,4.218154,,,4.218154,0.31691,,,0.31691,
09/30/2008,13.439,,13.439,107.002,107.002,3.497408,,,3.497408,0.294192,,,0.294192,
12/31/2008,9.663,,9.663,283.75,283.75,2.887244,,,2.887244,0.212176,,,0.212176,
03/31/2009,8.244,,8.244,267.548,267.548,2.123697,,,2.123697,0.182228,,,0.182228,
06/30/2009,10.321,,10.321,204.775,204.775,2.176453,,,2.176453,0.228652,,,0.228652,
09/30/2009,12.456,,12.456,223.406,223.406,2.368561,,,2.368561,0.271533,,,0.271533,
12/31/2009,116.887,,116.887,197.827,197.827,21.482908,,,21.482908,2.538759,,,2.538759,
03/31/2010,151.836,,151.836,211.813,211.813,25.273019,,,25.273019,3.229492,,,3.229492,
06/30/2010,230.719,,230.719,232.45,232.45,36.398588,,,36.398588,4.887946,,,4.887946,
09/30/2010,127.248,,127.248,254.047,254.047,18.825061,,,18.825061,2.651097,,,2.651097,
12/31/2010,142.372,,142.372,215.473,215.473,19.371052,0.0,0.0,19.371052,2.899583,0.0,0.0,2.899583,
03/31/2011,217.637,,217.637,191.453,191.453,26.685983,,,26.685983,4.314336,,,4.314336,
09/30/2011,152.223,,152.223,187.92,187.92,16.423888,,,16.423888,2.677762,,,2.677762,
12/31/2011,216.535,30.275,246.81,162.307,162.307,21.966322,3.071237,0.0,25.03756,3.606399,0.504231,0.0,4.11063,
03/31/2012,138.984,31.259,170.243,152.631,152.631,13.470535,3.029669,,16.500204,2.292946,0.515708,,2.808654,
06/30/2012,216.013,33.467,249.48,132.147,132.147,19.513581,3.023249,,22.53683,3.497842,0.541922,,4.039765,
09/30/2012,258.559,36.78,295.339,114.798,114.798,22.13582,3.148819,,25.284639,4.099733,0.583187,,4.68292,
12/31/2012,226.553,46.61,273.163,93.045,93.045,18.374381,3.780263,,22.154644,3.539454,0.728191,,4.267646,
03/31/2013,52.09,151.807,203.897,71.785,71.785,4.096256,11.937807,,16.034063,0.82455,2.403004,,3.227554,
06/30/2013,57.166,139.628,196.794,51.648,51.648,4.243282,10.364219,,14.607501,0.871444,2.128503,,2.999947,
09/30/2013,65.51,153.16,218.67,32.175,32.175,5.119545,11.969309,,17.088854,0.988845,2.311883,,3.300728,
