Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2003,171.626007,,,-144.324997,,27.30101,,-12.896,,,14.405,-3.23,,3.23,,0.0,0.0,11.175,1.215,12.39,-9.641,,,22.031,0.0,22.031,,,22.031,22.031,,,,,,,,,,
06/30/2003,187.720993,,,-147.617996,,40.102997,,-13.588,,,26.514999,-2.765,,2.765,,0.0,0.0,23.749999,-3.293,20.457001,-20.410999,,,40.867999,0.0,40.868,,,40.868,40.868,,,,,,,,,,
09/30/2003,188.048004,,,-151.800995,,36.247009,,-12.735,,,23.511999,-1.882,,1.882,,0.0,0.0,21.629999,-3.142,18.488001,-6.348,,,24.835999,0.0,24.836,,,24.836,24.836,,,,,,,,,,
12/31/2003,189.828003,,,-142.598999,,47.229004,,-13.633,,,33.596001,-1.98,,1.98,,0.0,0.0,31.616001,-7.265,24.351,-1.816,,,26.167001,0.0,26.167,,,26.167,26.167,,,,,,,,,,
03/31/2004,191.320999,,,-151.237,,40.084,,-14.818,,,25.266001,-1.22,,1.22,,0.0,0.0,24.046001,-4.833,19.212999,-21.780001,,,40.993001,0.0,40.993,,,40.993,40.993,,,,,,,,,,
06/30/2004,199.820007,,,-158.722,,41.098007,,-15.515,,,25.583,-22.565999,,1.905,,0.0,20.660999,3.017001,-3.587,-0.57,0.497,,,-1.066999,0.0,-1.067,0.0,0.0,-1.067,-1.067,,10.866125,-0.08,-0.08,1.68,10.866125,-0.08,-0.08,1.68,
09/30/2004,216.153,,,-104.305,,111.848,0.0,-77.154,,,34.694,-1.234,,1.234,,,,33.46,-8.945,24.515,,,,24.515,0.0,24.515,0.0,0.0,24.515,24.515,,10.90775,2.24,2.24,2.24,10.9485,2.24,2.24,2.24,
12/31/2004,219.236,,,-173.914,,45.322,,-15.611,,,29.711,-1.214,,1.214,,0.0,0.0,28.497,-6.526,21.971,0.0,,,21.971,0.0,21.971,0.0,,21.971,21.971,,10.845125,2.0,2.0,2.0,10.889625,2.0,2.0,2.0,
03/31/2005,227.914993,,,-175.059006,,52.855988,,-15.81,,,37.046001,-1.389,,1.389,,0.0,0.0,35.657001,-7.868,27.789,0.0,,,27.789001,0.0,27.789,0.0,0.0,27.789,27.789,,10.572,2.64,2.64,2.64,10.752875,2.56,2.56,2.56,
06/30/2005,240.0,,,-115.029999,,124.970001,,-86.056999,,,38.912998,-2.608,,2.608,,0.0,0.0,36.304998,-10.242,26.063,0.0,,,26.062999,0.0,26.063,0.0,0.0,26.063,26.063,,10.598,2.48,2.48,2.48,10.703625,2.4,2.4,2.4,
