Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,220.168,88.655,88.655,0.0,50.902,49.902,1,24.181,6.501,0,17.68,0,13.434,,0.0,1.679,7.125,177.172,30.546,35.428,-4.882,4.0,,4.0,8.45,0.0,0.0,0.0,6.771,42.996,,23.157,11.016,0.0,0.0,12.141,0.0,0.0,,,,,23.207,7.175,0.0,5.605,46.364,122.926,97.673,25.253,25.253,,31.968,11.451,0.0,0.0,0.0,0.032,13.31,154.894,201.258,5.992,12.376,0.003,12.373,0,0.504,0.038,18.91,0,18.91,220.168,
12/31/2013,364.52,117.664,113.664,4.0,77.999,77.999,0,67.094,18.286,0,48.808,0,20.009,2.516,0.0,4.541,5.137,282.766,67.204,74.39,-7.186,0.0,0.0,,14.55,0.0,0.0,0.0,10.009,81.754,,65.242,20.111,,17.451,27.68,101.437,2.644,,,,98.793,42.665,17.598,0.0,0.0,209.344,43.152,0.0,43.152,43.152,,34.292,0.0,0.0,0.0,0.0,0.108,16.586,77.444,286.788,6.0,28.732,0.003,28.729,0,42.964,0.036,77.732,0,77.732,364.52,
03/31/2014,375.463,129.524,129.524,0.0,67.007,63.007,4,78.978,16.59,0,62.388,0,16.458,,,5.822,7.494,291.967,67.626,76.983,-9.357,0.0,,0.0,15.87,,,,10.048,83.496,,53.121,7.258,,18.93,26.933,99.085,0.0,,,,99.085,46.728,19.816,,10.437,198.934,43.367,0.0,43.367,43.367,,36.734,,,,,14.89,2.028,80.101,279.035,5.992,35.14,0.003,35.137,0,55.293,0.003,96.428,0,96.428,375.463,
06/30/2014,642.778,397.198,397.198,0.0,75.946,67.946,8,71.068,13.078,0,57.99,0,18.464,,,7.497,9.768,562.676,68.799,80.478,-11.679,0.0,,,11.303,,,,3.806,80.102,,48.016,20.0,,,28.016,0.0,0.0,,,,,49.678,23.795,,11.79,97.694,43.108,0.0,43.108,43.108,,40.79,,,,,15.072,1.923,83.898,181.592,,384.26,0.007,384.253,0,76.911,0.015,461.186,0,461.186,642.778,
09/30/2014,691.883,408.596,408.596,0.0,92.063,84.063,8,62.587,15.47,0,47.117,0,25.105,,,8.982,16.409,588.351,66.991,81.308,-14.317,0.0,,,36.541,,,,27.559,103.532,,52.091,19.845,,,32.246,0.0,0.0,,,,,49.705,37.415,,9.428,101.796,42.831,0.0,42.831,42.831,,54.334,,,,,15.022,1.897,97.165,198.961,,394.193,0.007,394.186,0,98.777,-0.048,492.922,0,492.922,691.883,
12/31/2014,811.023,449.457,240.031,209.426,96.982,96.982,0,80.519,17.094,0,63.425,0,52.521,30.449,0.0,11.51,9.82,679.479,71.558,88.516,-16.958,36.636,36.636,,23.35,0.0,0.0,0.0,11.84,131.544,,79.858,32.428,,0.0,47.43,1.087,0.0,1.087,1.087,,,63.428,46.141,0.0,3.101,144.373,42.547,0.0,42.547,42.547,,68.445,0.0,0.0,0.0,0.0,0.12,22.184,110.992,255.365,0.0,426.178,0.007,426.171,0,129.814,-0.334,555.658,0,555.658,811.023,
03/31/2015,875.092,484.339,275.186,209.153,113.057,113.057,0,91.225,17.237,0,73.988,0,47.423,32.299,,12.291,5.323,736.044,72.787,92.629,-19.842,36.636,36.636,,29.625,,,,17.334,139.048,,58.043,29.123,,,28.92,1.887,1.887,,,,,88.401,50.998,,3.86,148.331,42.232,0.0,42.232,42.232,,74.058,,,,,17.502,5.558,116.29,264.621,0.0,456.516,0.007,456.509,0,154.306,-0.351,610.471,0,610.471,875.092,
06/30/2015,990.839,551.763,342.958,208.805,122.342,122.342,0,100.304,28.45,0,71.854,0,75.803,29.792,,13.76,33.743,850.212,73.178,96.264,-23.086,36.636,36.636,,30.813,,,,17.053,140.627,,85.154,43.831,,,41.323,4.104,4.104,,,,,113.24,57.198,,5.995,202.498,41.912,0.0,41.912,41.912,,80.887,,,,,17.85,5.839,122.799,325.297,0.0,487.383,0.007,487.376,0,178.302,-0.143,665.542,0,665.542,990.839,
09/30/2015,1072.892,568.617,418.5,150.117,160.23,160.23,0,109.921,39.92,0,70.001,0,82.332,25.37,,19.047,36.765,921.1,75.248,101.75,-26.502,36.636,36.636,,39.908,,,,20.861,151.792,,88.27,31.487,,,56.783,4.867,4.867,,,,,131.829,65.966,,7.089,224.966,41.587,0.0,41.587,41.587,,83.165,,,,,11.188,6.011,124.752,349.718,0.0,516.614,0.007,516.607,0,206.991,-0.431,723.174,0,723.174,1072.892,
12/31/2015,1159.89,687.326,687.326,0.0,144.263,144.263,0,92.129,29.831,0,62.298,0,50.61,21.34,0.0,48.429,29.27,974.328,79.706,110.045,-30.339,36.636,36.636,,69.22,0.0,0.0,0.0,20.791,185.562,,105.889,43.966,,,61.923,2.672,1.336,1.336,1.336,,,126.45,74.759,0.0,4.401,235.011,41.21,0.0,41.21,41.21,,95.517,0.0,0.0,0.0,0.0,14.06,6.698,136.727,371.738,0.0,537.911,0.007,537.904,0,250.916,-0.675,788.152,0,788.152,1159.89,
