Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1998,409.115997,130.071003,99.341003,30.73,221.020996,,,,3.488,0.0,0.0,3.488,0.0,20.263,,,,,374.842987,19.483999,41.285,-21.801001,0.0,14.789,12.613,,,2.176,34.272999,,192.908005,192.908005,,,0.0,,,,,,46.690002,,,46.690002,239.598007,0.0,,,,,0.0,,,,0.0,0.0,239.598007,0.0,66.172997,,,-1.688,,105.033001,169.517998,0.0,169.517998,409.116005,
09/30/1999,480.548004,130.715,99.82,30.895,279.803986,,,,3.218,0.0,0.0,3.218,0.0,22.443001,,,,,436.179993,19.145,45.765999,-26.621,0.0,25.223,,,,25.223,44.368,,232.315994,232.315994,,,0.0,0.0,0.0,0.0,,,49.343003,,,49.343003,281.658997,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,281.658997,0.0,66.191002,,,-2.451,,135.148998,198.889,0.0,198.889,480.547997,
12/31/1999,,,,,,,,,,,,,,,,,,,,,,,,,,144.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2000,614.54,39.568,39.568,,367.657,367.657,,,3.422,,,,,23.01,,,,,433.657,29.209,,,,151.674,151.674,,,0.0,180.883,,294.48,294.48,,,,,,,,,46.824,,,46.824,341.304,,,,,,,,,,,,,,103.233,,,-3.846,174.974,-1.125,273.236,,273.236,,
09/30/2000,637.86,54.73,54.73,,370.725,370.725,,,1.872,,,,,24.603,,,,,451.93,29.865,,,,156.065,156.065,,,0.0,185.93,,297.031,297.031,,,,,,,,,55.647,,,55.647,352.678,,,,,,,,,,,,,,103.159,,,-6.734,190.054,-1.297,285.182,,285.182,,
12/31/2000,644.20697,79.912003,79.912003,0.0,354.953003,,,,1.859,0.0,0.0,1.859,0.0,23.514999,,,,,460.239014,29.402,58.827,-29.424999,0.0,154.565994,154.173996,145.604004,8.569992,0.391998,183.967995,,285.932007,285.932007,,,0.0,0.0,0.0,0.0,,,60.319,,,60.319,346.251007,0.0,0.0,0.0,0.0,,0.94,,,,0.94,0.94,347.191007,0.0,110.032997,,,-9.451,,196.434002,297.015999,0.0,297.015999,644.207006,
03/31/2001,640.459,71.569,71.569,0.0,361.214,361.214,0.0,,0.0,0.0,0.0,0.0,0.0,23.864,,,,,456.647,28.881,,,0.0,154.931,154.931,,,0.0,183.812,,276.875,276.875,,,0.0,0.0,,,,,51.166,,,51.166,328.041,,,,,,2.353,,,,2.353,2.353,330.394,,109.328,,,-9.746,218.367,-7.884,310.065,0.0,310.065,640.459,
06/30/2001,653.299011,71.584999,71.584999,0.0,378.947998,,,,,,,,0.0,22.377001,,,,,472.910004,27.795,,,0.0,152.593994,152.593994,,,0.0,180.388994,,274.627991,274.627991,,,0.0,0.0,0.0,0.0,,,51.835999,,,51.835999,326.463989,0.0,0.0,0.0,0.0,,0.866,,,,0.866,0.866,327.329989,0.0,108.777,,,-11.751,,228.943002,325.969002,0.0,325.969002,653.298991,
09/30/2001,673.854,86.552,86.552,0.0,386.88,386.88,,,,,,,0.0,17.934,,,,,491.366,31.86,,,0.0,150.628,150.628,,,0.0,182.488,,280.925,280.925,,,0.0,0.0,0.0,0.0,,,48.398,,,48.398,329.323,0.0,0.0,0.0,0.0,,2.41,,,,2.41,2.41,331.733,0.0,108.133,,,-13.458,255.187,-7.741,342.121,0.0,342.121,673.854,
12/31/2001,683.48999,115.740997,115.740997,0.0,370.377991,,,,,0.0,0.0,0.0,0.0,17.096001,,,,,503.214996,30.92,66.387001,-35.466999,0.0,149.354996,144.858002,140.751007,4.106995,4.496994,180.274996,,267.708008,267.708008,,,0.0,0.0,0.0,0.0,,,55.820007,,,55.820007,323.528015,0.0,0.0,0.0,0.0,,4.147,,,,4.147,4.147,327.675015,0.0,107.997002,,,-15.054,,262.871993,355.814995,0.0,355.814995,683.49001,
03/31/2002,685.961975,118.037003,118.037003,0.0,360.062988,,,,,,,,0.0,15.255,,,,,493.355011,29.799,,,0.0,162.807999,157.399994,,,5.408005,192.606998,,267.454987,267.454987,,,0.0,0.0,0.0,0.0,,,40.203003,,,40.203003,307.65799,0.0,0.0,0.0,0.0,,5.794,,,,5.794,5.794,313.45199,0.0,107.397003,,,-13.168,,278.281007,372.51001,0.0,372.51001,685.961999,
06/30/2002,742.862,124.657997,124.657997,0.0,409.056,,,,,,,,0.0,17.396999,,,,,551.111023,29.448,,,0.0,162.302994,157.399994,,,4.903,191.750994,,299.877991,299.877991,,,0.0,0.0,0.0,0.0,,,46.486999,,,46.486999,346.36499,0.0,0.0,0.0,0.0,,6.41,,,,6.41,6.41,352.77499,0.0,106.316002,,,-13.585,,297.355996,390.086998,0.0,390.086998,742.861988,
09/30/2002,752.228027,146.722001,121.624001,25.098,398.036011,,,,,,,,0.0,17.705999,,,,,562.463989,27.848,,,0.0,161.916,157.199997,,,4.716003,189.764,,283.779999,283.779999,,,0.0,0.0,0.0,0.0,,,53.242004,,,53.242004,337.022003,0.0,0.0,0.0,0.0,,6.473,,,,6.473,6.473,343.495003,0.0,105.941002,,,-15.56,,318.351992,408.732994,0.0,408.732994,752.227997,
12/31/2002,777.151001,178.225994,132.998993,45.227001,391.670013,,,,,,,,0.0,18.676001,,,,,588.572021,26.476,70.749001,-44.272999,0.0,162.102997,157.296997,152.970001,4.326996,4.806,188.578997,,275.157013,275.157013,,,0.0,0.0,0.0,0.0,,,68.316986,,,68.316986,343.473999,0.0,0.0,0.0,0.0,,7.847,,,,7.847,7.847,351.320999,0.0,105.138,,,-15.633,345.079987,-8.755,425.829987,0.0,425.829987,777.150986,
03/31/2003,806.473999,182.546001,137.166,45.380001,416.436005,,,,,,,,0.0,19.594999,,,,,618.577026,25.296,,,0.0,162.600998,162.600998,162.600998,0.0,0.0,187.896998,,289.639008,289.639008,,,0.0,0.0,0.0,0.0,,,60.477996,,,60.477996,350.117004,0.0,0.0,0.0,0.0,,9.163,,,,9.163,9.163,359.280004,0.0,102.811996,,,-12.585,,356.966989,447.193985,0.0,447.193985,806.473989,
06/30/2003,838.083008,213.739006,168.223007,45.515999,415.742004,,,,,,,,0.0,20.57,,,,,650.051025,24.589001,,,0.0,163.442993,152.970001,152.970001,0.0,10.472992,188.031994,,296.450989,296.450989,,,0.0,0.0,0.0,0.0,,,62.266998,,,62.266998,358.717987,0.0,0.0,0.0,0.0,,11.888,,,,11.888,11.888,370.605987,0.0,102.033997,,,-14.618,387.347992,-7.286999,467.47699,0.0,467.47699,838.082977,
09/30/2003,908.149,244.249,198.513,45.736,457.455,457.455,,,,,,,,15.625,,,,,717.329,25.625,,,0.0,165.195,165.195,308.540001,-143.345001,0.0,190.82,,311.927,311.927,,,0.0,,,,,,69.274,,,69.274,381.201,0.0,,,,,8.201,,,,8.201,8.201,389.402,0.0,182.539,,,-28.828,404.75,-39.714,518.747,0.0,518.747,908.149,
