Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,8623,2223,1371,852,1624,,,1167,,,,,597,,,,,,5611,2403,3925,-1522,0.0,,609,,,,,609,3012,,394,394,,,,282,,,,,,1990,,,1990,2666,232,,,,,529,,,,529,761,3427,0.0,496.0,,,-89,,4789,5196,0.0,5196,8623,
06/30/1990,8968,2410,1654,756,1708,,,1240,,,,,596,,,,,,5954,2433,3986,-1553,0.0,,581,,,,,581,3014,,414,414,,,,323,,,,,,1991,,,1991,2728,228,,,,,730,,,,730,958,3686,0.0,563.0,,,-213,,4932,5282,0.0,5282,8968,
09/30/1990,9129,2345,1702,643,1863,,,1304,,,,,583,,,,,,6095,2510,4105,-1595,0.0,,524,,,,,524,3034,,416,416,,,,322,,,,,,2033,,,2033,2771,249,,,,,734,,,,734,983,3754,0.0,559.0,,,-392,,5208,5375,0.0,5375,9129,
12/31/1990,9215,1958,878,1080,1776,,,1366,,,,,570,,,,,,5670,2631,4271,-1640,0.0,,914,,,,,914,3545,,530,530,,,,397,,,,,,1894,,,1894,2821,231,,,,,745,,,,745,976,3797,0.0,557.0,,,-506,,5367,5418,0.0,5418,9215,
03/31/1991,9009,1681,851,830,1783,,,1386,,,,,616,,,,,,5466,2622,4296,-1674,0.0,,921,,,,,921,3543,,526,526,,,,331,,,,,,1830,,,1830,2687,216,,,,,723,,,,723,939,3626,0.0,552.0,,,-648,,5479,5383,0.0,5383,9009,
06/30/1991,9068,1524,1253,271,1818,,,1439,,,,,687,,,,,,5468,2670,4362,-1692,0.0,,930,,,,,930,3600,,490,490,,,,404,,,,,,1843,,,1843,2737,166,,,,,720,,,,720,886,3623,0.0,547.0,,,-709,,5607,5445,0.0,5445,9068,
09/30/1991,9266,1586,1441,145,1919,,,1472,,,,,597,,,,,,5574,2751,4501,-1750,0.0,,941,,,,,941,3692,,455,455,,,,444,,,,,,1781,,,1781,2680,153,,,,,739,,,,739,892,3572,0.0,538.0,,,-732,,5888,5694,0.0,5694,9266,
12/31/1991,9416,1583,1516,67,1971,,,1451,,,,,562,,,,,,5567,2936,4718,-1782,0.0,,913,,,,,913,3849,,537,537,,,,553,,,,,,1662,,,1662,2752,135,,,,,734,,,,734,869,3621,0.0,538.0,,,-888,,6145,5795,0.0,5795,9416,
04/01/1992,9260,1319,1253,66,1929,,,1556,,,,,596,,,,,,5400,2957,4782,-1825,0.0,,903,,,,,903,3860,,525,525,,,,449,,,,,,1581,,,1581,2555,132,,,,,739,,,,739,871,3426,0.0,525.0,,,-972,,6281,5834,0.0,5834,9260,
06/30/1992,9343,988,935,53,2038,,,1620,,,,,714,,,,,,5360,3072,4928,-1856,0.0,,911,,,,,911,3983,,540,540,,,,445,,,,,,1646,,,1646,2631,86,,,,,690,,,,690,776,3407,0.0,521.0,,,-1023,,6438,5936,0.0,5936,9343,
09/30/1992,9719,1175,1121,54,2093,,,1632,,,,,737,,,,,,5637,3166,5086,-1920,0.0,,916,,,,,916,4082,,515,515,,,,407,,,,,,1779,,,1779,2701,138,,,,,704,,,,704,842,3543,0.0,517.0,,,-1018,,6677,6176,0.0,6176,9719,
12/31/1992,10804,2385,2302,83,1984,,,1490,,,,,762,,,,,,6621,3141,5032,-1891,0.0,,1042,,,,,1042,4183,,562,562,,,,375,,,,,,2363,,,2363,3300,176,,,,,1308,,,,1308,1484,4784,0.0,488.0,,,-1029,,6561,6020,0.0,6020,10804,
03/31/1993,10503,2186,1787,399,1911,,,1421,,,,,744,,,,,,6262,3133,5068,-1935,0.0,,1108,,,,,1108,4241,,503,503,,,,311,,,,,,2088,,,2088,2902,180,,,,,1286,,,,1286,1466,4368,0.0,481.0,,,-1055,,6709,6135,0.0,6135,10503,
06/30/1993,10894,2524,2155,369,1857,,,1459,,,,,778,,,,,,6618,3192,5135,-1943,0.0,,1084,,,,,1084,4276,,523,523,,,,257,,,,,,2112,,,2112,2892,601,,,,,1199,,,,1199,1800,4692,0.0,476.0,,,-1150,,6876,6202,0.0,6202,10894,
09/30/1993,10967,2611,2526,85,1861,,,1465,,,,,738,,,,,,6675,3233,5206,-1973,0.0,,1059,,,,,1059,4292,,550,550,,,,228,,,,,,2141,,,2141,2919,604,,,,,1194,,,,1194,1798,4717,0.0,472.0,,,-1287,,7065,6250,0.0,6250,10967,
12/31/1993,12101,2729,2421,308,1859,,,1322,,,,,660,,,,,,6570,3374,5236,-1862,0.0,,2157,,,,,2157,5531,,649,649,,,,177,,,,,,2239,,,2239,3065,588,,,,,2508,,,,2508,3096,6161,0.0,406.0,,,-1377,,6911,5940,0.0,5940,12101,
03/31/1994,12286,2847,2523,324,1786,,,1385,,,,,711,,,,,,6729,3394,5323,-1929,0.0,,2163,,,,,2163,5557,,632,632,,,,210,,,,,,2319,,,2319,3161,628,,,,,2498,,,,2498,3126,6287,0.0,400.0,,,-1522,,7121,5999,0.0,5999,12286,
06/30/1994,12216,2650,2200,450,1847,,,1416,,,,,731,,,,,,6644,3449,5445,-1996,0.0,,2123,,,,,2123,5572,,619,619,,,,221,,,,,,2335,,,2335,3175,636,,,,,2435,,,,2435,3071,6246,0.0,397.0,,,-1763,,7336,5970,0.0,5970,12216,
09/30/1994,12856,2564,1843,721,1972,,,1392,,,,,747,,,,,,6675,3484,5623,-2139,0.0,,2697,,,,,2697,6181,,578,578,,,,755,,,,,,2406,,,2406,3739,639,,,,,2317,,,,2317,2956,6695,0.0,395.0,,,-1851,,7617,6161,0.0,6161,12856,
12/31/1994,12910,2423,1642,781,2043,,,1397,,,,,847,,,,,,6710,3666,5836,-2170,0.0,,2534,,,,,2534,6200,,693,693,,,,725,,,,,,2856,,,2856,4274,644,,,,,2288,,,,2288,2932,7206,0.0,451.0,,,-2046,,7299,5704,0.0,5704,12910,
03/31/1995,13454,2446,1766,680,2078,,,1488,,,,,852,,,,,,6864,3701,5960,-2259,0.0,,2889,,,,,2889,6590,,773,773,,,,796,,,,,,3020,,,3020,4589,665,,,,,2241,,,,2241,2906,7495,0.0,445.0,,,-2064,,7578,5959,0.0,5959,13454,
06/30/1995,13579,2302,1719,583,2234,,,1472,,,,,882,,,,,,6890,3744,6073,-2329,0.0,,2945,,,,,2945,6689,,745,745,,,,832,,,,,,2822,,,2822,4399,679,,,,,2290,,,,2290,2969,7368,0.0,440.0,,,-2056,,7827,6211,0.0,6211,13579,
09/30/1995,13382,2184,1674,510,2189,,,1438,,,,,799,,,,,,6610,3790,6123,-2333,0.0,,2982,,,,,2982,6772,,759,759,,,,699,,,,,,2753,,,2753,4211,632,,,,,2222,,,,2222,2854,7065,0.0,437.0,,,-2235,,8115,6317,0.0,6317,13382,
12/31/1995,13929,2178,1645,533,2356,,,1451,,,,,1033,,,,,,7018,3760,6264,-2504,0.0,,3151,,,,,3151,6911,,848,848,,,,575,,,,,,3383,,,3383,4806,635,,,,,2666,,,,2666,3301,8107,0.0,429.0,,,-2197,,7590,5822,0.0,5822,13929,
03/31/1996,13824,1806,1305,501,2386,,,1484,366.0,173.0,945.0,,1086,,,,,,6762,3765,6341,-2576,0.0,,3297,1419.0,,,,1878,7062,,843,843,,,,526,,,,,,3391,,,3391,4760,626,,,,,2502,,,,2502,3128,7888,0.0,425.0,,,-2417,,7928,5936,0.0,5936,13824,
06/30/1996,13750,1615,1124,491,2468,,,1555,412.0,172.0,971.0,,1091,,,,,,6729,3798,6422,-2624,0.0,,3223,1430.0,,,,1793,7021,,896,896,,,,496,,,,,,3374,,,3374,4766,572,,,,,2347,,,,2347,2919,7685,0.0,417.0,,,-2534,,8182,6065,0.0,6065,13750,
09/30/1996,14005,1888,1368,520,2451,,,1544,441.0,190.0,913.0,,1052,,,,,,6935,3877,6563,-2686,0.0,,3193,1434.0,,,,1759,7070,,794,794,,,,530,,,,,,3491,,,3491,4815,626,,,,,2215,,,,2215,2841,7656,0.0,409.0,,,-2629,,8569,6349,0.0,6349,14005,
12/31/1996,14685,2185,1681,504,2651,,,1669,452.0,223.0,994.0,,1023,,,,,,7528,3964,6646,-2682,0.0,,3193,1508.0,,,,1685,7157,,1064,1064,,,,513,,,,,,3473,,,3473,5050,966,,,,,2099,,,,2099,3065,8115,0.0,490.0,,,-2819,,8899,6570,0.0,6570,14685,
03/31/1997,14860,2302,1807,495,2715,,,1738,456.0,230.0,1052.0,,1035,,,,,,7790,3922,6645,-2723,0.0,,3148,1531.0,,,,1617,7070,,1014,1014,,,,591,,,,,,3536,,,3536,5141,961,,,,,1997,,,,1997,2958,8099,0.0,500.0,,,-2988,,9249,6761,0.0,6761,14860,
06/30/1997,14524,1875,1493,382,2775,,,1808,482.0,201.0,1125.0,,1082,,,,,,7540,3975,6783,-2808,0.0,,3009,1513.0,,,,1496,6984,,968,968,,,,622,,,,,,3275,,,3275,4865,971,,,,,1871,,,,1871,2842,7707,0.0,524.0,,,-3301,,9594,6817,0.0,6817,14524,
09/30/1997,14718,1968,1664,304,2806,,,1819,491.0,224.0,1104.0,,1064,,,,,,7657,3994,6785,-2791,0.0,,3067,1623.0,,,,1444,7061,,980,980,,,,540,,,,,,3188,,,3188,4708,1265,,,,,1818,,,,1818,3083,7791,0.0,573.0,,,-3647,,10001,6927,0.0,6927,14718,
12/31/1997,14977,1794,1456,338,2973,,,1799,449.0,197.0,1153.0,,1170,,,,,,7736,4156,7001,-2845,0.0,,3085,1625.0,,,,1460,7241,,1017,1017,,,,543,,,,,,3472,,,3472,5032,1279,,,,,1447,,,,1447,2726,7758,0.0,652.0,,,-3850,,10417,7219,0.0,7219,14977,
03/31/1998,15243,1885,1565,320,3035,,,1842,462.0,215.0,1165.0,,1233,,,,,,7995,4183,7026,-2843,0.0,,3065,1606.0,,,,1459,7248,,1116,1116,,,,542,,,,,,3535,,,3535,5193,1387,,,,,1478,,,,1478,2865,8058,0.0,890.0,,,-4573,,10868,7185,0.0,7185,15243,
06/30/1998,14593,1313,1005,308,3122,,,1812,455.0,206.0,1151.0,,1066,,,,,,7313,4205,7134,-2929,0.0,,3075,1611.0,,,,1464,7280,,1071,1071,,,,453,,,,,,3077,,,3077,4601,1336,,,,,1412,,,,1412,2748,7349,0.0,1066.0,,,-5143,,11321,7244,0.0,7244,14593,
09/30/1998,14925,1839,1531,308,3129,,,1775,433.0,241.0,1101.0,,977,,,,,,7720,4248,7221,-2973,0.0,,2957,1580.0,,,,1377,7205,,1067,1067,,,,504,,,,,,3074,,,3074,4645,1314,,,,,1419,,,,1419,2733,7378,0.0,1211.0,,,-5501,,11837,7547,0.0,7547,14925,
12/31/1998,16272,2529,2244,285,3190,,,1873,428.0,236.0,1209.0,,1190,,,,,,8782,4429,7508,-3079,0.0,,3061,1587.0,,,,1474,7490,,1380,1380,,,,482,,,,,,3929,,,3929,5791,1364,,,,,1541,,,,1541,2905,8696,0.0,1294.0,,,-5336,,11618,7576,0.0,7576,16272,
03/31/1999,15986,2283,2003,280,3164,3164.0,,1955,350.0,376.0,1229.0,,1095,,,,,,8497,4429,7542,-3113,0.0,,3060,1568.0,1568.0,0.0,,1492,7489,,1271,1271,,,,535,,,,,,3513,,,3513,5319,1369,,,,,1548,,,,1548,2917,8236,0.0,1403.0,,,-6111,13179.0,-721,7750,0.0,7750,15986,
06/30/1999,16214,2348,2081,267,3218,3218.0,,2044,306.0,336.0,1402.0,,1048,,,,,,8658,4455,7613,-3158,0.0,,3101,1590.0,1590.0,0.0,,1511,7556,,1373,1373,,,,546,,,,,,3448,,,3448,5367,1327,,,,,1460,,,,1460,2787,8154,0.0,1510.0,,,-6372,13705.0,-783,8060,0.0,8060,16214,
09/30/1999,16612,2690,2455,235,3306,3306.0,,2052,350.0,340.0,1362.0,0.0,909,,,,,,8957,4489,7723,-3234,0.0,,3166,1550.0,1550.0,0.0,,1616,7655,,1506,1506,,,,512,,,,,,3383,,,3383,5401,1331,,,,,1439,,,,1439,2770,8171,0.0,1613.0,,,-6750,14374.0,-796,8441,0.0,8441,16612,
12/31/1999,17114,2957,2720,237,3272,,,2126,352.0,302.0,1472.0,0.0,912,,,,,,9267,4621,7841,-3220,0.0,,3226,1502.0,,,,1724,7847,,1657,1657,,,,432,,,,,,3448,,,3448,5537,1342,,,,,1590,,,,1590,2932,8469,0.0,1752.0,,,-7291,,14184,8645,0.0,8645,17114,
03/31/2000,17036,2680,2468,212,3349,,,2046,267.0,439.0,1340.0,0.0,971,,,,,,9046,4550,7833,-3283,0.0,,3440,1483.0,,,,1957,7990,,1514,1514,,,,365,,,,,,3438,,,3438,5317,1333,,,,,1577,,,,1577,2910,8227,0.0,1831.0,,,-7888,,14866,8809,0.0,8809,17036,
06/30/2000,16831,2424,2222,202,3575,,,2017,291.0,565.0,1161.0,0.0,923,,,,,,8939,4512,7822,-3310,0.0,,3380,,,,,3380,7892,,1586,1586,,,,258,,,,,,3287,,,3287,5131,1330,,,,,1453,,,,1453,2783,7914,0.0,1910.0,,,-8358,,15365,8917,0.0,8917,16831,
09/30/2000,17467,2962,2760,202,3782,3782.0,,1852,180.0,451.0,1221.0,0.0,1075,,,,,,9671,4431,7798,-3367,,,3365,1445.0,1445.0,0.0,,1920,7796,,1430,1430,,,,173,,,,,,3956,,,3956,5559,1323,,,,,1429,,,,1429,2752,8311,,1994.0,,,-8954,17098.0,-982,9156,,9156,17467,
12/31/2000,17578,3385,3182,203,3662,,,1831,468.0,473.0,890.0,0.0,946,,,,,,9824,4548,7926,-3378,0.0,,3206,1436.0,,,,1770,7754,,1702,1702,,,,162,,,,,,3768,,,3768,5632,1336,,,,,1430,,,,1430,2766,8398,0.0,2222.0,,,-9720,,16678,9180,0.0,9180,17578,
03/31/2001,17664,2936,2634,302,3946,,,1938,401.0,461.0,1076.0,0.0,931,,,,,,9751,4600,8060,-3460,0.0,,3313,1420.0,1420.0,0.0,,1893,7913,,1608,1608,,,,181,,,,,,3709,,,3709,5498,1316,,,,,1408,,,,1408,2724,8222,0.0,2358.0,,,-10492,,17576,9442,0.0,9442,17664,
06/30/2001,17476,3148,2944,204,3551,,,1909,371.0,454.0,1084.0,0.0,911,,,,,,9519,4681,8097,-3416,0.0,,3276,1401.0,1401.0,0.0,,1875,7957,,1629,1629,,,,162,,,,,,3470,,,3470,5261,1302,,,,,1374,,,,1374,2676,7937,0.0,2421.0,,,-11081,,18199,9539,0.0,9539,17476,
09/30/2001,24635,3080,2801,279,3738,3738.0,,1670,209.0,383.0,1078.0,0.0,985,,,,,,9473,4685,7953,-3268,0.0,,10477,1377.0,1377.0,0.0,,9100,15162,,1432,1432,,,,1734,,,,,,3881,,,3881,7047,6259,,,,,1394,,,,1394,7653,14700,0.0,2492.0,,,-11186,19756.0,-1127,9935,0.0,9935,24635,
12/31/2001,27812,5654,5500,154,3992,,,1699,247.0,411.0,833.0,208.0,1904,,,,,,13249,4887,7972,-3085,0.0,,9676,7203.0,2084.0,5119.0,,2473,14563,,1478,1478,,,,174,174.0,0.0,0.0,,,9457,,,9457,11109,6237,6237.0,0.0,0.0,,1391,,,,1391,7628,18737,0.0,2623.0,,,-11389,,17841,9075,0.0,9075,27812,
03/31/2002,25578,3580,3382,198,3774,,,1728,257.0,410.0,895.0,166.0,1672,,,,,,10754,4928,8048,-3120,0.0,,9896,7166.0,5119.0,2047.0,,2730,14824,,1352,1352,,,,308,308.0,0.0,0.0,,,7035,,,7035,8695,6170,6170.0,0.0,0.0,,1370,,,,1370,7540,16235,0.0,2681.0,,,-11435,,18097,9343,0.0,9343,25578,
06/30/2002,25354,3619,3547,72,3599,,,1802,274.0,428.0,948.0,152.0,1615,,,,,,10635,5071,8280,-3209,0.0,,9648,6947.0,4965.0,1982.0,,2701,14719,,1401,1401,,,,785,785.0,0.0,0.0,,,6302,,,6302,8488,6140,6140.0,0.0,0.0,,1364,,,,1364,7504,15992,0.0,2710.0,,,-11474,,18126,9362,0.0,9362,25354,
09/30/2002,24968,3597,3562,35,3617,3617.0,,1735,271.0,443.0,902.0,119.0,1624,,,,,,10573,5243,8561,-3318,0.0,,9152,6796.0,4865.0,1931.0,,2356,14395,,1427,1427,,,,799,,,,,,5912,,,5912,8138,6204,,,,,1430,,,,1430,7634,15772,0.0,2712.0,,,-11502,19023.0,-1037,9196,0.0,9196,24968,
12/31/2002,25022,3989,2367,1622,2968,,,1608,216.0,416.0,918.0,58.0,1495,,,,,,10060,5334,8706,-3372,0.0,,9628,6740.0,4836.0,1904.0,,2888,14962,,1551,1551,,,,1379,1379.0,0.0,0.0,,,5557,,,5557,8487,6261,6261.0,0.0,0.0,,1518,,,,1518,7779,16266,0.0,2711.0,,,-11502,18503.0,-956,8756,0.0,8756,25022,
03/31/2003,25360,4348,4328,20,3187,3187.0,,1534,157.0,510.0,841.0,26.0,1450,,,,,,10519,5349,8827,-3478,0.0,,9492,6712.0,4864.0,1848.0,,2780,14841,,1509,1509,,,,2247,,,,,,4542,,,4542,8298,6367,,,,,1398,,,,1398,7765,16063,0.0,2695.0,,,-11473,19079.0,-1004,9297,0.0,9297,25360,
