Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,32.441002,33.57,54.860001,9.365,,9.365,-65.353996,,,-65.353996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,66.378998,23.030001,53.537998,7.2,,7.2,-17.389,,,-17.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,91.184998,13.86,58.216,11.517,,11.517,7.592,,,7.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,61.881004,4.809997,53.055008,26.363998,,26.363998,-22.348003,,,-22.348003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,8.338,-16.85,57.957001,-12.643,,-12.643,-20.125999,,,-20.125999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,49.029999,-14.26,71.886002,-7.94,,-7.94,-0.656,,,-0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-54.005001,-15.779995,66.762985,-102.531998,,-102.531998,-2.455999,,,-2.455999,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.005001,,,
03/31/1992,0.238,-116.769997,65.919998,49.355,,49.355,1.733,,,1.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,34.776001,-45.419998,64.339996,-30.795,,-30.795,46.651001,,,46.651001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,17.955999,-35.689999,66.190002,-20.549999,,-20.549999,8.006,,,8.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,13.704003,-29.600002,97.888992,-11.342,,-11.342,-43.243,,,-43.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.704003,,,
03/31/1993,47.360001,-12.1,72.190002,-7.724,,-7.724,-5.006,,,-5.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,70.944,-17.129999,64.794998,-15.25,,-15.25,38.528999,,,38.528999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-24.112,-24.23,63.535,-18.610001,,-18.610001,-44.806999,,,-44.806999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,37.028992,-23.68,67.189987,-15.803,,-15.803,9.322,,,9.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.028992,,,
03/31/1994,4.094,-37.599998,66.970001,-22.212,,-22.212,-3.064,,,-3.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,74.071999,-19.16,66.660004,-10.322,,-10.322,36.894001,,,36.894001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,64.789001,-31.709999,42.75,54.710999,,54.710999,-0.962,,,-0.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,72.798004,25.859997,77.886002,0.983001,,0.983001,-31.931002,,,-31.931002,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.798004,,,
03/31/1995,145.104996,57.040001,60.389999,33.381001,,33.381001,-5.706,,,-5.706,,,-56.133999,,,-56.133999,,,,,,,,,,56.133999,,,,,,,,,,,,,,,
06/30/1995,199.548996,105.919998,60.73,16.141001,,16.141001,16.757999,,,16.757999,,,-59.210999,,,-59.210999,,,,,,,,,,59.210999,,,,,,,,,,,,,,,
09/30/1995,130.764008,118.480003,61.630001,30.896999,,30.896999,-80.242996,,,-80.242996,,,-80.240997,,,-80.240997,,,,,,,,,,80.240997,,,,,,,,,,,,,,,
12/31/1995,116.904022,70.419983,58.169998,-17.254999,,-17.254999,5.568995,,,5.568995,,-151.588013,-151.588013,,,-151.588013,,,,,,,,,,0.0,,,,,,,,,,,,-34.683991,,,
03/31/1996,33.497002,25.51,55.34,15.423,,15.423,-62.776001,,,-62.776001,,,-172.440994,,,-172.440994,,,,,,,,,,172.440994,,,,,,,,,,,,,,,
06/30/1996,59.333,-16.950001,57.720001,4.041,,4.041,14.522,,,14.522,,,-177.675995,,,-177.675995,,,,,,,,,,177.675995,,,,,,,,,,,,,,,
09/30/1996,41.895,-1.65,61.099998,12.552,,12.552,-30.107,,,-30.107,,,-136.100006,,,-136.100006,,,,,,,,,,136.100006,,,,,,,,,,,,,,,
12/31/1996,58.778004,2.140001,80.839996,-52.001999,,-52.001999,27.799999,,,27.799999,,-114.546005,-114.546005,,,-114.546005,,,,,,,,,,0.0,,,,,,,,,,,,-55.768001,,,
03/31/1997,29.250999,-15.21,56.470001,-1.434,,-1.434,-10.575,,,-10.575,,-117.021004,-82.091003,0.0,,-82.091003,,,0.0,0.0,0.0,,,,,-34.93,-3.056001,-13.432,18.224,,,,0.0,0.0,0.0,-7.848,,-90.825996,,,
06/30/1997,72.589996,-16.23,55.549999,-5.809,,-5.809,39.078999,,,39.078999,,-163.598999,-73.405998,0.0,,-73.405998,,,0.0,0.0,0.0,,,,,-90.193001,169.806,-22.75,194.742001,,,,0.0,0.0,0.0,-2.186,,78.796997,,,
09/30/1997,14.099,-6.2,60.029999,11.292,,11.292,-51.022999,,,-51.022999,,-203.028,-58.243999,0.0,,-58.243999,,,0.0,0.0,0.0,,,,,-144.784,7.157001,-13.416,10.706001,,,,0.0,0.0,0.0,9.867,,-181.772003,,,
12/31/1997,13.096015,7.23,84.520004,-15.033999,,-15.033999,-63.619999,,,-63.619999,,-96.965034,-72.048004,0.0,,-72.048004,,,0.0,0.0,0.0,,,,,-24.91703,80.405003,-20.386002,93.216003,,,,0.0,0.0,0.0,7.575001,,-3.463982,,,
03/31/1998,81.856003,-9.04,70.279999,24.886,,24.886,-4.27,,,-4.27,,-80.224998,-65.299004,0.0,,-65.299004,,,0.0,0.0,0.0,,,,,-14.925995,29.625001,-12.155,156.854,,,,-115.000999,0.0,-115.000999,-0.073,,31.256001,,,
06/30/1998,83.627998,-63.950001,71.110001,70.027,,70.027,6.441,,,6.441,,-58.500999,-64.584999,0.0,,-64.584999,,,0.0,0.0,0.0,,,,,6.084,-32.944002,-17.587,-15.871002,,,,-0.032,0.0,-0.032,0.546,,-7.817,,,
09/30/1998,166.194,47.049999,69.93,-14.655,,-14.655,63.868999,,,63.868999,,-67.517998,-52.894001,0.0,,-52.894001,,,0.0,0.0,0.0,,,,,-14.623997,-113.038002,-8.493,-100.954001,,,,0.0,0.0,0.0,-3.591,,-14.362,,,
12/31/1998,137.063004,-8.342,71.417,42.118,,42.118,31.870001,,,31.870001,,-91.863998,-53.946999,0.0,,-53.946999,,,0.0,0.0,0.0,,,,,-37.917,-43.493999,-17.406,-23.017999,,,,0.032,0.032,0.0,-3.102,,1.705,,,
03/31/1999,96.028,16.153,69.035004,7.134,,7.134,3.706,,,3.706,,-67.610001,-48.771999,0.0,,-48.771999,,,0.0,0.0,0.0,,,,,-18.838001,-45.911006,-8.531,-33.329006,,,,0.0,0.0,0.0,-4.051,,-17.493,5.5,40.599998,
06/30/1999,260.86,77.905,140.477,10.923,51.102,-40.179,31.555,-64.9,74.341,22.114,,-125.108,-108.779,0.0,,-108.779,,,0.0,0.0,0.0,,,,,-16.329,-136.773,-25.651,-119.073,,,,0.0,0.0,0.0,7.951,,-1.021,7.3,77.7,
09/30/1999,334.842,124.253,213.735,55.245,77.929,-22.684,-58.391,-128.018,25.892,43.735,,-278.537,-163.887,0.0,,-163.887,,,0.0,0.0,0.0,,,,,-114.65,-60.556,-34.234,-39.727,,,,0.0,0.0,0.0,13.405,,-4.251,12.5,116.2,
03/31/2000,115.72,39.564,73.716,4.861,5.696,-0.835,-2.421,-34.845,15.987,16.437,,-59.904,-66.869,0.0,,-66.869,,,0.0,0.0,0.0,,,,,6.965,-40.818,-8.633,-29.788,,,,0.0,0.0,0.0,-2.397,,14.998,12.1,38.1,
