Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2010,5563.513,55.047,55.047,0,7.879,7.879,0.0,32.763,,,,,33.694,,,129.383,4639.281,,,,794.849,602.792,,,192.057,5434.13,,64.399,64.399,,,,78.237,,,,,,510.681,,,510.681,653.317,3125.848,,,,,52.68,,,52.68,,,,2330.817,,,0.0,-603.458,,1727.359,,1727.359,,
03/31/2011,5563.971,49.199,49.199,0,10.76,10.76,0.0,37.274,,,,,60.498,,60.498,157.731,4612.925,,,,793.315,602.792,,,190.523,5406.24,,312.36,62.173,,,250.187,89.03,0.0,,,,89.03,380.724,,,380.724,782.114,2992.8,2992.8,,,,50.291,,,50.291,3043.091,3825.205,0.0,2331.089,0.025,2331.064,0.0,-614.083,21.76,1738.766,0.0,1738.766,5563.971,
06/30/2011,5606.109,60.177,60.177,0,9.304,9.304,0.0,39.357,,,,,58.787,11.958,35.146,167.625,4643.864,,,0.0,794.62,602.792,,,179.87,5438.484,,297.553,63.254,,,234.299,132.982,0.0,,,,132.982,415.381,,1.576,414.557,845.916,2939.677,2936.97,2.707,2.707,,51.392,,,49.816,2991.069,3836.985,0.0,2331.393,0.025,2331.368,,-584.907,22.638,1769.124,0.0,1769.124,5606.109,
09/30/2011,5548.301,47.835,47.835,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,47.835,4617.318,,,0.0,883.148,,,,883.148,5500.466,,0.0,,,,,144.167,0.0,,,,144.167,639.881,,,639.881,784.048,2847.446,2847.446,,,,62.934,,,62.934,2910.38,3694.428,0.0,,,,0.0,,1853.873,1853.873,0.0,1853.873,5548.301,
12/31/2011,5562.411,58.926,58.926,0,8.159,8.159,0.0,36.234,,,,,48.824,,48.824,152.143,4640.093,,,,770.175,602.792,0.0,0.0,167.383,5410.268,,288.429,80.327,0.0,0.0,208.102,200.582,0.0,0.0,0.0,,200.582,328.435,0.0,,328.435,817.446,2837.499,2837.499,0.0,0.0,,63.003,0.0,,63.003,2900.502,3717.948,0.0,2331.998,0.025,2331.973,0.0,-467.741,-19.794,1844.463,,1844.463,5562.411,
09/30/2012,5892.643,68.694,68.694,0,15.119,15.119,,43.175,,,,,60.636,12.233,47.556,187.624,4934.434,,,,770.585,611.33,,,147.022,5705.019,,320.866,66.961,,,253.905,184.156,0.0,,,,184.156,408.092,,15.924,387.745,913.114,2726.742,2726.742,,,,241.275,,,225.351,2968.017,3881.131,,2335.449,0.025,2335.424,0.0,-300.238,-23.699,2011.512,,2011.512,5892.643,
12/31/2012,5938.427,45.5,45.5,0,15.062,15.062,0.0,39.681,,,,,64.686,11.733,47.141,164.929,4960.142,6211.626,-1251.484,0.0,813.356,611.33,0.0,611.33,190.293,5773.498,,289.865,79.126,0.0,0.0,210.739,221.233,0.0,,,,221.233,433.991,0.0,16.647,413.69,945.089,2764.12,2764.12,,,,210.434,0.0,16.221,177.566,2974.554,3919.643,0.0,2335.588,0.025,2335.563,0.0,-299.185,-17.619,2018.784,,2018.784,5938.427,
03/31/2013,5991.73,81.201,81.201,0,13.387,13.387,0.0,42.291,,,,,69.888,4.565,53.184,206.767,4997.543,,,0.0,787.42,611.33,,,171.525,5784.963,,274.089,67.699,,,206.39,221.747,0.0,,,,221.747,550.306,,,500.962,1046.142,2416.58,2416.58,,,,127.42,,,127.42,2544.0,3590.142,0.0,2806.839,0.204,2806.635,0.0,-395.58,-38.544,2372.715,28.873,2401.588,5991.73,
06/30/2013,6588.633,82.84,82.84,0,16.37,16.37,0.0,45.429,,,,,56.38,,50.363,201.019,5601.69,,,0.0,785.924,611.33,,,174.594,6387.614,,295.393,97.1,,,198.293,272.644,0.0,,,,272.644,603.046,,5.146,579.666,1171.083,2918.566,2918.566,,,,114.691,,,109.545,3033.257,4204.34,0.0,2805.481,0.204,2805.277,0.0,-404.421,-47.407,2353.653,30.64,2384.293,6588.633,
09/30/2013,6605.549,56.96,56.96,0,17.717,17.717,0.0,45.901,,,,,66.473,0.311,51.849,187.051,5622.574,,,0.0,795.924,611.33,,,184.283,6418.498,,303.902,98.559,,,205.343,282.564,0.0,,,,282.564,491.279,,2.219,471.356,1077.745,2830.477,2830.477,,,,122.439,,,120.22,2952.916,4030.661,0.0,2819.358,0.205,2819.153,0.0,-233.563,-33.098,2552.697,22.191,2574.888,6605.549,
12/31/2013,6650.978,56.467,56.467,0,18.26,18.26,0.0,43.715,,,,,64.482,6.869,44.945,182.924,5647.67,7113.783,-1466.113,0.0,820.384,611.33,0.0,611.33,202.185,6468.054,,322.436,86.788,,,235.648,286.575,0.0,,,,286.575,466.477,,1.374,448.373,1075.488,2841.214,2841.214,,,,103.01,,15.57,86.066,2944.224,4019.712,0.0,2823.069,0.205,2822.864,0.0,-197.471,-16.69,2608.908,22.358,2631.266,6650.978,
03/31/2014,7318.899,64.76,64.76,0,18.0,18.0,0.0,48.106,,,,,56.359,0.154,54.691,187.225,6327.263,,,0.0,804.411,611.33,,,192.927,7131.674,,323.87,79.59,,,244.28,363.697,0.0,,,,363.697,569.323,,0.544,568.719,1256.89,3290.493,3290.493,,,,101.551,,,101.007,3392.044,4648.934,0.0,2812.846,0.205,2812.641,0.0,-146.204,-31.662,2634.98,34.985,2669.965,7318.899,
06/30/2014,7314.803,63.483,63.483,0,27.145,27.145,0.0,52.566,,,,,67.03,4.439,59.945,210.224,6305.328,,,0.0,799.251,611.33,,,183.482,7104.579,,359.324,102.755,,,256.569,372.911,0.0,,,,372.911,647.665,,0.014,647.665,1379.9,3129.337,3129.337,,,,90.785,,,90.771,3220.122,4600.022,0.0,2822.413,0.205,2822.208,-79.155,-34.588,-23.011,2685.659,29.122,2714.781,7314.803,
09/30/2014,7374.049,55.869,55.869,0,25.936,25.936,0.0,51.263,,,,,57.568,0.032,57.568,190.636,6319.933,,,0.0,863.48,611.33,,,252.118,7183.413,,396.734,99.884,,,296.85,381.565,0.0,,,,381.565,524.725,,16.329,540.985,1303.024,3082.346,3082.346,,,,104.695,,,88.366,3187.041,4490.065,0.0,2826.601,0.206,2826.395,-82.0,166.49,-58.479,2852.612,31.372,2883.984,7374.049,
12/31/2014,11573.077,84.824,84.824,0,32.432,32.432,0.0,56.555,,,,,109.924,0.19,109.924,283.735,8623.773,10348.86,-1725.087,0.0,2665.569,2383.928,1388.931,994.997,281.451,11289.342,,504.136,101.983,0.0,0.0,402.153,576.947,0.0,,,,576.947,1005.516,0.0,97.216,855.155,2086.599,5607.157,5607.157,,,,360.508,0.0,19.73,243.562,5967.665,8054.264,0.0,3702.574,0.23,3702.344,-82.0,140.881,-242.642,3518.813,0.0,3518.813,11573.077,
03/31/2015,11592.737,121.422,121.422,0,30.958,30.958,0.0,56.635,,,,,115.611,0.391,114.838,324.626,8628.87,,,0.0,2639.241,2365.698,,,273.152,11268.111,,595.423,84.769,,,510.654,579.67,0.0,,,,579.67,1198.681,,140.293,1094.706,2373.774,5379.082,5379.082,,,,360.489,,,220.196,5739.571,8113.345,0.0,3766.369,0.232,3766.137,-82.0,119.425,-324.402,3479.392,0.0,3479.392,11592.737,
06/30/2015,11687.387,172.958,172.958,0,36.801,36.801,0.0,59.801,,,,,130.357,2.805,125.437,399.917,8674.815,,,0.0,2612.655,2347.325,1388.931,958.394,262.525,11287.47,,636.277,55.061,,,581.216,585.875,0.0,,,,585.875,1251.936,,96.21,1090.522,2474.088,5178.044,5178.044,,,,294.8,,,198.59,5472.844,7946.932,0.0,3771.763,0.232,3771.531,-82.0,277.919,-227.227,3740.455,0.0,3740.455,11687.387,
09/30/2015,11747.165,230.18,230.18,0,41.995,41.995,0.0,54.946,,,,,114.075,6.491,110.477,441.196,8723.844,,,0.0,2582.125,2206.456,1388.931,817.525,369.178,11305.969,,464.244,44.262,,,419.982,587.504,0.0,,,,587.504,1379.534,,105.846,1142.657,2431.282,5096.237,5096.237,,,,300.752,,,194.906,5396.989,7828.271,0.0,3797.816,0.232,3797.584,-89.425,529.706,-319.203,3918.894,0.0,3918.894,11747.165,
12/31/2015,12264.757,115.937,115.937,0,44.996,44.996,0.0,58.173,,,,,121.305,3.997,121.305,340.411,9458.805,11501.99,-2043.185,0.0,2465.541,2318.516,1388.931,929.585,143.028,11924.346,,691.937,45.488,0.0,0.0,646.449,629.84,0.0,,,,629.84,1044.742,0.0,161.44,860.193,2366.519,5767.697,5716.944,50.753,50.753,,349.661,0.0,21.078,167.143,6117.358,8483.877,0.0,3814.768,0.232,3814.536,-189.256,568.018,-412.65,3780.88,0.0,3780.88,12264.757,
03/31/2016,12405.739,154.867,154.867,0,45.613,45.613,0.0,62.383,,,,,130.053,65.984,123.083,392.916,9489.153,,,0.0,2523.67,2206.456,1388.931,817.525,251.23,12012.823,,537.968,54.25,,,483.718,629.953,0.0,,,,629.953,1322.168,,145.67,1170.101,2490.089,5670.144,5670.144,,,,317.895,,,172.225,5988.039,8478.128,0.0,3833.161,0.232,3832.929,-239.255,641.247,-307.542,3927.611,0.0,3927.611,12405.739,
06/30/2016,12957.749,145.964,145.964,0,60.366,60.366,0.0,67.697,,,,,166.003,18.815,143.165,440.03,10068.499,,,0.0,2449.22,2206.456,1388.931,817.525,223.949,12517.719,,620.323,46.511,,,573.812,581.804,0.0,,,,581.804,1390.137,,108.143,1280.08,2592.264,5971.143,5971.143,,,,275.981,,,167.838,6247.124,8839.388,0.0,3849.769,0.232,3849.537,-239.255,786.493,-278.646,4118.361,0.0,4118.361,12957.749,
09/30/2016,12943.34,155.431,155.431,0,55.838,55.838,0.0,65.983,,,,,159.447,27.176,134.489,436.699,10054.22,,,,2452.421,2206.456,1388.931,817.525,218.789,12506.641,,484.862,51.494,,,433.368,566.911,0.0,,,,566.911,1297.216,,75.574,1209.124,2348.989,5815.248,5815.248,,,,242.376,,,166.802,6057.624,8406.613,0.0,3870.272,0.232,3870.04,-239.255,1128.871,-223.161,4536.727,0.0,4536.727,12943.34,
12/31/2016,12973.911,128.347,128.347,0,63.215,63.215,0.0,66.255,,,,,153.276,13.251,132.988,411.093,10117.689,12560.587,-2442.898,0.0,2445.129,2295.957,1388.931,907.026,135.921,12562.818,,579.755,38.002,,,541.753,560.193,0.0,,,,560.193,1172.87,,128.679,1063.48,2312.818,5838.494,5795.792,42.702,42.702,,284.873,,22.605,133.589,6123.367,8436.185,0.0,3890.351,0.232,3890.119,-239.255,1201.103,-314.473,4537.726,0.0,4537.726,12973.911,
03/31/2017,13076.251,219.789,219.789,0,47.949,47.949,0.0,71.439,,,,,149.174,8.052,136.922,488.351,10149.166,,,0.0,2438.734,2289.101,1388.931,900.17,141.581,12587.9,,499.836,71.123,,,428.713,531.778,0.0,,,,531.778,1475.145,,120.83,1372.483,2506.759,5644.175,5644.175,,,,300.035,,,179.205,5944.21,8450.969,0.0,3911.317,0.232,3911.085,-239.255,1265.166,-311.946,4625.282,0.0,4625.282,13076.251,
06/30/2017,13946.176,219.315,219.315,0,50.359,50.359,0.0,77.089,,,,,167.153,34.973,158.001,513.916,10974.087,,,0.0,2458.173,2281.35,1388.931,892.419,141.85,13432.26,,509.758,47.242,,,462.516,600.5,0.0,,,,600.5,1543.869,,34.529,1494.649,2654.127,6083.226,6083.226,,,,217.074,,,182.545,6300.3,8954.427,0.0,3937.444,0.233,3937.211,-239.255,1463.639,-170.079,4991.749,0.0,4991.749,13946.176,
09/30/2017,14265.117,522.904,522.904,0,56.764,56.764,0.0,78.915,,,,,206.251,78.14,154.235,864.834,10916.824,,,0.0,2483.459,2273.571,1388.931,884.64,131.748,13400.283,,567.888,45.059,,,522.829,605.827,0.0,,,,605.827,1354.947,,19.481,1325.648,2528.662,6002.877,6002.877,,,,195.974,,,176.493,6198.851,8727.513,0.0,3973.583,0.233,3973.35,-239.255,1864.331,-61.055,5537.604,0.0,5537.604,14265.117,
12/31/2017,14094.869,176.19,176.19,0,43.961,43.961,0.0,82.121,,,,,216.065,105.511,144.545,518.337,11040.488,13921.511,-2881.023,0.0,2536.044,2264.725,1388.931,875.794,165.808,13576.532,,567.15,53.433,0.0,0.0,513.717,619.373,0.0,,,,619.373,1303.498,0.0,5.617,1295.994,2490.021,5688.392,5643.009,45.383,45.383,,166.69,0.0,24.587,136.486,5855.082,8345.103,0.0,3998.927,0.233,3998.694,-239.255,1963.128,26.966,5749.766,0.0,5749.766,14094.869,
03/31/2018,14484.985,301.748,301.748,0,41.159,41.159,0.0,80.427,,,,,337.441,127.447,241.306,760.775,11085.572,,,0.0,2638.638,2254.853,1388.931,865.922,256.338,13724.21,,597.412,65.573,,,531.839,772.187,0.0,,,,772.187,1723.944,,7.065,1717.345,3093.543,5580.29,5580.29,,,,172.079,,,165.014,5752.369,8845.912,0.0,4020.819,0.235,4020.584,-502.76,2047.152,73.862,5639.073,0.0,5639.073,14484.985,
06/30/2018,15329.646,205.007,205.007,0,44.212,44.212,0.0,93.136,,,,,329.135,76.03,276.954,671.49,12085.701,,,0.0,2572.455,2248.3,1388.931,859.369,248.125,14658.156,,674.697,54.676,,,620.021,679.767,0.0,,,,679.767,1951.701,,8.378,1951.701,3306.165,6149.221,6149.221,,,,187.467,,,179.089,6336.688,9642.853,0.0,4064.373,0.235,4064.138,-702.76,2273.828,51.352,5686.793,0.0,5686.793,15329.646,
09/30/2018,15316.122,286.461,286.461,0,46.562,46.562,0.0,95.95,,,,,298.435,71.618,241.751,727.408,12029.14,,,0.0,2559.574,2241.747,1388.931,852.816,246.209,14588.714,,723.411,59.423,,,663.988,679.908,0.0,,,,679.908,1648.86,,12.569,1648.742,3052.179,5875.252,5875.252,,,,190.601,,,178.032,6065.853,9118.032,0.0,4100.526,0.235,4100.291,-702.76,2744.206,56.118,6198.09,0.0,6198.09,15316.122,
