Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,5745.799805,33.0,33.0,0.0,1218.400024,,,755.599976,,,,,137.600006,,,,,2144.600098,3003.199951,5513.899902,-2510.699951,,,598.0,,,,598.0,3601.199951,,832.299988,832.299988,,,,540.299988,,,,,,85.300049,,,85.300049,1457.900024,1087.099976,,,,,803.5,,,,803.5,1890.599976,3348.5,0.0,468.799988,,,-1090.5,,2952.800049,2331.100037,66.199997,2397.300034,5745.800034,
06/30/1990,5837.600098,47.400002,47.400002,0.0,1250.900024,,,769.099976,,,,,146.300003,,,,,2213.699951,3018.899902,5596.100098,-2577.199951,,,605.0,,,,605.0,3623.899902,,888.099976,888.099976,,,,691.900024,,,,,,32.099976,,,32.099976,1612.099976,920.0,,,,,828.900024,,,,828.900024,1748.900024,3361.0,0.0,468.600006,,,-1124.300049,,3070.700073,2415.000031,61.599998,2476.600029,5837.600029,
09/30/1990,6028.200195,4.0,4.0,0.0,1178.599976,,,871.5,,,,,157.300003,,,,,2211.399902,3163.800049,5830.899902,-2667.100098,,,653.0,,,,653.0,3816.800049,,911.400024,911.400024,,,,667.599976,,,,,,23.900024,,,23.900024,1602.900024,1070.099976,,,,,828.400024,,,,828.400024,1898.5,3501.400024,0.0,468.700012,,,-1183.5,,3174.599976,2459.799988,67.0,2526.799988,6028.200012,
12/31/1990,6108.200195,59.299999,59.299999,0.0,971.200012,,,945.099976,,,,,241.300003,,,,,2216.899902,3255.100098,5995.0,-2739.899902,60.299999,,575.900024,,,,575.900024,3891.300121,,537.799988,537.799988,,,,431.799988,,,,,,500.900024,,,500.900024,1470.5,1186.199951,,,,,835.599976,,,,835.599976,2021.799927,3492.299927,0.0,468.700012,,,-118.300003,,2196.100052,2546.500061,69.400002,2615.900063,6108.19999,
03/31/1991,6028.600098,63.099998,63.099998,0.0,1061.699951,,,913.599976,,,,,150.100006,,,,,2188.5,3183.600098,6008.799805,-2825.199951,,,656.5,,,,656.5,3840.100098,,871.900024,871.900024,,,,596.0,,,,,,10.400024,,,10.400024,1478.300049,1139.5,,,,,805.099976,,,,805.099976,1944.599976,3422.900024,0.0,470.700012,,,-1184.199951,,3246.300049,2532.80011,72.900002,2605.700111,6028.600136,
06/30/1991,5969.700195,61.0,61.0,0.0,1161.800049,,,833.099976,,,,,127.900002,,,,,2183.800049,3105.300049,5966.600098,-2861.300049,,,680.599976,,,,680.599976,3785.900024,,837.5,837.5,,,,450.100006,,,,,,8.399994,,,8.399994,1296.0,1266.699951,,,,,801.299988,,,,801.299988,2067.999939,3363.999939,0.0,471.100006,,,-1181.0,,3249.100098,2539.200104,66.5,2605.700104,5969.700043,
09/30/1991,5984.200195,55.5,55.5,0.0,1110.400024,,,828.099976,,,,,154.199997,,,,,2148.199951,3132.699951,6067.100098,-2934.399902,,,703.299988,,,,703.299988,3835.999939,,842.700012,842.700012,,,,341.899994,,,,,,8.499969,,,8.499969,1193.099976,1286.099976,,,,,821.700012,,,,821.700012,2107.799988,3300.899963,0.0,471.5,,,-1184.5,,3326.199951,2613.199951,70.099998,2683.29995,5984.199913,
12/31/1991,6056.200195,37.599998,37.599998,0.0,937.5,,,875.299988,,,,,322.899994,,,,,2173.300049,3183.199951,6212.399902,-3029.199951,,,699.700012,,,,699.700012,3882.899963,,520.400024,520.400024,,,,410.399994,,,,,,409.699982,,,409.699982,1340.5,1163.199951,,,,,822.5,,,,822.5,1985.699951,3326.199951,0.0,471.600006,,,-1186.0,,3368.899902,2654.499908,75.5,2729.999908,6056.199859,
03/31/1992,5994.799805,72.099998,72.099998,0.0,1148.099976,,,830.5,,,,,153.399994,,,,,2204.100098,3091.399902,6142.100098,-3050.699951,,,699.299988,,,,699.299988,3790.69989,,840.700012,840.700012,,,,486.299988,,,,,,40.900024,,,40.900024,1367.900024,1096.0,,,,,825.400024,,,,825.400024,1921.400024,3289.300049,0.0,473.700012,,,-1195.199951,,3351.300049,2629.80011,75.699997,2705.500107,5994.800156,
06/30/1992,6084.299805,85.599998,85.599998,0.0,1172.599976,,,831.799988,,,,,152.100006,,,,,2242.100098,3111.5,6261.299805,-3149.800049,,,730.700012,,,,730.700012,3842.200012,,899.5,899.5,,,,374.399994,,,,,,41.600006,,,41.600006,1315.5,1103.5,,,,,841.299988,,,,841.299988,1944.799988,3260.299988,0.0,474.799988,,,-1198.5,,3472.600098,2748.900085,75.099998,2824.000084,6084.300072,
