Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1990,3656,611,319,292,1521,,,342,,,,,0,,,,2474,551,1010.0,-459.0,,,,631,,,,,,631,1182,,506,506,,,,769.0,,,,,321,,,321,1596,524,,,,,667,,,,667,1191,2787,247.0,518.0,,,-24.0,,128.0,869,0.0,869,3656,
04/30/1990,3798,656,380,276,1598,,,318,,,,,0,,,,2572,596,1071.0,-475.0,,,,630,,,,,,630,1226,,555,555,,,,660.0,,,,,354,,,354,1569,687,,,,,671,,,,671,1358,2927,247.0,520.0,,,-25.0,,129.0,871,0.0,871,3798,
07/31/1990,3757,603,317,286,1579,,,330,,,,,0,,,,2512,609,1099.0,-490.0,,,,636,,,,,,636,1245,,508,508,,,,706.0,,,,,348,,,348,1562,648,,,,,678,,,,678,1326,2888,245.0,521.0,,,-27.0,,130.0,869,0.0,869,3757,
10/31/1990,3795,588,275,313,1627,,,343,,,,,0,,,,2558,628,1106.0,-478.0,,,,609,,,,,,609,1237,,574,574,,,,699.0,,,,,306,,,306,1579,682,,,,,719,,,,719,1401,2980,245.0,521.0,,,-31.0,,80.0,815,0.0,815,3795,
01/31/1991,3418,543,289,254,1261,,,352,,,,,0,,,,2156,612,1108.0,-496.0,,,,650,,,,,,650,1262,,494,494,,,,428.0,,,,,345,,,345,1267,681,,,,,700,,,,700,1381,2648,245.0,521.0,,,-32.0,,36.0,770,0.0,770,3418,
04/30/1991,3610,580,224,356,1408,,,369,,,,,0,,,,2357,618,1128.0,-510.0,,,,635,,,,,,635,1253,,536,536,,,,593.0,,,,,359,,,359,1488,680,,,,,709,,,,709,1389,2877,245.0,522.0,,,-32.0,,-2.0,733,0.0,733,3610,
07/31/1991,3455,491,160,331,1351,,,366,,,,,0,,,,2208,618,1142.0,-524.0,,,,629,,,,,,629,1247,,463,463,,,,433.0,,,,,345,,,345,1241,792,,,,,728,,,,728,1520,2761,245.0,522.0,,,-32.0,,-41.0,694,0.0,694,3455,
10/31/1991,3443,515,295,220,1316,,,332,,,,,0,,,,2163,604,1138.0,-534.0,,,,676,,,,,,676,1280,,474,474,,,,341.0,,,,,330,,,330,1145,865,,,,,856,,,,856,1721,2866,245.0,522.0,,,-32.0,,-158.0,577,0.0,577,3443,
01/31/1992,3358,524,308,216,1220,,,321,,,,,0,,,,2065,592,1143.0,-551.0,,,,701,,,,,,701,1293,,527,527,,,,328.0,,,,,342,,,342,1197,762,,,,,862,,,,862,1624,2821,245.0,522.0,,,-32.0,,-198.0,537,0.0,537,3358,
04/30/1992,3481,519,327,192,1339,,,355,,,,,0,,,,2213,580,1149.0,-569.0,,,,688,,,,,,688,1268,,564,564,,,,430.0,,,,,369,,,369,1363,760,,,,,864,,,,864,1624,2987,245.0,523.0,,,-32.0,,-242.0,494,0.0,494,3481,
07/31/1992,3593,630,445,185,1318,,,380,,,,,0,,,,2328,582,1167.0,-585.0,,,,683,,,,,,683,1265,,528,528,,,,121.0,,,,,398,,,398,1047,1269,,,,,906,,,,906,2175,3222,245.0,523.0,,,-32.0,,-365.0,371,0.0,371,3593,
10/31/1992,3627,506,335,171,1479,,,365,,,,,0,,,,2350,582,1175.0,-593.0,,,,695,,,,,,695,1277,,637,637,,,,114.0,,,,,401,,,401,1152,1291,,,,,846,,,,846,2137,3289,245.0,508.0,,,-11.0,,-404.0,338,0.0,338,3627,
01/31/1993,3598,480,293,187,1404,,,407,,,,,0,,,,2291,596,1206.0,-610.0,,,,711,,,,,,711,1307,,586,586,,,,130.0,,,,,410,,,410,1126,1289,,,,,847,,,,847,2136,3262,244.0,505.0,,,-3.0,,-410.0,336,0.0,336,3598,
04/30/1993,3667,440,242,198,1485,,,425,,,,,0,,,,2350,611,1239.0,-628.0,,,,706,,,,,,706,1317,,694,694,,,,53.0,,,,,408,,,408,1155,1296,,,,,871,,,,871,2167,3322,244.0,505.0,,,-3.0,,-401.0,345,0.0,345,3667,
07/31/1993,4582,373,197,176,1302,,,441,,,,,0,,,,2116,628,1269.0,-641.0,,,,1838,,,,,,1838,2466,,670,670,,,,36.0,,,,,360,,,360,1066,1192,,,,,1991,,,,1991,3183,4249,244.0,1636.0,,,-3.0,,-1544.0,333,0.0,333,4582,
10/31/1993,5060,639,421,218,1540,,,411,,,,,0,,,,2590,636,1283.0,-647.0,,,,1834,,,,,,1834,2470,,739,739,,,,180.0,,,,,419,,,419,1338,1194,,,,,1753,,,,1753,2947,4285,245.0,2128.0,,,-6.0,,-1592.0,775,0.0,775,5060,
01/31/1994,4660,518,291,227,1232,,,462,,,,,0,,,,2212,546,1195.0,-649.0,,,,1902,,,,,,1902,2448,,700,700,,,,30.0,,,,,387,,,387,1117,970,,,,,1797,,,,1797,2767,3884,245.0,2127.0,,,-13.0,,-1583.0,776,0.0,776,4660,
04/30/1994,5044,671,348,323,1518,,,437,,,,,0,,,,2626,543,1209.0,-666.0,,,,1875,,,,,,1875,2418,,773,773,,,,76.0,,,,,435,,,435,1284,1189,,,,,1783,,,,1783,2972,4256,244.0,2129.0,,,-18.0,,-1567.0,788,0.0,788,5044,
07/31/1994,4746,554,361,193,1349,,,444,,,,,95,,,,2442,549,1232.0,-683.0,,,,1755,,,,,,1755,2304,,690,690,,,,80.0,,,,,418,,,418,1188,958,,,,,1799,,,,1799,2757,3945,244.0,2129.0,,,-18.0,,-1554.0,801,0.0,801,4746,
10/31/1994,5056,861,557,304,1517,,,429,,,,,63,,,,2870,578,,,,,,1608,,,,,,1608,2186,,836,836,,,,522.0,,,,,452,,,452,1810,696,,,,,1733,,,,1733,2429,4239,244.0,2129.0,,,-18.1,,-1537.9,817,0.0,817,5056,
01/31/1995,4794,709,346,363,1354,,,475,,,,,50,,,,2588,583,1286.0,-703.0,0.0,,,1623,,,,,,1623,2206,,791,791,,,,168.0,,,,,432,,,432,1391,820,,,,,1743,,,,1743,2563,3954,244.0,2129.0,,,-18.0,,-1515.0,840,0.0,840,4794,
04/30/1995,5291,836,413,423,1708,,,493,,,,,54,,,,3091,593,1317.0,-724.0,,,,1607,,,,,,1607,2200,,902,902,,,,186.0,,,,,478,,,478,1566,1207,,,,,1640,,,,1640,2847,4413,244.0,2130.0,,,-23.0,,-1473.0,878,0.0,878,5291,
07/31/1995,4745,729,298,431,1305,,,477,,,,,56,,,,2567,617,1356.0,-739.0,,,,1561,,,,,,1561,2178,,737,737,,,,366.0,,,,,494,,,494,1597,573,,,,,1662,,,,1662,2235,3832,244.0,2131.0,,,-23.0,,-1439.0,913,0.0,913,4745,
10/31/1995,5566,1040,485,555,1854,,,416,,,,,0,,,,3310,683,1447.0,-764.0,,,,1573,,,,,,1573,2256,,933,933,,,,178.0,,,,,534,,,534,1645,1279,,,,,1772,,,,1772,3051,4696,244.0,2132.0,,,-28.0,,-1478.0,870,0.0,870,5566,
01/31/1996,5067,806,186,620,1511,,,498,,,,,0,,,,2815,684,1467.0,-783.0,,,,1568,,,,,,1568,2252,,822,822,,,,57.0,,,,,-57,,,-57,822,1166,,,,,2136,,,,2136,3302,4124,244.0,2132.0,,,-30.0,,-1460.0,886,0.0,886,5010,
04/30/1996,5443,751,223,528,1805,,,600,,,,,0,,,,3156,703,1506.0,-803.0,,,,1584,,,,,,1584,2287,,870,870,,,,49.0,,,,,-49,,,-49,870,1455,,,,,2171,,,,2171,3626,4496,244.0,2132.0,,,-30.0,,-1448.0,898,0.0,898,5394,
07/31/1996,4908,587,201,386,1503,,,549,,,,,0,,,,2639,703,1527.0,-824.0,,,,1566,,,,,,1566,2269,,750,750,,,,118.0,,,,,-118,,,-118,750,1000,,,,,2134,,,,2134,3134,3884,244.0,2133.0,,,-30.0,,-1441.0,906,0.0,906,4790,
10/31/1996,5326,881,487,394,1655,,,463,,,,,0,,,,2999,770,1612.0,-842.0,0.0,,,1557,,,,,,1557,2327,,820,820,,,,99.0,,,,,-99,,,-99,820,1321,,,,,2170,,,,2170,3491,4311,244.0,2133.0,,,-30.0,,-1431.0,916,0.0,916,5227,
01/31/1997,4757,645,197,448,1311,,,452,,,,,0,,,,2408,773,1637.0,-864.0,,,,1576,,,,,,1576,2349,,714,714,,,,142.0,,,,,-142,,,-142,714,918,,,,,2061,,,,2061,2979,3693,244.0,2133.0,,,-30.0,,-1425.0,922,0.0,922,4615,
04/30/1997,5204,770,237,533,1618,,,473,,,,,0,,,,2861,748,1617.0,-869.0,0.0,,,1595,,,,,,1595,2343,,907,907,,,,145.0,,,,,-145,,,-145,907,1177,,,,,2016,,,,2016,3193,4100,244.0,2133.0,,,-30.0,,-1388.0,959,0.0,959,5059,
07/31/1997,4917,715,212,503,1379,,,497,131.0,129.0,237.0,,0,,,,2591,772,1665.0,-893.0,0.0,,,1554,267.0,,,,,1287,2326,,864,864,,,,112.0,,,,,-112,,,-112,864,943,,,,,2035,,,,2035,2978,3842,244.0,2133.0,,,-50.0,,-1364.0,963,0.0,963,4805,
10/31/1997,5516,965,609,356,1755,,,496,165.0,106.0,225.0,,0,,,,3216,835,1682.0,-847.0,0.0,,,1465,212.0,,,,,1253,2300,,1100,1100,,,,141.0,,,,,-141,,,-141,1100,1175,,,,,2080,,,,2080,3255,4355,244.0,2130.0,,,-53.0,,-1301.0,1020,0.0,1020,5375,
01/31/1998,4929,549,188,361,1543,,,506,144.0,109.0,253.0,,0,,,,2598,896,1772.0,-876.0,0.0,,,1435,212.0,,,,,1223,2331,,1033,1033,,,,115.0,,,,,-115,,,-115,1033,1030,,,,,1778,,,,1778,2808,3841,244.0,2136.0,,,-136.0,,-1271.0,973,0.0,973,4814,
04/30/1998,5949,944,453,491,2044,,,576,174.0,141.0,261.0,,0,,,,3564,968,1860.0,-892.0,0.0,,,1417,212.0,,,,,1205,2385,,1214,1214,,,,138.0,,,,,-138,,,-138,1214,1918,,,,,1887,,,,1887,3805,5019,4.0,2138.0,,,-138.0,,-1212.0,792,0.0,792,5811,
07/31/1998,5347,825,269,556,1583,,,553,186.0,114.0,253.0,0.0,0,,,,2961,1007,1902.0,-895.0,0.0,,,1379,212.0,,,,,1167,2386,,1051,1051,,,,149.0,,,,,-149,,,-149,1051,1413,,,,,1944,,,,1944,3357,4408,4.0,2138.0,,,-184.0,,-1168.0,790,0.0,790,5198,
10/31/1998,6178,1064,440,624,2146,,,505,213.0,69.0,223.0,,0,,,,3715,1106,2082.0,-976.0,0.0,,,1357,199.0,,,,,1158,2463,,1273,1273,,,,143.0,,,,,-143,,,-143,1273,1979,,,,,2014,,,,2014,3993,5266,4.0,2139.0,,,-214.0,,-1160.0,769,0.0,769,6035,
01/31/1999,5820,747,477,270,2051,2051.0,,560,197.0,85.0,278.0,0.0,0,,,,3358,1134,2158.0,-1024.0,0.0,,,1328,199.0,,,,,1129,2462,,1106,1106,,,,,,,,,0,,,0,1106,1992,,,,,1902,,,,1902,3894,5000,4.0,2140.0,,,-214.0,-770.0,-340.0,820,0.0,820,5820,
04/30/1999,6401,587,181,406,2611,2611.0,,646,212.0,114.0,320.0,0.0,0,,,,3844,1186,2255.0,-1069.0,0.0,,,1371,,,,,,1371,2557,,1307,1307,,,,15.0,,,,,0,,,0,1322,2164,,,,,2030,,,,2030,4194,5516,4.0,2140.0,,,-236.0,-683.0,-340.0,885,0.0,885,6401,
07/31/1999,6093,626,237,389,1976,1976.0,,743,206.0,197.0,340.0,0.0,0,,,,3345,1266,2377.0,-1111.0,0.0,,,1482,,,,,,1482,2748,,993,993,,,,18.0,,,,,0,,,0,1011,2042,,,,,2010,,,,2010,4052,5063,4.0,2139.0,,,-340.0,-431.0,-342.0,1030,0.0,1030,6093,
10/31/1999,6928,381,243,138,1550,1550.0,,625,245.0,95.0,285.0,0.0,286,,,,2842,1475,2598.0,-1123.0,195.0,195.0,,2416,274.0,,,,,2142,4086,,1399,1399,,,,192.0,,,,,911,,,911,2502,445,,,,,2690,,,,2690,3135,5637,4.0,2139.0,,,-358.0,-297.0,-197.0,1291,0.0,1291,6928,
01/31/2000,6444,606,461,145,1358,1358.0,,703,276.0,55.0,372.0,0.0,313,,,,2980,1518,2577.0,-1059.0,848.0,71.0,,1098,284.0,,,,,814,3464,,1051,1051,,,,199.0,,,,,732,,,732,1982,460,,,,,2685,,,,2685,3145,5127,4.0,2139.0,,,-400.0,-234.0,-192.0,1317,0.0,1317,6444,
04/30/2000,6646,576,480,96,1626,1626.0,,726,267.0,44.0,415.0,0.0,303,,,,3231,1567,2524.0,-957.0,750.0,99.0,,1098,313.0,,,,,785,3415,,1250,1250,,,,134.0,,,,,770,,,770,2154,2088,,,,,1100,,,,1100,3188,5342,4.0,2139.0,,,-509.0,-137.0,-193.0,1304,0.0,1304,6646,
07/31/2000,6700,587,532,55,1323,1323.0,,718,243.0,50.0,425.0,0.0,301,,,,2929,1605,2598.0,-993.0,1064.0,155.0,,1102,314.0,,,,,788,3771,,907,907,,,,131.0,,,,,721,,,721,1759,2411,,,,,1131,,,,1131,3542,5301,4.0,2139.0,,,-509.0,-40.0,-195.0,1399,0.0,1399,6700,
10/31/2000,6945,464,297,167,1075,1075.0,,648,212.0,42.0,394.0,0.0,280,,,,2467,1779,2752.0,-973.0,1504.0,,,1195,297.0,,,,,898,4478,,1096,1096,,,,482.0,,,,,831,,,831,2409,2148,,,,,1074,,,,1074,3222,5631,4.0,2139.0,,,-509.0,-143.0,-177.0,1314,0.0,1314,6945,
01/31/2001,6638,434,431,3,767,767.0,,705,196.0,60.0,449.0,0.0,379,,,,2285,1815,,,966.0,9.0,,1572,304.0,,,,,1268,4353,,968,968,,,,320.0,,,,,760,,,760,2048,2206,,,,,1104,,,,1104,3310,5358,4.0,2139.0,,,-509.0,-178.0,-176.0,1280,0.0,1280,6638,
04/30/2001,6715,428,428,0,747,747.0,,718,201.0,28.0,489.0,0.0,382,,,,2275,1843,,,931.0,10.0,,1666,305.0,,,,,1361,4440,,1064,1064,,,,391.0,,,,,749,,,749,2204,2138,,,,,1094,,,,1094,3232,5436,4.0,2139.0,,,-509.0,-177.0,-178.0,1279,0.0,1279,6715,
07/31/2001,6689,416,392,24,707,707.0,,659,190.0,48.0,421.0,0.0,365,,,,2147,1885,,,1085.0,34.0,,1572,308.0,,,,,1264,4542,,876,876,,,,424.0,,,,,742,,,742,2042,2300,,,,,1068,,,,1068,3368,5410,4.0,2139.0,,,-509.0,-176.0,-179.0,1279,0.0,1279,6689,
10/31/2001,7067,863,822,41,917,917.0,,644,206.0,33.0,405.0,0.0,312,,,,2736,1669,2798.0,-1129.0,1386.0,,,1276,272.0,,,,,1004,4331,,1103,1103,,,,412.0,,,,,758,,,758,2273,2468,,,,,1199,,,,1199,3667,5940,4.0,2139.0,,,-507.0,-170.0,-339.0,1127,0.0,1127,7067,
01/31/2002,6572,442,432,10,704,704.0,,651,199.0,34.0,418.0,0.0,269,,,,2066,1670,,,1506.0,465.0,,1330,273.0,,,,,1057,4506,,887,887,,,,369.0,,,,,752,,,752,2008,2294,,,,,1192,,,,1192,3486,5494,4.0,2139.0,,,-494.0,-232.0,-339.0,1078,0.0,1078,6572,
04/30/2002,6735,597,558,39,748,748.0,,644,191.0,50.0,403.0,0.0,286,,,,2275,1676,,,1439.0,526.0,,1345,277.0,,,,,1068,4460,,946,946,,,,493.0,,,,,727,,,727,2166,2235,,,,,1242,,,,1242,3477,5643,4.0,2139.0,,,-474.0,-244.0,-333.0,1092,0.0,1092,6735,
07/31/2002,6558,557,547,10,622,622.0,,714,253.0,112.0,349.0,0.0,289,,,,2182,1514,,,1507.0,256.0,,1355,277.0,,,,,1078,4376,,932,932,,,,399.0,,,,,692,,,692,2023,3121,,,,,366,,,,366,3487,5510,4.0,2139.0,,,-473.0,-261.0,-361.0,1048,0.0,1048,6558,
10/31/2002,6943,620,620,0,1054,1054.0,,595,313.0,65.0,217.0,0.0,339,,,,2608,1479,2730.0,-1251.0,1330.0,,,1526,63.0,,,,,1463,4335,,1020,1020,,,,358.0,,,,,1021,,,1021,2399,2398,,,,,1895,,,,1895,4293,6692,4.0,2146.0,,,-473.0,-721.0,-705.0,251,0.0,251,6943,
01/31/2003,6802,523,504,19,839,839.0,,602,183.0,70.0,349.0,0.0,385,,,,2349,1337,,,858.0,515.0,,2258,62.0,,,,,2196,4453,,927,927,,,,371.0,,,,,979,,,979,2277,2337,,,,,1899,,,,1899,4236,6513,4.0,2121.0,,,-225.0,-892.0,-719.0,289,0.0,289,6802,
04/30/2003,6777,548,463,85,975,975.0,,555,187.0,58.0,310.0,0.0,400,,,,2478,1314,,,1245.0,240.0,,1740,61.0,,,,,1679,4299,,1018,1018,,,,250.0,,,,,1028,,,1028,2296,2308,,,,,1901,,,,1901,4209,6505,4.0,2120.0,,,-223.0,0.0,-1629.0,272,0.0,272,6777,
07/31/2003,6594,312,187,125,818,818.0,,536,168.0,58.0,310.0,0.0,517,,,,2183,1304,,,1374.0,439.0,,1733,59.0,,,,,1674,4411,,892,892,,,,229.0,,,,,1012,,,1012,2133,2289,,,,,1879,,,,1879,4168,6301,4.0,2121.0,,,-217.0,0.0,-1615.0,293,0.0,293,6594,
10/31/2003,6900,525,447,78,869,869.0,,494,168.0,47.0,279.0,,322,,,,2210,1350,2562.0,-1212.0,1472.0,,,1868,,,,,,1868,4690,,1079,1079,,,,214.0,,,,,911,,,911,2204,2396,,,,,1990,,,,1990,4386,6590,4.0,2118.0,,,-202.0,-824.0,-786.0,310,,310,6900,
01/31/2004,6720,316,274,42,1008,1008.0,,575,207.0,65.0,417.0,0.0,325,,,,2224,1318,,,1244.0,255.0,,1934,,,,,,1934,4496,,979,979,,,,277.0,,,,,936,,,936,2192,2242,,,,,1966,,,,1966,4208,6400,4.0,2123.0,,,-194.0,0.0,-1613.0,320,0.0,320,6720,
