Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/27/2002,3051,801,505,296,668,,,291,52,52,187,0.0,146,,,,1906,1028,1588,-560,0.0,,117,6.0,,,111,1145,,656,656,,,,4,4,0.0,0.0,,,788,,,,788,1448,747,747,0.0,0.0,,102,,,,,102,849,2297,0.0,609,,,0.0,,145.0,754,0.0,754,3051,
12/27/2002,3221,974,622,352,628,,,310,43,54,213,0.0,166,,,,2078,1025,1675,-650,0.0,,118,5.0,,,113,1143,,730,730,,,,4,4,0.0,0.0,,,669,,,,669,1403,747,747,0.0,0.0,,98,,,,,98,845,2248,0.0,632,,,0.0,,341.0,973,0.0,973,3221,
03/28/2003,3382,1076,679,397,657,,,301,61,64,176,0.0,162,,,,2196,1062,1818,-756,0.0,,124,5.0,,,119,1186,,709,709,,,,4,4,0.0,0.0,,,680,,,,680,1393,745,745,0.0,0.0,,98,,,,,98,843,2236,0.0,631,,,0.0,,515.0,1146,0.0,1146,3382,
06/27/2003,3517,1194,749,445,611,,,319,71,38,210,0.0,158,,,,2282,1111,1966,-855,0.0,,124,,,,124,1235,,651,651,,,,4,4,0.0,0.0,,,708,,,,708,1363,745,745,0.0,0.0,,93,,,,,93,838,2201,0.0,640,,,0.0,685.0,-9.0,1316,0.0,1316,3517,
10/03/2003,3814,1349,834,515,714,,,349,83,38,228,0.0,174,,,,2586,1090,2041,-951,0.0,,138,0.0,,,138,1228,,759,759,,,,4,4,0.0,0.0,,,678,,,,678,1441,743,743,0.0,0.0,,86,,,,,86,829,2270,0.0,669,,,0.0,883.0,-8.0,1544,0.0,1544,3814,
01/02/2004,4040,1278,703,575,914,,,383,88,45,250,0.0,191,,,,2766,1117,2172,-1055,0.0,,157,0.0,,,157,1274,,786,786,,,,6,6,0.0,0.0,,,680,,,,680,1472,741,741,0.0,0.0,,89,,,,,89,830,2302,0.0,657,,,0.0,1088.0,-7.0,1738,0.0,1738,4040,
04/02/2004,4003,1363,736,627,649,,,482,135,35,312,0.0,181,,,,2675,1169,2315,-1146,0.0,,159,0.0,,,159,1328,,725,725,,,,4,4,0.0,0.0,,,537,,,,537,1266,741,741,0.0,0.0,,88,,,,,88,829,2095,0.0,667,,,0.0,1248.0,-7.0,1908,0.0,1908,4003,
07/02/2004,3942,1183,422,761,691,,,449,91,39,319,0.0,138,,,,2461,1301,2540,-1239,0.0,,180,0.0,,,180,1481,,740,740,,,,4,4,0.0,0.0,,,504,,,,504,1248,739,739,0.0,0.0,,100,,,,,100,839,2087,0.0,650,,,0.0,1214.0,-9.0,1855,0.0,1855,3942,
10/01/2004,4014,1202,458,744,826,,,379,113,51,215,0.0,140,,,,2547,1287,2633,-1346,0.0,,180,0.0,,,180,1467,,772,772,,,,4,4,0.0,0.0,,,488,,,,488,1264,739,739,0.0,0.0,,99,,,,,99,838,2102,0.0,651,,,0.0,1268.0,-7.0,1912,0.0,1912,4014,
12/31/2004,4310,1476,646,830,879,,,362,100,69,193,0.0,148,,,,2865,1261,2708,-1447,0.0,,184,0.0,,,184,1445,,893,893,,,,4,4,0.0,0.0,,,521,,,,521,1418,738,738,0.0,0.0,,114,,,,,114,852,2270,0.0,635,,,0.0,1412.0,-7.0,2040,0.0,2040,4310,
04/01/2005,4757,1695,720,975,988,988.0,,412,130,66,216,,127,,,,3222,1346,2893,-1547,,,189,,,,189,1535,,1005,1005,,,,4,4,0.0,0.0,,,589,,,,589,1598,738,738,0.0,0.0,,145,,,,,145,883,2481,,646,,,,1641.0,-11.0,2276,,2276,4757,
07/01/2005,5244,1836,746,1090,1094,1094.0,,431,118,70,243,0.0,141,,,,3502,1529,3183,-1654,0.0,,213,0.0,,,213,1742,,1108,1108,,,,4,4,0.0,0.0,,,668,,,,668,1780,736,736,0.0,0.0,,187,,,,,187,923,2703,0.0,632,,,0.0,1921.0,-12.0,2541,0.0,2541,5244,
09/30/2005,5378,1792,831,961,1116,1116.0,,477,132,66,279,,144,,,,3529,1565,3345,-1780,,,284,,,,284,1849,,1000,1000,,,,4,4,0.0,0.0,,,618,,,,618,1622,736,736,0.0,0.0,,195,,,,,195,931,2553,,642,,,,2193.0,-10.0,2825,,2825,5378,
12/30/2005,5434,1751,768,983,1091,1091.0,,505,130,73,302,,151,,,,3498,1606,3519,-1913,,,330,,,,330,1936,,1057,1057,,,,0,0,0.0,0.0,,,671,,,,671,1728,400,400,0.0,0.0,,192,,,,,192,592,2320,,643,,,,2480.0,-9.0,3114,,3114,5434,
03/31/2006,5977,2040,1035,1005,1152,1152.0,,549,156,84,309,,171,,,,3912,1717,3763,-2046,,,348,,,,348,2065,,1182,1182,,,,0,0,0.0,0.0,,,758,,,,758,1940,400,400,0.0,0.0,,194,,,,,194,594,2534,,692,,,,2754.0,-3.0,3443,,3443,5977,
06/30/2006,9544,1733,910,823,1445,1445.0,,891,209,126,556,0.0,264,,,,4333,2106,4286,-2180,0.0,,3105,2782.0,2475.0,307.0,323,5211,,1692,1692,,,,330,330,0.0,0.0,,,1315,,,,1315,3337,640,640,0.0,0.0,,355,,,,,355,995,4332,0.0,2858,,,0.0,2362.0,-8.0,5212,0.0,5212,9544,
09/29/2006,10520,2653,1856,797,1331,1331.0,,939,201,100,638,,315,,,,5238,2179,4512,-2333,,,3103,2760.0,2488.0,272.0,343,5282,,1448,1448,,,,731,731,0.0,0.0,,,1125,,,,1125,3304,1737,1737,0.0,0.0,,355,,,,,355,2092,5396,,2944,,,,2185.0,-5.0,5124,,5124,10520,
12/29/2006,9278,1560,1096,464,1251,1251.0,,771,193,90,488,,410,,,,3992,2240,4747,-2507,,,3046,2548.0,2317.0,231.0,498,5286,,1425,1425,,,,330,330,0.0,0.0,,,1060,,,,1060,2815,1738,1738,0.0,0.0,,348,,,,,348,2086,4901,,3030,,,,1342.0,5.0,4377,,4377,9278,
03/30/2007,9264,1210,909,301,1367,1367.0,,832,258,87,487,0.0,400,,,,3809,2279,4949,-2670,0.0,,3176,2659.0,2440.0,219.0,517,5455,,1397,1397,,,,330,330,0.0,0.0,,,1021,,,,1021,2748,1733,1733,0.0,0.0,,363,,,,,363,2096,4844,0.0,3165,,,0.0,1251.0,4.0,4420,0.0,4420,9264,
06/29/2007,9472,1144,988,156,1383,1383.0,,794,277,85,432,0.0,480,,,,3801,2278,5104,-2826,0.0,,3393,2488.0,2300.0,188.0,905,5671,,1301,1301,,,,330,330,0.0,0.0,,,1018,,,,1018,2649,1733,1733,0.0,0.0,,353,,,,,353,2086,4735,0.0,3204,,,0.0,1537.0,-4.0,4737,0.0,4737,9472,
09/28/2007,10065,1498,1263,235,1519,1519.0,,763,312,109,342,0.0,569,,,,4349,2246,5231,-2985,0.0,,3470,2496.0,2327.0,169.0,974,5716,,1551,1551,,,,330,330,0.0,0.0,,,982,,,,982,2863,1734,1734,0.0,0.0,,588,,,,,588,2322,5185,0.0,3295,,,0.0,1586.0,-1.0,4880,0.0,4880,10065,
12/28/2007,10616,1750,1433,317,1593,1593.0,,830,293,119,418,0.0,684,,,,4857,2267,5367,-3100,0.0,,3492,2542.0,2385.0,157.0,950,5759,,1776,1776,,,,330,330,0.0,0.0,,,1081,,,,1081,3187,1734,1734,0.0,0.0,,613,,,,,613,2347,5534,0.0,3396,,,0.0,1685.0,1.0,5082,0.0,5082,10616,
03/28/2008,10413,1283,1143,140,1351,1351.0,,1073,346,114,613,0.0,900,,,,4607,2357,5594,-3237,0.0,,3449,2498.0,2366.0,132.0,951,5806,,1915,1915,,,,345,345,0.0,0.0,,,1194,,,,1194,3454,1685,1685,0.0,0.0,,611,,,,,611,2296,5750,0.0,3464,,,0.0,1193.0,6.0,4663,0.0,4663,10413,
06/27/2008,10120,1141,990,151,1410,1410.0,,945,352,111,482,0.0,776,,,,4272,2464,5845,-3381,0.0,,3384,2463.0,2352.0,111.0,921,5848,,1652,1652,,,,360,360,0.0,0.0,,,1275,,,,1275,3287,1670,1670,0.0,0.0,,577,,,,,577,2247,5534,0.0,3501,,,0.0,1101.0,-16.0,4586,0.0,4586,10120,
10/03/2008,10169,1153,1005,148,1393,1393.0,0.0,909,380,139,390,0.0,912,,616.0,640.0,4367,2509,6104,-3595,0.0,,3293,2443.0,2349.0,94.0,234,5802,,2902,1930,6.0,,966.0,660,0,,,,660.0,25,,,,0,3587,1370,1370,,,,567,422.0,,,,145,1937,5524,0.0,3563,0.00488,3562.99512,0.0,1102.0,-20.0,4645,0.0,4645,10169,
01/02/2009,7060,1309,1161,148,1040,1040.0,0.0,796,274,93,429,0.0,643,2.0,436.0,486.0,3788,2510,6303,-3793,0.0,,762,109.0,31.0,78.0,215,3272,,2320,1370,13.0,,937.0,670,350,,,,320.0,17,,,,0,3007,1684,1684,,,,529,395.0,,,,134,2213,5220,0.0,3602,0.00488,3601.99512,0.0,-1748.0,-14.0,1840,0.0,1840,7060,
04/03/2009,6626,1481,1352,129,872,872.0,0.0,577,206,110,261,0.0,614,,453.0,462.0,3544,2355,6274,-3919,0.0,,727,93.0,31.0,62.0,181,3082,,2173,1389,9.0,,775.0,670,350,,,,320.0,6,,,,0,2849,1680,1680,,,,513,397.0,,,,116,2193,5042,0.0,3628,0.00491,3627.99509,0.0,-2036.0,-8.0,1584,0.0,1584,6626,
07/03/2009,7087,1541,1427,114,1033,1033.0,0.0,587,201,120,266,0.0,1133,0.0,372.0,1035.0,4294,2229,6267,-4038,0.0,,564,115.0,73.0,42.0,77,2793,,2422,1573,10.0,0.0,839.0,771,350,0.0,0.0,,421.0,1,0.0,0.0,,0,3194,1926,1926,0.0,0.0,,413,293.0,0.0,0.0,0.0,120,2339,5533,0.0,3708,0.00493,3707.99507,0.0,-2148.0,-6.0,1554,0.0,1554,7087,
10/02/2009,6899,1626,1530,96,1242,1242.0,0.0,622,217,135,270,0.0,817,10.0,369.0,718.0,4307,2039,6189,-4150,0.0,,553,,,,174,2592,,2473,1674,13.0,,786.0,322,0,,,,322.0,2,,,,0,2797,1910,1910,,,,413,279.0,,,,134,2323,5120,0.0,3748,0.00497,3747.99503,0.0,-1969.0,,1779,0.0,1779,6899,
01/01/2010,7388,2092,1891,201,1333,1333.0,0.0,645,188,165,292,0.0,811,,364.0,707.0,4881,1983,6301,-4318,0.0,,524,,,,160,2507,,2693,1810,13.0,,870.0,96,0,,,,96.0,4,,,,0,2793,1895,1895,,,,365,264.0,,,,101,2260,5053,,3776,0.00499,3775.99501,0.0,-1436.0,-5.0,2335,0.0,2335,7388,
04/02/2010,7747,2276,2062,214,1451,1451.0,0.0,685,241,159,285,0.0,744,,384.0,652.0,5156,2054,6516,-4462,0.0,,537,,,,153,2591,,2759,1895,12.0,,852.0,377,0,,,,377.0,0,,,,0,3136,1598,1598,,,,356,261.0,,,,95,1954,5090,0.0,3827,0.00489,3826.99511,0.0,-1169.0,-1.0,2657,0.0,2657,7747,
07/02/2010,8247,2515,2263,252,1400,1400.0,0.0,757,263,145,349,0.0,746,0.0,395.0,621.0,5418,2263,6842,-4579,0.0,,566,45.0,38.0,7.0,126,2829,,2667,1780,14.0,0.0,873.0,329,0,0.0,0.0,,329.0,1,0.0,0.0,,0,2997,2173,2173,0.0,0.0,,353,242.0,0.0,0.0,0.0,111,2526,5523,,3851,0.004702,3850.995298,0.0,-1123.0,-4.0,2724,0.0,2724,8247,
10/01/2010,7988,2066,1783,283,1511,1511.0,0.0,743,244,152,347,0.0,836,,379.0,665.0,5156,2275,7032,-4757,0.0,,557,,,,178,2832,,2556,1776,6.0,,774.0,560,0,,,,560.0,0,,,,0,3116,1614,1614,,,,335,234.0,,,,101,1949,5065,0.0,3873,0.00472,3872.99528,0.0,-974.0,24.0,2923,0.0,2923,7988,
