Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A from Disc Ops,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Income Taxes from Sale of Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,23.617001,19.715,,,,,,0.0,0.0,3.902,-6.421,1.931,0.0,4.49,0.0,,0.0,17.196,-5.02,5.02,,0.0,12.176,0.0,,0.0,,,12.176,,11.252,0.0,,11.252,11.252,,53.306,0.21,0.21,0.21,53.306,0.21,0.21,0.21,,,,,,,,,,,15.602,,15.602,,,,,,,15.602,0.292688,0.292688,0.24,81.998715,81.998715,81.995898,
06/30/1994,25.389,20.388,,,,,,0.0,0.0,5.001,-6.236,1.863,0.0,4.373,0.0,,0.0,19.153,-5.008,5.008,,0.0,14.145,0.0,,0.0,,,14.145,,13.208,0.0,,13.208,13.208,,53.34,0.25,0.25,0.25,53.34,0.25,0.25,0.25,,,,,,,,,,,17.465,,17.465,,,,,,,17.465,0.327428,0.327428,0.245,74.825652,74.825652,74.823932,
09/30/1994,24.525,20.368,,,,,,0.0,0.0,4.157,-6.225,1.798,0.0,4.427,0.0,,0.0,18.300001,-5.03,5.03,,0.0,13.27,0.0,,0.0,,,13.27,,12.417,0.0,,12.417,12.417,,53.344002,0.23,0.23,0.23,53.344002,0.23,0.23,0.23,,,,,,,,,,,16.704,,16.704,,,,,,,16.704,0.313137,0.313137,0.25,79.837165,79.837165,79.837165,
12/31/1994,25.465,21.047001,,,,,,0.0,0.0,4.418,-6.419,2.188,0.0,4.231,0.0,,0.0,19.046,-5.075,5.075,,0.0,13.971,0.0,,0.0,,,13.971,,13.1,0.0,,13.1,13.1,,53.470001,0.245,0.245,0.245,53.470001,0.245,0.245,0.245,,,,,,,,,,,17.195,,17.195,,,,,,,17.195,0.321582,0.321582,0.255,79.295436,79.295436,79.290492,
03/31/1995,26.728001,22.016001,,,,,,0.0,0.0,4.712,-6.644,2.137,0.0,4.507,0.0,,0.0,20.084,-5.346,5.346,,0.0,14.738,0.0,,0.0,,,14.738,,13.756,0.0,,13.756,13.756,,55.501999,0.25,0.25,0.25,55.501999,0.25,0.25,0.25,,,,,,,,,,,17.591999,,17.591999,,,,,,,17.591999,0.316962,0.316962,0.26,82.028877,82.028877,79.160984,
06/30/1995,25.910999,21.513,,,,,,0.0,0.0,4.398,-6.502,1.63,0.0,4.872,0.0,,0.0,19.409,19.421999,4.128,,-23.549999,38.830999,0.0,,0.0,,,38.830999,,37.866001,0.0,,37.866001,37.866001,,57.063999,0.665,0.665,0.665,57.063999,0.665,0.665,0.665,,,,,,,,,,,18.299999,,18.299999,,,,,,,18.299999,0.320693,0.320693,0.265,82.633659,82.633659,82.661205,
09/30/1995,26.274,21.384001,,,,,,0.0,0.0,4.89,-6.101,1.279,0.0,4.822,0.0,,0.0,20.173,-4.643,4.643,,0.0,15.53,0.0,,0.0,,,15.53,,14.644,0.0,,14.644,14.644,,57.088001,0.255,0.255,0.255,57.088001,0.255,0.255,0.255,,,,,,,,,,,18.777,,18.777,,,,,,,18.777,0.328913,0.328913,0.27,82.088516,82.088516,82.089786,
12/31/1995,26.783001,21.882,,,,,,0.0,0.0,4.901,-6.715,1.708,0.0,5.007,0.0,,0.0,20.068,-5.222,5.222,,0.0,14.846,0.0,,0.0,,,14.846,,14.0,0.0,,14.0,14.0,,57.130001,0.245,0.245,0.245,57.130001,0.245,0.245,0.245,,,,,,,,,,,18.243,,18.243,,,,,,,18.243,0.319324,0.319324,0.275,86.119337,86.119337,86.148109,
03/31/1996,28.943001,24.966,,,,,,0.0,0.0,3.977,-7.005,1.752,0.0,5.253,0.0,,0.0,21.938001,-6.293,6.293,,0.0,15.645,0.0,,0.0,,,15.645,,14.601,0.0,,14.601,14.601,,57.214001,0.255,0.255,0.255,57.214001,0.255,0.255,0.255,,,,,,,,,,,19.205,,19.205,,,,,,,19.205,0.33567,0.33567,0.28,83.415362,83.415362,83.587605,
06/30/1996,30.586,26.475,,,,,,0.0,0.0,4.111,-7.495,1.802,0.0,5.693,0.0,,0.0,23.091001,-6.609,6.609,,0.0,16.482,0.0,,0.0,,,16.482,,15.591,0.0,,15.591,15.591,,57.324001,0.27,0.27,0.27,57.324001,0.27,0.27,0.27,,,,,,,,,,,20.429001,,20.429001,,,,,,,20.429001,0.356378,0.356378,0.285,79.971313,79.971313,79.989226,
09/30/1996,29.877001,25.969,,,,,,0.0,0.0,3.908,-7.475,1.612,0.0,5.863,0.0,,0.0,22.402,-6.736,6.736,,0.0,15.666,0.0,,0.0,,,15.666,,15.028,0.0,,15.028,15.028,,57.334,0.26,0.26,0.26,57.334,0.26,0.26,0.26,,,,,,,,,,,19.934999,,19.934999,,,,,,,19.934999,0.347699,0.347699,0.29,83.405367,83.405367,84.845749,
12/31/1996,30.987,27.216999,,,,,,0.0,0.0,3.77,-8.0,1.66,0.0,6.34,0.0,,0.0,22.987001,-6.763,6.763,,0.0,16.224001,0.0,,0.0,,,16.224001,,15.421,0.0,,15.421,15.421,,57.349998,0.27,0.27,0.27,57.349998,0.27,0.27,0.27,,,,,,,,,,,20.948,,20.948,,,,,,,20.948,0.365266,0.365266,0.295,80.763074,80.763074,79.229521,
03/31/1997,30.867001,27.224001,,,,,0.0,0.0,3.643,0.0,-8.015,0.0,0.0,6.234,0.0,,1.781,22.852,-4.715,6.762,0.0,-2.047,18.137,0.0,,0.0,,,18.137,,17.118999,0.0,,17.118999,17.118999,,57.402,0.3,0.3,0.3,63.026001,0.295,0.295,0.295,,,,,,,,,,,20.362,,20.362,,,,,,,20.362,0.323073,0.323073,0.3,92.858273,92.858273,84.593855,
