Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
07/31/1989,4.489,24.422001,11.484,,,,,-31.417,,,-31.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1989,45.000999,26.174,9.466,,,,,9.361,,,9.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1990,22.881001,28.426001,11.048,,,,,-16.593,,,-16.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1990,50.862,32.632999,7.997,,,,,10.232,,,10.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.862,,,
08/01/1990,22.688,30.280001,11.473,,,,,-19.065001,,,-19.065001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1990,21.516001,28.683001,12.82,,,,,-19.987,,,-19.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1991,14.314,34.176998,8.15,,,,,-28.013,,,-28.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1991,68.081001,40.231998,14.057,-16.337,,,-16.337,30.129,,,30.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.081001,,,
07/31/1991,24.302999,36.139,10.258,,,,,-22.094,,,-22.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1991,56.661999,38.530998,12.949,,,,,5.182,,,5.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1992,3.876,39.428001,9.386,,,,,-44.938,,,-44.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1992,66.528999,47.443001,26.764999,-2.521,,,-2.521,-5.158,,,-5.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.528999,,,
07/31/1992,37.683998,31.232,17.872,14.417,,,14.417,-25.837,,,-25.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1992,110.634003,60.175999,16.599001,24.221001,,,24.221001,9.638,,,9.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.634003,,,
01/29/1993,49.238998,47.84,15.84,-0.252,,,-0.252,-14.189,,,-14.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1993,93.893997,57.919998,19.313999,-24.723,,,-24.723,41.382999,,,41.382999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.893997,,,
07/31/1993,61.464001,52.5,18.132,-9.424,,,-9.424,0.256,,,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1993,65.759003,56.201,22.327999,0.0,,,0.0,-12.77,,,-12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.759003,,,
01/28/1994,88.892998,56.911999,18.801001,0.0,,,0.0,13.18,,,13.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
