Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1996,5335.0,,,,,,,-4913.0,,,422.0,-20.0,,23.0,,0.0,-3.0,402.0,-161.0,241.0,0.0,,,241.0,0.0,241.0,0.0,,241.0,241.0,,1140.0,0.21,0.21,0.21,1140.0,0.21,0.21,0.21,
06/30/1996,5508.0,,,,,,,-4954.0,,,554.0,-22.0,,21.0,,0.0,1.0,532.0,-213.0,319.0,0.0,,,319.0,0.0,319.0,0.0,,319.0,319.0,,1140.0,0.28,0.28,0.28,1140.0,0.28,0.28,0.28,
09/30/1996,5585.0,,,,,,,-5003.0,,,582.0,-16.0,,20.0,,0.0,-4.0,566.0,-226.0,340.0,0.0,,,340.0,0.0,340.0,0.0,,340.0,340.0,,1140.0,0.3,0.3,0.3,1140.0,0.3,0.3,0.3,
12/31/1996,5940.0,,,,,,,-5469.0,,,471.0,-61.0,,31.0,,0.0,30.0,410.0,-164.0,246.0,0.0,,,246.0,0.0,246.0,0.0,,246.0,246.0,,1140.0,0.22,0.22,0.219997,1140.0,0.22,0.22,0.22,
03/31/1997,5664.0,,,,,,,-5238.0,,,426.0,-38.0,,41.0,,0.0,-3.0,388.0,-160.0,228.0,0.0,,,228.0,0.0,228.0,0.0,,228.0,228.0,,1108.0,0.21,0.21,0.21,1120.0,0.21,0.21,0.21,
06/30/1997,5846.0,,,,,,,-5228.0,,,618.0,-36.0,,37.0,,0.0,-1.0,582.0,-242.0,340.0,0.0,,,340.0,0.0,340.0,0.0,,340.0,340.0,,1108.0,0.31,0.31,0.31,1122.0,0.31,0.31,0.31,
09/30/1997,4810.0,,,,,,,-4796.0,,,14.0,-30.0,,57.0,,0.0,-27.0,-16.0,6.0,-10.0,0.0,,,-10.0,0.0,-10.0,0.0,,-10.0,-10.0,,1140.0,-0.01,-0.01,-0.01,1140.0,-0.01,-0.01,-0.01,
12/31/1997,6138.0,,,,,,,-5498.0,,,640.0,-41.0,,52.0,,0.0,-11.0,599.0,-248.0,351.0,0.0,,,351.0,0.0,351.0,0.0,,351.0,351.0,,1122.0,0.34,0.34,0.339996,1128.0,0.33,0.33,0.33,
03/31/1998,5859.0,,,,,,,-5219.0,,,640.0,-39.0,,58.0,,0.0,-19.0,601.0,-249.0,352.0,0.0,,,352.0,0.0,352.0,0.0,,352.0,352.0,,1092.0,0.32,0.32,0.32,1104.0,0.32,0.32,0.32,
06/30/1998,6107.0,,,,,,,-5302.0,,,805.0,-40.0,,57.0,,0.0,-17.0,765.0,-307.0,458.0,0.0,,,458.0,0.0,458.0,0.0,,458.0,458.0,,1088.0,0.42,0.42,0.42,1104.0,0.42,0.42,0.42,
09/30/1998,6158.0,,,,,,,-5381.0,,,777.0,-37.0,,54.0,,0.0,-17.0,740.0,-291.0,449.0,0.0,,,449.0,0.0,449.0,0.0,,449.0,449.0,,1088.0,0.41,0.41,0.409996,1080.0,0.4,0.4,0.4,
12/31/1998,6664.0,,,,,,,-5796.0,,,868.0,-72.0,,58.0,,0.0,14.0,796.0,-314.0,482.0,0.0,,,482.0,0.0,482.0,0.0,,482.0,482.0,,1092.0,0.44,0.44,0.44,1094.0,0.43,0.43,0.43,
03/31/1999,6331.0,,,,,,,-5485.0,,,846.0,-14.0,,49.0,,0.0,-35.0,832.0,-333.0,499.0,0.0,,,499.0,0.0,499.0,0.0,0.0,499.0,499.0,,1113.0,0.45,0.45,0.45,1129.0,0.44,0.44,0.44,
06/30/1999,6560.0,,,,,,,-5572.0,,,988.0,-1795.0,,56.0,,0.0,1739.0,-807.0,-47.0,-854.0,0.0,,,-854.0,0.0,-854.0,0.0,0.0,-854.0,-854.0,,1114.0,-0.77,-0.77,0.52,1114.0,-0.77,-0.77,0.52,
