Date,Returns,Return on Assets,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Source: Bloomberg
08/30/2015,,,,,18.895427,14.495855,11.313185,,11.139342,8.491575,8.290987,8.290987,,38.77551,0.0,
11/29/2015,,,,,21.856004,18.046738,14.791301,,14.58868,10.401189,9.901391,9.901391,,35.833333,0.0,
02/28/2016,,,,,24.962262,20.70811,17.469466,,17.26362,14.916975,14.738576,14.258268,,42.289348,0.0,
05/29/2016,,,,,23.474903,9.81982,6.679537,,6.473616,5.842986,5.482625,5.482625,,40.357853,0.0,
08/28/2016,,,,,23.264202,19.386835,16.102022,141.754386,15.908798,10.704625,10.253768,10.253768,,41.295547,0.0,
11/27/2016,,,,,25.154926,19.23612,15.872012,31.746032,15.012015,11.50879,11.028203,11.028203,,28.559393,0.0,
02/26/2017,,12.627957,18.993317,,26.935589,22.472349,18.893949,44.974874,15.471698,11.398829,10.956409,10.865322,,37.005887,32.806886,
05/28/2017,,14.078684,22.083864,,23.747748,18.258258,14.714715,127.207207,11.51952,9.429429,9.117117,9.117117,,42.961418,36.240119,
08/27/2017,,13.949172,22.600141,,24.061162,20.623853,16.831804,30.582524,13.749235,10.801223,10.201835,10.201835,,39.234875,32.868705,
11/26/2017,,12.515884,21.008,,25.248605,21.270919,16.953675,42.182891,13.630851,10.065486,9.289352,9.289352,,36.921708,35.811031,
02/25/2018,,15.144328,24.569872,,28.06347,23.940236,19.596942,25.289779,16.296039,18.485059,18.16076,18.056521,,5.33049,17.947322,
05/27/2018,,15.913864,26.103224,,25.343063,18.808538,14.539316,12.835473,11.522544,11.195818,10.890873,10.890873,,26.559546,28.132875,
08/26/2018,,16.395087,26.385371,,25.20494,20.898459,16.679419,15.400411,13.750137,12.176194,11.782708,11.782708,,27.265501,25.99084,
11/25/2018,,16.770122,27.752633,,27.320606,23.32675,19.091508,39.400922,16.216809,13.605442,13.056836,11.959623,,23.00406,25.688073,
02/24/2019,,15.965627,25.191623,,29.499353,25.258956,20.91066,38.801262,17.99741,15.256798,15.256798,15.202849,,23.741007,20.79489,
05/26/2019,,16.501457,25.680972,,24.965119,19.224636,14.749851,17.018779,12.049033,11.002591,11.002591,11.062388,,21.257237,26.522523,
08/25/2019,,16.011453,24.479773,,25.136502,22.325581,17.18908,23.481781,14.337715,11.698686,11.698686,11.698686,,25.881523,25.272256,
11/24/2019,,15.581427,24.443651,,27.97292,24.116954,18.985479,18.089054,16.493328,13.77551,13.77551,13.77551,,25.401547,20.797721,
02/23/2020,,14.531578,22.007076,,26.715033,23.087592,17.337032,,14.648458,11.885202,11.885202,11.885202,,26.001457,30.16158,
05/31/2020,,9.491077,14.218334,,13.118432,10.16649,3.648601,-74.824281,0.200732,-0.188924,-0.188924,-0.188924,,,,
