Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
09/30/1988,185.388,196.936005,185.371994,,4.85473,0.681807,0.5575,0.5025,0.4975,0.535,0.48,0.475,0.125,,,1.342654,10.453681,7.65987,
12/31/1988,185.455994,197.095993,185.399994,,5.283722,0.53144,0.455,0.405,0.4225,0.4375,0.39,0.4075,0.125,,,0.222764,10.866292,7.999838,
03/31/1989,185.716003,197.244003,185.595993,,5.109146,0.621888,0.485,0.445,0.45,0.4675,0.4275,0.4325,0.1375,,,0.178331,10.795095,7.965727,
06/30/1989,192.056,197.707993,187.108002,,4.940125,0.656733,0.55,0.5125,0.48,0.525,0.4875,0.455,0.1375,,,0.351023,11.145421,8.496381,
09/30/1989,197.212006,198.399994,194.584,,4.855774,0.574605,0.405,0.365,0.295,0.4,0.36,0.29,0.1375,,,0.253773,11.354704,8.831815,
12/31/1989,197.216003,198.567993,197.287994,,4.922844,0.706019,0.6475,0.6275,0.5175,0.6425,0.6225,0.5125,0.1375,,,0.209339,11.912086,9.377956,
03/31/1990,189.563995,196.035995,196.035995,,4.830516,0.499668,0.3875,0.3875,,0.3875,0.3875,0.3875,0.15,1.212298,,0.163781,11.885553,,
06/30/1990,169.643997,183.207993,183.207993,,5.345089,0.834805,0.61,0.61,,0.61,0.61,0.61,0.15,0.565772,,0.174795,12.157347,,
09/30/1990,169.095993,169.707993,169.707993,,5.922449,0.821016,0.62,0.62,,0.62,0.62,0.62,0.15,1.013894,,0.449271,12.424263,,
12/31/1990,168.936005,169.160004,169.160004,,6.348617,0.672003,0.54,0.54,,0.54,0.54,0.54,0.15,2.536439,,0.100316,13.001201,,
03/31/1991,169.479996,170.343994,170.343994,,5.994734,0.618296,0.485,0.485,,0.485,0.485,0.485,0.1625,1.223777,,0.066002,13.632942,,
06/30/1991,169.787994,170.927994,170.927994,,6.221988,0.763163,0.5975,0.5975,,0.5975,0.5975,0.5975,0.1625,0.580133,,0.095755,13.766268,,
09/30/1991,169.884003,170.843994,170.843994,,6.589521,0.818917,0.6225,0.6225,,0.6225,0.6225,0.6225,0.1625,1.368895,,0.099756,14.128316,,
12/31/1991,170.084,170.516008,170.516008,,6.692867,0.89367,0.63,0.63,0.63,0.63,0.63,0.63,0.1625,1.131856,,0.142089,14.891706,,
03/31/1992,170.632004,171.679993,171.679993,,6.402662,0.787972,1.05,0.605,,1.05,0.605,0.605,0.17,1.55519,,0.171715,15.869138,,
06/30/1992,169.440002,171.628006,171.628006,,6.834299,1.173789,0.8225,0.8225,,0.8225,0.8225,0.8225,0.17,1.026272,,0.091826,16.151451,,
09/30/1992,167.936005,170.028,170.028,,6.617228,-0.639295,-0.39,-0.39,,-0.39,-0.39,-0.39,0.17,2.191133,,0.078149,15.908548,,
12/31/1992,168.235992,168.024004,168.024004,,5.970147,-1.109264,-2.4975,-2.4975,-2.4975,-2.4975,-2.4975,-2.4975,0.17,-0.335184,,0.158397,13.091723,,
03/31/1993,168.455994,169.764008,169.764008,,6.562215,0.647028,0.505,0.505,,0.505,0.505,0.505,0.175,0.989368,,0.164886,13.330205,,
06/30/1993,168.679993,170.048004,170.048004,,6.288448,0.819774,0.625,0.625,,0.625,0.625,0.625,0.175,0.930819,,0.111282,13.761703,,
09/30/1993,169.223999,170.684006,170.684006,,6.473805,0.928124,0.8175,0.8175,,0.8175,0.8175,0.8175,0.175,1.505167,,0.139992,14.459315,,
12/31/1993,169.427992,171.28,171.28,,6.841611,0.671106,0.5125,0.5125,0.5125,0.5125,0.5125,0.5125,0.175,0.87761,,0.150034,17.736904,,
03/31/1994,168.080002,178.248001,170.035995,,6.844286,0.482268,0.365,0.365,,0.355,0.355,0.355,0.1875,1.268484,,0.12005,16.009239,,
06/30/1994,167.985992,177.356003,169.121994,,6.8894,0.941297,0.745,0.745,,0.715,0.715,0.715,0.1875,1.831335,,0.228257,15.939775,,
09/30/1994,168.190002,177.391998,169.391998,,7.078658,0.975259,0.755,0.755,,0.725,0.725,0.725,0.1875,0.805504,,0.231387,16.378214,,
12/31/1994,168.404006,179.539994,172.600006,,6.797757,0.91066,0.7,0.7,0.7,0.675,0.675,0.675,0.1875,1.375226,,0.277096,16.228438,,
03/31/1995,168.682007,178.641998,170.382004,,7.438925,0.869493,0.635,0.635,,0.615,0.615,0.615,0.2,1.332159,1.268913,0.214018,17.837119,,
06/30/1995,168.962006,182.313996,170.724,,7.794616,0.839097,0.65,0.65,0.65,0.62,0.62,0.62,0.2,0.683208,0.614278,0.220588,19.532924,,
09/30/1995,169.285996,186.828002,171.132004,,7.975516,1.040746,0.82,0.82,0.82,0.77,0.77,0.77,0.2,1.594518,1.508163,0.169311,20.581135,,
12/31/1995,167.951996,186.960006,170.953994,,8.461791,1.09227,0.89,0.89,0.89,0.835,0.835,0.835,0.2,1.762199,1.65954,0.15168,22.144715,,
03/31/1996,167.468002,180.908004,167.729996,,7.928761,1.058177,0.755,0.845,0.665,0.7,0.785,0.615,0.22,1.263203,1.226853,0.198504,21.968638,,
06/30/1996,166.89,180.132004,167.182006,,8.161608,1.034651,0.765,0.795,0.62,0.71,0.74,0.57,0.22,0.856121,0.810584,0.198688,22.08125,,
09/30/1996,166.320008,178.528,166.781998,,8.850823,0.695057,0.76,0.675,0.54,0.71,0.63,0.495,0.22,2.395828,2.32895,0.202297,23.189435,,
12/31/1996,166.395996,174.348007,167.084,,9.358365,1.393012,0.36,0.965,0.63,0.345,0.895,0.59,0.22,1.817792,1.784504,0.223647,23.965463,,
03/31/1997,166.36,183.896,169.01,,9.213674,1.450861,0.72,1.125,1.125,0.685,1.05,1.05,0.235,0.38038,0.286948,0.230723,23.351954,21.915166,
06/30/1997,167.482,504.724,459.222,,5.428969,0.851266,0.625,0.625,0.625,0.575,0.575,0.575,0.1175,0.380931,0.261381,0.324948,25.014031,23.547074,
09/30/1997,167.164,504.846,459.77,,5.055332,0.597149,0.46,0.46,0.46,0.425,0.425,0.425,0.1175,0.84333,0.765054,0.220927,26.499922,24.207969,
12/31/1997,233.160004,251.317993,230.32402,,10.435455,1.567331,1.095,1.095,0.855,1.01,1.01,0.795,0.235,0.645178,0.564118,0.485396,28.270041,25.617236,
03/31/1998,336.1,512.0,468.0,,4.965812,0.534188,0.41,0.41,0.41,0.385,0.385,0.385,0.125,0.021368,-0.014957,0.126888,14.291029,13.102392,
06/30/1998,235.848,235.0,235.0,,8.93617,-1.225532,-1.18,-0.84,-0.84,-1.18,-0.84,-0.84,0.25,-0.123404,-0.27234,0.547416,27.448692,24.907105,
09/30/1998,236.872,257.0,236.0,,8.15678,0.385593,0.27,0.42,0.42,0.27,0.41,0.41,0.25,1.016949,0.978814,0.546249,27.830212,25.288438,
12/31/1998,233.75,245.0,239.0,,6.857741,0.221757,0.41,0.39,0.53,0.4,0.38,0.51,0.25,-0.635983,-0.74477,0.624599,28.325134,25.792513,
03/31/1999,227.0,249.0,230.0,,8.582609,1.156522,0.7,0.84,0.66,0.66,0.8,0.64,0.26,0.334783,0.147826,0.651982,28.215859,25.656388,
06/30/1999,227.0,245.0,226.0,,8.840708,1.283186,0.89,0.97,0.77,0.84,0.91,0.72,0.26,-0.495575,-0.628319,0.555066,27.621145,25.092511,
09/30/1999,226.8,245.0,227.0,,8.176211,0.792952,1.43,0.61,0.67,1.34,0.58,0.64,0.26,0.863436,0.753304,0.771605,28.205467,25.943563,
12/31/1999,224.831,242.0,230.0,,7.569565,1.221739,0.6,0.98,0.67,0.57,0.93,0.64,0.26,-0.917391,-1.256522,0.733885,28.679319,26.415396,
03/31/2000,211.800003,237.0,220.0,,9.740909,2.363636,1.6,1.56,0.66,1.51,1.47,0.63,0.27,-0.854545,-0.922727,0.396601,30.98678,28.536355,
06/30/2000,213.0,230.0,212.0,,9.278302,1.419811,0.98,1.0,0.66,0.92,0.94,0.63,0.27,-1.113208,-1.287736,0.394366,31.361502,28.99061,
09/30/2000,218.0,232.0,217.0,,8.576037,1.456221,1.04,0.98,0.7,0.98,0.93,0.67,0.27,-0.175115,-0.285714,0.37156,32.09633,29.756881,
12/31/2000,218.308,228.0,218.0,,9.178899,1.211009,0.87,0.83,0.57,0.83,0.8,0.55,0.27,-0.463303,-0.518349,0.238196,32.880151,30.544002,
03/31/2001,214.699997,230.0,217.0,,9.963134,1.373272,0.91,0.95,0.78,0.87,0.9,0.75,0.28,-0.714286,-0.792627,0.246856,32.906381,30.470424,
06/30/2001,211.0,227.0,214.0,,10.107477,0.621495,0.47,0.43,0.4,0.45,0.41,0.39,0.28,0.985981,0.906542,0.445498,32.2891,29.829384,
09/30/2001,207.0,208.449005,208.449005,,10.674073,-4.207264,-3.16,-2.86,-2.62,-3.16,-2.86,-2.62,0.28,2.365087,2.278735,0.811594,28.748792,25.922705,
12/31/2001,207.624,206.162,206.162,,11.578273,-4.122971,-3.57,-3.49,-2.68,-3.57,-3.49,-2.68,0.28,2.124543,2.037233,0.727276,24.351713,21.028397,
03/31/2002,208.0,220.0,208.0,,11.139423,0.942308,0.65,0.69,0.79,0.63,0.67,0.76,0.29,0.461538,0.384615,0.889423,24.264423,20.5,
06/30/2002,208.0,208.1,208.1,,11.119654,-1.749159,-1.09,-1.07,-0.95,-1.09,-1.07,-0.95,0.29,-0.067275,-0.168188,0.798077,23.668269,19.793269,
09/30/2002,226.4,230.0,221.0,,10.393665,0.429864,0.27,0.29,0.53,0.27,0.29,0.52,0.29,1.597285,1.552036,1.894876,24.059187,19.832155,
12/31/2002,226.8,238.0,227.0,,8.806167,1.096916,1.06,1.09,0.84,1.02,1.05,0.81,0.29,-1.348018,-1.427313,1.388889,25.048501,20.582011,
03/31/2003,227.582,436.7,434.5,,8.29229,1.056387,0.78,0.78,0.77,0.78,0.78,0.77,0.29,2.054545,2.054545,1.230326,25.61714,21.126451,
06/30/2003,227.8,436.7,434.4,,8.630295,1.475599,1.02,1.02,0.99,0.99,0.99,0.96,0.29,2.159991,,0.776997,27.247586,22.673398,
09/30/2003,227.8,436.7,434.3,,8.625374,1.379231,0.98,0.98,0.98,0.98,,0.98,0.29,2.426894,2.426894,1.110623,27.181738,22.589991,
12/31/2003,228.393214,247.0,247.0,,9.408907,0.538462,0.21,0.26,0.49,0.2,0.26,0.49,0.29,1.712551,1.65587,0.656762,26.927245,14.51882,
