Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/20/2006,-1.839,-24.613,22.076,-26.6,,,-26.6,27.298,,23.526,-31.782,35.554,,61.131,-13.374,0,,-13.374,,,1.476,1.476,0,,,,,73.029,14.748,0,15.025,,,0.0,0.0,0.0,-0.277,74.04,-0.438,4.354,
01/10/2007,-35.927,-9.949,9.981,1.045,,,1.045,-37.004,,33.024,-39.153,-30.875,,5.154,-10.988,0,,-10.988,,,0.0,0.0,0,,,,,16.142,5.522,0,14.351,,,0.0,0.0,0.0,-8.829,-25.251,-0.2,0.608,
04/04/2007,76.253,17.829,15.275,2.96,,,2.96,40.189,12.119,-8.424,,36.494,,-20.949,-19.084,0,,-19.084,,,0.0,0.0,0,,,,,-1.865,-6.25,0,-6.25,,,0.0,0.0,0.0,0.0,49.054,23.022,6.77,
06/27/2007,-15.88,20.585,31.417,6.199,,17.026,-10.827,-74.081,,-64.385,,-9.696,,-15.233,-48.959,0,,-48.959,,,26.263,26.263,0,,,,,7.463,-52.327,0,-52.238,,,0.0,0.0,0.0,-0.089,-83.44,6.094,7.704,
09/19/2007,53.947,-0.79,17.46,3.744,,,3.744,33.533,,16.969,4.355,12.209,,-49.021,-43.86,0,,-43.86,,,0.0,0.0,0,,,,,-5.161,0.575,0,0.575,,,0.0,0.0,0.0,0.0,5.501,0.079,2.475,
01/09/2008,-1.726,4.071,26.503,9.555,,4.335,5.22,-41.855,,-27.935,,-13.92,,-103.827,-64.787,0,,-64.787,,,0.0,0.0,0,,,,,-39.04,-0.126,0,-0.126,,,0.0,0.0,0.0,0.0,-105.679,,,
04/02/2008,84.061,15.024,21.581,14.799,,10.468,4.331,32.657,17.56,-10.154,,25.251,,-5.042,-45.125,0,,-45.125,,,0.0,0.0,0,,,,,40.083,-2.942,0,-2.942,,,0.0,0.0,0.0,0.0,76.077,,,
06/25/2008,72.388,-5.493,22.916,0.011,,-1.585,1.596,54.954,-17.56,13.556,,58.958,,-49.975,-63.994,0,,-63.994,,,0.0,0.0,0,,,,,14.019,1.017,0,0.827,,,0.19,0.19,0.0,0.0,23.43,0.243,5.966,
09/17/2008,15.795,-2.27,24.029,3.649,3.435,-0.076,0.29,-9.613,,-0.167,-28.1,18.654,0.0,-32.207,-37.275,0,0.0,-37.275,-37.275,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.068,-22.935,0,-22.935,-20.742,-2.193,0.0,0.0,0.0,0.0,-39.347,,,
01/07/2009,20.669,16.102,29.363,-0.405,4.068,15.33,-19.803,-24.391,,-12.269,-1.373,-10.749,0.0,-51.147,-70.13,0,0.0,-70.13,-70.13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.983,13.606,0,13.606,15.974,-2.368,0.0,0.0,0.0,0.0,-16.872,,,
