Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2006,3456.962,138.106,137.294,0.812,417.933,417.933,,,,,,,285.354,,,,841.393,1189.38,,,0.0,1426.189,965.08,912.62,52.46,47.354,413.755,2615.569,,111.112,111.112,,,,57.976,,,,,,902.483,,,902.483,1071.571,3308.396,,,,,373.816,,,,,,373.816,3682.212,4753.783,387.452,2860.676,,,,-307.166,-4523.965,-1.524,-1584.527,287.706,-1296.821,3456.962,
06/30/2006,3310.549,53.856,53.856,0.0,404.699,404.699,,0.0,0.0,0.0,0.0,0.0,265.304,,,,723.859,1153.879,,,0.0,1432.811,964.228,913.82,50.408,55.721,412.862,2586.69,,100.206,100.206,,,,60.164,,,,,,877.346,,,877.346,1037.716,3273.843,3099.233,174.61,174.61,,338.467,,,,,,338.467,3612.31,4650.026,387.403,2855.324,,,,-307.302,-4566.401,-1.41,-1632.386,292.909,-1339.477,3310.549,
09/30/2006,3285.144,34.167,34.167,0.0,414.074,414.074,,0.0,0.0,0.0,0.0,0.0,270.371,,,,718.612,1124.83,,,0.0,1441.702,968.153,921.373,46.78,58.607,414.942,2566.532,,117.086,117.086,,,,59.285,,,,,,962.212,,,962.212,1138.583,3254.164,,,,,302.773,,,,,,302.773,3556.937,4695.52,387.403,2852.986,,,,-307.868,-4642.545,0.618,-1709.406,299.03,-1410.376,3285.144,
12/31/2006,3360.8,64.6,27.1,37.5,213.9,213.9,,0.0,0.0,0.0,0.0,0.0,601.8,,,,880.3,810.5,1460.9,-650.4,0.0,1670.0,436.5,406.1,30.4,,1233.5,2480.5,,66.9,66.9,,,,36.3,,,,,,1158.4,,,1158.4,1261.6,3343.1,,,,,282.2,,,,,,282.2,3625.3,4886.9,387.4,2850.4,,,,-322.7,-4713.8,1.5,-1797.2,271.1,-1526.1,3360.8,
03/31/2007,3237.8,42.6,26.2,16.4,224.3,224.3,,0.0,0.0,0.0,0.0,0.0,582.3,,,,849.2,792.3,,,0.0,1596.3,435.6,406.1,29.5,39.6,1121.1,2388.6,,62.5,62.5,,,,44.0,27.7,16.3,16.3,,,1140.6,,,1140.6,1247.1,3294.5,3141.7,152.8,152.8,,298.3,,,,,,298.3,3592.8,4839.9,387.4,2848.0,,,,-323.4,-4774.7,-1.9,-1864.6,262.5,-1602.1,3237.8,
06/30/2007,2402.4,37.8,21.0,16.8,215.4,215.4,,0.0,0.0,0.0,0.0,0.0,429.7,,,,682.9,766.0,,,0.0,953.5,434.4,406.0,28.4,40.1,479.0,1719.5,,58.7,58.7,,,,40.7,,,,,,1046.2,,,1046.2,1145.6,2360.0,2241.8,118.2,118.2,,188.4,,,,,,188.4,2548.4,3694.0,387.4,2843.3,,,,-324.2,-4306.4,-1.5,-1401.4,109.8,-1291.6,2402.4,
09/30/2007,2528.9,33.4,15.9,17.5,229.7,229.7,,,,,,,405.8,,,,668.9,755.0,,,,1105.0,433.2,406.0,27.2,41.3,630.5,1860.0,,50.1,50.1,,,,40.9,,,,,,928.5,,,928.5,1019.5,2351.9,2236.9,115.0,115.0,,182.0,,,,,,182.0,2533.9,3553.4,387.4,2839.6,,,,-325.0,-4018.9,-1.2,-1118.1,93.6,-1024.5,2528.9,
12/31/2007,2050.6,48.7,19.8,28.9,220.2,220.2,,0.0,0.0,0.0,0.0,0.0,368.5,,,,637.4,744.4,1389.7,-645.3,0.0,668.8,432.2,406.1,26.1,,236.6,1413.2,,49.1,49.1,,,,79.7,,,,,,841.7,,,841.7,970.5,1974.4,,,,,175.6,,,,,,175.6,2150.0,3120.5,387.4,2821.3,,,,-310.4,-4064.6,-0.8,-1167.1,97.2,-1069.9,2050.6,
03/31/2008,2012.0,89.7,60.4,29.3,240.9,240.9,,,,,,,366.9,,,,697.5,693.9,1345.1,-651.2,,620.6,431.1,406.1,25.0,42.7,146.8,1314.5,,46.0,46.0,,,,61.6,,,,,,804.3,,,804.3,911.9,1989.0,1871.3,117.7,117.7,,176.3,,,,,,176.3,2165.3,3077.2,387.4,2818.2,,,,-310.6,-4044.8,-1.1,-1150.9,85.7,-1065.2,2012.0,
06/30/2008,1965.1,96.4,67.2,29.2,240.9,240.9,,,,,,,341.1,,,,678.4,681.5,1337.3,-655.8,0.0,605.2,429.7,406.1,23.6,41.7,133.8,1286.7,,47.7,47.7,,,,56.7,,,,,,735.4,,,735.4,839.8,1827.4,1713.2,114.2,114.2,,170.1,,,,,,170.1,1997.5,2837.3,387.4,2964.7,,,,-310.7,-4000.7,-0.8,-960.1,87.9,-872.2,1965.1,
09/30/2008,1980.5,52.7,24.9,27.8,226.0,226.0,,,,,,,363.5,,,,642.2,676.9,1332.0,-655.1,,661.4,458.9,414.4,44.5,42.6,159.9,1338.3,,40.6,40.6,,,,56.0,-65.4,121.4,121.4,,,763.5,,,763.5,860.1,1820.8,,,,,173.7,,,,,,173.7,1994.5,2854.6,387.4,2960.7,,,,-311.4,-3994.1,-1.4,-958.8,84.7,-874.1,1980.5,
12/31/2008,1998.2,52.4,32.1,20.3,234.9,234.9,,0.0,0.0,0.0,0.0,0.0,395.4,,,,682.7,662.1,1319.4,-657.3,0.0,653.4,457.5,414.7,42.8,36.7,159.2,1315.5,,45.5,45.5,,,,23.6,0.9,22.7,22.7,,,677.1,,,677.1,746.2,1789.6,1696.4,93.2,93.2,,162.2,,,,,,162.2,1951.8,2698.0,387.4,2957.5,,,,-311.5,-3812.2,-3.2,-782.0,82.2,-699.8,1998.2,
03/31/2009,1921.7,110.7,90.7,20.0,241.4,241.4,0.0,0.0,0.0,0.0,0.0,0.0,302.4,,,302.4,654.5,670.5,,,0.0,596.7,455.7,414.7,41.0,37.6,103.4,1267.2,,433.7,44.0,,,389.7,21.7,0.0,16.2,16.2,,5.5,252.6,,,252.6,708.0,1706.4,1549.0,157.4,157.4,,163.9,,,,,,163.9,1870.3,2578.3,387.4,2954.8,1.0,2953.8,,-312.0,-3767.3,-3.9,-741.0,84.4,-656.6,1921.7,
06/30/2009,1888.4,71.0,49.8,21.2,244.4,244.4,0.0,0.0,0.0,0.0,0.0,0.0,312.8,,,312.8,628.2,671.4,,,0.0,588.8,453.9,414.7,39.2,27.8,107.1,1260.2,,389.9,47.8,,,342.1,21.8,0.0,,,,21.8,294.4,,,294.4,706.1,1680.1,1669.3,10.8,10.8,,165.1,,,,,,165.1,1845.2,2551.3,387.4,2951.2,1.0,2950.2,,-312.1,-3772.8,0.5,-745.8,82.9,-662.9,1888.4,
09/30/2009,1754.4,125.0,117.3,7.7,216.2,216.2,0.0,0.0,0.0,0.0,0.0,0.0,143.1,,,143.1,484.3,671.5,,,0.0,598.6,452.4,414.7,37.7,27.6,118.6,1270.1,,420.4,50.6,,,369.8,21.9,0.0,,,,21.9,6.1,,,6.1,448.4,1674.8,1569.9,104.9,104.9,,165.7,,,,,,165.7,1840.5,2288.9,387.4,2889.4,1.0,2888.4,,-137.0,-3756.0,0.9,-615.3,80.8,-534.5,1754.4,
12/31/2009,1681.5,83.6,80.9,2.7,219.7,219.7,0.0,0.0,0.0,0.0,0.0,0.0,122.7,0.0,,122.7,426.0,664.8,1374.5,-709.7,0.0,590.7,453.8,416.4,37.4,29.3,107.6,1255.5,,128.1,50.2,0.0,0.0,77.9,21.5,0.0,,,,21.5,241.6,0.0,0.0,241.6,391.2,1641.0,1641.0,,,,159.5,0.0,0.0,0.0,0.0,33.2,126.3,1800.5,2191.7,387.4,2880.9,1.0,2879.9,,-137.5,-3717.4,0.0,-586.6,76.4,-510.2,1681.5,
03/31/2010,1716.1,116.8,116.8,0.0,234.1,234.1,0.0,0.0,0.0,0.0,0.0,0.0,132.5,,,132.5,483.4,662.0,,,0.0,570.7,452.1,416.4,35.7,33.4,85.2,1232.7,,371.3,47.2,,,324.1,21.5,0.0,,,,21.5,0.0,,,0.0,392.8,1635.8,1635.8,,,,162.0,,,,,,162.0,1797.8,2190.6,387.4,2878.8,1.0,2877.8,,-139.2,-3676.7,-2.8,-552.5,78.0,-474.5,1716.1,
06/30/2010,1756.1,172.6,172.6,0.0,224.8,224.8,0.0,0.0,0.0,0.0,0.0,0.0,106.5,,,106.5,503.9,664.5,,,0.0,587.7,459.2,423.7,35.5,31.0,97.5,1252.2,,369.9,47.3,,,322.6,21.5,0.0,,,,21.5,0.0,,,0.0,391.4,1633.0,1633.0,,,,161.6,,,,,,161.6,1794.6,2186.0,387.4,2878.6,1.0,2877.6,,-141.5,-3629.4,-4.0,-508.9,79.0,-429.9,1756.1,
09/30/2010,1796.9,190.5,190.5,0.0,215.2,215.2,0.0,0.0,0.0,0.0,0.0,0.0,108.6,,,108.6,514.3,683.7,,,0.0,598.9,474.1,428.9,45.2,31.6,93.2,1282.6,,373.8,49.3,,,324.5,16.2,0.0,,,,16.2,0.0,,,0.0,390.0,1639.1,1639.1,,,,162.7,,,,,,162.7,1801.8,2191.8,387.4,2875.6,1.0,2874.6,,-141.7,-3597.6,1.3,-475.0,80.1,-394.9,1796.9,
12/31/2010,2372.1,66.5,48.3,18.2,206.7,206.7,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,679.3,104.9,406.2,632.9,1307.2,-674.3,0.0,1333.0,478.8,420.3,58.5,30.7,144.2,1965.9,,143.1,44.6,0.0,21.5,77.0,14.5,0.0,,,,14.5,201.7,0.0,0.0,201.7,359.3,1496.8,1496.8,,,,130.8,0.0,0.0,0.0,0.0,,130.8,1627.6,1986.9,387.4,2874.5,1.0,2873.5,,-141.8,-2818.4,0.5,302.2,83.0,385.2,2372.1,
