Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Other Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,249.600998,-40.331001,332.93399,24.783001,566.987,-367.328003,-57.743999,-83.112,58.803001,-16.438999,0,42.364002,-11.934,30.43,0,0.0,30.43,-2.542,27.888,27.888002,,0.3,0.3,92.323997,,,,,
06/30/1990,278.48999,-59.064999,352.622009,33.158001,605.205017,-400.544998,-58.764999,-98.311996,47.583,-20.763,0,26.82,-1.867,24.952999,0,0.0,24.952999,-2.622,22.330999,22.331,,0.245,0.245,91.146004,,,,,
09/30/1990,280.501007,-18.756001,343.21701,32.131001,637.093018,-408.27301,-61.205002,-85.666,81.948997,-12.868,0,69.080997,-18.072001,51.008999,0,0.0,51.008999,-2.575,48.433999,48.433997,,0.525,0.525,92.255997,,,,,
12/31/1990,362.877014,-4.647,372.165985,37.627998,768.023987,-492.690994,-75.927002,-97.030998,102.375,-15.928,0,86.447,-26.646,59.800999,0,0.0,59.800999,-2.693,57.107999,57.108,,0.625,0.625,91.372002,,,,,
03/31/1991,240.360001,-4.216,363.044006,32.870998,632.059021,-369.541,-67.540001,-93.902,101.075996,-21.806,0,79.269997,-22.924999,56.345001,0,0.0,56.345001,-2.493,53.852001,53.851997,,0.605,0.605,89.174004,,,,,
06/30/1991,249.565994,4.368,366.484985,41.069,661.487976,-364.218994,-76.005997,-100.257004,121.005997,-32.644001,0,88.361996,-23.827,64.535004,0,0.0,64.535004,-2.35,62.185004,62.184996,,0.695,0.695,89.473999,,,,,
09/30/1991,259.204987,-7.742,366.894012,36.735001,655.09198,-372.037003,-65.732002,-102.111,115.211998,-27.271,0,87.940998,-25.236,62.705002,0,0.0,62.705002,-2.059,60.646002,60.645998,,0.68,0.68,89.185997,,,,,
12/31/1991,306.873993,-11.19,383.44101,42.891998,722.017029,-389.763,-83.987,-129.214005,119.053001,-28.690001,0,90.363001,-23.716,66.647003,0,0.0,66.647003,-3.481,63.166003,63.166001,,0.685,0.685,92.213997,,,,,
03/31/1992,315.279999,-11.258,369.106995,37.877998,711.007019,-390.621002,-79.380997,-119.455002,121.550003,-31.295,0,90.255003,-24.584,65.670998,0,0.0,65.670998,-1.688,63.982998,63.983003,,0.635,0.635,100.438004,,,,,
06/30/1992,305.38501,3.517,365.998993,40.855,715.755981,-371.37999,-83.285004,-119.653,141.438004,-32.972,0,108.466003,-30.84,77.625999,0,0.0,77.625999,-1.687,75.938999,75.939003,,0.755,0.755,100.472,,,,,
09/30/1992,282.920013,14.373,354.479004,55.893002,707.664978,-347.815002,-79.155998,-126.5,154.194,-28.521,0,125.673,-36.820999,88.851997,0,0.0,88.851997,-1.688,87.163997,87.164001,,0.865,0.865,100.561996,,,,,
