Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1995,,336,152,79,-1268,-701,,-62,,,,
06/30/1995,,331,160,-33,-1622,-1164,,-77,,,,
09/30/1995,,357,195,-408,-522,-378,,-141,,,,
12/31/1995,,126,277,419,415,1237,-102.0,-102,,1135.0,,
03/31/1996,,340,238,12,652,1242,,-79,,,,
06/30/1996,,361,247,-442,895,1061,,-69,,,,
09/30/1996,,358,247,-28,1240,1817,,-58,,,,
12/31/1996,,377,258,117,522,1274,-80.0,-80,,1194.0,,
03/31/1997,,380,248,-65,-455,108,,-49,,,,
06/30/1997,,378,242,-542,717,795,,-39,,,,
09/30/1997,,385,246,-465,700,866,,-57,,,,
12/31/1997,,382,223,-58,412,959,,-125,,,,
03/31/1998,,383,226,-9,880,1480,,-86,,,,
06/30/1998,,408,254,-120,-194,348,,-35,,,,
