Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1990,166.505661,168.877304,168.877304,,11.668459,0.244077,0.135,0.135,,0.135,0.135,0.135,0.1625,2.930512,,2.929576,13.000693,,
06/30/1990,166.998962,168.858704,168.858704,,11.642888,0.357163,0.385,0.385,,0.385,0.385,0.385,0.1625,3.740222,,3.322242,13.44076,,
09/30/1990,165.971527,176.430298,176.430298,,11.375025,0.338774,0.215,0.215,,0.215,0.215,0.215,0.1625,3.398328,,3.343483,12.980106,,
12/31/1990,165.983871,175.992004,175.992004,,14.201651,0.29719,0.335,0.335,,0.335,0.335,0.335,0.1625,-4.200463,,4.766776,13.495027,,
03/31/1991,166.094513,175.077499,175.077499,,12.159215,0.321104,0.2225,0.2225,,0.2225,0.2225,0.2225,0.17,0.949128,,3.922387,13.89934,,
06/30/1991,165.409622,178.491241,178.491241,,12.505258,0.640009,0.4375,0.4375,,0.4375,0.4375,0.4375,0.17,2.002261,,4.973229,13.867863,,
09/30/1991,166.229263,185.172562,185.172562,,12.085122,0.574097,0.4025,0.4025,,0.4025,0.4025,0.4025,0.17,2.090699,,5.865411,14.254157,,
12/31/1991,166.34874,185.052002,185.052002,,14.619296,0.676567,0.0875,0.0875,,0.0875,0.0875,0.0875,0.17,2.371252,,3.252486,14.81457,,
03/31/1992,166.763763,186.518799,186.518799,,10.320102,0.769317,0.5425,0.5425,,0.5425,0.5425,0.5425,0.1825,0.940039,,2.754921,14.522046,,
06/30/1992,167.300995,187.41925,187.41925,,10.369228,0.423382,0.37,0.37,,0.37,0.37,0.37,0.1825,1.19452,,3.242856,14.781884,,
09/30/1992,167.859344,188.231995,188.231995,,11.356279,0.847916,0.61,0.61,,0.61,0.61,0.61,0.1825,0.7811,,2.316243,15.449506,,
12/31/1992,168.283996,188.231996,188.231996,,10.775012,0.510253,0.41,0.41,0.41,0.41,0.41,0.41,0.1825,1.722661,,6.036522,14.945342,,
03/31/1993,187.683594,200.307999,200.307999,,9.680127,0.440746,-0.14,0.3425,,-0.14,0.3425,0.3425,0.19,1.334615,,3.974423,15.254796,,
