Date,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Total Capital,Total Debt/Total Capital,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,-665.0,305.0,0.0,6011.0,11740.0,51.201022,,
06/30/1990,-444.0,242.0,0.0,5901.0,11670.0,50.565553,,
09/30/1990,-409.0,117.0,0.0,6087.0,11807.0,51.554163,,
12/31/1990,-263.0,108.0,0.0,5665.0,11534.0,49.115658,,
03/31/1991,-228.0,106.0,0.0,5911.0,11447.0,51.637984,,
06/30/1991,-214.0,106.0,0.0,6125.0,11637.0,52.63384,,
09/30/1991,-216.0,105.0,0.0,6685.0,12118.0,55.165869,,
12/31/1991,-279.0,105.0,0.0,6517.0,11504.0,56.649861,,
03/31/1992,-95.0,105.0,0.0,6231.0,11693.0,53.288292,,
06/30/1992,-137.0,105.0,0.0,6014.0,11810.0,50.922947,,
09/30/1992,-856.0,105.0,0.0,7190.0,12898.0,55.745077,,
12/31/1992,-57.0,105.0,0.0,6349.0,10058.0,63.123881,,
03/31/1993,-109.0,112.0,0.0,6142.0,10181.0,60.328062,,
06/30/1993,-34.0,112.0,0.0,6144.0,9803.0,62.674691,,
09/30/1993,,,,,,,,
12/31/1993,,,,,,,,
03/31/1994,,,,,,,,
06/30/1994,,,,,,,,
09/30/1994,,,,,,,,
12/31/1994,,,,,,,,
03/31/1995,,,,,,,,
06/30/1995,,,,,,,,
09/30/1996,,,,,,,,
09/19/2020,-34.0,112.0,0.0,6144.0,,,,
