Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1999,1921.018433,2034.600037,1941.400452,,6.610692,3.936849,1.412382,0.9,0.9,0.9,0.86,0.86,0.86,0.273333,,,41.038128,17.270006,13.677641,
06/30/1999,1899.709534,2019.100525,1926.400452,,6.606103,4.002283,1.523048,0.97,0.97,0.945333,0.93,0.93,0.906667,0.273333,,,45.515379,17.260007,13.448372,
12/31/1999,1850.484009,1971.400452,1880.100037,,7.410776,4.488059,1.797777,1.16,1.16,1.146667,1.1,1.1,1.086667,0.273333,,,58.413907,18.067705,12.862581,
03/31/2000,1837.424927,1945.099548,1852.999512,,7.984352,4.732327,1.658932,1.06,1.06,1.06,1.01,1.01,1.01,0.32,-6.412846,,52.463096,18.490007,13.12489,
06/30/2000,1829.755005,1939.199951,1853.099976,,7.813394,4.271221,1.450003,0.87,0.87,0.93,0.83,0.83,0.89,0.32,7.278614,,54.131837,19.190001,13.71823,
09/30/2000,1901.099976,1983.400024,1893.300049,,7.792743,4.05324,1.110759,0.73,0.73,0.74,0.69,0.69,0.7,0.32,-9.833095,,51.741624,20.977329,12.730525,
12/31/2000,1928.49,2007.1,1924.8,,7.752494,3.876247,0.615648,0.36,0.36,0.39,0.34,0.34,0.37,0.32,1.733167,,52.776525,21.165783,12.955732,
03/31/2001,1984.235,2032.2,1966.6,,7.635005,4.196583,1.12275,0.6,0.61,0.72,0.58,0.59,0.7,0.34,-5.296451,-5.296451,51.151703,21.168864,16.487462,
06/30/2001,1989.184,2033.6,1978.4,,6.348059,3.473008,0.537303,0.18,0.18,0.34,0.18,0.18,0.33,0.34,-2.573797,-2.573797,48.979883,20.813057,16.146822,
09/30/2001,1972.872,2020.9,1975.3,,6.277021,3.720448,0.78216,0.22,0.22,0.52,0.22,0.22,0.51,0.34,-10.738622,-10.738622,56.079158,21.149877,13.707428,
12/31/2001,1973.384,2007.4,1969.6,,5.308692,3.339257,0.138607,-0.18,-0.18,0.12,-0.18,-0.18,0.12,0.34,17.065902,17.065902,50.203103,20.315357,12.538361,
03/31/2002,1990.166,2005.8,1978.2,,5.538874,3.840865,0.880599,0.49,0.49,0.58,0.48,0.48,0.57,0.34,-6.348195,-6.348195,54.792917,20.160127,15.256516,
06/30/2002,1993.368,2016.0,1982.6,,5.644104,3.820236,0.901846,0.51,0.51,0.59,0.5,0.5,0.58,0.34,-10.488752,-10.488752,52.24073,20.932914,16.002565,
09/30/2002,1995.862,2005.8,1986.0,,5.300604,3.497986,0.247231,0.01,0.01,0.16,0.01,0.01,0.16,0.34,12.634945,12.634945,47.775848,21.257983,16.369869,
12/31/2002,1998.706,1935.0,1935.0,,5.528682,3.873385,0.571576,-0.2,-0.2,0.36,-0.2,-0.2,0.36,0.34,-8.720413,-8.720413,47.014919,20.661868,15.822737,
03/31/2003,2030.038,2021.9,1999.8,,5.727573,4.20342,1.061106,0.69,0.69,0.69,0.69,0.69,0.69,0.34,8.919892,,48.712881,20.726213,15.986893,
06/30/2003,2035.112,2050.6,2005.6,,5.904467,4.504388,1.429497,0.9,0.9,0.93,0.89,0.89,0.92,0.34,-0.16055,-0.16055,50.876315,21.528053,16.814308,
09/30/2003,2039.17,2068.2,2012.2,,5.178909,3.866415,1.207633,0.8,0.8,0.8,0.78,0.78,0.78,0.34,10.270351,10.270351,57.836277,21.551906,16.881869,
