Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,69,,-909.0,,,0.757576,,0.324035,,
06/30/2008,144,,2035.0,,,1.604636,,0.591692,,
09/30/2008,1589,,104.0,,,10.341013,,4.599398,,
12/31/2008,3758,3758.0,35.0,,35.0,21.663688,21.663688,9.823809,9.823809,
03/31/2009,2331,2331.0,,763.0,763.0,12.939936,12.939936,6.290479,6.290479,
06/30/2009,1632,1632.0,,785.0,785.0,9.272727,9.272727,4.461576,4.461576,
09/30/2009,1250,1250.0,,800.0,800.0,7.193831,7.193831,3.45447,3.45447,
12/31/2009,1117,1117.0,,812.0,812.0,6.446958,6.446958,3.080954,3.080954,
03/31/2010,1403,1403.0,,846.0,846.0,7.88158,7.88158,3.828939,3.828939,
