Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,660.0,-461.0,199.0,11.0,171.0,1.0,382.0,-35.0,347.0,-276.0,71,0.0,71,-6.0,65,0.0,0.0,65,-11.0,,54,,,54.0,,0.208333,0.208333,269.322006,0.208333,0.208333,0.208333,269.322006,
06/30/1990,676.0,-469.0,207.0,2.0,165.0,50.0,424.0,-60.0,364.0,-288.0,76,74.0,150,-8.0,142,0.0,0.0,142,-14.0,,128,,,128.0,,0.466667,0.466667,273.935989,0.466667,0.466667,0.466667,273.935989,
09/30/1990,671.0,-443.0,228.0,-2.0,162.0,10.0,398.0,-45.0,353.0,-282.0,71,0.0,71,-5.0,66,0.0,0.0,66,-13.0,,53,,,53.0,,0.198333,0.198333,271.866005,0.198333,0.198333,0.198333,271.866005,
12/31/1990,648.0,-415.0,233.0,5.0,164.0,9.0,411.0,-175.0,236.0,-335.0,-99,0.0,-99,0.0,-99,0.0,0.0,-99,-12.0,,-111,,,-111.0,-0.42,-0.42,-0.42,264.078,-0.42,-0.42,-0.42,264.078,
03/31/1991,608.0,-373.0,235.0,3.0,182.0,4.0,424.0,-45.0,379.0,-304.0,75,0.0,75,-7.0,68,0.0,0.0,68,-12.0,,56,,,56.0,,0.208333,0.208333,273.318008,0.208333,0.208333,0.208333,273.318008,
06/30/1991,585.0,-346.0,239.0,2.0,190.0,0.0,431.0,-50.0,381.0,-304.0,77,0.0,77,-7.0,70,0.0,0.0,70,-12.0,,58,,,58.0,,0.2,0.2,292.494003,0.2,0.2,0.2,292.494003,
09/30/1991,562.0,-318.0,244.0,43.0,182.0,1.0,470.0,-80.0,390.0,-313.0,77,0.0,77,-7.0,70,0.0,0.0,70,-13.0,,57,,,57.0,,0.183333,0.183333,315.797997,0.183333,0.183333,0.183333,315.797997,
12/31/1991,552.0,-292.0,260.0,45.0,189.0,3.0,497.0,-75.0,422.0,-343.0,79,0.0,79,-7.0,72,0.0,0.0,72,-12.0,,60,,,60.0,0.196667,0.196667,0.196667,305.565012,0.196667,0.196667,0.196667,305.565012,
03/31/1992,539.0,-259.0,280.0,49.0,198.0,-2.0,525.0,-60.0,465.0,-367.0,98,0.0,98,-12.0,86,0.0,0.0,86,-13.0,,73,,,73.0,,0.226667,0.226667,326.400009,0.226667,0.226667,0.226667,326.400009,
06/30/1992,507.0,-226.0,281.0,4.0,199.0,3.0,487.0,-50.0,437.0,-333.0,104,0.0,104,-14.0,90,0.0,0.0,90,-12.0,,78,,,78.0,,0.235,0.235,331.841995,0.235,0.235,0.235,331.841995,
09/30/1992,484.0,-192.0,292.0,83.0,200.0,4.0,579.0,-40.0,539.0,-350.0,189,-18.0,171,-15.0,156,0.0,0.0,156,-14.0,,142,,,142.0,,0.428333,0.428333,338.166,0.428333,0.428333,0.428333,338.166,
12/31/1992,470.0,-169.0,301.0,4.0,229.0,1.0,535.0,-35.0,500.0,-363.0,137,-18.0,119,-14.0,105,0.0,0.0,105,-12.0,,93,,,93.0,0.285,0.285,0.285,326.717994,0.285,0.285,0.285,326.717994,
03/31/1993,,,,91.0,314.0,,405.0,-35.0,370.0,-410.0,283,-175.0,108,-49.0,59,0.0,0.0,59,-15.0,,44,,,44.0,,0.078333,0.078333,561.701981,0.078333,0.078333,0.078333,213.419998,
06/30/1993,,,,-8.0,376.0,,368.0,-35.0,333.0,-445.0,208,0.0,208,-84.0,124,0.0,0.0,124,-16.0,,108,,,108.0,,0.188333,0.188333,573.449982,0.188333,0.188333,0.188333,573.449982,
09/30/1993,515.0,-172.0,343.0,23.0,370.0,33.0,769.0,-30.0,739.0,-520.0,219,0.0,219,-80.0,139,0.0,0.0,139,-16.0,,123,,,123.0,,0.208333,0.208333,590.400009,0.208333,0.208333,0.208333,590.400009,
12/31/1993,,,,10.0,429.0,,439.0,-25.0,414.0,-534.0,223,0.0,223,-85.0,138,0.0,0.0,138,-16.0,,122,,,122.0,0.21,0.21,0.21,580.949982,0.21,0.21,0.21,580.949982,
03/31/1994,522.0,-155.0,367.0,2.0,436.0,0.0,805.0,-20.0,785.0,-530.0,255,0.0,255,-99.0,156,0.0,0.0,156,-15.0,,141,,,141.0,,0.24,0.24,594.167999,0.24,0.24,0.24,594.167999,
