Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1998,190853.0,12977.0,483.0,,,48141.0,,,,,53289.0,,,46621.0,,,,,,,5231.0,105141.0,-3066.0,102075.0,3320.0,,9640.0,,,,,0.0,14217.0,,43027.0,87121.0,54715.0,32406.0,0.0,130148.0,15626.0,,,,,,18046.0,,,,,,,,,,7261.0,171081.0,461.0,10596.0,,,-349.0,,9064.0,19772.0,0.0,19772.0,190853.0,
06/30/1998,186084.0,12083.0,1456.0,,,43747.0,,,,,54976.0,,,45838.0,,,,,,,5487.0,106301.0,-3098.0,103203.0,3290.0,,9737.0,,,,,0.0,12568.0,,41207.0,86038.0,54231.0,31807.0,0.0,127245.0,13738.0,,,,,,17824.0,,,,,,,,,,,,462.0,10540.0,,,-343.0,,9499.0,20158.0,0.0,20158.0,,
09/30/1998,195863.0,10985.0,2038.0,,,53980.0,,,,,56536.0,,,45162.0,,,,,,,5994.0,107692.0,-3170.0,104522.0,3279.0,,9313.0,,,,,163.0,11583.0,,40951.0,89000.0,54961.0,34039.0,0.0,129951.0,17570.0,,,,,,19168.0,,,,,,,,,,8616.0,175305.0,462.0,10647.0,,,-561.0,,10010.0,20558.0,0.0,20558.0,195863.0,
12/31/1998,202475.0,12731.0,1517.0,,,57089.0,,,,,57517.0,,,44097.0,,,,,,,6380.0,107994.0,-3134.0,104860.0,3130.0,,9174.0,,,,,0.0,13974.0,,46732.0,90056.0,58058.0,31998.0,0.0,136788.0,23576.0,,,,,,12815.0,,,,,,,,,,8537.0,181716.0,463.0,11442.0,,,-651.0,,9505.0,20759.0,0.0,20759.0,202475.0,
03/31/1999,201430.0,11364.0,869.0,,,53148.0,,,,,57563.0,,,43900.0,,,,,,,6645.0,108108.0,-3161.0,104947.0,3130.0,,9184.0,7747.0,1437.0,,,0.0,18788.0,,42322.0,90018.0,59019.0,30999.0,0.0,132340.0,17270.0,,,,,,21148.0,,,,,,,,,,,,459.0,11510.0,,,-522.0,9525.0,304.0,21276.0,0.0,21276.0,,
06/30/1999,205421.0,12633.0,1692.0,,,51683.0,,,,,59390.0,,,45381.0,,,,,,,6875.0,111646.0,-3165.0,108481.0,3141.0,,8979.0,7598.0,1381.0,,,0.0,18812.0,,43708.0,88834.0,58030.0,30804.0,0.0,132542.0,20155.0,,,,,,22053.0,,,,,,,,,,,,460.0,11541.0,,,-643.0,10028.0,-11.0,21375.0,0.0,21375.0,,
09/30/1999,207060.0,12011.0,1556.0,,,51417.0,,,,,60815.0,,,46602.0,,,,,,,7292.0,114709.0,-3167.0,111542.0,3124.0,,8954.0,7620.0,1334.0,,,0.0,18456.0,,41872.0,89685.0,58377.0,31308.0,0.0,131557.0,19248.0,,,,,,25696.0,,,,,,,,,,,,460.0,11546.0,,,-690.0,10625.0,241.0,22182.0,0.0,22182.0,,
12/31/1999,241053.0,14118.0,1722.0,,,43911.0,,,,,70237.0,,,52877.0,,,,,,,27611.0,150725.0,-3344.0,147381.0,3372.0,,9345.0,8046.0,1299.0,,,0.0,21204.0,,45520.0,89792.0,58874.0,30918.0,0.0,145918.0,40715.0,30.0,30.0,,,40685.0,18813.0,0.0,0.0,,18813.0,,,,,,11736.0,217182.0,271.0,12107.0,,,-1831.0,12565.0,759.0,23871.0,0.0,23871.0,241053.0,
03/31/2000,245567.0,13003.0,3209.0,,,54617.0,,,,,72228.0,,,55564.0,,,,,,,11296.0,139088.0,-3406.0,135682.0,3285.0,,9955.0,8692.0,1263.0,,,0.0,25816.0,,48491.0,106577.0,66917.0,39660.0,0.0,155068.0,24964.0,,,,,,29191.0,,,,,,,,,,10986.0,220209.0,263.0,12111.0,,,-1670.0,13085.0,1569.0,25358.0,0.0,25358.0,245567.0,
