Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1989,23.202,,-13.933,,9.269,,-6.846,,,,,,2.423,0.246,,,,,0.0,-0.246,2.669,-0.667,,2.002,0.0,,,2.002,0.0,2.002,0,,2.002,2.002,,6.464,0.3125,0.3125,,6.464,0.3125,0.3125,0.3125,
09/29/1989,26.497999,,-15.359,,11.138999,,-7.201,,,,,,3.938,0.246,,,,,0.0,-0.246,4.184,-1.151,,3.033,0.0,,,3.033,0.0,3.033,0,,3.033,3.033,,6.7864,0.45,0.45,,6.7864,0.45,0.45,0.45,
12/29/1989,28.979,,-16.535999,,12.443001,,-7.522,,,,,,4.921,0.41,,,,,0.0,-0.41,5.331,-1.467,,3.864,0.0,,,3.864,0.0,3.864,0,,3.864,3.864,,6.9088,0.5625,0.5625,,6.9088,0.5625,0.5625,0.5625,
03/31/1990,30.601999,,-17.5,,13.101999,,-8.024,,,,,,5.078,0.792,,,,,0.0,-0.792,5.87,-1.614,,4.256,0.0,,,4.256,0.0,4.256,0,,4.256,4.256,,7.0368,0.55,0.55,0.55,7.0368,0.55,0.55,0.55,
06/29/1990,32.453999,,-18.025999,,14.427999,,-9.208,,,,,,5.22,0.941,,,,,0.0,-0.941,6.161,-1.694,,4.467,0.0,,,4.467,0.0,4.467,0,,4.467,4.467,,8.372,0.5375,0.5375,,8.372,0.5375,0.5375,0.5375,
09/28/1990,35.181999,,-19.599001,,15.582998,,-10.178,,,,,,5.405,0.911,,,,,0.0,-0.911,6.316,-1.863,,4.453,0.0,,,4.453,0.0,4.453,0,,4.453,4.453,,8.3544,0.5375,0.5375,,8.3544,0.5375,0.5375,0.5375,
12/28/1990,30.535,,-18.659,,11.875999,,-10.699,,,,,,1.177,0.947,,,,,0.0,-0.947,2.124,-0.626,,1.498,0.0,,,1.498,0.0,1.498,0,,1.498,1.498,,8.1224,0.1875,0.1875,,8.1224,0.1875,0.1875,0.1875,
03/31/1991,30.694,,-18.461,,12.233,,-10.647,,,,,,1.586,0.948,,,,,0.0,-0.948,2.534,-0.748,,1.786,0.0,,,1.786,0.0,1.786,0,,1.786,1.786,,7.7992,0.225,0.225,0.225,7.7992,0.225,0.225,0.225,
06/28/1991,29.709999,,-16.406,,13.303999,,-11.062,,,,,,2.242,0.815,,,,,0.0,-0.815,3.057,-0.764,,2.293,0.0,,,2.293,0.0,2.293,0,,2.293,2.293,,8.1104,0.2875,0.2875,,8.1104,0.2875,0.2875,0.2875,
09/27/1991,33.516998,,-18.791,,14.725998,,-12.002,,,,,,2.724,0.759,,,,,0.0,-0.759,3.483,-0.871,,2.612,0.0,,,2.612,0.0,2.612,0,,2.612,2.612,,8.1552,0.325,0.325,,8.1552,0.325,0.325,0.325,
12/27/1991,39.193001,,-22.301001,,16.892,,-12.775,,,,,,4.117,0.741,,,,,0.0,-0.741,4.858,-1.215,,3.643,0.0,,,3.643,0.0,3.643,0,,3.643,3.643,,8.3264,0.4375,0.4375,,8.3264,0.4375,0.4375,0.4375,
03/31/1992,47.895,,-27.051001,,20.843999,,-13.53,,,,,,7.314,0.774,,,,,0.0,-0.774,8.088,-2.022,,6.066,0.0,,,6.066,0.0,6.066,0,,6.066,6.066,,12.2368,0.7,0.7,0.7,12.2368,0.7,0.7,0.7,
07/03/1992,69.397003,,-39.060001,,30.337002,,-16.697001,,,,,,13.64,1.043,,,,,0.0,-1.043,14.683,-3.671,,11.012,0.0,,,11.012,0.0,11.012,0,,11.012,11.012,,9.9756,1.1,1.1,,9.9756,1.1,1.1,1.1,
10/02/1992,75.036003,,-42.160999,,32.875004,,-17.565001,,,,,,15.31,0.788,,,,,0.0,-0.788,16.098,-4.025,,12.073,0.0,,,12.073,0.0,12.073,0,,12.073,12.073,,10.3708,1.175,1.175,,10.3708,1.175,1.175,1.175,
01/01/1993,81.967003,,-45.723,,36.244003,,-19.782,,,,,,16.462,0.728,,,,,0.0,-0.728,17.19,-4.297,,12.893,0.0,,,12.893,0.0,12.893,0,,12.893,12.893,,10.394,1.25,1.25,,10.394,1.25,1.25,1.25,
03/31/1993,84.939003,,-47.235001,,37.704002,,-20.372999,,,,,,17.330999,0.552,,,,,0.0,-0.552,17.882999,-4.471,,13.412,0.0,,,13.411999,0.0,13.412,0,,13.412,13.412,,10.047328,1.25,1.25,1.25,10.047328,1.25,1.25,1.25,
07/02/1993,86.504997,,-47.277,,39.227997,,-21.919001,,,,,,17.309,0.856,,0.0,,,0.0,-0.856,18.165,-4.542,,13.623,0.0,,,13.623,0.0,13.623,0,,13.623,13.623,,10.5632,1.3,1.3,,10.5632,1.3,1.3,1.3,
10/01/1993,87.915001,,-44.669998,,43.245003,,-25.323999,,,,,,17.921,-1.602,,0.34,,,0.0,1.262,16.319,-4.08,,12.239,0.0,,,12.239,0.0,12.239,0,,12.239,12.239,,10.6652,1.15,1.15,,10.6652,1.15,1.15,1.15,
12/31/1993,96.070999,,-47.381001,,48.689999,,-28.497999,,,,,,20.191999,0.902,,0.334,,,0.0,-1.236,21.093999,-5.274,,15.82,0.0,,,15.819999,0.0,15.82,0,,15.82,15.82,,10.7856,1.45,1.45,,10.7856,1.45,1.45,1.45,
03/31/1994,101.753998,,-50.198002,,51.555996,,-29.843,,,,,,21.712999,1.312,,0.632,,,0.0,-1.944,23.024999,-5.757,,17.268,0.0,,,17.267999,0.0,17.268,0,,17.268,17.268,,10.8704,1.6,1.6,1.6,10.8704,1.6,1.6,1.6,
07/01/1994,106.060997,,-51.173,,54.887997,,-32.782001,,,,,,22.106001,1.351,,0.327,,,0.0,-1.678,23.457001,-5.865,,17.591999,0.0,,,17.592001,0.0,17.591999,0,,17.591999,17.591999,,10.7888,1.65,1.65,,10.7888,1.65,1.65,1.65,
09/30/1994,106.573997,,-49.160999,,57.412998,,-34.283001,,,,,,23.129999,1.48,,0.294,,,0.0,-1.774,24.609999,-6.152,,18.458,0.0,,,18.457999,0.0,18.458,0,,18.458,18.458,,10.6364,1.75,1.75,,10.6364,1.75,1.75,1.75,
12/30/1994,123.366997,,-51.804001,,71.562996,,-36.664001,,,,,,34.898998,1.639,,0.256,,,0.0,-1.895,36.537998,-9.135,,27.403,0.0,,,27.402998,0.0,27.403,0,,27.403,27.403,,10.5916,2.6,2.6,,10.5916,2.6,2.6,2.6,
03/31/1995,130.192001,,-53.458,,76.734001,,-39.084999,,,,,,37.648998,2.283,,0.302,,,0.0,-2.585,39.931998,-9.983,,29.948999,0.0,,,29.948998,0.0,29.948999,0,,29.948999,29.948999,,10.7604,2.8,2.8,2.8,10.7604,2.8,2.8,2.8,
06/30/1995,138.024994,,-56.666,,81.358994,,-42.445999,,,,,,38.912998,2.638,,,,,0.0,-2.638,41.550998,-10.388,,31.163,0.0,,,31.162999,0.0,31.163,0,,31.163,31.163,,10.7884,2.9,2.9,,10.7884,2.9,2.9,2.9,
09/29/1995,149.110001,,-62.659,,86.451,,-85.860001,,,,,,0.591,2.659,,,,,0.0,-2.659,3.25,-2.693,,0.557,0.0,,,0.557,0.0,0.557,0,,0.557,0.557,,10.8922,0.05,0.05,,10.8922,0.05,0.05,0.05,
12/29/1995,176.186996,,-74.200996,,101.986,,-54.911999,,,,,,47.074001,-8.643,,,,,0.0,8.643,38.431002,-7.844,,30.587,0.0,,,30.587002,0.0,30.587,0,,30.587,30.587,,10.9584,2.8,2.8,,10.9584,2.8,2.8,2.8,
03/31/1996,196.024994,,-82.413002,,113.611992,,-74.055,,,,,,39.556999,15.2,,,,,0.0,-15.2,54.756999,-13.689,,41.068001,0.0,,,41.067999,0.0,41.068001,0,,41.068001,41.068001,,11.0122,3.75,3.75,,11.0122,3.75,3.75,3.75,
06/28/1996,202.014008,,-86.045998,,115.96801,,-61.771,,,,,,54.196999,-23.833,,,,,0.0,23.833,30.363998,-12.45,,17.914,0.0,,,17.913999,0.0,17.914,0,,17.914,17.914,,10.604,1.7,1.7,3.95,11.1344,1.6,1.6,3.85,
09/30/1996,215.042999,,-92.550003,,122.492996,,-66.569,,,,,,55.924,-40.139,,,,,0.0,40.139,15.785,-14.548,,1.237,0.0,,,1.237,0.0,1.237,0,,1.237,1.237,,10.6818,0.1,0.1,3.85,11.364,0.1,0.1,3.85,
12/27/1996,251.703003,,-103.139,,148.564003,,-79.901001,,,,,,68.663002,-9.298,,,,,0.0,9.298,59.365002,-17.781,,41.584,0.0,,,41.584002,0.0,41.584,0,,41.584,41.584,,11.0011,3.8,3.8,4.8,11.6786,3.6,3.6,4.6,
03/31/1997,265.108002,,-107.234001,,157.874001,,-83.267998,,,,,,74.606003,-8.339,,,,,0.0,8.339,66.267003,-19.441,,46.826,0.0,,,46.826003,0.0,46.826,0,,46.826,46.826,,11.0956,4.2,4.2,5.0,12.0614,3.9,3.9,4.8,
06/30/1997,271.441986,,-107.494003,,163.947983,,-88.261002,,,,,,75.686996,3.898,,,,,0.0,-3.898,79.584996,-19.896,,59.688999,0.0,,,59.688997,0.0,59.688999,0,,59.688999,59.688999,,11.2008,5.3,5.3,5.3,12.2181,5.1,5.1,5.1,
09/30/1997,278.088013,,-104.529999,,173.558014,,-95.345001,,,,,,78.212997,5.412,,,,,0.0,-5.412,83.624998,-20.906,,62.719002,0.0,,,62.718997,0.0,62.719002,0,,62.719002,62.719002,,11.2931,5.6,5.6,5.6,12.3902,5.2,5.2,5.2,
