Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,299.953003,-45.723,254.230003,,-187.940994,,,66.289001,-28.964,1.363,1.363,,0.0,27.601,37.325002,-22.91,14.415,0.0,14.415002,0.0,14.415,0.0,,14.415,14.415,1021.632019,0.01375,0.01375,0.055,1060.176025,0.01375,0.01375,0.055,
06/30/1999,373.256012,-105.362,267.894012,,-423.165985,,,108.991997,-1128.024988,,2.712,,0.0,1125.312988,-1019.032991,0.0,-923.187988,0.0,-1019.032991,0.0,-923.192017,0.0,,-923.192017,-923.192017,1027.839966,-0.89875,-0.89875,0.07125,1027.81604,-0.89875,-0.89875,0.06875,
09/30/1999,320.598999,-92.75,227.848999,,-198.242004,,,29.607,-133.383007,1.326,1.326,,0.0,132.057007,-103.776006,40.931,-62.845001,0.0,-62.845007,0.0,-62.845001,0.0,,-62.845001,-62.845001,1022.840027,-0.06,-0.06,0.065,1022.840027,-0.06,-0.06,0.065,
12/31/1999,317.799011,-41.714001,276.085011,,-25.917999,,,-14.097,-261.004013,,-0.041,,0.0,261.045013,-275.101014,185.087997,-185.858002,0.0,-90.013016,0.0,-185.854004,0.0,0.0,-185.854004,-185.854004,1030.579956,0.76,0.76,-0.115,1030.579956,0.755,0.755,-0.11,
03/31/2000,366.376,-106.135,260.241,0.0,-195.019,83.613,111.406,65.222,-96.694,-20.187,1.287,-21.474,,116.881,-31.472,6.862,-24.61,57.8,-82.41,,-82.41,,0.0,-82.41,-82.41,2076.524,-0.04,-0.0125,-0.0125,2076.524,-0.04,-0.0125,-0.0125,
06/30/2000,393.564,-97.657,295.907,0.0,-201.822,86.259,115.563,94.085,-107.947,-21.022,1.24,-22.262,,128.969,-13.862,0.997,-12.865,,-12.865,,-12.865,0.0,0.0,-12.865,-12.865,2084.932,-0.005,-0.005,-0.005,2084.932,-0.005,-0.005,-0.005,
09/30/2000,421.628,-91.356,330.272,0.0,-207.723,94.087,113.636,122.549,-110.882,-24.537,1.175,-25.712,0.0,135.419,11.667,-5.907,5.76,0.0,5.76,0.0,5.76,0.0,0.0,5.76,5.76,2091.712,0.0025,0.0025,0.0025,2165.932,0.0025,0.0025,0.0025,
12/31/2000,464.380005,-69.744003,394.636002,,-295.481995,,,99.153999,-61.513999,,1.574,,0.0,59.939999,37.640001,-22.365999,15.274,0.0,15.274001,0.0,15.274,0.0,0.0,15.274,15.274,1050.130005,0.015,0.015,0.08,1075.22998,0.015,0.015,0.08,
03/31/2001,505.018,-83.796,421.222,0.0,-264.26,127.92,136.34,156.962,-94.316,-33.573,1.491,-35.064,,127.889,62.646,-30.258,32.388,5.638,26.75,,26.75,,0.0,26.75,26.75,1051.59,0.025,0.03,0.03,1070.418,0.025,0.03,0.03,
06/30/2001,483.639,-76.188,407.451,0.0,-231.248,107.8,123.448,176.203,-108.508,-30.89,1.345,-32.235,,139.398,67.695,-29.047,38.648,,38.648,,38.648,,0.0,38.648,38.648,1053.996,0.035,0.035,0.035,1070.284,0.035,0.035,0.035,
