Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2008,1386.5,0.0,0.0,0,285.600006,285.600006,,382.5,176.699997,26.299999,179.5,,100.699997,,,,,,768.799988,441.700012,939.200012,-497.5,0,176.0,151.300003,117.5,33.800003,24.699997,617.700012,,190.5,190.5,,,,0.0,,,417.400024,,,,417.400024,607.900024,0.0,,102.5,,,102.5,102.5,710.400024,0,665.400024,,,,,0.0,665.400024,10.7,676.100024,1386.500049,
09/30/2008,1372.0,0.0,0.0,0,273.9,273.9,,366.1,141.9,24.5,199.7,,107.4,,,,,,747.4,443.2,945.6,-502.4,0,181.4,156.0,117.5,38.5,25.4,624.6,,191.6,191.6,,,,2000.0,,,425.8,,,,425.8,2617.4,0.0,,100.7,,,100.7,100.7,2718.1,0,,,,,,-1351.8,-1351.8,5.7,-1346.1,1372.0,
12/31/2008,1361.4,0.0,0.0,0,262.7,262.7,,354.3,135.0,28.0,191.3,0.0,100.1,,,,,,717.1,453.6,959.0,-505.4,0,190.7,156.7,117.5,39.2,34.0,644.3,,198.5,198.5,,,,0.0,,,454.3,,,,454.3,652.8,2000.0,,102.7,,,102.7,2102.7,2755.5,0,-1400.9,,,,,0.0,-1400.9,5.4,-1395.5,1360.0,
03/31/2009,1707.5,358.7,358.7,0,264.9,264.9,0.0,321.2,119.0,24.2,178.0,0.0,112.3,,,11.3,2.6,35.5,1057.1,446.3,938.6,-492.3,0,204.1,153.0,117.5,35.5,39.8,650.4,,615.8,181.3,54.2,,380.3,22.4,22.4,,38.9,6.7,,31.1,24.2,677.1,1784.6,1784.6,143.0,,101.6,3.6,1927.6,2604.7,0,-858.5,2.0,-860.5,0.0,53.3,-99.7,-904.9,7.7,-897.2,1707.5,
06/30/2009,1926.4,576.9,576.9,0,257.9,257.9,0.0,329.3,138.2,21.2,169.9,0.0,112.8,34.0,,10.6,3.5,0.0,1276.9,455.8,977.4,-521.6,0,193.7,152.4,117.5,34.9,30.7,649.5,,734.0,207.0,58.6,61.4,407.0,9.5,9.5,,66.9,3.4,,31.0,58.3,810.4,1784.6,1784.6,140.1,,101.9,3.8,1924.7,2735.1,0,-859.8,2.0,-861.8,0.0,126.4,-86.5,-819.9,11.2,-808.7,1926.4,
09/30/2009,1964.3,597.4,597.4,0,269.3,269.3,0.0,318.3,122.6,23.1,172.6,0.0,116.0,30.2,,13.1,6.3,0.0,1301.0,465.3,997.0,-531.7,0,198.0,158.6,117.5,41.1,26.3,663.3,,744.5,226.5,49.2,40.9,427.9,39.4,39.4,,14.8,2.0,,15.0,4.1,798.7,1746.4,1746.4,116.7,,95.4,4.3,1863.1,2661.8,0,-814.8,2.0,-816.8,0.0,183.1,-77.5,-709.2,11.7,-697.5,1964.3,
12/31/2009,2070.3,561.1,561.1,0,347.6,317.6,30.0,309.9,117.4,26.5,166.0,0.0,117.5,,0.0,16.0,5.6,22.2,1336.1,501.4,984.7,-483.3,0,232.8,168.0,117.5,50.5,48.8,734.2,,946.3,361.3,83.2,41.0,460.8,120.0,120.0,,33.9,2.8,0.0,5.1,0.0,1100.2,1484.9,1484.9,149.5,0.0,123.6,18.0,1634.4,2734.6,0,-795.4,2.0,-797.4,0.0,206.1,-85.6,-674.9,10.6,-664.3,2070.3,
03/31/2010,1996.7,462.1,462.1,0,323.7,323.7,0.0,318.1,105.7,44.5,167.9,0.0,137.7,,,16.1,5.0,38.9,1241.6,506.3,999.2,-492.9,0,248.8,175.7,117.5,58.2,57.0,755.1,,902.0,324.8,80.3,46.3,450.6,0.0,0.0,,19.7,2.1,,13.1,0.0,921.7,1501.3,1501.3,157.4,,122.9,19.3,1658.7,2580.4,0,-790.3,2.0,-792.3,0.0,285.4,-91.5,-596.4,12.7,-583.7,1996.7,
06/30/2010,2032.0,428.2,428.2,0,312.6,312.6,0.0,330.0,94.8,49.6,185.6,0.0,148.2,45.5,32.1,15.7,18.9,0.0,1219.0,525.1,1025.4,-500.3,0,287.9,183.8,117.5,66.3,56.3,813.0,,842.9,334.6,39.5,46.3,422.5,0.2,0.2,,18.4,2.4,,9.1,0.0,861.5,1524.9,1524.9,154.9,,123.5,19.9,1679.8,2541.3,0,-785.0,2.0,-787.0,0.0,360.6,-98.4,-522.8,13.5,-509.3,2032.0,
09/30/2010,2217.6,501.9,501.9,0,360.3,360.3,0.0,345.1,122.5,52.5,170.1,0.0,144.2,,53.2,15.8,15.3,37.7,1351.5,544.9,1065.8,-520.9,0,321.2,194.0,117.5,76.5,58.2,866.1,,906.5,349.5,40.3,46.3,470.4,3.2,3.2,,27.3,2.1,,28.7,0.0,937.0,1548.4,1548.4,147.9,,94.7,22.4,1696.3,2633.3,0,-779.7,2.0,-781.7,-0.2,420.4,-64.4,-423.9,8.2,-415.7,2217.6,
