Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Source: Bloomberg
11/30/1989,,,7.25,,7.25,7.25,,,,,,,,,
02/28/1990,,,6.943,,6.943,6.943,,,,,,,,,
05/31/1990,,,8.987,,8.987,8.987,,,,,,,,,
08/31/1990,,,0.0,,8.92,8.92,,,,,,,,,
11/30/1990,,,7.728,,7.728,7.728,,,,,,,,,
02/28/1991,,,7.18,,7.18,7.18,,,,,,,,,
05/31/1991,,,9.046,,9.046,9.046,,,,,,,,,
08/31/1991,,,0.0,,8.392,8.392,,,,,,,,,
11/30/1991,,,6.596,,6.596,6.596,,,,,,,,,
02/29/1992,,,7.208,,7.208,7.208,,,,,,,,,
05/31/1992,,,9.053,,9.053,9.053,,,,,,,,,
08/31/1992,,,0.0,,9.736,9.736,,,,,,,,,
11/30/1992,,,7.852,,7.852,7.852,,,,,,,,,
02/28/1993,,,8.008,,8.008,8.008,,,,,,,,,
05/31/1993,,,9.707,,9.707,9.707,,,,,,,,,
08/31/1993,,,0.0,,9.962,9.962,,,,,,,,,
11/30/1993,,,8.605,,10.168,10.168,,,,,,,,,
02/28/1994,,,8.581,,8.581,8.581,,,,,,,,,
05/31/1994,,,10.386,,10.386,10.386,,,,,,,,,
08/31/1994,,,0.0,,10.2,10.2,,,,,,,,,
11/30/1994,,,8.683,,8.683,8.683,,,,,,,,,
02/28/1995,,,8.582,,8.582,8.582,,,,,,,,,
05/31/1995,,,9.907,,9.907,9.907,,,,,,,,,
08/31/1995,,,0.0,,9.843,9.843,,,,,,,,,
11/30/1995,,,8.565,,8.565,8.565,,,,,,,,,
02/29/1996,,,9.322,,9.322,9.322,,,,,,,,,
05/31/1996,,,10.964,,10.964,10.964,,,,,,,,,
08/31/1996,,,0.0,,10.357,10.357,,,,,,,,,
11/30/1996,,,8.166,,8.166,8.166,,,,,,,,,
02/28/1997,,,8.404,,8.404,8.404,,,,,,,,,
05/31/1997,,,9.583,,9.583,9.583,,,,,,,,,
08/31/1997,,,12.432,,2.294,2.294,,,,,,,,,
11/30/1997,,,6.207,,6.207,6.207,,,,,,,,,
02/28/1998,,,6.941,,6.941,6.941,,,,,,,,,
05/31/1998,,,8.147,,8.147,8.147,,,,,,,,,
08/31/1998,,,23.799999,,-16.214001,-16.214001,,,,,,,,,
11/30/1998,,,5.672,,5.672,5.672,,,,,,,,,
02/28/1999,,,7.219,,7.219,7.219,,,,,,,,,
05/31/1999,,,8.776,,8.776,8.776,,,,,,,,,
08/31/1999,,,6.946,,6.946,6.946,,,,,,,,,
11/30/1999,,,6.171,,6.171,6.171,,,,,,,,,
02/29/2000,,,5.617,,5.617,5.617,,,,,,,,,
05/31/2000,,,5.835,,5.835,5.835,,,,,,,,,
08/31/2000,,,0.9184,,-8.498,-8.498,,,,,,,,,
11/30/2000,,,-0.4,,-2.008,-2.008,,,,,,,,,
02/28/2001,,,-2.245,,-9.424,-9.424,,,,,,,,,
05/31/2001,,,-1.066,,-1.066,-1.066,,,,,,,,,
08/31/2001,,,-1.983,,-19.382999,-19.382999,,,,,,,,,
11/21/2001,,,-3.206,,-5.345,-5.345,,,,,,,,,
02/13/2002,,,-0.674,,-2.162,-2.162,,,,,,,,,
05/08/2002,,,0.947,,-0.174,-0.174,,,,,,,,,
08/28/2002,,,0.512,,-1.972,-1.972,,,,,,,,,
11/20/2002,,,-0.176,,-3.101,-3.101,,,,,,,,,
02/12/2003,,,-0.185,,-3.405,-3.405,,,,,,,,,
05/07/2003,,,-0.428,,-24.99,-24.99,,,,,,,,,
08/27/2003,,,2.638,,-1.597,-1.597,,,,,,,,,
11/19/2003,,,-1.667,,-4.466,-4.466,,,,,,,,,
02/11/2004,,,-0.516,,-5.042,-5.042,,,,,,,,,
05/05/2004,,,2.107,,0.381,0.381,,,,,,,,,
08/25/2004,,,4.131,,2.688,2.688,,,,,,,,,
11/17/2004,,,-0.2,,-1.023,-1.023,,,,,,,,,
02/09/2005,,,3.502,,2.627,2.627,,,,,,,,,
05/04/2005,,,5.827,,3.704,3.704,,,,,,,,,
08/31/2005,,,5.16,,-1.86,-1.86,,,,,,,,,
11/23/2005,,,2.22,,2.223,2.223,,,,,,,,,
02/15/2006,,,2.555,,3.297,3.297,,,,,,,,,
05/10/2006,,,4.41,,6.901,6.901,,,,,,,,,
08/30/2006,,,7.14,,7.14,7.14,,,,,,,,,
11/22/2006,,4.1,1.92,-3.03947105263157,1.915,1.915,,,,,,,,,
02/14/2007,,4.43,2.085,-6.32597662337663,1.882,1.882,,,,,,,,,
05/09/2007,,6.1,3.935,-3.14486024250158,3.919,3.919,,,,,,,,,
08/29/2007,,6.94,3.4,2.18711122661122,3.149,3.149,,,,,,,,,
11/21/2007,,,4.845,-0.862162162162169,4.77108,4.77108,,,,,,,,,
02/13/2008,,,1.21,1.16991504178274,0.286,0.286,,,,,,,,,
05/07/2008,,,1.121,1.2157408412483,0.949,0.949,,,,,,,,,
08/27/2008,,,-2.511,0.270657024793385,-3.74,-3.74,,,,,,,,,
11/19/2008,,,-2.28,1.84194977843427,-2.192,-0.8538,,,,,,,,,
02/11/2009,,,0.474,1.43472022955524,0.146,1.48665,,,,133.428571428571,,,,,
05/06/2009,,,-0.724,-6.75945945945945,-1.053,-0.63165,,,,-24.2972972972973,,,,,
08/26/2009,,,,,-23.319,-9.1496,,,,,,,,,
11/18/2009,,,,,-3.717,-2.514,,,,,,,,,
02/10/2010,,,,,-0.422,-0.5172,,,,,,,,,
05/05/2010,,-1.44,0.813,6.139146567718,0.73,0.752,,,,170.0,,,,,
08/25/2010,,1.87,-0.397,2.95712484237074,0.516,2.8734,,,,-82.6282051282051,,,,,
11/17/2010,,0.34,-2.095,5.87341772151899,-2.288,-2.102,,,,-67.8775510204082,,,,,
02/09/2011,,1.02,0.027,-0.731517509727617,0.717,-0.23215,,,,-35.1578947368421,,,,,
05/04/2011,,,2.0742,,1.691,2.079,,,,,,,,,
08/31/2011,,0.64,1.509,7.11132075471698,2.846,1.949,,,,8.99999999999999,,,186.71875,,
11/23/2011,,-1.98,0.204,4.1010498687664,0.204,0.7026,,,,121.391304347826,,,,,
02/15/2012,,-0.41,1.411,1.42401021711368,1.088,1.4038,,,,76.9714285714286,,,,,
05/09/2012,,3.41,2.59,-0.0843230403800451,2.423,2.5806,,,,18.6338028169014,,,21.4369501466276,,
08/29/2012,,,1.856,,3.141,3.2824,,,,,,,,,
11/21/2012,,,0.09,,0.129,0.1182,,,,,,,,,
02/13/2013,,,0.035,,0.18,-0.22465,,,,,,,,,
05/08/2013,,,2.777,,2.461,2.81775,,,,,,,,,
08/28/2013,,,1.741,-69.2819512195122,0.391,0.391,,,,,,,,,
11/20/2013,,,-1.068,-80.9712418300654,-1.546,-0.52335,,,,,,,,,
02/12/2014,,,-0.96,,-2.184,-0.70675,,,,,,,,,
05/07/2014,,,1.281,,1.729,1.066,,,,,,,,,
08/27/2014,,,-1.369,,-1.447,-0.86895,,,,,,,,,
11/19/2014,,,-2.628,,-3.019,-2.6915,,,,,,,,,
02/11/2015,,,-1.229,,-1.359,-2.03835,,,,,,,,,
05/06/2015,,,,,2.353,2.08815,,,,,,,,,
08/26/2015,,,,,-0.049,-1.157,,,,,,,,,
12/16/2015,,,,,-1.811,-1.92035,,,,,,,,,
03/09/2016,,,,,-0.599,-0.91935,,,,,,,,,
06/01/2016,,,-0.006,,-0.134,-0.0079,,,,,,,,,
08/31/2016,,,,,-7.802,-6.91605,,,,,,,,,
12/21/2016,,,,,-5.586,-5.2722,,,,,,,,,
03/15/2017,,,,,-13.179,-8.7462,,,,,,,,,
06/07/2017,,,,,-0.396,0.1755,,,,,,,,,
08/30/2017,,,,,-4.101,-3.1434,,,,,,,,,
12/20/2017,,,,,-5.537,-4.80845,,,,,,,,,
03/14/2018,,,,,-11.571,-10.263383,,,,,,,,,
06/06/2018,,,,,-14.596,-10.54245,,,,,,,,,
08/29/2018,,,,,-1.863,-4.48791,,,,,,,,,
12/19/2018,,,,,-7.489,-6.39596,,,,,,,,,
03/13/2019,,,,,6.632,17.57834,,,,,,,,,
06/05/2019,,,,,-5.301,-5.10461,,,,,,,,,
08/28/2019,,,,,-9.069,-6.63574,,,,,,,,,
12/18/2019,,,,,-8.338,-6.44838,,,,,,,,,
03/11/2020,,,,,-3.803,-1.27848,,,,,,,,,
06/03/2020,,,,,-24.979,-15.22024,,,,,,,,,
