Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/1991,-0.943095,-1.133181,0.162954,-1.11056,,,-1.11056,1.137692,,,,1.137692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,-1.7332,-0.341032,0.171748,0.121482,,,0.121482,-1.685398,,,,-1.685398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,-2.69298,-0.87722,0.200816,-0.710189,,,-0.710189,-1.306387,,,,-1.306387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-1.441845,-2.116675,0.243593,-0.804147,,,-0.804147,1.235384,,,,1.235384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,-3.222755,-3.277225,0.365681,-1.005512,,,-1.005512,0.694301,,,,0.694301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,-4.197476,-3.698716,0.508268,-0.763435,,,-0.763435,-0.243593,,,,-0.243593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-3.829007,-5.763042,0.538916,-0.037722,,,-0.037722,1.432841,,,,1.432841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,-5.922361,-6.373706,0.697093,0.001064,,,0.001064,-0.246812,,,,-0.246812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,-7.286,-9.318,0.706,0.002,,,0.002,1.324,,,,1.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-7.827,-9.429,0.729,-0.04,,,-0.04,0.913,,,,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-5.992,-9.632,0.721,1.611,,,1.611,1.308,,,,1.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-9.03,-11.505,0.946,1.89,,,1.89,-0.361,,,,-0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,-8.96,-10.733,0.905,2.407,,,2.407,-1.539,,,,-1.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,5.726,-10.248,3.703,-0.135,,,-0.135,12.406,,,,12.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-5.896,-3.969,-1.592,5.136,,,5.136,-5.471,,,,-5.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,-11.389,-5.705,1.079,2.334,,,2.334,-9.097,,,,-9.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,-6.64,-4.17,1.506,2.612,,,2.612,-6.588,,,,-6.588,,,-0.141,,,,-0.141,,,,,,,,,,0.141,,,,,,,,,,,,,,
06/30/1995,-2.408,-4.38,1.472,1.177,,,1.177,-0.677,,,,-0.677,,,-0.02,,,,-0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,
09/30/1995,-11.233,-7.146,1.463,5.533,,,5.533,-11.083,,,,-11.083,,,-0.401,,,,-0.401,,,,,,,,,,0.401,,,,,,,,,,,,,,
12/31/1995,2.042,-7.812,1.414,-8.578,,,-8.578,17.018,,,,17.018,,,-2.78,,,,-2.78,,,,,,,,,,2.78,,,,,,,,,,,,,,
03/31/1996,-7.339,-7.768,1.491,0.082,,,0.082,-1.144,,,,-1.144,,,-4.759,,,,-4.759,,,,,,,,,,4.759,,,,,,,,,,,,,,
06/30/1996,-5.871,-7.625,1.525,-0.243,,,-0.243,0.472,,,,0.472,,,-2.703,,,,-2.703,,,,,,,,,,2.703,,,,,,,,,,,,,,
09/30/1996,-6.997,-8.888,1.498,10.719,,,10.719,-10.326,,,,-10.326,,,-0.553,,,,-0.553,,,,,,,,,,0.553,,,,,,,,,,,,,,
12/31/1996,-0.075,-8.143,1.57,-10.13,,,-10.13,16.628,,,,16.628,,,-0.607,,,,-0.607,,,,,,,,,,0.607,,,,,,,,,,,,,,
03/31/1997,-3.359,-5.929,1.201,1.79,,,1.79,-0.421,,,,-0.421,,-2.153,-1.185,0.0,,,-1.185,,,,,,,,,,-0.968,-1.049,0.0,-1.156,,,,0.107,0.107,0.0,0.0,,-6.561,,
06/30/1997,-4.106,-4.27,1.166,0.569,,,0.569,-1.571,,,,-1.571,,-14.57,0.1,0.1,,,,,,0.0,0.0,0.0,,,,,-14.67,42.206998,0.0,-0.893,,,,43.099998,43.099998,0.0,0.0,,23.531,,
09/30/1997,-1.76,-1.907,0.969,0.746,,,0.746,-1.568,,,,-1.568,,-8.757,-0.395,0.0,,,-0.395,,,0.0,0.0,0.0,,,,,-8.362,-0.64,0.0,-0.77,,,,0.13,0.13,0.0,0.0,,-11.157,,
