Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
11/30/1989,42.248001,-35.455002,6.792999,-4.063,2.73,-0.203,0.045,2.572,-1.132,1.44,0.0,0.0,1.44,0.0,,1.44,,,1.44,,0.009688,0.009688,147.552002,0.009688,0.009688,0.009688,147.552002,
02/28/1990,44.438995,-37.508999,6.929996,-3.921,3.008997,-0.317,0.19,2.881997,-1.268,1.613997,0.0,0.0,1.613997,0.0,,1.613997,,,1.613997,,0.008125,0.008125,197.599991,0.008125,0.008125,0.008125,197.599991,
05/31/1990,58.299995,-49.210999,9.088997,-5.492,3.596996,-0.246,0.283,3.633996,-1.6,2.033996,0.0,0.0,2.033996,0.0,,2.033996,,,2.033996,,0.01,0.01,202.015991,0.01,0.01,0.01,202.015991,
08/31/1990,59.736992,-48.206001,11.530991,-4.321,7.209993,-0.445,-2.548,4.216993,-1.867,2.349993,0.0,0.0,2.349993,0.0,,2.349993,,,2.349993,0.01125,0.01125,0.01125,206.112,0.01125,0.01125,0.01125,206.112,
11/30/1990,53.586998,-46.014,7.572998,-4.182,3.390996,-0.434,0.218,3.174996,-1.397,1.777996,0.0,0.0,1.777996,0.0,,1.777996,,,1.777996,,0.00875,0.00875,205.311981,0.00875,0.00875,0.00875,205.311981,
02/28/1991,50.684998,-43.361,7.323997,-3.883,3.440996,-0.433,0.258,3.265996,-1.437,1.828997,0.0,0.0,1.828997,0.0,,1.828997,,,1.828996,,0.00875,0.00875,207.583984,0.00875,0.00875,0.00875,207.583984,
05/31/1991,76.920998,-66.630997,10.290001,-4.878,5.411995,-0.758,0.141,4.794995,-2.262,2.532995,0.0,0.0,2.532995,0.0,,2.532995,,,2.532995,,0.011875,0.011875,211.839981,0.011875,0.011875,0.011875,211.839981,
08/31/1991,84.169991,-71.445999,12.723992,-5.165,7.558994,-0.554,-1.799,5.205994,-2.117,3.088994,0.0,0.0,3.088994,0.0,,3.088994,,,3.088994,0.014375,0.014375,0.014375,212.992,0.014375,0.014375,0.014375,212.992,
11/30/1991,105.521996,-91.651001,13.870995,-6.292,7.578993,-0.62,0.167,7.125993,-3.36,3.765993,0.0,0.0,3.765993,0.0,,3.765993,,,3.765993,,0.01625,0.01625,230.431992,0.01625,0.01625,0.01625,230.431992,
02/28/1992,93.981995,-80.961998,13.019997,-6.351,6.668993,-0.688,0.371,6.351993,-2.917,3.434994,0.0,0.0,3.434994,0.0,,3.434994,,,3.434993,,0.0125,0.0125,272.543976,0.0125,0.0125,0.0125,272.543976,
