Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,338.200012,2.3,2.3,0.0,88.300003,,,123.599998,,,,,1.1,,,,,,,215.300003,121.0,176.899994,-55.900002,0.0,1.9,,,,,,1.9,122.9,,22.9,22.9,,,,12.1,,,,,41.599998,,,,41.599998,76.599998,48.799999,,,,11.0,,,11.0,59.799999,136.399998,0.0,78.599998,,,0,,123.199997,201.799995,0.0,201.799995,338.199993,
09/30/1989,332.200012,3.0,3.0,0.0,86.300003,,,117.800003,,,,,1.0,,,,,,,208.100006,122.199997,181.600006,-59.400002,0.0,1.9,,,,,,1.9,124.099997,,19.0,19.0,,,,3.9,,,,,42.000001,,,,42.000001,64.900002,43.099998,,,,11.8,,,11.8,54.899999,119.8,0.0,82.199997,,,0,,130.199997,212.399994,0.0,212.399994,332.199994,
12/31/1989,354.700012,3.0,3.0,0.0,95.400002,,,129.399994,,,,,1.1,,,,,,,228.899994,124.0,187.399994,-63.400002,0.0,1.8,,,,,,1.8,125.8,,24.5,24.5,,,,10.3,,,,,41.100001,,,,41.100001,75.900002,48.200001,,,,11.0,,,11.0,59.200001,135.100002,0.0,84.0,,,0,,135.600006,219.600006,0.0,219.600006,354.700008,
03/31/1990,359.899994,0.8,0.8,0.0,98.199997,,,130.100006,,,,,0.8,,,,,,,229.899994,128.199997,195.399994,-67.199997,0.0,1.8,,,,,,1.8,129.999997,,28.0,28.0,,,,11.2,,,,,50.399998,,,,50.399998,89.599998,30.700001,,,,11.0,,,11.0,41.700001,131.299999,0.0,84.5,,,0,,144.100006,228.600006,0.0,228.600006,359.900005,
06/30/1990,386.799988,1.8,1.8,0.0,112.5,,,135.5,,,,,1.3,,,,,,,251.100006,134.100006,205.399994,-71.300003,0.0,1.6,,,,,,1.6,135.700006,,29.6,29.6,,,,12.6,,,,,63.700001,,,,63.700001,105.900002,33.5,,,,11.0,,,11.0,44.5,150.400002,0.0,85.199997,,,0,,151.199997,236.399994,0.0,236.399994,386.799995,
09/30/1990,382.399994,3.8,3.8,0.0,97.599998,,,140.899994,,,,,1.7,,,,,,,244.0,137.100006,212.699997,-75.599998,0.0,1.3,,,,,,1.3,138.400006,,30.299999,30.299999,,,,6.6,,,,,63.799998,,,,63.799998,100.699997,24.6,,,,11.0,,,11.0,35.6,136.299997,0.0,86.599998,,,0,,159.5,246.099998,0.0,246.099998,382.399996,
12/31/1990,408.100006,2.3,2.3,0.0,111.0,,,152.800003,,,,,1.5,,,,,,,267.600006,139.399994,219.5,-80.099998,0.0,1.1,,,,,,1.1,140.499994,,30.799999,30.799999,,,,12.4,,,,,67.200003,,,,67.200003,110.400002,30.4,,,,11.0,,,11.0,41.4,151.800001,0.0,88.900002,,,0,,167.399994,256.299995,0.0,256.299995,408.099997,
03/31/1991,422.299988,6.1,6.1,0.0,118.099998,,,156.100006,,,,,0.8,,,,,,,281.100006,140.0,222.899994,-82.900002,0.0,1.2,,,,,,1.2,141.2,,29.1,29.1,,,,15.1,,,,,68.499997,,,,68.499997,112.699997,27.4,,,,12.6,,,12.6,40.0,152.699997,0.0,93.900002,,,0,,175.699997,269.599999,0.0,269.599999,422.299996,
06/30/1991,434.299988,2.2,2.2,0.0,112.699997,,,158.300003,,,,,1.4,,,,,,,274.600006,145.800003,232.699997,-86.900002,0.0,13.9,,,,,,13.9,159.700003,,28.9,28.9,,,,12.1,,,,,73.900002,,,,73.900002,114.900002,29.299999,,,,12.6,,,12.6,41.9,156.800001,0.0,94.900002,,,0,,182.600006,277.500008,0.0,277.500008,434.300009,
09/29/1991,437.100006,7.2,7.2,0.0,113.599998,,,152.300003,,,,,1.7,,,,,,,274.799988,148.5,240.199997,-91.699997,0.0,13.8,,,,,,13.8,162.3,,25.9,25.9,,,,12.8,,,,,73.3,,,,73.3,112.0,26.0,,,,12.6,,,12.6,38.6,150.6,0.0,95.0,,,0,,191.5,286.5,0.0,286.5,437.1,
