Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2005,3297.92,799.611,799.611,0.0,75.759,75.759,,8.334,0.0,0.0,8.334,0.0,84.336,,,,968.04,1889.251,2179.398,-290.147,0,440.629,,,,440.629,2329.88,,26.527,26.527,,,,64.033,,,,,,257.814,,,,257.814,348.374,1433.676,,,,,185.82,,,,,185.82,1619.496,1967.87,0.0,963.676,,,0.0,366.374,0.0,1330.05,0.0,1330.05,3297.92,
06/30/2005,3325.656,650.194,650.194,0.0,66.386,66.386,,8.769,0.0,0.0,8.769,0.0,70.154,,,,795.503,2093.013,2403.929,-310.916,0,437.14,,,,437.14,2530.153,,54.021,54.021,,,,56.442,,,,,,284.007,,,,284.007,394.47,1330.108,,,,,184.599,,,,,184.599,1514.707,1909.177,0.0,963.976,,,0.0,452.803,-0.3,1416.479,0.0,1416.479,3325.656,
09/30/2005,3693.335,589.903,589.903,0.0,53.631,53.631,,8.987,0.0,0.0,8.987,0.0,63.619,,,,716.14,2337.737,2676.182,-338.445,0,639.458,,,,639.458,2977.195,,28.657,28.657,,,,56.101,,,,,,389.42,,,,389.42,474.178,1537.523,,,,,184.297,,,,,184.297,1721.82,2195.998,0.0,964.663,,,0.0,532.899,-0.225,1497.337,0.0,1497.337,3693.335,
12/31/2005,3879.739,456.846,456.846,0.0,84.778,84.778,,9.967,0.0,0.0,9.967,0.0,93.115,,,,644.706,2600.468,2965.718,-365.25,0,634.565,,,,634.565,3235.033,,34.803,34.803,,,,7.325,,,,,,418.24,,,,418.24,460.368,1625.901,,,,,183.932,,,,,183.932,1809.833,2270.201,0.0,965.014,,,0.0,642.948,1.576,1609.538,0.0,1609.538,3879.739,
03/31/2006,4097.334,317.277,317.277,0.0,108.45,108.45,,10.645,0.0,0.0,10.645,0.0,141.759,,,,578.131,2887.413,3277.393,-389.98,0,631.79,,,,631.79,3519.203,,44.259,44.259,,,,7.49,,,,,,444.18,,,,444.18,495.929,1679.846,,,,,184.731,,,,,184.731,1864.577,2360.506,0.0,970.659,,,0.0,764.731,1.438,1736.828,0.0,1736.828,4097.334,
06/30/2006,5740.841,281.999,281.999,0.0,86.939,86.939,,10.82,0.0,0.0,10.82,0.0,397.59,,,,777.348,3347.33,3761.662,-414.332,0,1616.163,,,,1616.163,4963.493,,45.683,45.683,,,,6.138,,,,,,493.537,,,,493.537,545.358,3156.799,,,,,188.537,,,,,188.537,3345.336,3890.694,0.0,975.275,,,0.0,874.06,0.812,1850.147,0.0,1850.147,5740.841,
09/30/2006,6778.473,493.709,493.709,0.0,102.129,102.129,,11.663,0.0,0.0,11.663,0.0,390.808,,,,998.309,3921.591,4361.336,-439.745,0,1858.573,,,,1858.573,5780.164,,44.08,44.08,,,,6.413,,,,,,571.268,,,,571.268,621.761,4023.979,,,,,181.51,,,,,181.51,4205.489,4827.25,0.0,981.11,,,0.0,971.311,-1.198,1951.223,0.0,1951.223,6778.473,
12/31/2006,7126.458,468.066,468.066,0.0,173.683,173.683,,12.291,0.0,0.0,12.291,0.0,439.517,,,,1093.557,4582.325,5052.989,-470.664,0,1450.576,,,,1450.576,6032.901,,51.038,51.038,,,,6.486,,,,,,677.124,,,,677.124,734.648,4136.152,,,,,180.504,,,,,180.504,4316.656,5051.304,0.0,990.783,,,0.0,1084.951,-0.58,2075.154,0.0,2075.154,7126.458,
03/31/2007,7535.652,439.525,439.525,0.0,120.854,120.854,,13.052,0.0,0.0,13.052,0.0,336.092,,,,909.523,5344.802,5846.225,-501.423,0,1281.327,,,,1281.327,6626.129,,56.192,56.192,,,,165.61,,,,,,693.726,,,,693.726,915.528,4258.356,,,,,185.333,,,,,185.333,4443.689,5359.217,0.0,1010.103,,,0.0,1171.76,-5.428,2176.435,0.0,2176.435,7535.652,
06/30/2007,10447.844,1785.103,1785.103,0.0,119.07,119.07,,13.077,0.0,0.0,13.077,0.0,431.248,,,,2348.498,6359.988,6896.528,-536.54,0,1739.358,,,,1739.358,8099.346,,52.034,52.034,,,,43.592,,,,,,878.862,,,,878.862,974.488,7066.273,,,,,186.601,,,,,186.601,7252.874,8227.362,0.0,1019.593,,,0.0,1206.158,-5.269,2220.482,0.0,2220.482,10447.844,
