Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2008,195860.496735,,195860.496735,,0.00294,0.00114,0.000813,0.000813,0.000813,,,,0.00336,0.064568,0.064566,
06/30/2008,195860.496735,,195860.496735,,0.003318,0.001209,0.000886,0.000886,0.000886,,,,0.004769,0.065504,0.065501,
09/30/2008,245014.059191,245014.059191,245014.059191,,0.002724,0.000996,0.000397,0.000397,0.000397,0.000397,,,0.003883,0.064543,0.064541,
03/31/2009,245014.059191,245014.059191,245014.059191,,0.002315,0.001329,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.004515,0.050328,0.050323,
06/30/2009,255014.018667,265013.978143,265013.978143,,0.002334,0.001275,0.001123,0.001123,0.001123,0.001123,0.001123,0.001123,0.0058,0.055208,0.055204,
09/30/2009,269695.430802,299058.255072,299058.255072,,0.002089,0.001108,0.000801,0.000801,0.000801,0.000801,0.000801,0.000801,0.005974,0.05509,0.055086,
12/31/2009,269695.430802,238621.252269,238621.252269,,0.002884,0.001421,-0.002205,-0.002205,0.00036,-0.002205,-0.002205,0.00036,0.006323,0.054956,0.054953,
03/31/2010,269695.430802,269695.430802,269695.430802,,0.002513,0.001356,0.001378,0.001378,0.001378,0.001378,0.001378,0.001378,0.005973,0.057501,0.057498,
06/30/2010,269695.430802,269695.430802,269695.430802,,0.002668,0.001476,0.001181,0.001181,0.001181,0.001181,0.001181,0.001181,0.004088,0.055294,0.055292,
09/30/2010,269695.430802,269695.430802,269695.430802,,0.002753,0.001398,0.001137,0.001137,0.001137,0.001137,0.001137,0.001137,0.00344,0.057563,0.057561,
12/31/2010,288695.430802,229678.051198,229678.051198,,0.00344,0.001293,0.001114,0.001114,0.001332,0.001114,0.001114,0.001332,0.003341,0.057284,0.057263,
03/31/2011,288695.430802,288685.719373,288685.719373,,0.002669,0.00167,0.000961,0.000961,0.000961,0.000961,0.000961,0.000961,0.002953,0.062545,0.062526,
06/30/2011,290302.702379,291919.685385,291919.685385,,0.002998,0.001748,0.001324,0.001324,0.001324,0.001324,0.001324,0.001324,0.005674,0.06478,0.064763,
09/30/2011,290302.702379,290302.702379,290302.702379,,0.002658,0.001274,0.000719,0.000719,0.000719,0.000719,0.000719,0.000719,0.00328,0.056082,0.056027,
12/31/2011,290302.702379,290302.700863,290302.700863,,0.002544,0.001034,0.000621,0.000621,0.000988,0.000621,0.000621,0.000988,0.003445,0.05741,0.057319,
03/31/2012,290302.702379,290302.702379,290302.702379,,0.002309,0.001039,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.005926,0.063663,0.063553,
06/30/2012,290302.702379,290302.702379,290302.702379,,0.002662,0.001041,0.000769,0.000769,0.000769,0.000769,0.000769,0.000769,0.00439,0.057978,0.057866,
09/30/2012,290302.702379,1161210.809516,1161210.809516,,0.000651,0.000236,0.000181,0.000181,0.000181,0.000181,0.000181,0.000181,0.002933,0.061068,0.060943,
12/31/2012,317637.520094,344064.351143,344064.351143,,0.002426,0.001029,-0.000492,-0.000492,0.000255,-0.000492,-0.000492,0.000255,0.009026,0.061064,0.060912,
03/31/2013,317637.520094,317637.520094,317637.520094,,0.002633,0.001365,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.011428,0.061011,0.060856,
06/30/2013,317637.520094,317637.520094,317637.520094,,0.002859,0.00144,0.001017,0.001017,0.001017,0.001017,0.001017,0.001017,0.011019,0.058349,0.058199,
09/30/2013,317637.520094,317637.520094,317637.520094,,0.002577,0.001109,0.000777,0.000777,0.000777,0.000777,0.000777,0.000777,0.010836,0.059945,0.059782,
12/31/2013,317637.520094,381935.404392,381935.404392,,0.002235,0.000862,0.000617,0.000617,0.000792,0.000617,0.000617,0.000792,0.007625,0.059754,0.059569,
03/31/2014,386255.46489,386255.46489,386255.46489,,0.001991,0.00096,0.000715,0.000715,0.000715,0.000715,0.000715,0.000715,0.005746,0.051717,0.051576,
06/30/2014,386255.46489,386255.46489,386255.46489,,0.002111,0.000979,0.000914,0.000914,0.000914,0.000914,0.000914,0.000914,0.0058,0.054071,0.053932,
09/30/2014,386255.46489,386255.46489,386255.46489,,0.001895,0.000627,0.000379,0.000379,0.000379,0.000379,0.000379,0.000379,0.004222,0.046744,0.046626,
12/31/2014,386255.46489,386255.46489,386255.46489,,0.00146,0.000443,0.000188,0.000188,0.000215,0.000188,0.000188,0.000215,0.003505,0.031932,0.031849,
03/31/2015,386255.46489,386255.46489,386255.46489,,0.000978,0.000407,0.000361,0.000361,0.000361,0.000361,0.000361,0.000361,0.002536,0.032361,0.03228,
06/30/2015,386255.46489,386255.46489,386255.46489,,0.001353,0.000621,0.000562,0.000562,0.000562,0.000562,0.000562,0.000562,0.003655,0.03432,0.034241,
09/30/2015,386255.46489,386255.46489,386255.46489,,0.001105,0.000411,0.000304,0.000304,0.000304,0.000304,0.000304,0.000304,0.003606,0.029236,0.029171,
12/31/2015,386255.46489,386255.46489,386255.46489,,0.00114,0.000418,9.7e-05,9.7e-05,0.000173,9.7e-05,9.7e-05,0.000173,0.001667,0.026359,0.026288,
03/31/2016,386255.46489,386255.46489,386255.46489,,0.000944,0.000505,0.000531,0.000531,0.000531,0.000531,0.000531,0.000531,0.002274,0.029187,0.029113,
06/30/2016,386255.46489,386255.46489,386255.46489,,0.001186,0.000658,0.000519,0.000519,0.000519,0.000519,0.000519,0.000519,0.002732,0.031213,0.031138,
09/30/2016,386255.46489,386255.46489,386255.46489,,0.001185,0.000641,0.000577,0.000577,0.000577,0.000577,0.000577,0.000577,0.001821,0.031715,0.031611,
12/31/2016,386255.46489,386253.46489,386253.46489,,0.001162,0.000472,-3.8e-05,-3.8e-05,0.00036,-3.8e-05,-3.8e-05,0.00036,0.001904,0.032534,0.032432,
03/31/2017,386255.46489,386255.46489,386255.46489,,0.001221,0.000638,0.000597,0.000597,0.000597,0.000597,0.000597,0.000597,0.002734,0.036009,0.035904,
06/30/2017,426288.813551,397344.366,397344.366,,0.001344,0.000719,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.002638,0.031462,0.031373,
09/30/2017,426288.813551,495296.534,495296.534,,0.001563,0.000575,0.000335,0.000335,0.000335,0.000335,0.000335,0.000335,0.002822,0.033537,0.033446,
12/31/2017,426288.813551,386255.478442,386255.478442,,0.00181,0.000589,0.000115,0.000115,0.000421,0.000115,0.000115,0.000421,0.002082,0.033644,0.033555,
03/31/2018,426288.813551,426288.813551,426288.813551,,0.00165,0.000683,0.000495,0.000495,0.000495,0.000495,0.000495,0.000495,0.002006,0.034428,0.034343,
