Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
08/27/1999,10.071,9.658,2.085,-2.723,,,-2.723,1.051,,,,1.051,,-2.289,-2.289,0.0,,-2.289,,,0.0,0.0,0.0,,,,,0.0,28.878,0.0,0.0,,0.0,0.0,0.0,28.878,,36.66,,0.009,
11/26/1999,56.201,12.862,2.31,-1.854,,,-1.854,42.882999,,,,42.882999,,-4.021,-3.428,0.0,,-3.428,,,0.0,0.0,0.0,,,,,-0.593,-59.75,0.0,0.0,,0.0,0.0,0.0,-59.75,,-7.57,,,
02/25/2000,-21.492001,10.953,2.249,5.474,,,5.474,-40.167999,,,,-40.167999,,-1.115,-1.708,0.0,,-1.708,,,0.0,0.0,0.0,,,,,0.593,33.043999,0.0,-0.805,,0.0,0.0,0.0,33.848999,,10.437,,,
06/02/2000,84.079002,12.437,1.307,-16.476,,,-16.476,86.810997,,,,86.810997,,-4.616,-2.968,0.0,,-2.968,,,0.0,0.0,0.0,,,,,-1.648,942.660027,-150.0,-0.097,,1172.525024,1172.525024,0.0,-79.767998,,1022.122986,,,
09/01/2000,-55.137001,17.275,9.441,-7.665,,,-7.665,-74.188004,,,,-74.188004,,-305.70401,-12.084,0.0,,-12.084,,,0.0,0.0,0.0,,,,,-293.62001,1.886,0.0,-1.295,,3.178,3.178,0.0,0.003,,-358.954987,,0.017,
12/01/2000,50.895,20.259001,12.324,10.905,,,10.905,7.407,,,,7.407,,-30.415001,-19.034,0.0,,-19.034,,,0.0,0.0,0.0,,,,,-11.381001,19.235,0.0,0.0,,19.1,19.1,0.0,0.135,,39.715,,0.018,
03/02/2001,-79.285004,-1.936,15.076,-19.471001,,,-19.471001,-72.954002,,,,-72.954002,,-68.842003,-16.219,0.0,,-16.219,,,0.0,0.0,0.0,,,,,-52.623003,1.103,0.0,1.295,,1.09,1.09,0.0,-1.282,,-147.024002,,0.021,
06/01/2001,-80.856003,-392.074005,24.285,-89.303001,,,-89.303001,376.235992,,,,376.235992,,-5.238,-19.084999,0.0,,-19.084999,,,0.0,0.0,0.0,,,,,13.846999,3.999,0.0,-1.295,,4.127,4.127,0.0,1.167,,-82.095001,,,
08/31/2001,-180.925003,-32.431,9.807,-16.740999,,,-16.740999,-141.559998,,,,-141.559998,,-11.429,-11.429,0.0,,-11.429,,,0.0,0.0,0.0,,,,,0.0,-0.182,0.0,0.0,,0.011,0.011,0.0,-0.193,,-192.535995,-18.669001,0.007,
11/30/2001,-77.550003,-25.208,15.562,-17.684,,,-17.684,-50.220001,,,,-50.220001,,-2.412,-2.412,0.0,,-2.412,,,0.0,0.0,0.0,,,,,0.0,0.707,0.0,0.0,,0.761,0.761,0.0,-0.054,,-79.254997,1.864,0.037,
03/01/2002,-5.196,2.948,11.25,8.267,,,8.267,-27.660999,,,,-27.660999,,-2.179,-1.947,0.0,,-1.947,,,0.0,0.0,0.0,,,,,-0.232,51.042,0.0,50.0,,1.026,1.026,0.0,0.016,,43.667,32.501999,-0.133,
05/31/2002,-0.027477,-27.477,,27.449523,,,27.449523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/30/2002,-25.566999,-258.744995,9.891,219.625,,,219.625,3.662,,,,3.662,,-14.775,-4.803,0.0,,-4.803,,,0.0,0.0,0.0,,,,,-9.972,0.143,0.0,0.0,,-0.012,0.003,-0.015,0.155,,-40.199001,-1.654,1.35,
11/29/2002,-11.548,3.52,9.644,3.175,,,3.175,-27.886999,,,,-27.886999,,1.339,-2.894,0.0,,-2.894,,,0.0,0.0,0.0,,,,,4.233,21.129,0.0,0.0,,21.149,21.149,0.0,-0.02,,10.92,2.22,-1.35,
