Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,2199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,240.0,240.0,,2704.224121,0.08875,0.08875,0.08875,2704.224121,0.08875,0.08875,0.08875,
12/31/1988,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,184.0,184.0,,2676.360107,0.06875,0.06875,0.06875,2676.360107,0.06875,0.06875,0.06875,
03/31/1989,2445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,,,317.0,317.0,,2669.471924,0.11875,0.11875,0.11875,2669.471924,0.11875,0.11875,0.11875,
06/30/1989,2390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0,,,297.0,297.0,,2669.664062,0.11125,0.11125,0.11125,2669.664062,0.11125,0.11125,0.11125,
09/30/1989,2451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,,,265.0,265.0,,2650.0,0.1,0.1,0.1,2650.0,0.1,0.1,0.1,
12/31/1989,2471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,203.0,203.0,,2662.295898,0.07625,0.07625,0.07625,2662.295898,0.07625,0.07625,0.07625,
04/01/1990,2838.0,,-912.0,,1926.0,,-1270.0,,,,,656.0,-253.0,,88.0,,0.0,,165.0,403.0,-159.0,244.0,0.0,,,244.0,0.0,244.0,0.0,,244.0,244.0,,2640.0,0.091,0.091,,2640.0,0.091,0.091,0.091,
07/01/1990,2825.0,,-988.0,,1837.0,,-1258.0,,,,,579.0,-80.0,,0.0,,0.0,,80.0,499.0,-146.0,353.0,0.0,,,353.0,0.0,353.0,0.0,,353.0,353.0,,2648.800049,0.1325,0.1325,,2648.800049,0.1325,0.1325,0.1325,
09/30/1990,2869.0,,-1012.0,,1857.0,,-1377.0,,,,,480.0,-45.0,,40.0,,0.0,,5.0,435.0,-121.0,314.0,0.0,,,314.0,0.0,314.0,0.0,,314.0,314.0,,2664.800048,0.1175,0.1175,,2664.800048,0.1175,0.1175,0.1175,
12/30/1990,2700.0,,-1025.0,,1675.0,,-1398.0,,,,,277.0,9.0,,73.0,,0.0,,-82.0,286.0,-54.0,232.0,0.0,,,232.0,0.0,232.0,0.0,,232.0,232.0,,2664.595944,0.0875,0.0875,0.0875,2664.595944,0.0875,0.0875,0.0875,
03/31/1991,3149.0,,-1039.0,,2110.0,,-1488.0,,,,,622.0,-13.0,,37.0,,0.0,,-24.0,609.0,-191.0,418.0,0.0,,,418.0,0.0,418.0,0.0,,418.0,418.0,,2664.800049,0.15625,0.15625,,2664.800049,0.15625,0.15625,0.15625,
06/30/1991,3031.0,,-984.0,,2047.0,,-1441.0,,,,,606.0,-27.0,,36.0,,0.0,,-9.0,579.0,-173.0,406.0,0.0,,,406.0,0.0,406.0,0.0,,406.0,406.0,,2664.800049,0.1525,0.1525,,2664.800049,0.1525,0.1525,0.1525,
09/29/1991,3119.0,,-1079.0,,2040.0,,-1514.0,,,,,526.0,-5.0,,31.0,,0.0,,-26.0,521.0,-158.0,363.0,0.0,,,363.0,0.0,363.0,0.0,,363.0,363.0,,2664.800049,0.136125,0.13625,,2664.800049,0.136125,0.13625,0.13625,
12/29/1991,3148.0,,-1102.0,,2046.0,,-1636.0,,,,,410.0,-81.0,,25.0,,0.0,,56.0,329.0,-55.0,274.0,0.0,,,274.0,0.0,274.0,0.0,,274.0,274.0,,2664.98804,0.103625,0.10375,0.10375,2664.98804,0.103625,0.10375,0.10375,
03/29/1992,3357.0,,-1127.0,,2230.0,,-1617.0,,,,,613.0,31.0,,21.0,,0.0,,-52.0,644.0,-192.0,452.0,595.0,,,-143.0,0.0,-143.0,0.0,,-143.0,-143.0,,2664.0,-0.055,0.16875,,2664.0,-0.055,0.16875,0.16875,
06/28/1992,3413.0,,-1119.0,,2294.0,,-1657.0,,,,,637.0,-1.0,,27.0,,0.0,,-26.0,636.0,-184.0,452.0,0.0,,,452.0,0.0,452.0,0.0,,452.0,452.0,,2643.199951,0.17,0.17,,2643.199951,0.17,0.17,0.17,
09/27/1992,3480.0,,-1198.0,,2282.0,,-1708.0,,,,,574.0,-6.0,,35.0,,0.0,,-29.0,568.0,-154.0,414.0,0.0,,,414.0,0.0,414.0,0.0,,414.0,414.0,,2622.0,0.1575,0.1575,,2622.0,0.1575,0.1575,0.1575,
01/03/1993,3503.0,,-1234.0,,2269.0,,-1816.0,,,,,453.0,-94.0,,41.0,,0.0,,53.0,359.0,-52.0,307.0,0.0,,,307.0,0.0,307.0,0.0,,307.0,307.0,,2620.800048,0.1175,0.1175,0.1175,2620.800048,0.1175,0.1175,0.1175,
04/04/1993,3560.0,,-1163.0,,2397.0,,-1717.0,,,,,680.0,20.0,,31.0,,0.0,,-51.0,700.0,-197.0,503.0,0.0,,,503.0,0.0,503.0,0.0,,503.0,503.0,,2621.600098,0.1925,0.1925,,2621.600098,0.1925,0.1925,0.1925,
07/04/1993,3541.0,,-1148.0,,2393.0,,-1718.0,,,,,675.0,-5.0,,33.0,,0.0,,-28.0,670.0,-175.0,495.0,0.0,,,495.0,0.0,495.0,0.0,,495.0,495.0,,2621.199951,0.1875,0.1875,,2621.199951,0.1875,0.1875,0.1875,
10/03/1993,3506.0,,-1188.0,,2318.0,,-1722.0,,,,,596.0,-14.0,,29.0,,0.0,,-15.0,582.0,-128.0,454.0,0.0,,,454.0,0.0,454.0,0.0,,454.0,454.0,,2606.800049,0.175,0.175,,2606.800049,0.175,0.175,0.175,
12/31/1993,3531.0,,-1292.0,,2239.0,,-1796.0,,,,,443.0,-63.0,,33.0,,0.0,,30.0,380.0,-45.0,335.0,0.0,,,335.0,0.0,335.0,0.0,,335.0,335.0,,2580.800048,0.13,0.13,0.13,2580.800048,0.13,0.13,0.13,
04/03/1994,3690.0,,-1181.0,,2509.0,,-1769.0,,,,,740.0,-4.0,,36.0,,0.0,,-32.0,736.0,-192.0,544.0,0.0,,,544.0,0.0,544.0,0.0,,544.0,544.0,,2572.399902,0.2125,0.2125,,2572.399902,0.2125,0.2125,0.2125,
06/30/1994,3916.0,,-1287.0,,2629.0,,-1871.0,,,,,758.0,4.0,,33.0,,0.0,,-37.0,762.0,-203.0,559.0,0.0,,,559.0,0.0,559.0,0.0,,559.0,559.0,,2573.199951,0.215,0.215,,2573.199951,0.215,0.215,0.215,
09/30/1994,4038.0,,-1364.0,,2674.0,,-1949.0,,,,,725.0,-12.0,,32.0,,0.0,,-20.0,713.0,-188.0,525.0,0.0,,,525.0,0.0,525.0,0.0,,525.0,525.0,,2573.199951,0.205,0.205,,2573.199951,0.205,0.205,0.205,
01/01/1995,4090.0,,-1467.0,,2623.0,,-2039.0,,,,,584.0,-114.0,,41.0,,0.0,,73.0,470.0,-92.0,378.0,0.0,,,378.0,0.0,378.0,0.0,,378.0,378.0,,2570.399904,0.1475,0.1475,0.1475,2570.399904,0.1475,0.1475,0.1475,
04/02/1995,4496.0,,-1447.0,,3049.0,,-2073.0,,,,,976.0,-55.0,,45.0,,0.0,,10.0,921.0,-267.0,654.0,0.0,,,654.0,0.0,654.0,0.0,,654.0,654.0,,2572.399904,0.255,0.255,,2572.399904,0.255,0.255,0.255,
07/02/1995,4762.0,,-1562.0,,3200.0,,-2237.0,,,,,963.0,-32.0,,38.0,,0.0,,-6.0,931.0,-270.0,661.0,0.0,,,661.0,0.0,661.0,0.0,,661.0,661.0,,2582.399904,0.255,0.255,,2582.399904,0.255,0.255,0.255,
10/01/1995,4738.0,,-1543.0,,3195.0,,-2314.0,,,,,881.0,-9.0,,32.0,,0.0,,-23.0,872.0,-249.0,623.0,0.0,,,623.0,0.0,623.0,0.0,,623.0,623.0,,2591.0,0.24,0.24,,2591.0,0.24,0.24,0.24,
12/31/1995,4846.0,,-1683.0,,3163.0,,-2472.0,,,,,691.0,-98.0,,28.0,,0.0,,70.0,593.0,-128.0,465.0,0.0,,,465.0,0.0,465.0,0.0,,465.0,465.0,,2588.800049,0.18,0.18,,2588.800049,0.18,0.18,0.18,
