Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,71.309998,31.805,-6.814,-74.582001,21.719,,,,,,
06/30/1990,,75.172997,36.172001,-15.393,-34.980999,60.971001,,,,,,
09/30/1990,,75.400002,35.112999,-11.088,-94.364998,5.06,,,,,,
12/31/1990,,84.427002,120.484001,23.478997,-84.413002,143.977005,,,,143.977005,,
03/31/1991,,84.132004,66.343002,-10.203,-118.220001,22.052,,,,,,
06/30/1991,,130.608994,38.411999,-3.386,299.856995,465.492004,,,,,,
09/30/1991,,55.368,88.865997,-17.959999,-561.208984,-434.934998,,,,,,
12/31/1991,,-40.569,209.153,-28.938,-409.385986,-269.73999,,,,-269.73999,,
03/31/1992,,106.122002,57.480999,-11.244,128.621002,280.980011,,,,,,
06/30/1992,,108.619003,47.273998,-2.345,53.015999,206.563995,,,,,,
09/30/1992,,108.813004,59.293999,-22.743,395.734009,541.098022,,,,,,
12/31/1992,,109.670998,50.928001,4.735,-78.209,87.125,,,,87.125,,
03/31/1993,,121.568001,47.848999,-31.440001,361.796997,499.773987,,,,,,
06/30/1993,,123.123001,48.778,-103.139999,-336.466003,-267.704987,,,,,,
09/30/1993,,124.406998,47.229,100.43,24.136999,296.203003,,,,,,
12/31/1993,,122.997002,31.782,0.827,-131.931,23.674999,,,,23.674999,,
03/31/1994,,124.799004,46.658001,28.23,301.121002,500.808014,,,,,,
06/30/1994,,134.141006,43.617001,-33.423,42.451,186.785995,,,,,,
09/30/1994,,137.992004,45.841999,1.915,27.848,213.597,,,,,,
12/31/1994,,142.126007,43.147999,7.082,-253.444,-61.088001,,,,-61.088001,,
03/31/1995,,142.156006,47.877998,-6.008,238.957001,422.983002,,-33.445,,,,
06/30/1995,,162.908997,38.687,-74.252998,-589.039978,-461.696991,,-40.702999,,,,
09/30/1995,,151.279999,40.834,3.492,77.297997,272.903992,,-38.983002,,,,
12/31/1995,,146.197998,66.939003,19.458,-231.878998,0.716,-72.665001,-72.665001,,-71.949001,,
03/31/1996,,177.850998,,,,488.760986,,-40.297001,,,,
06/30/1996,,188.171997,,,,126.563004,,-28.429001,,,,
09/30/1996,,189.727997,,,,368.881989,,-16.27,,,,
12/31/1996,,201.507996,,,,570.950989,-223.153,-223.153,,347.797989,,
03/31/1997,,193.475006,90.014,14.316,-111.762001,186.042999,,-32.258999,,,,
06/30/1997,,196.804993,94.702003,30.299,297.654999,619.460999,,-29.584999,,,,
09/30/1997,,198.921997,92.584999,33.521999,114.400002,439.428986,,-60.453999,,,,
12/31/1997,,3.604,153.339996,-49.196999,271.683014,379.429993,,-39.987999,,,,
03/31/1998,,195.320999,108.250999,16.055,-290.239014,29.388,,-72.65625,,,,
06/30/1998,,209.916,105.710999,70.259003,-209.319,176.567001,,-73.630997,,,,
09/30/1998,,227.367004,111.802002,76.318001,581.961975,997.448975,,-50.401001,,,,
12/31/1998,,241.565979,128.785004,75.955994,246.030029,692.336975,,-62.028999,,,,
03/31/1999,,243.235992,137.845993,88.138,-289.824005,179.395996,,-110.316406,,,,
06/30/1999,,247.550003,132.740997,91.943001,369.608002,841.84198,,-35.278,,,,
09/30/1999,,257.498993,139.496994,85.886002,96.119003,579.000977,,-29.429001,,,,
12/31/1999,,262.936005,133.824005,-161.242004,87.608002,323.126007,,-38.205002,,,,
03/31/2000,,244.707001,,,,246.671997,,,,,,
06/30/2000,,137.570999,,,,-100.454002,,,,,,
09/30/2000,,205.324005,201.091995,190.115005,524.062012,1120.593018,,-18.749001,,,,
12/31/2000,,244.705994,192.973999,-59.990002,61.667999,439.358002,,-40.918999,,,,
03/31/2001,,242.091995,,,,290.993011,,,,,,
06/30/2001,,245.113007,,,,751.033997,,,,,,
