Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2017,5236.0,5236.0,-4309.0,4309.0,927.0,0.0,-922.0,393.0,,342.0,187.0,5.0,86.0,58.0,74.0,-16.0,-144.0,91.0,17.0,108.0,-65.0,-65.0,0.0,173.0,-14.0,159.0,0.0,0.0,159.0,405.0,311.0,283.83,0.56,0.33,1.42691,289.47,0.55,0.33,1.404377,
09/30/2017,5453.0,5453.0,-3870.0,3870.0,1583.0,0.0,-1314.0,644.0,,482.0,188.0,269.0,15.0,57.0,73.0,-16.0,-72.0,284.0,-79.0,205.0,-60.0,-60.0,0.0,265.0,-9.0,256.0,0.0,0.0,256.0,450.0,254.0,284.87,0.9,0.69,1.579668,289.29,0.88,0.67,1.548012,
12/31/2017,5460.0,5460.0,-4051.0,4051.0,1409.0,0.0,-1097.0,447.0,,440.0,210.0,312.0,29.0,46.0,73.0,-27.0,-75.0,341.0,365.0,706.0,-73.0,-73.0,0.0,779.0,-3.0,776.0,0.0,0.0,776.0,547.5,-155.5,285.38,2.72,2.46,1.918495,289.77,2.68,2.43,1.893367,
03/31/2018,5584.0,5584.0,-4087.0,4087.0,1497.0,0.0,-839.0,406.0,,531.0,-98.0,658.0,-70.0,70.0,100.0,-30.0,0.0,588.0,-61.0,527.0,-38.0,-38.0,0.0,565.0,-5.0,560.0,0.0,0.0,560.0,443.0,-79.0,285.64,1.96,1.83,1.550903,290.2,1.93,1.8,1.527774,
06/30/2018,5282.0,5282.0,-3867.0,3867.0,1415.0,0.0,-1096.0,440.0,,471.0,185.0,319.0,41.0,53.0,85.0,-32.0,-94.0,360.0,-129.0,231.0,-35.0,-35.0,0.0,266.0,-7.0,259.0,0.0,0.0,259.0,422.0,198.0,284.44,0.91,0.79,1.483617,289.3,0.9,0.78,1.464411,
09/30/2018,5013.0,5013.0,-3518.0,3518.0,1495.0,0.0,-1210.0,569.0,,484.0,157.0,285.0,47.0,50.0,83.0,-33.0,-97.0,332.0,-73.0,259.0,0.0,0.0,0.0,259.0,3.0,262.0,0.0,0.0,262.0,476.0,214.0,281.37,0.93,0.93,1.691723,285.78,0.92,0.92,1.668828,
12/31/2018,5178.0,5178.0,-3725.0,3725.0,1453.0,0.0,-1075.0,491.0,,508.0,76.0,378.0,91.0,54.0,81.0,-27.0,-145.0,469.0,-3.0,466.0,0.0,0.0,0.0,466.0,-4.0,462.0,0.0,0.0,462.0,601.0,139.0,275.66,1.68,1.68,2.180222,278.99,1.66,1.66,2.158226,
03/31/2019,5280.0,5280.0,-3836.0,3836.0,1444.0,0.0,-1041.0,459.0,,505.0,77.0,403.0,-49.0,49.0,85.0,-36.0,0.0,354.0,-83.0,271.0,0.0,0.0,0.0,271.0,3.0,274.0,0.0,0.0,274.0,491.0,217.0,268.59,1.02,1.02,1.828065,270.82,1.01,1.01,1.81127,
06/30/2019,4890.0,4890.0,-3622.0,3622.0,1268.0,0.0,-1119.0,507.0,,470.0,142.0,149.0,57.0,61.0,91.0,-30.0,-118.0,206.0,-38.0,168.0,0.0,0.0,0.0,168.0,-5.0,163.0,0.0,0.0,163.0,360.0,197.0,267.0,0.61,0.61,1.348315,268.97,0.61,0.61,1.342424,
09/30/2019,4851.0,4851.0,-3679.0,3679.0,1172.0,0.0,-3243.0,489.0,,467.0,2287.0,-2071.0,72.0,37.0,104.0,-67.0,-109.0,-1999.0,-116.0,-2115.0,0.0,0.0,0.0,-2115.0,-4.0,-2119.0,0.0,0.0,-2119.0,241.0,2360.0,258.71,-8.19,-8.19,0.931545,258.71,-8.19,-8.19,0.931545,
