Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,117.205002,14.017,14.017,0.0,12.847,,,2.59,,,,,11.389,,,,,40.842999,60.425999,78.710999,-18.285,,,,15.936,,,,15.936,76.361999,,6.723,6.723,,,,10.0,,,,,,29.555,,,29.555,46.278,110.081001,,,,,1.535,,,,,,1.535,111.616001,157.894001,11.539,0.002,,,0.0,,-52.23,-40.689,0.0,-40.689,117.205001,
12/31/1990,126.953003,16.377001,16.377001,0.0,19.424,,,1.062,,,,,15.172,,,,,52.035,59.636002,79.383003,-19.747,,,,15.282,,,,15.282,74.918001,,5.768,5.768,,,,10.25,,,,,,40.244001,,,40.244001,56.262001,107.581001,,,,,1.57,,,,,,1.57,109.151001,165.413002,11.539,0.002,,,0.0,,-50.000999,-38.46,0.0,-38.46,126.953002,
03/31/1991,131.856003,23.224001,23.224001,0.0,27.297001,,,0.855,,,,,15.489,,,,,66.864998,58.644001,79.983002,-21.339001,,,,6.347,,,,6.347,64.991001,,6.37,6.37,,,,9.5,,,,,,55.175998,,,55.175998,71.045998,105.081001,,,,,1.321,,,,,,1.321,106.402001,177.447999,11.539,0.002,,,0.0,,-57.132999,-45.592,0.0,-45.592,131.855999,
06/30/1991,95.789001,14.167,14.167,0.0,7.735,,,2.68,,,,,7.749,,,,,32.331001,57.52,80.481003,-22.961,,,,5.938,,,,5.938,63.458,,7.824,7.824,,,,6.583,,,,,,20.129999,,,20.129999,34.536999,83.248001,,,,,1.095,,,,,,1.095,84.343001,118.88,0.0,33.530998,,,0.0,,-56.622002,-23.091004,0.0,-23.091004,95.788996,
09/30/1991,106.250999,15.0,15.0,0.0,15.847,,,1.905,,,,,11.208,,,,,43.959999,56.591,81.172997,-24.582001,,,,5.7,,,,5.7,62.290999,,6.731,6.731,,,,6.752,,,,,,32.204,,,32.204,45.687,78.205002,,,,,1.12,,,,,,1.12,79.325002,125.012002,0.0,35.887001,,,0.0,,-54.647999,-18.760998,0.0,-18.760998,106.251004,
12/31/1991,120.142998,16.709,16.709,0.0,24.747,,,0.759,,,,,16.268,,,,,58.483002,55.992001,82.101997,-26.110001,,,,5.668,,,,5.668,61.660001,,6.389,6.389,,,,10.302,,,,,,45.011999,,,45.011999,61.702999,71.824997,,,,,1.104,,,,,,1.104,72.928997,134.631996,0.0,36.028999,,,0.0,,-50.518002,-14.489002,0.0,-14.489002,120.142994,
03/31/1992,148.731995,23.73,23.73,0.0,30.941999,,,1.06,,,,,21.471001,,,,,77.203003,55.126999,82.864998,-27.738001,,,,16.402,,,,16.402,71.528999,,7.684,7.684,,,,10.302,,,,,,60.278,,,60.278,78.264,69.138,,,,,1.756,,,,,,1.756,70.894001,149.158,0.0,36.028,,,0.0,,-36.453999,-0.425999,0.0,-0.425999,148.732002,
06/30/1992,112.432999,16.014999,16.014999,0.0,8.882,,,2.83,,,,,15.168,,,,,42.895,54.518002,82.290001,-27.771999,,,,15.02,,,,15.02,69.538002,,9.435,9.435,,,,10.302,,,,,,21.840999,,,21.840999,41.577999,67.261002,,,,,2.272,,,,,,2.272,69.533002,111.111001,0.0,36.216999,,,0.0,,-34.895,1.321999,0.0,1.321999,112.433,
09/30/1992,123.056999,15.721,15.721,0.0,14.051,,,2.015,,,,,22.128,,,,,53.915001,55.028,84.153999,-29.125999,,,,14.114,,,,14.114,69.142,,6.569,6.569,,,,10.302,,,,,,35.359,,,35.359,52.23,65.153999,,,,,2.54,,,,,,2.54,67.693999,119.923999,0.0,36.639999,,,0.0,,-33.507,3.132999,0.0,3.132999,123.056998,
12/31/1992,119.345001,12.232,12.232,0.0,21.274,,,1.011,,,,,17.301001,,,,,51.818001,55.073002,85.628998,-30.556,,,,12.454,,,,12.454,67.527002,,5.024,5.024,,,,9.964,,,,,,46.530002,,,46.530002,61.518002,49.123001,,,,,2.685,,,,,,2.685,51.808001,113.326003,0.0,36.639999,,,0.0,,-30.621,6.018999,0.0,6.018999,119.345002,
03/31/1993,138.119003,23.646999,23.646999,0.0,30.351999,,,1.195,,,,,17.863001,,,,,73.056999,53.980999,86.288002,-32.306999,0.0,,,11.081,,,,11.081,65.061999,,7.135,7.135,,,,13.626,,,,,,61.951997,,,61.951997,82.712997,43.772999,,,,,2.933,,,,,,2.933,46.705999,129.418996,0.0,36.639999,,,0.0,,-27.940001,8.699999,0.0,8.699999,138.118995,
06/30/1993,99.209999,13.344,13.344,0.0,7.033,,,2.958,,,,,14.378,,,,,37.713001,52.888,85.797997,-32.91,0.0,,,8.609,,,,8.609,61.497,,10.441,10.441,,,,13.289,,,,,,20.673,,,20.673,44.403,42.423,,,,,1.362,,,,,,1.362,43.785,88.188,0.0,36.639999,,,0.0,,-25.618,11.021999,0.0,11.021999,99.209999,
09/30/1993,112.639999,17.594999,17.594999,0.0,14.872,,,1.639,,,,,18.584,,,,,52.689999,52.643002,87.039001,-34.396,0.0,,,7.307,,,,7.307,59.950002,,6.34,6.34,,,,12.951,,,,,,37.353001,,,37.353001,56.644001,41.073002,,,,,1.59,,,,,,1.59,42.663002,99.307003,0.0,36.646,,,0.0,,-23.313,13.333,0.0,13.333,112.640003,
12/31/1993,120.666,15.716,15.716,0.0,22.438999,,,0.667,,,,,22.429001,,,,,61.250999,52.799,87.82,-35.021,0.0,,,6.616,,,,6.616,59.415,,7.539,7.539,,,,13.626,,,,,,48.760003,,,48.760003,69.925003,31.948,,,,,1.661,,,,,,1.661,33.609,103.534003,0.0,36.646,,,0.0,,-19.514,17.132,0.0,17.132,120.666003,
