Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,271.471985,,-158.091003,,113.380981,,-112.952003,,,,,0.429,13.38,,2.631,,0.0,,-16.011,13.809,-0.69,,,13.119,0.0,,,13.119,0.0,13.119,-2.587,,10.532001,10.532001,,166.084,0.065,0.065,,166.084,0.065,0.065,0.065,
06/30/1990,267.700012,,-177.371002,,90.32901,,-105.504997,,,,,-15.176,8.565,,2.707,,0.0,,-11.272,-6.610999,0.69,,,-5.921,0.0,,,-5.920999,0.0,-5.921,-2.588,,-8.509,-8.509,,163.453995,-0.05,-0.05,,163.453995,-0.05,-0.05,-0.05,
09/30/1990,254.173004,,-170.544998,,83.628006,,-103.438004,,,,,-19.809999,2.034,,1.518,,0.0,,-3.552,-17.775999,0.0,,,-17.775999,0.0,,,-17.775999,0.0,-17.775999,-2.587,,-20.362999,-20.362999,,164.201996,-0.125,-0.125,,164.201996,-0.125,-0.125,-0.125,
12/30/1990,265.897003,,-172.5,,93.397003,,-109.959999,,,,,-16.563,-26.411001,,1.426,,0.0,,24.985001,-42.974001,0.0,,,-42.973999,0.0,,,-42.974001,0.0,-42.973999,-2.588,,-45.561999,-45.561999,,164.658004,-0.28,-0.28,-0.28,164.658004,-0.28,-0.28,-0.28,
03/31/1991,274.330994,,-156.487,,117.843994,,-111.703003,,,,,6.141,-1.917,,4.336,,0.0,,-2.419,4.224,0.0,,,4.224,0.0,,,4.224,0.0,4.224,-2.588,,1.636,1.636,,172.723999,0.01,0.01,,172.723999,0.01,0.01,0.01,
06/30/1991,296.786011,,-156.421997,,140.364014,,-120.458,,,,,19.906,-2.636,,5.164,,0.0,,-2.528,17.27,0.0,,,17.27,0.0,,,17.27,0.0,17.27,-2.587,,14.683001,14.683001,,176.806,0.085,0.085,,176.806,0.085,0.085,0.085,
09/29/1991,289.363007,,-159.940002,,129.423004,,-109.510002,,,,,19.913,-2.859,,5.406,,0.0,,-2.547,17.054,0.0,,,17.054001,0.0,,,17.054,0.0,17.054001,-2.588,,14.466001,14.466001,,177.309998,0.08,0.08,,177.309998,0.08,0.08,0.08,
12/29/1991,366.169006,,-185.975006,,180.194,,-116.994003,,,,,63.200001,43.539,,5.974,,0.0,,-49.513,106.739001,0.0,,,106.738998,0.0,,,106.739001,0.0,106.738998,-2.587,,104.151998,104.151998,,167.953994,0.59,0.59,0.59,167.953994,0.59,0.59,0.59,
03/29/1992,407.40799,,-183.214005,,224.193985,,-123.207001,,,,,100.987,-1.107,,4.729,,0.0,,-3.622,99.879999,-14.982,,,84.898003,0.0,,,84.897999,0.0,84.898003,-2.588,,82.310003,82.310003,,182.867996,0.45,0.45,,182.867996,0.45,0.45,0.45,
06/28/1992,350.179993,,-182.182007,,167.997986,,-123.947998,,,,,44.049999,-0.354,,4.84,,0.0,,-4.486,43.695999,-2.247,,,41.449001,0.0,,,41.448999,0.0,41.449001,-2.587,,38.862001,38.862001,,182.830002,0.215,0.215,,182.830002,0.215,0.215,0.215,
09/27/1992,356.677002,,-182.792007,,173.884995,,-122.164001,,,,,51.721001,0.513,,4.597,,0.0,,-5.11,52.234001,-3.134,,,49.099998,0.0,,,49.100001,0.0,49.099998,-2.588,,46.511998,46.511998,,180.774002,0.255,0.255,,180.774002,0.255,0.255,0.255,
12/27/1992,400.223999,,-198.298004,,201.925995,,-128.738998,,,,,73.186996,2.634,,3.061,,0.0,,-5.695,75.820996,-6.257,,,69.564003,0.0,,,69.563996,0.0,69.564003,-2.587,,66.977003,66.977003,,175.884002,0.365,0.365,0.365,175.884002,0.365,0.365,0.365,
03/28/1993,407.433014,,-194.082001,,213.351013,,-130.307999,,,,,83.042999,2.305,,1.082,,0.0,,-3.387,85.347999,-23.896999,,,61.451,0.0,,,61.451,0.0,61.451,-2.587,,58.864,58.864,,187.501999,0.315,0.315,,187.501999,0.315,0.315,0.315,
06/27/1993,409.09201,,-186.931,,222.161011,,-136.576004,,,,,85.584999,3.797,,0.246,,0.0,,-4.043,89.381999,-25.028999,,,64.352997,0.0,,,64.353,0.0,64.352997,-2.588,,61.764997,61.764997,,190.158005,0.325,0.325,,190.158005,0.325,0.325,0.325,
09/26/1993,418.351013,,-199.998993,,218.35202,,-136.884003,,,,,81.468002,3.722,,0.691,,0.0,,-4.413,85.190002,-23.851999,,,61.338001,0.0,,,61.338003,0.0,61.338001,-2.587,,58.751001,58.751001,,191.412003,0.305,0.305,,191.412003,0.305,0.305,0.305,
12/26/1993,413.403992,,-208.552002,,204.85199,,-149.895004,,,,,54.957001,2.875,,1.772,,0.0,,-4.647,57.832001,-16.193001,,,41.639,0.0,,,41.639,0.0,41.639,-2.588,,39.051,39.051,,191.789994,0.205,0.205,0.205,191.789994,0.205,0.205,0.205,
03/27/1994,513.080017,,-230.436996,,282.643021,,-161.115005,,,,,121.528,2.864,,0.739,,0.0,,-3.603,124.392,-39.805,,,84.586998,0.0,,,84.586999,0.0,84.586998,-2.588,,81.998998,81.998998,,192.466003,0.425,0.425,,192.466003,0.425,0.425,0.425,
06/26/1994,533.296997,,-235.623001,,297.673996,,-159.619995,,,,,138.054001,2.542,,0.899,,0.0,,-3.441,140.596001,-47.362,,,93.234001,0.0,,,93.234001,0.0,93.234001,-2.587,,90.647001,90.647001,,194.787994,0.465,0.465,,194.787994,0.465,0.465,0.465,
09/25/1994,543.114014,,-252.408997,,290.705017,,-155.128006,,,,,135.576996,-4.088,,0.205,,0.0,,3.883,131.488996,-44.803001,,,86.685997,0.0,,,86.685995,0.0,86.685997,-2.587,,84.098997,84.098997,,195.556,0.43,0.43,,195.556,0.43,0.43,0.43,
12/25/1994,545.16803,,-263.837006,,281.331024,,-163.350998,,,,,117.980003,-55.488,,0.001,,0.0,,55.487,62.492003,-21.733,,,40.758999,0.0,,,40.759003,0.0,40.758999,-2.588,,38.170999,38.170999,,197.272004,0.195,0.195,0.195,197.272004,0.195,0.195,0.195,
04/02/1995,627.380981,,-305.684998,,321.695984,,-199.608002,,,,,122.087997,5.066,,0.578,,0.0,,-5.644,127.153997,-42.824001,,,84.330002,0.0,,,84.329996,0.0,84.330002,-0.01,,84.320002,84.320002,,254.362,0.33,0.33,0.33,254.362,0.33,0.33,0.33,
07/02/1995,638.867004,,-315.904999,,322.962006,,-212.296997,,,,,110.665001,9.003,,0.501,,0.0,,-9.504,119.668001,-39.015999,,,80.652,0.0,,,80.652002,0.0,80.652,0.0,,80.652,80.652,,273.899994,0.295,0.295,0.295,273.899994,0.295,0.295,0.295,
10/01/1995,606.953003,,-368.359009,,238.593994,,-208.785995,,,,,29.808001,22.404,,0.315,,0.0,,-22.719,52.212,-10.212,,,42.0,0.0,,,42.000001,0.0,42.0,0.0,,42.0,42.0,,278.575989,0.15,0.15,0.15,278.575989,0.15,0.15,0.15,
12/31/1995,595.177979,,-427.058014,,168.119965,,-208.481003,,,,,-40.361,27.859,,1.665,,0.0,,-29.524,-12.502,21.846001,,,9.344,0.0,,,9.344001,0.0,9.344,0.0,,9.344,9.344,,277.881988,0.035,0.035,0.035,277.881988,0.035,0.035,0.035,
03/31/1996,544.211975,,-368.734985,,175.47699,,-197.791,,,,,-22.313999,47.641002,,1.981,,0.0,,-49.622002,25.327003,0.0,,,25.327,0.0,,,25.327003,0.0,25.327,0.0,,25.327,25.327,,266.458008,0.095,0.095,0.095,276.798004,0.09,0.09,0.09,
06/30/1996,455.076996,,-379.778992,,75.298004,,-175.830994,,,,,-100.532997,34.138001,,1.812,,0.0,,-35.950001,-66.394996,31.723,,,-34.672001,0.0,,,-34.671997,0.0,-34.672001,0.0,,-34.672001,-34.672001,,269.373993,-0.13,-0.13,-0.13,269.373993,-0.13,-0.13,-0.13,
09/29/1996,456.862,,-337.691986,,119.170013,,-196.087997,,,,,-76.917999,8.097,,3.443,,0.0,,-11.54,-68.820999,30.459,,,-38.362,0.0,,,-38.362,0.0,-38.362,0.0,,-38.362,-38.362,,270.973999,-0.14,-0.14,-0.14,270.973999,-0.14,-0.14,-0.14,
