Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1989,176.205994,2.792,2.792,0.0,24.504,,,114.833,,,,,6.903,,,,,149.031998,23.676001,,,0.0,,3.498,,,,3.498,27.174001,,37.73,37.73,,,,19.044001,,,,,,8.313997,,,8.313997,65.087997,0.0,,,,,7.095,,,7.095,7.095,72.182997,,55.869999,,,-0.091,,48.244,104.022999,,104.022999,176.205996,
07/31/1989,181.819,1.305,1.305,0.0,22.559999,,,121.373001,,,,,7.335,,,,,152.572998,25.957001,,,0.0,,3.289,,,,3.289,29.246001,,35.448002,35.448002,,,,21.867001,,,,,,7.107994,,,7.107994,64.422997,0.0,,,,,7.457,,,7.457,7.457,71.879996,,56.826,,,-0.091,,53.203999,109.938999,,109.938999,181.818995,
10/31/1989,219.059998,3.505,3.505,0.0,28.731001,,,136.942001,,,,,6.081,,,,,175.259003,34.819,,,0.0,,8.982,,,,8.982,43.801001,,49.689999,49.689999,,,,21.966999,,,,,,7.792999,,,7.792999,79.449997,13.492,,,,,8.575,,,8.575,22.066999,101.516996,,57.516998,,,-0.091,,60.117001,117.542999,,117.542999,219.059996,
01/31/1990,237.061005,2.557,2.557,0.0,33.130001,,,142.544998,,,,,8.677,,,,,186.908997,39.618,46.943,-7.325,0.0,,10.534,,,,10.534,50.152,,28.138,28.138,,,,14.339,,,,,,31.697004,,,31.697004,74.174004,18.226,,,,,9.093,,,9.093,27.319,101.493004,,58.938,,,-0.091,,76.720997,135.567997,,135.567997,237.061001,
04/30/1990,246.901001,2.968,2.968,0.0,33.415001,,,147.513,,,,,9.15,,,,,193.046005,42.195999,,,0.0,,11.659,,,,11.659,53.855,,44.632999,44.632999,,,,24.893999,,,,,,8.311998,,,8.311998,77.838997,18.226,,,,,8.902,,,8.902,27.128,104.966997,,60.562,,,-0.091,,81.463002,141.934002,,141.934002,246.900999,
07/31/1990,260.179993,1.196,1.196,0.0,33.478001,,,153.878998,,,,,11.863,,,,,200.416,47.453999,,,0.0,,12.31,,,,12.31,59.763999,,48.554001,48.554001,,,,26.492001,,,,,,7.570995,,,7.570995,82.616997,18.226,,,,,9.401,,,9.401,27.627,110.243997,,61.206001,,,-0.091,,88.821003,149.936005,,149.936005,260.180001,
10/31/1990,287.197998,2.752,2.752,0.0,39.875,,,168.884995,,,,,10.098,,,,,221.610001,52.848,,,0.0,,12.74,,,,12.74,65.587999,,58.191002,58.191002,,,,31.268999,,,,,,9.179998,,,9.179998,98.639999,18.226,,,,,9.94,,,9.94,28.165999,126.805999,,61.452,,,-0.091,,99.031002,160.392002,,160.392002,287.198001,
01/31/1991,307.268005,4.643,4.643,0.0,43.381001,,,173.964005,,,,,12.362,,,,,234.350006,59.775002,70.950002,-11.175,0.0,,13.143,,,,13.143,72.918002,,39.616001,39.616001,,,,31.046,,,,,,32.468996,,,32.468996,103.130997,18.226,,,,,9.728,,,9.728,27.954,131.084997,,62.250999,,,-0.091,,114.022999,176.182998,,176.182998,307.267995,
05/01/1991,312.871002,5.207,5.207,0.0,43.463001,,,175.779007,,,,,13.17,,,,,237.619003,60.873001,,,0.0,,14.379,,,,14.379,75.252001,,42.943001,42.943001,,,,25.334,,,,,,9.434998,,,9.434998,77.711998,50.0,,,,,10.03,,,10.03,60.03,137.741998,,63.116001,,,-0.091,,112.104,175.129002,,175.129002,312.870999,
07/31/1991,339.384003,7.176,7.176,0.0,51.284,,,183.253998,,,,,13.432,,,,,255.145996,68.319,,,0.0,,15.919,,,,15.919,84.238,,52.131001,52.131001,,,,35.356998,,,,,,9.654999,,,9.654999,97.142998,50.0,,,,,10.584,,,10.584,60.584,157.726997,,64.401001,,,-0.091,,117.346997,181.656998,,181.656998,339.383995,
