Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1989,32.436001,,,-7.709,,24.727001,,-17.306,,,,7.421,-0.039,,,,,0.039,7.382,-1.811,5.571,,,,5.571,,5.571,0.0,,5.571,5.571,,323.664001,0.0175,0.0175,,323.664001,0.0175,0.0175,0.0175,
09/30/1989,34.512001,,,-8.118,,26.394001,,-17.6,,,,8.794,1.971,,,,,-1.971,10.765,-3.256,7.509,,,,7.509,,7.509,0.0,,7.509,7.509,,327.328003,0.023125,0.023125,,327.328003,0.023125,0.023125,0.023125,
12/31/1989,36.609001,,,-8.121,,28.488001,,-18.969,,,,9.519,1.875,,,,,-1.875,11.394,-3.398,7.996,,,,7.996,,7.996,0.0,,7.996,7.996,,331.552002,0.024375,0.024375,,331.552002,0.024375,0.024375,0.024375,
03/31/1990,37.889,,,-7.928,,29.961,,-19.690001,,,,10.271,1.904,,,,,-1.904,12.175,-3.57,8.605,,,,8.605,,8.605,0.0,,8.605,8.605,,307.368016,0.025625,0.025625,0.025625,307.368016,0.025625,0.025625,0.025625,
06/30/1990,39.216,,,-9.126,,30.089999,,-20.216999,,,,9.873,2.075,,,,,-2.075,11.948,-3.678,8.27,,,,8.27,,8.27,0.0,,8.27,8.27,,331.712006,0.025,0.025,,331.712006,0.025,0.025,0.025,
09/30/1990,40.442001,,,-8.611,,31.831001,,-20.693001,,,,11.138,1.979,,,,,-1.979,13.117,-4.039,9.078,,,,9.077999,,9.078,0.0,,9.078,9.078,,332.911987,0.0275,0.0275,,332.911987,0.0275,0.0275,0.0275,
12/31/1990,44.337002,,,-10.084,,34.253002,,-22.466999,,,,11.786,2.127,,,,,-2.127,13.913,-4.198,9.715,,,,9.715,,9.715,0.0,,9.715,9.715,,334.127991,0.029375,0.029375,,334.127991,0.029375,0.029375,0.029375,
03/31/1991,51.909,,,-10.607,,41.302,,-26.365999,,,,14.936,0.953,,1.186,,,-2.139,15.889,-5.083,10.806,,,,10.806,,10.806,0.0,,10.806,10.806,,308.343994,0.030625,0.03125,,308.343994,0.030625,0.03125,0.03125,
06/30/1991,55.133999,,,-11.651,,43.482999,,-28.643999,,,,14.839,1.778,,1.117,,,-2.895,16.617,-5.859,10.758,,,,10.758,,10.758,0.0,,10.758,10.758,,350.552002,0.03125,0.03125,,350.552002,0.03125,0.03125,0.03125,
09/30/1991,58.431999,,,-11.893,,46.539,,-28.004999,,,,18.534,0.846,,1.073,,,-1.919,19.38,-7.111,12.269,,,,12.269,,12.269,0.0,,12.269,12.269,,351.007996,0.035,0.035,,351.007996,0.035,0.035,0.035,
