Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2010,51654,5473,5173,300,3036,3036.0,,,670,,,,,701,,,185.0,516,9880,15214,,,3856.0,3856.0,22704,22704,359,22345,,0,41774,,6235,2662,,,3573.0,1656,0,,,,1656,0,,,6802,0,7891,18535,18535,,,,10682,,,,,3880,29217,37108,0,52857,6016,46841,-227.0,-37582,-502,14546,0,14546,51654,
09/30/2013,87977,7494,6058,1436,3193,,,,1028,0.0,0.0,1028.0,0.0,3715,,,167.0,3548,15430,15312,16197.0,-885.0,137.0,137.0,57098,56761,6819,49942,,337,72547,,9819,3777,,,6042.0,1131,0,,,,1131,0,,,14263,0,10950,32420,32420,,,,18124,,,,,3861,50544,61494,0,27328,39,27289,,-849,4,26483,0,26483,87977,
12/31/2013,86095,7469,6364,1105,3570,,,,1205,0.0,0.0,1205.0,0.0,814,480.0,,186.0,148,13058,16164,17985.0,-1821.0,143.0,143.0,56730,56272,6434,49838,,458,73037,,9675,3312,291.0,491.0,5581.0,994,0,,,,994,0,,,14227,0,10669,32017,32017,,,,17825,,,,,3598,49842,60511,0,27369,39,27330,,-1887,102,25584,0,25584,86095,
03/31/2014,84689,6190,4970,1220,3607,,,,982,0.0,0.0,982.0,0.0,800,,0.0,128.0,672,11579,16299,18748.0,-2449.0,892.0,892.0,55919,55919,6383,49536,,0,73110,,8707,3163,0.0,0.0,5544.0,991,0,0.0,0.0,,991,0,0.0,0.0,14207,0,9698,31787,31787,0.0,0.0,,17892,0.0,0.0,0.0,0.0,3685,49679,59377,0,27403,39,27364,0.0,-2048,-43,25312,0,25312,84689,
06/30/2014,84419,5493,4171,1322,3751,,,,1116,0.0,0.0,1116.0,0.0,1014,,,78.0,936,11374,16852,20053.0,-3201.0,143.0,143.0,56050,55226,6343,48883,,824,73045,,8629,3492,,,5137.0,807,0,,,,807,0,,,14268,0,9436,31687,31687,,,,17932,,,,,3664,49619,59055,0,27422,39,27383,0.0,-2015,-43,25364,0,25364,84419,
09/30/2014,84710,5302,4135,1167,3942,,,,1124,0.0,0.0,1124.0,0.0,902,,,90.0,812,11270,17557,21509.0,-3952.0,146.0,146.0,55737,54839,6343,48496,,898,73440,,9790,4351,,,5439.0,808,0,,,,808,0,,,14331,0,10598,31458,31458,,,,17991,,,,,3660,49449,60047,0,27493,40,27453,0.0,-2780,-50,24663,0,24663,84710,
12/31/2014,83038,3709,3455,254,4362,,,,1513,0.0,0.0,1513.0,0.0,874,,,101.0,773,10458,18853,23308.0,-4455.0,152.0,152.0,53575,52573,6343,46230,,1002,72580,,10942,5220,,,5722.0,1302,0,,,,1302,0,,,13681,0,12244,31160,31160,,,,17545,,,,,3864,48705,60949,0,27518,40,27478,0.0,-5159,-270,22089,0,22089,83038,
03/31/2015,82841,4176,4010,166,833,833.0,0.0,1457.0,1359,0.0,0.0,1359.0,0.0,1952,401.0,,62.0,1489,9777,19721,25079.0,-5358.0,151.0,151.0,53192,52455,6575,45880,,737,73064,,9640,4347,238.0,525.0,4530.0,1300,0,0.0,0.0,,1300,0,0.0,,13898,0,10940,32342,32342,0.0,0.0,,17849,0.0,987.0,,,2964,50191,61131,0,27508,40,27468,-7.0,-5383,-408,21710,0,21710,82841,
06/30/2015,81439,2263,2060,203,3813,,,,949,0.0,0.0,949.0,0.0,760,,,87.0,673,7785,20563,26916.0,-6353.0,0.0,,53091,52104,6575,45529,,987,73654,,7730,3272,,,4458.0,1384,0,,,,1384,0,,,13913,0,9114,32746,32746,,,,17854,,,,,3941,50600,59714,0,27532,40,27492,0.0,-5403,-404,21725,0,21725,81439,
09/30/2015,80851,2075,1972,103,1980,,,,889,0.0,0.0,889.0,0.0,2152,,,63.0,2089,7096,21061,28655.0,-7594.0,0.0,0.0,52694,51755,6575,45180,,939,73755,,7860,3527,,,4333.0,1395,0,,,,1395,0,,,13929,0,9255,32570,32570,,,,17869,,,,,3940,50439,59694,0,27557,40,27517,0.0,-5988,-412,21157,0,21157,80851,
12/31/2015,79551,2216,2175,41,1033,,,,995,0.0,0.0,995.0,0.0,2317,,,0.0,2317,6561,20645,29104.0,-8459.0,0.0,0.0,52345,51434,6575,44859,,911,72990,,7552,3078,,,4474.0,3324,0,,,,3324,186,,,13773,0,11062,30429,30429,,,,17727,,,,,3954,48156,59218,0,27576,40,27536,0.0,-6824,-419,20333,0,20333,79551,
03/31/2016,78975,2641,2641,0,860,860.0,0.0,239.0,1173,0.0,0.0,1173.0,0.0,1920,366.0,,0.0,1554,6833,20297,29989.0,-9692.0,187.0,187.0,51658,51117,6575,44542,,541,72142,,7273,2899,232.0,532.0,3610.0,4690,0,0.0,0.0,,4690,0,0.0,,13959,0,11963,29268,29268,0.0,0.0,,17961,0.0,994.0,,,3008,47229,59192,0,27603,40,27563,-3.0,-7378,-439,19783,0,19783,78975,
06/30/2016,80395,5084,3780,1304,1113,,,,816,0.0,0.0,816.0,0.0,1949,,,0.0,1949,8962,19715,30625.0,-10910.0,0.0,0.0,51718,50907,6575,44332,,811,71433,,6086,1841,,,4245.0,5603,0,,,,5603,0,0.0,,14006,0,11689,31354,31354,,,,17850,,,,,3844,49204,60893,0,27622,40,27582,0.0,-7680,-440,19502,0,19502,80395,
09/30/2016,80828,5656,4006,1650,1004,,,,981,0.0,0.0,981.0,0.0,2215,,,,2215,9856,19176,31372.0,-12196.0,0.0,0.0,51796,50977,6575,44402,,819,70972,,6934,2649,,,4285.0,7014,0,,,,7014,0,,,14120,0,13948,29541,29541,,,,17916,,,,,3796,47457,61405,0,27677,40,27637,0.0,-7822,-432,19423,0,19423,80828,
12/31/2016,81295,6056,3707,2349,1236,,,,1296,0.0,0.0,1296.0,0.0,1984,,,,1984,10572,19333,32674.0,-13341.0,0.0,0.0,51390,50717,6579,44138,,673,70723,,7083,2894,,,4189.0,6554,0,,,,6554,0,,,14238,0,13637,30759,30759,,,,17903,,,,,3665,48662,62299,0,27734,40,27694,0.0,-8301,-437,18996,0,18996,81295,
03/31/2017,85123,8314,2870,5444,2593,2593.0,0.0,1545.0,1064,0.0,0.0,1064.0,0.0,601,298.0,,,303,14117,19209,33712.0,-14503.0,237.0,237.0,51560,50484,6579,43905,,1076,71006,,5569,3281,511.0,435.0,1342.0,5036,0,0.0,0.0,,5036,1853,554.0,,14416,408,12458,35878,35878,0.0,0.0,,17979,207.0,861.0,,,1941,53857,66315,0,27796,40,27756,0.0,-8584,-404,18808,0,18808,85123,
06/30/2017,83324,6827,2478,4349,4089,,,,979,0.0,0.0,979.0,0.0,601,,,,601,12496,18866,34199.0,-15333.0,,,51962,50727,6578,44149,0.0,1235,70828,,6446,2616,,,3830.0,5125,0,,,,5125,0,,,14701,0,11571,34459,34459,,,,18279,,,,,3578,52738,64309,0,27801,40,27761,0.0,-8378,-408,19015,0,19015,83324,
09/30/2017,82466,6412,4802,1610,4118,,,,751,0.0,0.0,751.0,0.0,654,,,,654,11935,18901,35036.0,-16135.0,0.0,0.0,51630,50498,6578,43920,,1132,70531,,6755,2947,,,3808.0,4142,0,,,,4142,0,,,14780,0,10897,34236,34236,,,,18313,,,,,3533,52549,63446,0,27847,40,27807,-9.0,-8426,-392,19020,0,19020,82466,
12/31/2017,81419,4613,4440,173,3917,,,,1009,0.0,0.0,1009.0,0.0,626,626.0,,,0,10165,19712,36439.0,-16727.0,,,51542,50475,6586,43889,,1067,71254,,7035,3176,,,3859.0,4036,0,,,,4036,0,,,7709,0,11071,32825,32825,,,,11218,,,,,3509,44043,55114,0,27865,40,27825,0.0,-1264,-366,26235,70,26305,81419,
03/31/2018,85459,8964,6610,2354,2507,2507.0,0.0,1204.0,1003,0.0,0.0,1003.0,0.0,575,263.0,,,312,14253,19925,37348.0,-17423.0,197.0,197.0,51084,50360,6586,43774,,724,71206,,5512,3409,423.0,410.0,1270.0,3429,0,0.0,0.0,,3429,1859,605.0,,7294,405,10800,37463,37463,0.0,0.0,,10777,199.0,833.0,,,1846,48240,59040,0,27924,40,27884,0.0,-1255,-313,26356,63,26419,85459,
06/30/2018,86449,8386,4378,4008,3492,,,,622,0.0,0.0,622.0,0.0,895,895.0,,,0,13395,20538,38956.0,-18418.0,,,52516,50199,6586,43613,0.0,2317,73054,,6801,3143,,,3658.0,4846,0,,,,4846,0,,,7704,0,11647,35771,35771,,,,11086,,,,,3382,46857,58504,0,27978,40,27938,-4.0,236,-317,27893,52,27945,86449,
