Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1993,76.918999,24.834999,24.834999,0.0,13.661,,,19.239,,,,,1.44,,,,,,59.174999,17.164,27.374001,-10.21,0.0,,0.58,,,,0.58,17.744,,7.511,7.511,,,,10.699,,,,,,8.519999,,,8.519999,26.73,3.749,,,,,0.9,,,,,,0.9,4.649,31.379,0.0,44.183998,,,0.0,,1.356,45.539998,0.0,45.539998,76.918998,
06/30/1993,76.442001,20.535999,20.535999,0.0,15.633,,,19.704,,,,,2.322,,,,,,58.195,17.988001,,,0.0,,0.259,,,,0.259,18.247001,,7.963,7.963,,,,3.923,,,,,,12.262001,,,12.262001,24.148001,3.528,,,,,2.194,,,,,,2.194,5.722,29.870001,0.0,44.200001,,,0.0,,2.372,46.572001,0.0,46.572001,76.442002,
09/30/1993,90.084,23.959999,23.959999,0.0,17.802,,,21.046,,,,,2.392,,,,,,65.199997,24.719999,,,0.0,,0.164,,,,0.164,24.883999,,11.374,11.374,,,,4.343,,,,,,16.554,,,16.554,32.271,5.03,,,,,1.895,,,,,,1.895,6.925,39.196,0.0,44.835999,,,0.0,,6.052,50.887999,0.0,50.887999,90.083999,
12/31/1993,134.473007,41.486,41.486,0.0,22.665001,,,21.757999,,,,,3.741,,,,,,89.650002,44.709,,,0.0,,0.114,,,,0.114,44.823,,15.549,15.549,,,,5.337,,,,,,22.500002,,,22.500002,43.386002,10.879,,,,,1.116,,,,,,1.116,11.995,55.381001,0.0,67.245003,,,0.0,,11.847,79.092003,0.0,79.092003,134.473004,
03/31/1994,151.425003,42.618,24.402,18.216,26.416,,,24.73,,,,,3.248,,,,,,97.012001,54.237,73.539001,-19.302,0.0,,0.176,,,,0.176,54.413,,16.327,16.327,,,,5.534,,,,,,21.567001,,,21.567001,43.428001,14.424,,,,,5.639,,,,,,5.639,20.063,63.491001,0.0,69.055,,,0.0,,18.879,87.934,0.0,87.934,151.425001,
06/30/1994,173.919998,38.819,21.040001,17.778999,30.164,,,28.487,,,,,5.971,,,,,,103.441002,70.253998,,,0.0,,0.225,,,,0.225,70.478998,,22.525999,22.525999,,,,5.602,,,,,,30.182002,,,30.182002,58.310001,15.501,,,,,4.862,,,,,,4.862,20.363,78.673002,0.0,69.195999,,,0.0,,26.051001,95.247,0.0,95.247,173.920002,
09/30/1994,184.192001,25.575001,11.581,13.994,30.997999,,,34.116001,,,,,6.776,,,,,,97.464996,86.494003,,,0.0,,0.233,,,,0.233,86.727003,,24.878,24.878,,,,5.51,,,,,,29.389,,,29.389,59.777,14.778,,,,,4.527,,,,,,4.527,19.305,79.082,0.0,70.578003,,,0.0,,34.532001,105.110004,0.0,105.110004,184.192005,
12/31/1994,224.350006,46.417999,28.427999,17.99,33.23,,,37.304001,,,,,5.877,,,,,,122.829002,101.264,,,0.0,,0.257,,,,0.257,101.521,,22.433001,22.433001,,,,5.644,,,,,,33.709998,,,33.709998,61.786999,13.976,,,,,5.079,,,,,,5.079,19.055,80.841999,0.0,99.620003,,,0.0,,43.888,143.508003,0.0,143.508003,224.350002,
03/31/1995,249.479996,46.194,32.638,13.556,37.868,,,40.201,,,,,13.319,,,,,,137.582001,111.513,148.011002,-36.498001,0.0,,0.385,,,,0.385,111.898,,22.645,22.645,,,,6.101,,,,,,37.529002,,,37.529002,66.275002,15.34,,,,,6.04,,,,,,6.04,21.38,87.655002,0.0,106.957001,,,0.0,,54.868,161.825001,0.0,161.825001,249.480003,
06/30/1995,271.829987,50.190999,36.403999,13.787,42.126999,,,42.251999,,,,,13.708,,,,,,148.278,122.567001,164.589996,-42.022999,0.0,,0.985,,,,0.985,123.552001,,24.129999,24.129999,,,,6.232,,,,,,45.201005,,,45.201005,75.563004,14.941,,,,,6.313,,,,,,6.313,21.254,96.817004,0.0,108.501999,,,0.0,,66.511002,175.013,0.0,175.013,271.830004,
09/30/1995,298.760986,43.875999,30.327999,13.548,46.166,,,46.549,,,,,14.574,,,,,,151.164993,145.927002,194.462006,-48.535,0.0,,1.669,,,,1.669,147.596002,,35.810001,35.810001,,,,5.915,,,,,,44.403996,,,44.403996,86.128998,15.055,,,,,6.468,,,,,,6.468,21.523,107.651998,0.0,111.805,,,0.0,,79.304001,191.109001,0.0,191.109001,298.760999,
12/31/1995,334.876007,32.723999,29.646999,3.077,52.991001,,,51.008999,,,,,18.372,,,,,,155.095993,175.725998,230.761002,-55.035,0.0,,4.054,,,,4.054,179.779998,,49.941002,49.941002,,,,5.745,,,,,,47.928996,,,47.928996,103.614998,27.541,,,,,5.949,,,,,,5.949,33.49,137.104998,0.0,112.643997,,,0.0,,85.126999,197.770996,0.0,197.770996,334.875994,
03/31/1996,358.187012,31.059,31.059,0.0,47.208,,,56.126999,,,,,22.037001,,,,,,156.431,197.382996,259.425995,-62.042999,0.0,,4.373,,,,4.373,201.755996,,47.165001,47.165001,,,,5.677,,,,,,47.733995,,,47.733995,100.575996,33.25,,,,,4.729,,,,,,4.729,37.979,138.554996,0.0,120.772003,,,0.0,,98.860001,219.632004,0.0,219.632004,358.187,
06/30/1996,366.40799,22.573,22.573,0.0,45.352001,,,59.803001,,,,,21.629,,,,,,149.356995,211.945999,281.269989,-69.323997,0.0,,5.105,,,,5.105,217.050999,,45.403,45.403,,,,9.237,,,,,,47.549003,,,47.549003,102.189003,36.243999,,,,,4.807,,,,,,4.807,41.051,143.240003,0.0,121.722,,,-0.004,,101.449999,223.167999,0.0,223.167999,366.408002,
