Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2008,,,,31.963242,2.763822,34.727064,15.254948,1.319076,16.574025,
06/30/2009,48.914,5.326,54.24,29.216168,3.181202,32.39737,13.134484,1.430148,14.564632,
09/30/2009,71.964,5.296,77.26,39.30526,2.892566,42.197826,18.140615,1.33501,19.475625,
12/31/2009,85.073,10.45,85.073,45.822426,5.628629,45.822426,21.110397,2.59311,21.110397,
06/30/2010,84.61,,84.61,49.779666,,49.779666,21.040303,,21.040303,
09/30/2010,126.233,,126.233,61.204176,,61.204176,27.446491,,27.446491,
12/31/2010,,,,49.585189,,49.581778,23.627794,,23.626168,
06/30/2011,264.65,,264.65,69.779154,,69.779154,37.317852,,37.317852,
09/30/2011,281.235,,281.235,69.565099,,69.565099,37.168096,,37.168096,
12/31/2011,311.419,,311.419,73.104424,,73.104424,40.90933,,40.90933,
03/31/2012,273.812,,273.812,65.249106,,65.249106,36.079165,,36.079165,
06/30/2012,195.907,,195.907,51.697731,,51.697731,28.660733,,28.660733,
09/30/2012,193.942,,193.942,49.55996,,49.55996,27.562165,,27.562165,
12/31/2012,179.662,,179.662,46.294736,,46.294736,26.390533,,26.390533,
03/31/2013,230.686,,230.686,56.42093,,56.42093,32.930163,,32.930163,
06/30/2013,197.485,,197.485,53.604389,,53.604389,30.22944,,30.22944,
09/30/2013,286.884,,286.884,68.170023,,68.170023,39.886382,,39.886382,
03/31/2014,126.77,,126.77,43.88297,,43.88297,22.649634,,22.649634,
06/30/2014,92.274,,92.274,34.005403,,34.005403,17.275602,,17.275602,
09/30/2014,93.855,,93.855,33.805785,,33.805785,17.369394,,17.369394,
12/31/2014,92.131,,92.131,36.639889,,36.639889,18.567648,,18.567648,
03/31/2015,89.544,,89.544,36.167996,,36.167996,18.565537,,18.565537,
06/30/2015,81.351,,81.351,37.742528,,37.742528,18.700863,,18.700863,
09/30/2015,27.165,,27.165,15.203412,,15.203412,7.337331,,7.337331,
12/31/2015,19.26,,19.26,11.654998,,11.654998,5.513522,,5.513522,
03/31/2016,16.96,,16.96,10.316804,,10.316804,4.878484,,4.878484,
06/30/2016,22.566,,22.566,13.36041,,13.36041,6.374918,,6.374918,
09/30/2016,33.058,,33.058,17.756984,,17.756984,8.702749,,8.702749,
12/31/2016,49.731,,49.731,25.598909,,25.598909,12.917411,,12.917411,
03/31/2017,47.143,,47.143,23.117359,,23.117359,11.902363,,11.902363,
06/30/2017,42.831,,42.831,17.413099,,17.413099,9.370221,,9.370221,
09/30/2017,34.926,,34.926,13.160552,,13.160552,7.260866,,7.260866,
12/31/2017,88.681,,88.681,25.116546,,25.116546,16.076582,,16.076582,
03/31/2018,87.1,,87.1,23.46248,,23.46248,15.151278,,15.151278,
06/30/2018,68.415,,68.415,21.097573,,21.097573,11.574595,,11.574595,
09/30/2018,32.77,,32.77,10.526147,,10.526147,5.749536,,5.749536,
12/31/2018,27.74,,27.74,9.138287,,9.138287,5.069055,,5.069055,
03/31/2019,33.202,,33.202,10.378868,,10.378868,5.920502,,5.920502,
06/30/2019,42.688,,42.688,12.989843,,12.989843,7.225029,,7.225029,
09/30/2019,27.309,,27.309,8.442749,,8.442749,4.917457,,4.917457,
12/31/2019,26.877,,26.877,8.213916,,8.213916,4.821056,,4.821056,
03/31/2020,14.804,,14.804,4.652347,,4.652347,2.746033,,2.746033,
06/30/2020,12.552,,12.552,3.844069,,3.844069,2.296941,,2.296941,
