Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,3719.976074,109.929001,2528.964111,,,0.0,,0.0,,,,,,876.411011,-2.992,873.419006,56.619999,,,,,,0.0,1024.462963,,,,,,3228.761963,134.139999,,,,,,129.343994,,,,,,,,,55.808998,3548.054955,0,141.453003,,,-4.205,,34.673,171.921003,0,171.921003,3719.975958,
06/30/1990,3763.105957,106.769997,2521.029053,,,0.0,,0.0,,,,,,935.760986,-3.109,932.651978,53.917,,,,,,0.0,1081.389908,,,,,,3271.783936,139.199997,,,,,,128.238998,,,,,,,,,55.991001,3595.213932,0,151.285004,,,-12.113,,28.72,167.892004,0,167.892004,3763.105936,
09/30/1990,3872.343994,109.900002,2689.85791,,,0.0,,0.0,,,,,,876.091003,-2.618,873.473022,51.595001,,,,,,0.0,1020.991081,,,,,,3417.789062,109.315002,,,,,,126.987999,,,,,,,,,57.366001,3711.458065,0,141.567993,,,-15.897,,35.215001,160.885994,0,160.885994,3872.344059,
12/31/1990,4187.98877,90.410004,3050.221924,,,0.0,,0.0,,,,,,844.789978,-2.357,842.432983,51.709999,,,,,,0.0,995.646843,,,,,,3712.524902,143.554001,,,,,,125.661003,,,,,,,,,52.112999,4033.852905,0,142.147995,,,-22.809999,,34.797999,154.135995,0,154.135995,4187.9889,
03/31/1991,4713.305176,107.226997,3481.123047,,,0.0,,0.0,,,,,,922.304993,-2.412,919.893005,51.557999,,,,,,0.0,1073.397133,,,,,,4191.437988,167.690002,,,,,,124.325996,,,,,,,,,70.719002,4554.172989,0,142.158997,,,-9.414,,26.386999,159.131996,0,159.131996,4713.304985,
06/30/1991,4587.858887,116.633003,3229.456055,,,0.0,,0.0,,,,,,1048.5,-2.231,1046.269043,53.596001,,,,,,0.0,1188.173828,,,,,,4093.189941,139.541,,,,,,123.031998,,,,,,,,,62.504002,4418.266941,0,142.166,,,-8.537,,35.963,169.592001,0,169.592001,4587.858942,
09/30/1991,4836.924805,132.550003,3370.885986,,,0.0,,0.0,,,,,,1129.046021,-2.318,1126.728027,56.112999,,,,,,0.0,1277.375816,,,,,,4271.161133,165.455002,,,,,,120.300003,,,,,,,,,97.862999,4654.779137,0,142.179001,,,-8.067,,48.033999,182.146,0,182.146,4836.925137,
12/31/1991,5025.930176,150.475998,3316.574951,,,0.0,,0.0,,,,,,1353.192993,-2.769,1350.42395,59.471001,,,,,,0.0,1499.408226,,,,,,4381.77002,223.550003,,,,,,119.094002,,,,,,,,,101.709,4826.123024,0,142.272995,,,-7.225,,64.759,199.806995,0,199.806995,5025.930019,
03/31/1992,5552.940918,181.014999,3580.256104,,,0.0,,0.0,,,,,,1582.46106,-3.329,1579.131958,63.308998,,,,,,0.0,1728.360817,,,,,,4798.846191,269.260986,,,,,,118.108002,,,,,,,,,139.425003,5325.640182,0,142.244003,,,-6.381,,91.437999,227.301003,0,227.301003,5552.941185,
06/30/1992,5317.487793,184.378998,3171.466064,,,0.0,,0.0,,,,,,1740.843018,-3.078,1737.765015,70.637001,,,,,,0.0,1891.00573,,,,,,4565.666992,255.158997,,,,,,152.619003,,,,,,,,,107.273003,5080.717995,0,142.302002,,,-15.724,,110.192002,236.770004,0,236.770004,5317.487999,
09/30/1992,5505.73291,192.520004,3375.5271,,,0.0,,0.0,,,,,,1722.501953,-2.781,1719.720947,79.601997,,,,,,0.0,1858.083809,,,,,,4775.02002,238.606995,,,,,,152.175003,,,,,,,,,104.132004,5269.934021,0,142.302002,,,-22.233,,115.730001,235.799004,0,235.799004,5505.733025,
12/31/1992,5905.23584,204.289993,3510.148951,,,0.0,,0.0,,,,,,1955.302002,-3.449,1951.853002,89.533997,,,,,,,2101.262899,,,,,,5075.506836,300.829987,,,,,,151.679001,,,,,,,,,118.412003,5646.427827,0,142.337997,,,-26.444,,142.914001,258.807998,0,258.807998,5905.235825,
03/31/1993,6031.97998,253.548996,3445.374023,,,0.0,,0.0,,,,,,2096.905029,-3.539,2093.365967,97.807999,,,,,,0.0,2235.248962,,,,,,5117.064941,320.821014,,,,,,152.638,,,,,,,,,151.585999,5742.109955,0,157.557999,,,-25.903,,158.214996,289.869995,0,289.869995,6031.97995,
06/30/1993,6092.896973,249.494995,3303.655029,,,0.0,,0.0,,,,,,2277.085938,-3.647,2273.438965,117.120003,,,,,,0.0,2422.626945,,,,,,5110.440918,362.519989,,,,,,150.964996,,,,,,,,,146.662994,5770.588898,0,157.557999,,,-25.368999,,190.118999,322.307999,0,322.307999,6092.896896,
09/30/1993,6409.293945,265.097992,3468.302979,,,0.0,,0.0,,,,,,2399.612061,-3.481,2396.131104,122.197998,,,,,,0.0,2553.694977,,,,,,5320.85791,424.709015,,,,,,167.005005,,,,,,,,,152.309006,6064.880936,0,159.770004,,,-24.172001,,208.815006,344.41301,0,344.41301,6409.293945,
12/31/1993,6896.51709,279.828003,3676.319088,,,0.0,,0.0,,,,,,2627.100098,-2.229,2624.871098,136.440002,,,,,,,2803.929997,,,,,,5745.783203,427.36499,,,,,,185.330002,,,,,,,,,158.865997,6517.344192,0,161.647003,,,-23.153,,240.679001,379.173004,0,379.173004,6896.517196,
03/31/1994,7550.26416,331.752014,4207.673828,,,0.0,,0.0,,,,,,2711.808105,-2.491,2709.316895,142.871994,,,,,,0.0,2867.966324,,,,,,6337.519043,446.506989,,,,,,186.931,,,,,,,,,187.447006,7158.404037,0,161.934006,,,-40.792999,,270.718994,391.860001,0,391.860001,7550.264038,
06/30/1994,7265.833008,333.563995,3774.962891,,,0.0,,0.0,,,,,,2863.50293,-2.662,2860.841064,138.173004,,,,,,0.0,3019.133118,,,,,,6025.464844,472.497986,,,,,,186.718002,,,,,,,,,160.673004,6845.353836,0,162.255997,,,-45.183998,,303.40699,420.478989,0,420.478989,7265.832825,
