Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1726.0,,,,,,-1444.0,,,,282.0,-78.0,,94.0,,0.0,-16.0,204.0,-76.0,128.0,0.0,,,128.0,0.0,128.0,0.0,,128.0,128.0,,808.0,0.15875,0.15875,,808.0,0.15875,0.15875,0.15875,
06/30/1990,1784.0,,,,,,-1463.0,,,,321.0,-83.0,,95.0,,0.0,-12.0,238.0,-85.0,153.0,0.0,,,153.0,0.0,153.0,0.0,,153.0,153.0,,800.0,0.19125,0.19125,,800.0,0.19125,0.19125,0.19125,
09/30/1990,1853.0,,,,,,-1523.0,,,,330.0,-79.0,,96.0,,0.0,-17.0,251.0,-90.0,161.0,0.0,,,161.0,0.0,161.0,0.0,,161.0,161.0,,800.0,0.20125,0.20125,,800.0,0.20125,0.20125,0.20125,
12/31/1990,1601.0,,,,,,-1297.0,,,,304.0,-45.0,,95.0,,0.0,-50.0,259.0,-83.0,176.0,0.0,,,176.0,0.0,176.0,0.0,,176.0,176.0,,800.799984,0.22,0.22,0.22,800.799984,0.22,0.22,0.22,
03/31/1991,1743.0,,,,,,-1462.0,,,,281.0,-82.0,,97.0,,0.0,-15.0,199.0,-66.0,133.0,0.0,,,133.0,0.0,133.0,0.0,,133.0,133.0,,804.0,0.165,0.165,,804.0,0.165,0.165,0.165,
06/30/1991,1742.0,,,,,,-1436.0,,,,306.0,-69.0,,99.0,,0.0,-30.0,237.0,-84.0,153.0,0.0,,,153.0,0.0,153.0,0.0,,153.0,153.0,,806.400024,0.19,0.19,,806.400024,0.19,0.19,0.19,
09/30/1991,1743.0,,,,,,-1412.0,,,,331.0,-940.0,,98.0,,0.0,842.0,-609.0,203.0,-406.0,0.0,,,-406.0,0.0,-406.0,0.0,,-406.0,-406.0,,809.599976,-0.5025,-0.5025,,809.599976,-0.5025,-0.5025,-0.5025,
12/31/1991,1801.0,,,,,,-1471.0,,,,330.0,-45.0,,94.0,,0.0,-49.0,285.0,-101.0,184.0,0.0,,,184.0,0.0,184.0,0.0,,184.0,184.0,,811.200012,0.225,0.225,0.225,811.200012,0.225,0.225,0.225,
03/31/1992,1745.0,,,,,,-1450.0,,,,295.0,-78.0,,87.0,,0.0,-9.0,217.0,-72.0,145.0,0.0,,,145.0,0.0,145.0,0.0,,145.0,145.0,,814.799988,0.1775,0.1775,,814.799988,0.1775,0.1775,0.1775,
06/30/1992,1782.0,,,,,,-1426.0,,,,356.0,-43.0,,91.0,,0.0,-48.0,313.0,-107.0,206.0,0.0,,,206.0,0.0,206.0,0.0,,206.0,206.0,,815.200012,0.2525,0.2525,,815.200012,0.2525,0.2525,0.2525,
09/30/1992,1851.0,,,,,,-1502.0,,,,349.0,-64.0,,90.0,,0.0,-26.0,285.0,-100.0,185.0,0.0,,,185.0,0.0,185.0,0.0,,185.0,185.0,,815.599976,0.2275,0.2275,,815.599976,0.2275,0.2275,0.2275,
12/31/1992,1916.0,,,,,,-1601.0,,,,315.0,-29.0,,92.0,,0.0,-63.0,286.0,-94.0,192.0,0.0,,,192.0,0.0,192.0,0.0,,192.0,192.0,,814.670836,0.235,0.235,0.235,814.670836,0.235,0.235,0.235,
03/31/1993,1830.0,,,,,,-1511.0,,,,319.0,-64.0,,84.0,,0.0,-20.0,255.0,-91.0,164.0,175.0,,,-11.0,0.0,-11.0,0.0,,-11.0,-11.0,,820.400024,-0.015,0.1975,,820.400024,-0.015,0.1975,0.1975,
06/30/1993,1848.0,,,,,,-1463.0,,,,385.0,-86.0,,84.0,,0.0,2.0,299.0,-101.0,198.0,0.0,,,198.0,0.0,198.0,0.0,,198.0,198.0,,821.200012,0.24,0.24,,821.200012,0.24,0.24,0.24,
09/30/1993,1901.0,,,,,,-1556.0,,,,345.0,-81.0,,79.0,,0.0,2.0,264.0,-156.0,108.0,0.0,,,108.0,0.0,108.0,0.0,,108.0,108.0,,822.400024,0.1325,0.1325,,822.400024,0.1325,0.1325,0.1325,
