Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,8467.176758,1235.869942,1158.465942,77.403999,905.151978,,,902.143982,,,,,766.718018,,,,,3809.884033,2077.459961,3346.904053,-1269.44397,466.562988,,,2113.27002,,,,,,,2113.27002,4657.292969,,1352.094971,1352.094971,,,,2087.538086,,,,,,539.052002,,,539.052002,3978.685059,538.919006,,,,,598.289001,,,,598.289001,1137.208008,5115.893066,300.0,863.268982,,,-3482.585938,,5670.60083,3351.283875,,3351.283875,8467.176941,
06/30/1990,8658.098633,1107.60495,1033.376953,74.227997,1182.425049,,,995.840027,,,,,567.895996,,,,,3853.766113,2145.804932,3454.060059,-1308.255005,461.02301,,,2197.504883,,,,,,,2197.504883,4804.332825,,1603.415039,1603.415039,,,,1697.456055,,,,,,593.304932,,,593.304932,3894.176025,538.185974,,,,,622.734009,,,,622.734009,1160.919983,5055.096008,300.0,905.523987,,,-3540.362061,,5937.841064,3603.002991,,3603.002991,8658.098999,
09/30/1990,8904.233398,1302.719002,1223.375,79.344002,1024.51001,,,920.184998,,,,,686.286987,,,,,3933.700928,2216.288086,3573.076904,-1356.78894,455.884003,,,2298.360107,,,,,,,2298.360107,4970.532196,,1715.775024,1715.775024,,,,1396.744019,,,,,,650.578857,,,650.578857,3763.0979,587.669983,,,,,618.398987,,,,618.398987,1206.06897,4969.16687,300.0,908.450012,,,-3540.433105,,6267.13501,3935.151917,,3935.151917,8904.318787,
12/31/1990,9278.186523,1492.124054,1429.555054,62.569,951.73999,,,982.312988,,,,,716.601013,,,,,4142.777832,2385.564941,3785.73999,-1400.175049,450.096008,,,2299.748047,,,,,,,2299.748047,5135.408997,,1576.426025,1576.426025,,,,2000.883057,,,,,,719.182129,,,719.182129,4296.491211,535.861023,,,,,596.671021,,,,596.671021,1132.532043,5429.023254,75.0,932.947021,,,-3542.629883,,6383.846924,3849.164062,,3849.164062,9278.187317,
03/31/1991,8730.822266,786.375977,717.422974,68.953003,971.685974,,,1058.238037,,,,,739.5,,,,,3555.800049,2391.352051,3856.114014,-1464.761963,497.054993,,,2286.61499,,,,,,,2286.61499,5175.022034,,1521.531982,1521.531982,,,,1372.017944,,,,,,622.967163,,,622.967163,3516.51709,768.747009,,,,,637.33197,,,,637.33197,1406.078979,4922.596069,,942.744019,,,-3634.353027,,6499.834961,3808.225952,,3808.225952,8730.822021,
06/30/1991,9237.541016,986.325027,908.439026,77.886002,1115.154053,,,1078.324951,,,,,730.452026,,,,,3910.256104,2461.956055,3957.476074,-1495.52002,555.601013,,,2309.728027,,,,,,,2309.728027,5327.285095,,1670.292969,1670.292969,,,,1526.833984,,,,,,682.498047,,,682.498047,3879.625,760.271973,,,,,643.093018,,,,643.093018,1403.36499,5282.98999,,1020.72998,,,-3752.455078,,6686.276123,3954.551025,,3954.551025,9237.541016,
09/30/1991,9778.84082,1238.758026,1154.676025,84.082001,1018.414978,,,1014.187012,,,,,909.051025,,,,,4180.411133,2622.962891,4210.625977,-1587.662964,591.955994,,,2383.510986,,,,,,,2383.510986,5598.429871,,1859.444946,1859.444946,,,,1194.984009,,,,,,800.549072,,,800.549072,3854.978027,1036.598999,,,,,665.588013,,,,665.588013,1702.187012,5557.165039,,1030.688965,,,-3863.610107,,7054.597168,4221.676025,,4221.676025,9778.841064,
12/31/1991,10189.214844,1117.195999,1058.25,58.945999,969.619995,,,987.763977,,,,,1069.66394,,,,,4144.244141,2889.88208,4444.63623,-1554.754028,2851.407959,,,303.681,,,,,,,303.681,6044.971039,,1914.379028,1914.379028,,,,1302.296997,,,,,,1038.496826,,,1038.496826,4255.172852,985.257996,,,,,709.836975,,,,709.836975,1695.094971,5950.267822,0.0,1061.828003,,,-3941.706055,,7118.824951,4238.946899,0.0,4238.946899,10189.214722,
03/31/1992,10064.443359,1000.752991,920.830994,79.921997,1092.526001,,,1107.560059,,,,,1089.900024,,,,,4290.73877,2929.721924,4543.083984,-1613.362061,522.953979,,,2321.028076,,,,,,,2321.028076,5773.703979,,1951.046021,1951.046021,,,,1506.745972,,,,,,803.182129,,,803.182129,4260.974121,965.205994,,,,,734.775024,,,,734.775024,1699.981018,5960.955139,,1097.677979,,,-4387.598145,,7393.408203,4103.488037,,4103.488037,10064.443176,
06/30/1992,10881.518555,1066.465973,986.987976,79.477997,1435.925049,,,1091.051025,,,,,1110.722046,,,,,4704.164062,3143.656982,4844.96582,-1701.30896,618.804016,,,2414.894043,,,,,,,2414.894043,6177.355042,,2332.406982,2332.406982,,,,1766.761963,,,,,,741.075195,,,741.075195,4840.244141,959.64502,,,,,740.698975,,,,740.698975,1700.343994,6540.588135,,1115.29895,,,-4645.763184,,7871.395264,4340.93103,,4340.93103,10881.519165,
09/30/1992,10727.274414,918.350014,841.153015,77.196999,1189.251953,,,1051.873047,,,,,1078.671997,,,,,4238.146973,3392.166016,5159.345215,-1767.178955,665.203003,,,2431.758057,,,,,,,2431.758057,6489.127075,,2232.183105,2232.183105,,,,1439.141968,,,,,,695.243774,,,695.243774,4366.568848,1001.919983,,,,,762.924988,,,,762.924988,1764.844971,6131.413818,,1175.034058,,,-4800.73291,,8221.558838,4595.859985,,4595.859985,10727.273804,
12/31/1992,11051.933594,1062.987968,955.607971,107.379997,1085.635986,,,1018.620972,,,,,1080.432007,,,,,4247.676758,3526.260986,5242.875,-1716.614014,731.598022,,,2546.397949,,,,,,,2546.397949,6804.256958,,2252.975098,2252.975098,,,,2087.283936,,,,,,962.963135,,,962.963135,5303.222168,1120.063965,,,,,740.26001,,,,740.26001,1860.323975,7163.546143,,1295.400024,,,-5201.193848,,7794.181885,3888.388062,,3888.388062,11051.934204,
03/31/1993,10945.0,864.0,774.0,90.0,1072.0,,,1071.0,,,,,1128.0,,,,,4135.0,3577.0,5332.0,-1755.0,2822.0,,,411.0,,,,,,,411.0,6810.0,,2030.0,2030.0,,,,2090.0,,,,,,1017.0,,,1017.0,5137.0,1128.0,,,,,718.0,,,,718.0,1846.0,6983.0,0.0,1317.0,,,-5308.0,,7953.0,3962.0,0.0,3962.0,10945.0,
06/30/1993,11848.0,1080.0,933.0,147.0,1351.0,,,1115.0,,,,,1330.0,,,,,4876.0,3729.0,5545.0,-1816.0,2807.0,,,436.0,,,,,,,436.0,6972.0,,2219.0,2219.0,,,,2323.0,,,,,,1169.0,,,1169.0,5711.0,1163.0,,,,,716.0,,,,716.0,1879.0,7590.0,0.0,1459.0,,,-5637.0,,8436.0,4258.0,0.0,4258.0,11848.0,
09/30/1993,11665.0,1189.0,1040.0,149.0,1151.0,,,1078.0,,,,,1034.0,,,,,4452.0,3711.0,5551.0,-1840.0,3063.0,,,439.0,,,,,,,439.0,7213.0,,2138.0,2138.0,,,,1632.0,,,,,,1160.0,,,1160.0,4930.0,1479.0,,,,,762.0,,,,762.0,2241.0,7171.0,0.0,1476.0,,,-5763.0,,8781.0,4494.0,0.0,4494.0,11665.0,
12/31/1993,12021.0,1078.0,998.0,80.0,1210.0,,,1049.0,,,,,1097.0,,,,,4434.0,3729.0,5596.0,-1867.0,868.0,,,2990.0,,,,,,,2990.0,7587.0,,2217.0,2217.0,,,,1428.0,,,,,,1526.0,,,1526.0,5171.0,1428.0,,,,,838.0,,,,838.0,2266.0,7437.0,0.0,1512.0,,,-5881.0,,8953.0,4584.0,0.0,4584.0,12021.0,
03/31/1994,12409.0,1100.0,959.0,141.0,1237.0,,,1071.0,,,,,1160.0,,,,,4568.0,3824.0,5764.0,-1940.0,3467.0,,,550.0,,,,,,,550.0,7841.0,,2130.0,2130.0,,,,1610.0,,,,,,1552.0,,,1552.0,5292.0,1440.0,,,,,861.0,,,,861.0,2301.0,7593.0,0.0,1533.0,,,-6047.0,,9330.0,4816.0,0.0,4816.0,12409.0,
