Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/24/1990,316.809998,-227.167999,89.641998,-13.892,75.75,-7.77,,-2.463,65.517,-26.731001,38.785999,0.0,0.0,38.785999,-1.878,36.907999,36.907999,,0.91,0.91,40.535,,,,,
06/16/1990,317.203003,-233.604004,83.598999,-14.713,68.886002,-9.04,,1.115,60.961002,-26.389999,34.570999,0.0,0.0,34.570999,-1.878,32.692999,32.693002,,0.81,0.81,40.497002,,,,,
09/08/1990,294.217987,-223.953003,70.264984,-12.291,57.973999,-9.688,,-10.445,37.841,-15.893,21.948,0.0,0.0,21.948,-1.877,20.071,20.071,,0.5,0.5,40.466,,,,,
12/30/1990,437.453003,-346.458008,90.994995,-23.232,67.763,-16.613001,,-13.269,37.880999,-14.986,22.895,0.0,0.0,22.895,-2.501,20.394,20.393999,0.51,0.51,0.51,40.153,0.51,0.51,0.51,40.153,
03/23/1991,331.821991,-253.309998,78.511993,-15.026,63.486,-20.077999,,3.56,46.968001,-19.069,27.899,0.0,0.0,27.899,-1.877,26.022,26.022001,,0.64,0.64,40.541,,,,,
06/15/1991,346.204987,-261.377991,84.826996,-16.712,68.114998,-21.1,,-5.002,42.012998,-17.413,24.6,0.0,0.0,24.6,-1.876,22.724,22.723997,,0.55,0.55,40.497002,,,,,
09/07/1991,341.822998,-267.096985,74.726013,-15.819,58.907001,-22.289,,4.356,40.974002,-16.799,24.174999,0.0,0.0,24.174999,-1.876,22.298999,22.299002,,0.54,0.54,41.203999,,,,,
12/28/1991,415.17099,-349.417999,65.752991,-16.587,49.166,-26.775999,,-8.145,14.245001,-8.519,5.726,0.0,0.0,5.726,-2.371,3.355,3.355001,0.08,0.08,0.08,40.6665,0.08,0.08,0.08,40.6665,
03/21/1992,323.041992,-263.949005,59.092987,-15.475,43.618,-17.771,,0.994,26.841,-10.495,16.346001,9.0,0.0,25.346001,-1.875,23.471001,14.471,,0.36,0.58,40.792999,,,,,
06/13/1992,345.31601,-272.269012,73.046997,-13.363,59.683998,-19.686001,,1.55,41.547997,-16.245001,25.302999,0.0,0.0,25.302999,-1.777,23.526,23.525996,,0.57,0.57,41.001999,,,,,
