Date,Assets,Real Estate Held for Sale,Real Estate Equity Interests,Net Real Estate Property,Gross Real Estate Property,Accumulated Depreciation,Net Mortgages & Notes,Mortgage Loan (REIT),Notes Receivable,Allowance for Loan Losses,Mortgage Backed Invt,Total Real Estate Investments,Cash & Near Cash Items,Accounts Receivable,Other Investments,Other Assets,Restricted Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,ST Liabilities & Deposits,Secured & Unsecured Debt,Unsecured Debt,Secured Debt,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1997,,0,73.372002,100.147003,27.947001,-1.172,0,0,0,0,0,100.147003,4.283,3.113,0,18.348,33.567001,159.457993,,33.744999,0.0,37.963001,,,43.778999,115.487,195.567001,7.153,188.132004,-346.881012,43.970993,159.457993,
09/30/1997,,0,70.363998,98.210999,29.240999,-1.394,0,0,0,0,0,98.210999,2.475,3.138,0,17.457001,27.983,149.264008,,34.542999,0.0,46.041,,,34.609001,115.193001,201.889008,0.979,188.132004,-356.928986,34.071026,149.264008,
12/31/1997,,0,26.485001,55.000999,30.132,-1.616,0,0,0,0,0,55.000999,42.743999,12.703,0,13.411,0.321,124.18,,8.534,0.0,31.256001,,,27.209999,67.0,208.363998,1.769,188.132004,-341.084991,57.180011,124.18,
03/31/1998,,0,0.643,19.67,20.657,-1.63,0,0,0,0,0,19.67,34.193001,15.467,0,49.686001,0.287,119.303001,,5.033,3.801,23.415001,,,13.402,45.651001,214.996002,0.558,188.132004,-330.033997,73.652009,119.303001,
06/30/1998,,0,0.609,26.042,27.228001,-1.795,0,0,0,0,0,26.042,30.084999,7.991,0,51.394001,0.0,115.512001,,7.3,0.0,27.804001,,,12.258,47.362,221.787003,0.62,188.132004,-342.389008,68.149999,115.512001,
09/30/1998,,0,0.589,29.046,30.42,-1.963,0,0,0,0,0,29.046,28.243,7.729,0,47.167999,0.4,112.585999,,5.591,0.0,32.541,,,12.108,50.240002,228.744003,0.558,188.132004,-355.088013,62.345994,112.585999,
12/31/1998,,0,0.678,30.846001,32.419998,-2.252,0,0,0,0,0,30.846001,29.246,2.805,0,52.571999,0.3,115.768997,,5.328,0.0,34.403,,,11.893,51.624001,235.871002,0.481,188.132004,-360.338989,64.145017,115.768997,
03/31/1999,,0,27.038,57.312,33.029999,-2.756,0,0,0,0,0,57.312,27.993,2.767,0,29.148001,0.0,117.220001,,4.851,0.0,34.676998,,,12.046,51.574001,243.169006,0.41,188.134995,-366.067993,65.646008,117.220001,
06/30/1999,,0,25.836,25.926001,0.175,-0.085,0,0,0,0,0,25.926001,37.487,4.332,0,23.093,0.0,90.837997,,1.257,3.676,9.169,,,11.023,25.125,250.651993,0.0,188.134995,-373.074005,65.712982,90.837997,
09/30/1999,,0,24.141001,24.225,0.174,-0.09,0,0,0,0,0,24.225,39.587002,1.865,0,23.284,0.0,88.960999,,1.571,2.834,9.346,,,10.968,24.719,258.319,0.0,188.134995,-382.212006,64.241989,88.960999,
12/31/1999,,0,24.995001,25.072001,0.171,-0.094,0,0,0,0,0,25.072001,17.306999,2.021,0,30.403999,0.0,74.804001,,1.691,2.751,29.601999,,,10.912,44.956001,0.0,0.0,193.365997,-163.518005,29.847992,74.804001,
03/31/2000,,0,24.577,24.653,0.172,-0.096,0,0,0,0,0,24.653,10.754,2.374,0,38.764999,0.0,76.545998,,1.698,3.017,30.322001,,,10.667,45.703999,0.0,0.0,193.365997,-162.524002,30.841995,76.545998,
06/30/2000,,0,21.903999,21.974001,0.172,-0.102,0,0,0,0,0,21.974001,17.5,1.84,0,28.905001,0.0,70.219002,,1.342,1.448,30.075001,,,10.628,43.493,0.0,0.0,193.365997,-166.639999,26.725998,70.219002,
09/30/2000,,0,12.522,12.586,0.172,-0.108,0,0,0,0,0,12.586,17.187,1.908,0,28.778,0.0,60.459,,1.561,1.897,30.346001,,,10.618,44.422001,0.0,0.0,193.365997,-177.328995,16.037003,60.459,
12/31/2000,,0,16.372,16.429001,0.163,-0.106,0,0,0,0,0,16.429001,21.549999,1.988,0,22.253,0.0,62.220001,,1.283,12.019,30.722,,,0.0,44.023998,0.0,0.0,193.365997,-175.169998,18.195999,62.220001,
03/31/2001,,0,14.037,0.051,0.163,-0.112,0,0,0,0,0,14.088,13.666,0.364,0,24.709999,0.0,52.827999,,0.96,1.804,20.915001,,,8.418,32.097,0.0,0.0,193.365997,-172.634995,20.731003,52.827999,
06/30/2001,,0,0.0,0.045,0.163,-0.118,0,0,0,0,0,0.045,7.218,0.162,0,33.978001,0.0,41.403,,0.874,1.267,11.824,,,8.418,22.382999,0.0,0.0,193.365997,-174.345993,19.020004,41.403,
