Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,48.576,5.89,5.89,0.0,9.307,,,9.627,,,,,1.001,,,,,25.825001,21.247,30.756001,-9.509,0.0,1.504,,,,,1.504,22.751,,5.132,5.132,,,,2.467,,,,,,5.464,,,5.464,13.063,4.524,,,,,0.68,,,,,,0.68,5.204,18.267,0.0,27.007,,,0.0,,3.302,30.309,0.0,30.309,48.576,
12/31/1989,53.144001,2.007,2.007,0.0,10.538,,,10.527,,,,,0.751,,,,,23.823,27.877001,37.408001,-9.531,0.0,1.444,,,,,1.444,29.321001,,5.219,5.219,,,,5.144,,,,,,5.181,,,5.181,15.544,4.644,,,,,0.68,,,,,,0.68,5.324,20.868,0.0,27.148001,,,0.0,,5.128,32.276,0.0,32.276,53.144,
03/31/1990,56.395,2.729,2.729,0.0,9.503,,,12.132,,,,,0.763,,,,,25.127001,28.646,39.006001,-10.36,0.0,2.622,,,,,2.622,31.268,,5.564,5.564,,,,5.212,,,,,,6.172,,,6.172,16.948,4.166,,,,,0.68,,,,,,0.68,4.846,21.794,0.0,27.533001,,,0.0,,7.068,34.601001,0.0,34.601001,56.395001,
06/30/1990,60.681,4.935,4.935,0.0,9.971,,,12.652,,,,,1.632,,,,,29.190001,28.250999,38.655998,-10.405,0.0,3.24,,,,,3.24,31.490999,,5.541,5.541,,,,4.802,,,,,,6.777001,,,6.777001,17.120001,4.921,,,,,0.924,,,,,,0.924,5.845,22.965001,0.0,28.370001,,,0.0,,9.346,37.716001,0.0,37.716001,60.681002,
09/30/1990,62.012001,3.941,3.941,0.0,11.385,,,13.487,,,,,1.64,,,,,30.452999,28.509001,39.897999,-11.389,0.0,3.05,,,,,3.05,31.559001,,5.803,5.803,,,,2.374,,,,,,7.987,,,7.987,16.164,4.417,,,,,0.924,,,,,,0.924,5.341,21.504999,0.0,28.902,,,0.0,,11.605,40.507,0.0,40.507,62.011999,
12/30/1990,63.063,4.902,4.902,0.0,11.235,,,14.196,,,,,1.834,,,,,32.167,28.173,39.157001,-10.984,0.0,2.723,,,,,2.723,30.896,,4.623,4.623,,,,2.47,,,,,,7.938999,,,7.938999,15.032,4.011,,,,,0.924,,,,,,0.924,4.935,19.967,0.0,29.104,,,0.0,,13.992,43.096,0.0,43.096,63.062999,
03/31/1991,68.360001,9.782,9.782,0.0,12.135,,,14.211,,,,,1.844,,,,,37.972,28.091999,39.479,-11.387,0.0,2.296,,,,,2.296,30.387999,,5.643,5.643,,,,2.142,,,,,,9.121,,,9.121,16.906,3.929,,,,,0.924,,,,,,0.924,4.853,21.759,0.0,29.98,,,0.0,,16.621,46.601,0.0,46.601,68.36,
06/30/1991,71.839996,14.875,9.789,5.086,10.967,,,14.643,,,,,1.659,,,,,42.144001,27.778999,40.007999,-12.229,0.0,1.917,,,,,1.917,29.695999,,5.01,5.01,,,,1.948,,,,,,8.923,,,8.923,15.881,2.745,,,,,1.98,,,,,,1.98,4.725,20.606,0.0,31.780001,,,0.0,,19.454,51.234001,0.0,51.234001,71.840001,
09/30/1991,76.686996,18.939,11.853,7.086,12.797,,,14.84,,,,,1.714,,,,,48.290001,27.441,40.896,-13.455,0.0,0.956,,,,,0.956,28.397,,4.908,4.908,,,,1.911,,,,,,10.583,,,10.583,17.402,2.285,,,,,1.98,,,,,,1.98,4.265,21.667001,0.0,32.352001,,,0.0,,22.667999,55.02,0.0,55.02,76.687001,
12/31/1991,81.889,23.633,10.621,13.012,12.777,,,14.476,,,,,2.798,,,,,53.683998,27.306999,41.532001,-14.225,0.0,0.898,,,,,0.898,28.204999,,7.086,7.086,,,,1.462,,,,,,11.326001,,,11.326001,19.874001,1.219,,,,,1.98,,,,,,1.98,3.199,23.073001,0.0,32.967999,,,0.0,,25.848,58.815998,0.0,58.815998,81.888999,
