Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2009,144344,25229,25092,137,7725,10610,4291,0,6319,0,24780,53.0,663.0,698.0,23946,68344,18639,,,0,,57361,46018,30633.0,15385.0,96.0,6088,4408,76000,,43328,20322,,,23006,12815,12815,,,,,2637,,275.0,,1831,58780,2659,2659,,,,61919,,47555,14089,64578,123358,1741.0,18791,4,18787,,-899,677,20310,676,20986,144344,
12/31/2009,136295,22813,22679,134,7518,10107,4201,0,5906,0,18809,44.0,388.0,564.0,17844,59247,18687,19972.0,-1285.0,0,,58361,45219,30672.0,14547.0,98.0,7936,4500,77048,,40445,18725,0.0,0.0,21720,10221,9497,,,,724.0,1769,0.0,146.0,807.0,1144,52435,5562,5562,,,,49343,0.0,35794,12596,54905,107340,6998.0,24055,5,24050,0.0,-4394,1588,28247,708,28955,136295,
03/31/2010,136021,23463,23310,153,8694,11192,4761,0,6431,0,17008,41.0,60.0,,16817,60357,18432,,,0,,57232,44177,30487.0,13690.0,,8430,4584,75664,,42857,20450,,,22407,8773,8052,,,,721.0,408,,39.0,,60,52038,5401,5401,,,,48531,,35286,13206,53932,105970,6998.0,24055,5,24050,0.0,-3529,1713,29237,814,30051,136021,
06/30/2010,131899,31534,26773,4761,8662,11533,5199,0,6334,0,6078,26.0,0.0,,6001,57807,18106,,,0,,55986,43006,30186.0,12820.0,,8296,4658,74092,,44468,20755,,,23713,5524,4852,,,,672.0,355,,15.0,,0,50347,2637,2637,,,,48016,,34639,13362,50653,101000,6998.0,24057,5,24052,0.0,-2195,1153,30013,886,30899,131899,
09/30/2010,137238,33476,27466,6010,8725,13044,5736,0,7308,0,6339,29.0,0.0,,6218,61584,19116,,,0,,56538,43010,30556.0,12454.0,,8691,4808,75654,,46726,22137,,,24589,5621,5134,,,,487.0,222,,,,0,52569,2945,2945,,,,51008,,37686,13322,53953,106522,6998.0,24056,15,24041,0.0,-236,-1073,29745,971,30716,137238,
12/31/2010,138898,26616,21061,5555,8699,12125,5487,0,6638,0,5613,44.0,,308.0,4658,53053,19235,22512.0,-3277.0,8197,8197.0,58413,43660,31778.0,11882.0,,8529,5872,85845,,45426,21497,0.0,0.0,23929,1616,1123,,,,493.0,115,0.0,7.0,1207.0,0,47157,9974,9974,,,,44608,0.0,31188,12206,54582,101739,10391.0,24272,15,24257,0.0,266,1251,36180,979,37159,138898,
03/31/2011,145846,29593,20975,8618,12990,13991,6367,0,7624,0,6375,56.0,,,6207,62949,19944,,,8276,8276.0,54677,41505,30017.0,11488.0,,6937,6179,82897,,49887,24739,,,25148,1743,1743,,,,,52,,7.0,,0,51682,10741,10741,,,,44337,,31056,13274,55078,106760,10391.0,24362,15,24347,0.0,1951,1494,38198,888,39086,145846,
06/30/2011,150415,32769,20471,12298,11789,14105,6328,0,7777,0,7321,132.0,,,7178,65984,20989,,,8587,8587.0,54855,41129,30046.0,11083.0,,7160,6434,84431,,51800,25412,,,26388,2027,2027,,,,,21,,6.0,,0,53848,9994,9994,,,,44541,,30768,13767,54535,108383,10391.0,24427,15,24412,0.0,4729,1571,41118,914,42032,150415,
09/30/2011,148497,31977,20297,11680,10512,15220,6744,0,8476,0,6301,115.0,,,6222,64010,21556,,,8918,8918.0,54013,40381,29883.0,10498.0,,7534,5983,84487,,50140,25646,,,24494,1543,1543,,,,,65,,5.0,,0,51748,10122,10122,,,,41011,,27526,13480,51133,102881,10391.0,26346,16,26330,0.0,6595,1412,44744,872,45616,148497,
12/31/2011,144603,32219,16071,16148,9964,14324,6486,0,7838,0,8416,124.0,,512.0,7788,64923,23005,27616.0,-4611.0,5911,5911.0,50764,39033,29019.0,10014.0,,6790,4305,79680,,47369,24551,0.0,0.0,22818,5800,5511,139.0,139.0,,150.0,57,0.0,10.0,913.0,0,53226,8033,7180,853.0,853.0,,44353,0.0,31911,11519,52386,105612,10391.0,26407,16,26391,0.0,7183,-5861,38120,871,38991,144603,
