Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,101.818001,69.377998,59.806999,-17.664,213.339005,,,,,,,,,,,,,,,,,,,
06/30/1990,,103.963997,78.992996,-131.468994,18.441999,69.93,,,,,,,,,,,,,,,,,,,
09/30/1990,,109.068001,95.538002,-94.318001,-20.375999,89.912003,,,,,,,,,,,,,,,,,,,
12/31/1990,,108.523003,130.940994,-32.924999,-46.014,160.524994,,,,,,,,,,,,,,,,,160.524994,,
03/31/1991,,129.550003,120.814003,-26.834,32.222,255.751999,,,,,,,,,,,,,,,,,,,
06/30/1991,,139.242996,103.908997,-136.570007,-25.114,81.468002,,,,,,,,,,,,,,,,,,,
09/30/1991,,133.960999,165.684998,-34.640999,-23.334999,241.669998,,,,,,,,,,,,,,,,,,,
12/31/1991,,182.686005,228.123993,26.676992,25.556999,463.044006,,,,,,,,,,,,,,,,,463.044006,,
03/31/1992,,182.350006,275.895996,49.666,-298.713013,209.199005,,,,,,,,,,,,,,,,,,,
06/30/1992,,242.901993,190.401993,61.942001,294.933014,790.179016,,,,,,,,,,,,,,,,,,,
09/30/1992,,245.707993,190.380005,349.895996,-93.860001,692.124023,,,,,,,,,,,,,,,,,,,
12/31/1992,,205.628006,219.791,-472.790985,-256.289001,-303.661011,,,,,,,,,,,,,,,,,-303.661011,,
03/31/1993,,286.877014,200.074005,80.106003,90.735001,657.791992,,,,,,,,,,,,,,,,,,,
06/30/1993,,281.94101,151.311005,-323.987,-111.046997,-1.782,,,,,,,,,,,,,,,,,,,
09/30/1993,,284.911011,172.639008,232.268997,-227.813004,462.006012,,,,,,,,,,,,,,,,,,,
12/31/1993,,300.243988,217.729004,-92.587997,-189.026993,236.358002,,,,,,,,,,,,,,,,,236.358002,,
03/31/1994,,326.950012,148.153,105.060997,455.591003,1035.755005,,,,,,,,,,,,,,,,,,,
06/30/1994,,330.570007,121.101997,-32.354,528.052979,947.370972,,,,,,,,,,,,,,,,,,,
09/30/1994,,311.92099,218.488998,-410.737,89.317001,208.990005,,,,,,,,,,,,,,,,,,,
12/31/1994,,64.376999,209.136993,514.087021,-110.93,676.671021,,,,,,,,,,,,,,,,,676.671021,,
03/31/1995,,302.518005,141.246994,184.817001,122.531998,751.114014,,,-66.212997,,,,,,,,,,,,,,,,
06/30/1995,,307.481995,161.524994,-377.718994,-172.485992,-81.197998,,,-84.727997,,,,,,,,,,,,,,,,
09/30/1995,,331.016998,204.160995,82.887001,-116.787003,501.278015,,,-76.410004,,,,,,,,,,,,,,,,
12/31/1995,,336.746002,243.087997,-29.899994,-51.216,498.717987,-113.258003,,-113.258003,,,,,,,,,,,,,,385.459984,,
03/31/1996,,422.799988,75.650002,65.050003,0.0,563.5,,,-72.827003,,,,,,,,,,,,,,,,
06/30/1996,,395.200012,75.650002,180.949997,0.0,651.799988,,,-79.087997,,,,,,,,,,,,,,,,
09/30/1996,,412.799988,69.300003,-58.099998,0.0,424.0,,,-153.485001,,,,,,,,,,,,,,,,
12/31/1996,,442.0,1022.900024,-365.799988,-1275.800049,-176.699997,-126.800003,,-126.800003,,,,,,,,,,,,,,-303.5,,
03/31/1997,,410.899994,,,,1013.0,,,-94.599998,,,,,,,,,,,,,,,,
06/30/1997,,48.700001,,,,207.5,,,-93.800003,,,,,,,,,,,,,,,,
09/30/1997,,464.799988,,,,41.200001,,,-206.600006,,,,,,,,,,,,,,,,
12/31/1997,,474.799988,1316.400024,48.0,-1374.300049,464.899994,-131.5,,-131.5,,,,,,,,,,,,,,333.399994,,
03/31/1998,,933.0,557.0,1508.0,-240.0,2758.0,,,-196.0,,,,,,,,,,,,,,,,
06/30/1998,,895.0,567.0,238.0,57.0,1757.0,,,-222.0,,,,,,,,,,,,,,,,
09/30/1998,,1054.0,512.0,-1235.0,-280.0,51.0,,,,,,,,,,,,,,,,,,,
12/31/1998,,226.0,452.0,-1446.0,470.0,-298.0,,,-406.0,,,,,,,,,,,,,,,,
03/31/1999,,1151.0,456.0,-941.0,-253.0,413.0,,,-127.0,,,,,,,,,,,,,,,,
06/30/1999,,992.0,444.0,478.0,590.0,2504.0,,,-28.0,,,,,,,,,,,,,,,,
09/30/1999,,925.0,444.0,-1031.0,-1597.0,-1259.0,,,,,,,,,,,,,,,,,,,
12/31/1999,,411.0,602.0,228.0,735.0,1976.0,,,-438.0,,,,,,,,,,,,,,,,
03/31/2000,,689.0,524.0,-212.0,2392.0,3393.0,,,-132.0,,,,,,,,,,,,,,,,
06/30/2000,,-1269.0,1453.0,331.0,1369.0,1884.0,,,,,,,,,,,,,,,,,,,
09/30/2000,,581.0,659.0,1478.0,3274.0,5992.0,,,,,,,,,,,,,,,,,,,
12/31/2000,,-512.0,1696.0,-210.0,4585.0,5559.0,,,,,,,,,,,,,,,,,,,
03/31/2001,,679.0,720.0,3664.0,-2541.0,2522.0,,,0.0,,,,,,,,,,,,,,,,
06/30/2001,,664.0,681.0,-3254.0,-1695.0,-3604.0,,,-87.0,,,,,,,,,,,,,,,,
09/30/2001,,754.0,767.0,258.0,1231.0,3010.0,,,-122.0,,,,,,,,,,,,,,,,
12/31/2001,,541.0,913.0,-556.0,-451.0,447.0,,,,,,,,,,,,,,,,,,,
03/31/2002,,787.0,794.0,370.0,-819.0,1132.0,,,-93.0,,,,,,,,,,,,,,,,
06/30/2002,,843.0,729.0,3126.0,719.0,5417.0,,,-42.0,,,,,,,,,,,,,,,,
09/30/2002,,823.0,724.0,-871.0,-256.0,420.0,,,-234.0,,,,,,,,,,,,,,,,
12/31/2002,,842.0,764.0,-2472.0,-665.0,-1531.0,,,-119.0,,,,,,,,,,,,,,,,
03/31/2003,,818.0,630.0,6004.0,-2883.0,4569.0,,,-281.0,,,,,,,,,,,,,,,,
06/30/2003,,856.0,602.0,-3968.0,-1405.0,-3915.0,,,-296.0,,,,,,,,,,,,,,,,
09/30/2003,,883.0,562.0,-3868.0,-2379.0,-4802.0,,,-376.0,,,,,,,,,,,,,,,,
12/31/2003,,978.0,827.0,1294.0,1849.0,4948.0,,,-709.0,,,,,,,,,,,,,,,,
03/31/2004,,1233.0,286.0,-470.0,2867.0,3916.0,9427.0,32.0,-351.0,-16647.0,16597.0,9551.0,245.0,-13071.0,-280.0,-6698.0,913.0,-2733.0,316.0,-196.0,-4467.0,74.0,272.0,,
