Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
01/31/1990,118.824997,,121.599998,,6.945724,1.514803,-0.030428,0.17,0.17,,,,,0.175,-0.775493,22.393437,30.906797,
04/30/1990,118.915001,,120.900002,,6.712159,1.770885,0.086022,0.18,0.18,,,,,0.175,-0.640199,13.748476,30.99609,
07/31/1990,118.953003,,120.699997,,8.577465,2.845071,1.274234,0.88,0.88,,,,,0.175,0.647059,13.80293,31.791547,
10/31/1990,117.362999,120.099998,120.099998,,9.805162,3.981682,1.196503,0.93,0.93,0.93,0.93,0.93,0.93,0.175,2.338052,14.198683,32.626977,
01/31/1991,117.617996,,118.400002,,7.576858,1.725507,-0.228041,-0.06,-0.06,,,,,0.175,-0.298142,13.614413,32.435514,
04/30/1991,117.607002,,118.599998,,7.319561,1.169477,-0.727656,-0.47,-0.47,,,,,0.175,-0.462901,12.534968,31.86375,
07/31/1991,117.814003,,118.599998,,8.127319,2.530354,1.26054,0.86,0.86,,,,,0.175,-0.252108,12.115707,32.487648,
10/31/1991,117.757004,118.599998,118.599998,,9.833896,4.706577,1.025295,0.7,0.7,0.7,0.7,0.7,0.7,0.175,1.72344,13.383493,33.07489,
01/31/1992,118.031998,,118.599998,,9.026981,2.05059,0.232715,0.16,0.16,,,,,0.175,1.24199,14.639251,33.088485,
04/30/1992,118.230003,,119.0,,7.797479,2.086555,0.421849,0.23,0.23,,,,,0.2,0.401681,13.411993,33.114268,
07/31/1992,118.396004,,119.199997,,8.925336,2.96057,1.316275,0.95,0.95,,,,,0.2,-2.487416,10.706443,33.958917,
10/31/1992,117.459999,117.928001,117.928001,,10.1969,4.261075,1.368632,0.85,0.92,0.92,0.85,0.92,0.92,0.2,2.70928,10.525285,34.492594,
01/31/1993,117.998001,,119.599998,,8.895485,2.950669,1.311873,0.96,0.96,,,,,0.2,-0.676421,8.148443,34.102273,
04/30/1993,118.199394,,118.800003,,8.03367,1.436027,-0.100168,-0.08,-0.08,,,,,,-0.29798,7.972122,33.302202,
07/31/1993,117.998001,,119.800003,,7.877295,,0.015025,-0.56,0.0,,,,,0.2,-0.404007,8.148443,34.102273,
10/31/1993,118.198997,117.000001,117.000001,,8.157265,3.017094,-0.101709,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,0.2,-0.964103,7.972149,33.012971,
07/31/1994,118.384003,,119.800003,,11.282971,3.716194,1.590985,1.01,1.01,,,,,0.2,-0.079299,8.443708,33.833964,
10/31/1994,119.584999,,118.065002,,11.788422,3.609876,-0.442976,0.8,0.8,,,,,0.2,1.769364,8.421625,34.534433,
01/31/1994,121.897003,,118.065002,,8.584254,-5.597764,-0.442976,-0.31,-0.31,,,,,0.2,-1.53136,7.231515,34.347031,
03/31/1994,122.792999,,120.0,,5.6375,5.3125,-3.029167,-1.45,-1.45,,,,,0.0,-0.12,2.496885,33.170459,
06/30/1994,122.792999,,122.800003,,9.760586,2.805375,0.610749,0.28,0.28,,,,,0.0,-0.903909,3.026231,33.457119,
