Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,406.720978,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.923998,,,18.923998,18.923998,,8.875999,2.13,2.13,,8.875999,2.13,2.13,2.13,
03/31/1990,328.222992,,-241.207993,,87.014999,,-43.563,,,,,43.452,-23.395001,,19.530001,,,,3.865,20.056999,-7.324,,12.733,0.0,,,12.732999,,12.733,0.0,,12.733,12.733,,8.929,1.43,1.43,,8.929,1.43,1.43,1.43,
06/30/1990,331.714996,,-245.550995,,86.164001,,-50.530998,,,,,35.632999,-19.678,,19.556,,,,0.122,15.955,-6.042,,9.913,0.0,,,9.913,,9.913,0.0,,9.913,9.913,,9.913,1.12,1.12,,9.913,1.12,1.12,1.12,
09/30/1990,324.420013,,-243.261002,,81.159012,,-46.737,,,,,34.422001,-16.278001,,18.891001,,,,-2.613,18.144,-9.167,,8.977,0.0,,,8.977,,8.977,0.0,,8.977,8.977,,8.977,1.01,1.01,,8.977,1.01,1.01,1.01,
12/31/1990,400.63501,,-305.638,,94.99701,,-81.106003,,,,,13.891,-18.005001,,20.992001,,,,-2.987,-4.114001,3.438,,-0.676,0.0,,,-0.676001,,-0.676,0.0,,-0.676,-0.676,,8.878,-0.07,-0.07,-0.07,8.878,-0.07,-0.07,-0.07,
03/31/1991,304.912994,,-240.317993,,64.595001,,-45.076,,,,,19.518999,-21.412,,19.201,,,,2.211,-1.893001,3.628,,1.735,0.0,,,1.734999,,1.735,0.0,,1.735,1.735,,8.91,0.2,0.2,,8.91,0.2,0.2,0.2,
06/30/1991,323.673004,,-251.692993,,71.980011,,-44.126999,,,,,27.853001,-19.891,,18.201,,,,1.69,7.962,-3.286,,4.676,0.0,,,4.676,,4.676,0.0,,4.676,4.676,,8.917,0.53,0.53,,8.917,0.53,0.53,0.53,
09/30/1991,350.953003,,-275.48999,,75.463013,,-45.733002,,,,,29.73,-19.157001,,17.575001,,,,1.582,10.572999,-6.624,,3.949,0.0,,,3.948999,,3.949,0.0,,3.949,3.949,,8.923,0.44,0.44,,8.923,0.44,0.44,0.44,
12/31/1991,389.656006,,-300.859009,,88.796997,,-53.155998,,,,,35.640999,-22.285999,,17.285999,,,,5.0,13.355,-3.198,,10.157,0.0,,,10.157,,10.157,0.0,,10.157,10.157,,8.88,1.14,1.14,1.14,8.88,1.14,1.14,1.14,
03/31/1992,319.687012,,-252.927002,,66.76001,,-47.657001,,,,,19.103001,-19.765001,,16.023001,,-2.087,,5.829,-0.662,0.85,,0.188,0.0,,,0.188,0.51,0.698,0.0,,0.698,0.698,,8.883,0.08,0.08,,8.883,0.08,0.08,0.08,
06/30/1992,348.679993,,-278.265991,,70.414001,,-47.342999,,,,,23.070999,-21.154001,,15.52,,0.642,,4.992,1.916999,-1.107,,0.81,0.0,,,0.809999,0.211,1.021,0.0,,1.021,1.021,,8.884,0.11,0.11,,8.884,0.11,0.11,0.11,
09/30/1992,392.515015,,-307.803009,,84.712006,,-49.25,,,,,35.462002,-17.689,,16.202,,1.666,,-0.179,17.773002,-7.603,,10.17,0.0,,,10.170002,-0.862,9.308,0.0,,9.308,9.308,,8.889,1.05,1.05,,8.889,1.05,1.05,1.05,
12/31/1992,422.897003,,-332.234985,,90.662018,,-67.017998,,,,,23.643999,-2.343001,,18.287001,,-5.849,,-10.095,21.300998,-8.486,,12.815,109.999996,,,-97.184998,-0.974,-98.158997,0.0,,-98.158997,-98.158997,,8.903999,-11.02,1.35,1.35,8.903999,-11.02,1.35,1.35,
03/31/1993,343.821014,,-275.968994,,67.85202,,-53.334,,,,,14.518,-15.328,,14.99,,-0.268,,0.606,-0.81,0.336,,-0.474,0.0,,,-0.474,0.468,-0.006,0.0,,-0.006,-0.006,,8.936,0.0,0.0,,8.936,0.0,0.0,0.0,
06/30/1993,358.734985,,-289.55899,,69.175995,,-51.884998,,,,,17.291,-18.592,,15.518,,0.62,,2.454,-1.300999,0.596,,-0.705,3.292,,,-3.996999,0.504,-3.493,0.0,,-3.493,-3.493,,8.937,-0.39,-0.02,,8.937,-0.39,-0.02,-0.02,
09/30/1993,401.734985,,-325.033997,,76.700989,,-48.352001,,,,,28.349001,-24.306001,,17.672001,,0.038,,6.596,4.043,-1.952,,2.091,0.0,,,2.091,-0.042,2.049,0.0,,2.049,2.049,,8.938,0.23,0.23,,8.938,0.23,0.23,0.23,
12/31/1993,445.079987,,-353.489014,,91.590973,,-58.365002,,,,,33.226002,-10.494,,17.75,,-0.511,,-6.745,22.732002,-12.491,,10.241,0.0,,,10.241002,-0.49,9.751,0.0,,9.751,9.751,,8.939,1.09,1.09,1.09,8.939,1.09,1.09,1.09,
03/31/1994,383.247986,,-305.444,,77.803986,,-57.501999,,,,,20.302,-15.739,,14.793,,,,0.946,4.563,-2.001,,2.562,0.0,,,2.562,0.208,2.77,0.0,,2.77,2.77,,8.942,0.31,0.31,,8.942,0.31,0.31,0.31,
06/30/1994,436.907013,,-346.110992,,90.796021,,-57.983002,,,,,32.813,-15.537,,15.855,,,,-0.318,17.276,-7.846,,9.43,3.218,,,6.212,-0.239,5.973,0.0,,5.973,5.973,,8.915,0.67,1.03,,8.915,0.67,1.03,1.03,
09/30/1994,480.303009,,-383.075012,,97.227997,,-61.882,,,,,35.346001,-13.574,,15.053,,,,-1.479,21.772,-9.852,,11.92,0.0,,,11.92,-0.906,11.014,0.0,,11.014,11.014,,8.951,1.23,1.23,,8.951,1.23,1.23,1.23,
