Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,62.963001,0.0,0.0,0.0,6.478,,,26.174,,,,,2.43,,,,,35.082001,11.544,21.568001,-10.024,6.07,,,10.267,,,,10.267,27.881,,10.919,10.919,,,,4.143,,,,,,3.307,,,,3.307,18.368999,12.524,,,,,0.541,,,,,0.541,13.065,31.434,0.0,0.439,,,0.0,,31.09,31.529,0.0,31.529,62.963,
06/30/1993,68.296997,19.022,10.126,8.896,7.527,,,26.757,,,,,0.81,,,,,54.116001,13.352,23.621,-10.269,0.0,,,0.829,,,,0.829,14.181,,9.284,9.284,,,,0.5,,,,,,2.832999,,,,2.832999,12.617,0.993,,,,,0.424,,,,,0.424,1.417,14.034,0.0,20.091,,,0.0,,34.172001,54.263,0.0,54.263,68.297,
09/30/1993,71.460999,18.32,3.916,14.404,7.619,,,28.65,,,,,1.056,,,,,55.645,14.967,25.297001,-10.33,0.0,,,0.849,,,,0.849,15.816,,9.896,9.896,,,,0.505,,,,,,2.703,,,,2.703,13.104,0.899,,,,,0.479,,,,,0.479,1.378,14.482,0.0,20.117001,,,0.0,,36.862,56.979,0.0,56.979,71.461,
12/31/1993,73.112,12.028,3.202,8.826,6.554,,,34.82,,,,,1.84,,,,,55.242001,16.999001,28.197001,-11.198,0.0,,,0.871,,,,0.871,17.870001,,10.47,10.47,,,,0.495,,,,,,3.084,,,,3.084,14.049,0.732,,,,,0.526,,,,,0.526,1.258,15.307,0.0,20.226,,,0.0,,37.578999,57.804999,0.0,57.804999,73.111999,
03/31/1994,78.872002,10.659,3.739,6.92,7.952,,,38.944,,,,,1.12,,,,,58.674999,18.910999,30.091,-11.18,0.0,,,1.286,,,,1.286,20.196999,,13.142,13.142,,,,0.437,,,,,,3.185999,,,,3.185999,16.764999,0.697,,,,,0.56,,,,,0.56,1.257,18.021999,0.0,20.832001,,,0.0,,40.018002,60.850002,0.0,60.850002,78.872002,
06/30/1994,80.890999,7.213,2.015,5.198,9.187,,,40.351002,,,,,1.219,,,,,57.970001,21.351,33.193001,-11.842,0.0,,,1.57,,,,1.57,22.921,,11.484,11.484,,,,0.412,,,,,,3.715,,,,3.715,15.611,0.628,,,,,0.599,,,,,0.599,1.227,16.838,0.0,21.111,,,0.0,,42.942001,64.053001,0.0,64.053001,80.891001,
09/30/1994,85.324997,6.071,0.899,5.172,8.897,,,42.799,,,,,1.235,,,,,59.001999,24.167999,36.786999,-12.619,0.0,,,2.155,,,,2.155,26.322999,,12.443,12.443,,,,0.385,,,,,,3.748,,,,3.748,16.576,0.566,,,,,0.658,,,,,0.658,1.224,17.8,0.0,21.341,,,0.0,,46.183998,67.524998,0.0,67.524998,85.324998,
12/31/1994,87.327003,5.439,3.364,2.075,7.642,,,42.459,,,,,1.707,,,,,57.247002,27.542,40.928001,-13.386,1.392,,,1.146,,,,1.146,30.08,,10.335,10.335,,,,0.311,,,,,,5.185,,,,5.185,15.831,0.461,,,,,0.811,,,,,0.811,1.272,17.103,0.0,21.573,,,0.0,,48.651001,70.224001,0.0,70.224001,87.327001,
03/31/1995,94.362,3.029,2.029,1.0,9.189,,,45.791,,,,,1.933,,,,,59.942001,31.486,45.689999,-14.204,0.0,,,2.934,,,,2.934,34.42,,12.08,12.08,,,,1.275,,,,,,5.505001,,,,5.505001,18.860001,0.536,,,,,0.84,,,,,0.84,1.376,20.236001,0.0,22.562,,,0.0,,51.563999,74.125999,0.0,74.125999,94.362,
