Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/1994,,,,,,,47.812002,33.090368,,24.850432,24.850432,14.334979,,0.0,203.40806,,
06/30/1994,,,,,,,50.872054,36.040333,,24.447019,24.447019,15.306355,,0.0,165.786341,,
09/30/1994,,,,,,,49.815268,36.335588,,25.011793,25.011793,17.101644,,0.0,133.704896,,
12/31/1994,,,,,,,50.326971,36.167077,,25.921376,25.921376,18.314118,,0.0,159.917443,,
03/31/1995,,4.72586,3.809924,3.907218,5.590553,,52.184126,37.997486,49.88921,26.890073,26.890073,19.446294,,0.0,137.9553,-1.793714,
06/30/1995,,5.973205,4.282281,4.40335,5.993424,,53.248138,39.027362,44.898224,31.316413,31.316413,23.755982,,0.0,131.838057,-1.901753,
09/30/1995,,6.633135,4.868723,5.01288,6.387843,,51.361848,37.400048,40.121581,32.779078,32.779078,23.756108,,0.0,123.459805,-1.556121,
12/31/1995,,8.05719,5.376155,5.623163,6.929204,,53.762721,38.505237,44.491206,35.024529,35.024531,26.342471,,0.0,147.869162,-3.856909,
03/31/1996,,7.374217,5.370297,5.511002,6.669314,,53.009585,38.556235,39.912037,33.845407,33.845408,25.479333,,0.0,115.060396,-1.110586,
06/30/1996,,8.074415,5.571839,5.735915,7.015375,,53.478102,39.677019,42.873018,37.0539,35.965626,27.977434,,0.0,96.802377,0.258189,
09/30/1996,,10.723063,6.604575,6.80092,8.285653,,52.617342,39.045813,47.021794,58.524219,58.524217,51.284663,,0.0,51.661225,5.183397,
12/31/1996,,10.979378,6.339915,6.63909,8.475632,,56.920348,41.246526,59.619265,30.915972,30.915973,24.75312,,0.0,120.969899,-2.302365,
03/31/1997,,12.702473,6.947465,7.16508,9.241052,,55.935753,41.005339,67.203686,54.627873,54.627875,48.597502,,0.0,60.902999,4.966286,
06/30/1997,,12.795461,6.777983,7.018133,9.314894,,60.243677,45.095151,114.542273,40.539569,40.539569,34.964029,,0.0,82.686183,2.215383,
09/30/1997,,4.296939,2.855829,2.952274,5.403847,,-18.817949,-34.017781,,-39.761872,-39.761872,-45.027289,,,,,
12/31/1997,,4.654402,2.866207,3.011595,5.537282,,61.884936,45.896417,83.139151,29.968879,29.968879,24.965304,,0.0,126.788802,-1.246859,
03/31/1998,,4.419684,2.717236,2.813551,5.265113,,64.423549,46.984134,88.18192,46.838753,46.838754,41.910451,,0.0,78.909937,0.932114,
06/30/1998,,3.72571,2.359838,2.451158,4.820437,,61.558832,44.872474,43.27275,28.5691,28.5691,23.72372,,0.0,139.122405,-1.457587,
09/30/1998,,7.395244,4.161448,4.311311,6.352827,,60.416863,40.66522,140.225028,38.579019,36.25892,32.660568,,0.0,91.363354,0.638701,
12/31/1998,,9.683821,5.033574,5.28612,7.551787,,59.735216,39.563964,30.396794,40.58627,41.949965,38.376871,,0.0,121.30977,-2.0636,
03/31/1999,,9.548777,4.950143,5.113807,7.644675,,61.453529,41.111121,32.574197,27.665799,26.976151,23.449845,,0.0,134.193226,-3.265035,
06/30/1999,,11.073367,5.521175,5.718636,8.527127,,62.94442,43.552521,41.546302,34.45005,34.45005,30.999147,,0.0,101.962062,-0.217266,
09/30/1999,,9.096862,4.662703,4.826088,7.136219,,54.827919,44.494057,106.461852,42.292981,42.203562,38.629257,,0.0,78.96918,1.913145,
12/31/1999,,8.843152,4.405551,4.606603,7.08404,,52.571898,43.768464,97.933179,33.1104,33.110401,29.424799,,0.0,101.084479,-0.095902,
03/31/2000,,8.91555,4.380814,4.532691,7.049119,,64.713777,44.075924,72.655575,26.570071,25.759421,22.149116,,0.0,135.709935,-3.183737,
06/30/2000,,10.103896,4.940434,5.169075,7.846683,,65.071593,44.873125,55.76788,48.630953,47.57177,44.08134,,0.0,66.579654,3.376757,
09/30/2000,,11.498846,5.345275,5.628119,8.486725,,66.056455,46.11365,61.732627,46.9281,45.891524,42.507631,,0.0,61.636817,4.411323,
12/31/2000,,11.148342,5.064554,5.424274,8.378515,,61.963095,41.915364,,26.614248,24.873329,21.280798,,0.0,123.972532,-2.67254,
03/31/2001,,12.151207,5.62941,5.930988,8.898389,,60.933849,41.622761,-119.71068,42.295675,40.974769,37.319236,,0.0,77.39797,2.74642,
06/30/2001,,11.537397,5.508862,5.842226,8.776592,,67.644418,47.406982,-29.204082,49.973582,48.592252,45.470574,,0.0,69.233454,3.549658,
09/30/2001,,10.745502,4.878597,5.197671,8.055954,,62.355217,41.563282,-65.243616,31.504704,31.459541,28.860715,,0.0,119.792617,-2.126816,
12/31/2001,,8.739266,3.800816,4.184951,6.371951,,58.867139,41.276659,39.049677,33.778777,28.437481,25.233062,,0.0,109.60787,-0.839657,
03/31/2002,,8.077402,3.675,4.095748,6.19637,,64.116118,41.662437,41.817618,26.508222,27.279064,23.236063,,0.0,182.267656,-6.64509,
06/30/2002,,8.389199,3.747708,4.29736,6.338361,,62.0722,41.383861,26.963347,32.208701,37.683984,33.78609,,0.0,160.130569,-5.044473,
09/30/2002,,8.472995,3.92607,4.544749,6.289144,,59.951185,33.413627,15.314612,18.468078,28.713262,25.186156,,0.0,284.333497,-15.618568,
12/31/2002,,8.104252,3.569025,4.068644,4.955959,,58.431837,34.029371,-378.233049,24.902642,49.957671,46.734669,,0.0,163.166986,-5.119211,
03/31/2003,,,,,,,63.2063,37.711498,-172.295644,19.628031,40.666996,37.318224,,0.0,268.328083,,
06/30/2003,,,,,,,65.952683,40.955826,-46.937734,10.25951,31.518468,28.648184,,0.0,645.79948,,
09/30/2003,,,,,,,58.892994,37.749782,,20.442763,77.161898,74.788262,,,,,
12/31/2003,,10.948159,4.817979,5.218254,,,67.539057,36.279018,-10.85889,18.896598,63.723992,62.113421,,0.0,288.209097,-20.605431,
03/31/2004,,,,,,,59.968424,35.478178,5.853786,23.072534,44.265692,42.881146,,0.0,200.401669,,
06/30/2004,,,,,,,60.955488,36.336105,,24.59794,35.036386,33.66096,,0.0,182.675492,,
09/30/2004,,,,,,,64.877701,33.428584,-118.885929,21.252001,73.313038,71.410982,,0.0,267.005336,,
12/31/2004,,13.252319,6.043717,6.513608,3.947875,,57.123993,33.386153,15.259995,11.524724,96.240686,95.826352,,0.0,1266.011674,-154.523586,
03/31/2005,,12.450794,5.680685,6.091479,3.48844,,51.832232,22.919491,-120.567943,20.226333,33.166885,32.681233,,0.0,254.18882,-19.197732,
06/30/2005,,12.008484,5.380807,5.766363,3.187185,,63.101636,33.717871,-58.534126,19.639731,27.251202,26.782518,,0.0,246.228753,-17.559856,
09/30/2005,,11.518565,5.106874,5.48009,3.260717,,67.51762,41.750877,70.30013,23.74127,65.862247,65.476864,,0.0,173.413602,-8.456193,
12/31/2005,,13.638102,6.003194,6.441609,3.114391,,75.635649,36.915552,-19.710432,18.426729,180.503508,179.789969,,0.0,328.345393,-31.141977,
03/31/2006,,14.833661,6.570704,7.009409,3.523586,,68.491629,36.00134,131.849762,24.180398,55.572674,55.1449,,0.0,201.957927,-15.124093,
06/30/2006,,17.164536,7.589445,8.104509,3.759268,,71.718177,38.744035,75.717968,23.214378,71.859441,71.447275,,0.0,203.833104,-17.822471,
09/30/2006,,15.077818,6.311765,6.769159,3.54909,,64.009612,41.651538,41.335277,20.545819,40.157961,39.865,,0.0,163.517919,-9.577116,
12/31/2006,,13.756251,5.89873,6.389862,3.945793,,66.210301,40.419869,45.48079,19.013826,98.685938,96.160481,,0.0,214.756638,-15.786212,
03/31/2007,,16.335625,7.106371,7.578734,3.922446,,65.393155,37.610521,43.623206,14.864771,101.343151,101.005692,,0.0,282.556763,-29.821789,
06/30/2007,,14.279012,6.347088,6.745915,3.974919,,60.241428,34.699903,19.344235,10.169838,21.003075,20.676489,,0.0,392.572328,-41.776438,
