Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,37.119999,,,-14.083,,23.036999,,,,,,11.571,,,,,,,,,5.31,0.0,,,,0.0,5.31,0.0,,5.31,5.31,,204.528008,0.026667,0.026667,0.026667,262.542,0.02,0.02,0.02,
06/30/1998,49.243999,,,-21.427,,27.816999,,,,,,10.788,,,,,,,,,6.096,0.0,,,,0.0,6.096,0.0,,6.096,6.096,,258.822006,0.02,0.02,0.02,303.635994,0.016667,0.016667,0.016667,
09/30/1998,55.473999,,,-24.898001,,30.575998,,-22.370001,,,,8.206,1.26,,,,0.0,-1.26,9.466,-4.294,5.172,0.0,,,5.172,0.0,5.172,0.0,,5.172,5.172,,272.549995,0.02,0.02,0.02,317.610008,0.016667,0.016667,0.016667,
12/31/1998,74.617996,,,-30.995001,,43.622995,,-29.687,,,,13.936,1.27,,,,0.0,-1.27,15.206,-7.192,8.014,0.0,,,8.014,0.0,8.014,0.0,,8.014,8.014,,281.56501,0.03,0.03,0.03,325.877998,0.023333,0.023333,0.023333,
03/31/1999,99.980003,,,-40.814999,,59.165005,,-36.882,,,,22.283001,1.721,,0.0,-1.7,0.0,-0.021,24.004001,-8.335,15.669,0.0,,,15.669001,0.0,15.669,0.0,0.0,15.669,15.669,,289.56601,0.053333,0.053333,0.053333,336.483009,0.046667,0.046667,0.046667,
06/30/1999,119.452,,,-48.077,,71.375,,-45.306,,,,26.069,-26.152,-2.0,0.0,-2.0,0.0,28.152,-0.083,0.242,0.159,0.0,,,0.159,0.0,0.159,0.0,0.0,0.159,0.159,18.3027,602.595,0.01,0.01,0.04,700.302,0.01,0.01,0.033333,
09/30/1999,139.561005,,,-56.307999,,83.253006,,-45.504002,,,,37.749001,-2.891,,0.0,-2.2,0.0,5.091,34.858001,-10.264,24.594,0.0,,,24.594001,0.0,24.594,0.0,0.0,24.594,24.594,,305.633995,0.08,0.08,0.093333,357.498001,0.066667,0.066667,0.08,
12/31/1999,161.998001,,,-66.526001,,95.472,,-54.161999,15.745,,38.416999,41.310001,2.028,-1.949,0.751,-2.7,0.0,-0.079,43.338001,-11.1,32.988998,0.0,,,32.238001,0.0,32.988998,0.0,0.0,32.988998,32.988998,,311.532006,0.106667,0.106667,0.1,367.799994,0.086667,0.086667,0.086667,
03/31/2000,191.591003,,,-79.077003,,112.514,,-64.750999,,,,47.763,0.524,,0.0,-3.4,0.0,2.876,48.287,-9.658,38.629002,0.0,,,38.629,0.0,38.629002,0.0,0.0,38.629002,38.629002,,316.825493,0.12,0.12,0.14,378.865494,0.1,0.1,0.12,
06/30/2000,245.177002,,,-102.519997,,142.657005,,-75.568001,,,,67.088997,2.449,,0.332,-4.6,0.0,1.819,69.537997,-13.973,55.896999,0.0,,,55.564997,0.0,55.896999,0.0,0.0,55.896999,55.896999,,321.907494,0.173333,0.173333,0.186667,380.916,0.146667,0.146667,0.16,
09/30/2000,319.154999,,,-136.938004,,182.216995,,-140.692993,,,,41.523998,-40.726002,,0.0,-4.9,0.0,45.626002,0.797997,-14.876,-14.078,0.0,,,-14.078004,0.0,-14.078,0.0,0.0,-14.078,-14.078,,330.764992,-0.04,-0.04,0.24,397.218018,-0.04,-0.04,0.2,
12/31/2000,340.237,,,-159.945007,,180.291992,,-332.253998,,,,-151.962006,-658.768005,,0.0,-8.7,0.0,667.468005,-810.730011,42.459999,-768.27002,0.0,,,-768.270012,0.0,-768.27002,0.0,0.0,-768.27002,-768.27002,,351.109497,-2.186667,-2.186667,0.166667,411.154495,-2.186667,-2.186667,0.14,
03/31/2001,310.501,,,-162.952,,147.549,,-471.443,,,,-323.894,-105.687,-7.0,,-7.0,,112.687,-429.581,72.729,-356.852,,,,-356.852,,-356.852,,,-356.852,-356.852,,374.5335,-0.953333,-0.953333,-0.953333,374.5335,-0.953333,-0.953333,-0.953333,
06/30/2001,210.908005,,,-132.563995,,78.344009,,-502.727997,,,,-424.384003,-12.01,,0.0,-6.2,0.0,18.21,-436.394003,0.0,-436.394012,0.0,,,-436.394003,0.0,-436.394012,0.0,0.0,-436.394012,-436.394012,,378.598503,-1.153333,-1.153333,-0.106667,378.598503,-1.153333,-1.153333,-0.106667,
09/30/2001,213.591003,,,-129.832001,,83.759002,,-470.658997,,,,-386.899994,-1226.31604,,0.0,-4.2,0.0,1230.51604,-1613.216034,-6.0,-1619.215942,0.0,,,-1619.216034,0.0,-1619.215942,0.0,0.0,-1619.215942,-1619.215942,,381.786003,-4.24,-4.24,-0.086667,381.786003,-4.24,-4.24,-0.086667,
12/31/2001,226.820999,,,-132.384995,,94.436005,,-421.539001,,,,-327.102997,2.517,,5.0,-5.6,0.0,-1.917,-324.585997,-10.0,-329.585999,0.0,,,-334.585997,0.0,-329.585999,0.0,0.0,-329.585999,-329.585999,,389.206512,-0.846667,-0.846667,-0.073333,389.206512,-0.846667,-0.846667,-0.073333,
03/31/2002,238.8,,,-134.122,,104.678,,-259.016,,,,-154.338,-5.729,-3.4,,-3.4,,9.129,-160.067,-6.0,-166.067,,,,-166.067,,-166.067,,,-166.067,-166.067,,392.9985,-0.42,-0.42,-0.406667,392.9985,-0.42,-0.42,-0.406667,
06/30/2002,258.203003,,,-143.576996,,114.626007,,-155.334,,,,-40.708,-83.820999,-3.3,0.0,-3.3,0.0,87.120999,-124.528999,-4.889,-129.417999,0.0,,,-129.417999,0.0,-129.417999,0.0,0.0,-129.417999,-129.417999,,398.033982,-0.326667,-0.326667,-0.04,398.033982,-0.326667,-0.326667,-0.04,
09/30/2002,290.0,,,-161.627,,128.373,,-247.054,42.359,,204.695,-118.681,-58.53,-3.1,0.0,-3.1,0.0,61.63,-177.211,-6.049,-183.26,0.0,,,-183.26,0.0,-183.26,0.0,0.0,-183.26,-183.26,30.043,405.156,-0.453333,-0.453333,-0.38,405.156,-0.453333,-0.453333,-0.38,
12/31/2002,295.945007,,,-165.070999,,130.874008,,-347.843994,,,,-216.970001,-1263.804956,,3.6,-2.4,0.0,1262.604956,-1480.774957,-280.656006,-1757.831055,0.0,,,-1761.430963,0.0,-1757.831055,0.0,0.0,-1757.831055,-1757.831055,,411.748489,-4.266667,-4.266667,-0.013333,411.748489,-4.266667,-4.266667,-0.013333,
03/31/2003,327.463989,,,-172.020004,,155.443985,,-214.841995,,,,-59.397999,0.807,-2.2,0.0,-2.2,0.0,1.393,-58.590999,-9.315,-67.905998,0.0,,,-67.905999,0.0,-67.905998,0.0,0.0,-67.905998,-67.905998,,414.475479,-0.166667,-0.166667,0.04,414.475479,-0.166667,-0.166667,0.04,
06/30/2003,377.879,,,-206.853,,171.026,,-438.891,,,,-267.865,-617.199,-1.3,0.0,-1.3,0.0,618.499,-885.064,-6.678,-891.742,0.0,,,-891.742,0.0,-891.742,0.0,0.0,-891.742,-891.742,,434.6175,-2.053333,-2.053333,-0.626667,434.6175,-2.053333,-2.053333,-0.626667,
09/30/2003,425.632996,,,-217.707993,,207.925003,,-234.041,50.076,,183.965,-26.115999,26.481001,-1.5,0.0,-1.5,0.0,-24.981001,0.365002,-6.663,-6.298,0.0,,,-6.297998,0.0,-6.298,0.0,0.0,-6.298,-6.298,,445.968018,-0.013333,-0.013333,0.1,445.968018,-0.013333,-0.013333,0.093333,
12/31/2003,479.119,,,-243.195,,235.924,,-213.112,,,,22.812,-14.26,-1.847,0.0,,0.0,16.107,8.552,-2.471,6.081,0.0,,,6.081,0.0,6.081,0.0,0.0,6.081,6.081,,456.99,0.013333,0.013333,0.053333,496.1895,0.013333,0.013333,0.046667,
03/31/2004,573.406006,,,-283.480988,,289.925018,,-198.800995,,,,91.124001,-38.348999,-1.903,0.0,-1.903,0.0,40.251999,52.775002,-12.911,39.863998,0.0,,,39.864002,0.0,39.863998,0.0,0.0,39.863998,39.863998,,463.528518,0.086667,0.086667,0.213333,513.896988,0.08,0.08,0.193333,
06/30/2004,641.299011,,,-317.479004,,323.820007,,-202.957993,,,,120.862,-34.438,-2.714,0.0,-2.714,0.0,37.152,86.424,-22.584999,63.839001,0.0,,,63.839001,0.0,63.839001,0.0,0.0,63.839001,63.839001,,475.036515,0.133333,0.133333,0.253333,528.538514,0.12,0.12,0.233333,
09/30/2004,646.515,,,-322.039,,324.476,,-191.468,,,,133.008,-61.645,-4.365,0.0,-4.365,0.0,66.01,71.363,-27.462,43.901,0.0,,,43.901,0.0,43.901,0.0,0.0,43.901,43.901,,483.8115,0.093333,0.093333,0.246667,521.0835,0.086667,0.086667,0.226667,
12/31/2004,539.39,,,-273.768,,265.622,,-253.21,,,,12.412,6.293,,0.1,-6.028,0.0,-0.365,18.705,6.876,25.581,0.0,,,25.581,0.0,25.581,0.0,0.0,25.581,25.581,,479.163,0.04,0.04,-0.16,479.163,0.036667,0.036667,-0.146667,
03/31/2005,550.345,,,-266.116,,284.229,,-205.179,,,,79.05,1.404,-7.958,0.0,-7.958,0.0,6.554,80.454,-11.272,69.182,0.0,,,69.182,0.0,69.182,0.0,0.0,69.182,69.182,,497.205,0.14,0.14,0.166667,537.138,0.126667,0.126667,0.153333,
06/30/2005,604.861,,,-284.092,,320.769,,-227.93,,,,92.839,-98.643,-10.678,0.0,-10.678,0.0,109.321,-5.804,0.57,-5.234,0.0,,,-5.234,0.0,-5.234,0.0,0.0,-5.234,-5.234,,502.353,-0.01,-0.01,0.19,502.353,-0.01,-0.01,0.19,
09/30/2005,694.977,,,-327.742,,367.235,,-251.87,,,,115.365,-15.603,-14.317,0.0,-14.317,0.0,29.92,99.762,21.448,121.21,0.0,,,121.21,0.0,121.21,0.0,0.0,121.21,121.21,21.125,512.772,0.24,0.24,0.28,570.8595,0.21,0.21,0.25,
12/31/2005,820.605,,,-389.146,,431.459,,-371.996,,,,59.463,126.062,,,,0.0,-126.062,185.525,1.219,186.744,0.0,,,186.744,0.0,186.744,0.0,0.0,186.744,186.744,,782.295,0.24,0.24,0.246667,872.37,0.213333,0.213333,0.22,
03/31/2006,900.647,,,-434.209,,466.438,,-365.676,,,,100.762,20.309,-23.738,0.0,-23.738,0.0,3.429,121.071,-3.373,117.698,0.0,,,117.698,0.0,117.698,0.0,0.0,117.698,117.698,13.102,538.968,0.22,0.22,0.23,601.204,0.2,0.2,0.21,
