Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
04/30/1989,36.844002,,36.844002,,12.988898,1.478097,1.160189,0.73,0.73,,,,,0.23,0.235778,,1.555776,27.126044,
07/31/1989,36.844002,,36.844002,,13.706735,1.017153,0.697481,0.45,0.45,,,,,0.23,1.303577,,1.74582,27.345183,
10/31/1989,36.844002,,36.844002,,15.054987,1.957116,1.527847,0.93,0.93,,,,,0.0,-1.740446,,0.414097,28.271333,
01/31/1990,36.844002,,36.844002,,21.0222,2.872951,2.461188,1.43,1.43,,,,,0.23,3.52725,,1.934453,29.240065,
04/30/1990,36.844002,,36.844002,,13.409537,1.486809,1.106503,0.77,0.77,,,,,0.4725,0.989523,,1.777901,29.7684,
07/31/1990,36.844002,,36.844002,,13.987215,1.018863,0.635137,0.46,0.46,,,,,0.0,1.666757,,2.528933,30.22902,
10/31/1990,36.844002,,36.844002,,15.498778,1.779421,1.305586,0.91,0.91,,,,,0.485,-1.976333,,0.569889,30.655086,
01/31/1991,36.844002,36.844002,36.844002,,21.354006,2.021116,1.544783,1.22,1.22,1.22,1.22,1.22,1.22,0.0125,2.125068,,1.212002,31.867628,
04/30/1991,36.844002,,36.844002,,14.160947,1.489958,1.054934,0.66,0.66,,,,,0.4975,1.676908,,2.272364,32.031836,
07/31/1991,36.844002,,36.844002,,14.70793,1.17262,0.735724,0.49,0.49,,,,,0.0,2.372788,,3.743133,32.268834,
10/31/1991,36.844002,,36.844002,,15.824747,1.785094,1.274264,0.83,0.83,,,,,0.51,-1.142411,,1.667218,32.840487,
01/31/1992,36.844002,36.844002,36.844002,,21.597354,2.212925,1.679296,1.12,1.12,1.12,1.12,1.12,1.12,0.51,2.490392,,3.323689,33.955268,
04/30/1992,36.844002,,36.844002,,15.954239,1.447481,0.83688,-0.26,0.22,,,,,0.51,1.926012,,1.716643,33.185971,
07/31/1992,36.844002,,36.844002,,16.333296,0.868282,0.248589,0.15,0.15,,,,,0.0,2.361633,,1.05355,33.332426,
10/31/1992,36.844002,,36.844002,,17.574394,1.592878,0.902074,0.5,0.5,,,,,0.51,-1.079579,,4.099908,33.322493,
01/31/1993,36.844002,36.844002,36.844002,,24.289652,3.076349,2.445174,1.49,1.49,1.49,1.49,1.49,1.49,0.51,3.054147,,5.896319,34.810333,
05/01/1993,36.844051,,36.844051,,15.534257,1.149141,0.527629,0.4,0.32,,,,,0.51,-0.288432,,4.329084,34.695913,
07/31/1993,36.844051,,36.844002,,16.702312,0.576457,-0.037699,-0.04,-0.04,,,,,0.0,2.080393,,5.54958,34.659734,
10/30/1993,36.844002,,36.844002,,17.754396,1.611334,0.964065,0.56,0.56,,,,,0.51,-0.811475,,4.209966,34.707278,
01/29/1994,36.887001,36.844002,36.844002,,24.103245,3.043019,2.389453,1.52,1.52,1.52,1.52,1.52,1.52,0.51,2.767968,,5.274053,36.183695,
04/30/1994,36.844002,,36.844002,,16.081559,1.021523,0.41825,0.21,0.24,,,,,0.51,-0.016095,,4.408126,35.930651,
07/30/1994,36.844002,,36.292999,,17.06409,1.045684,0.42595,0.27,0.27,,,,,0.0,1.982862,,2.437249,36.196394,
10/29/1994,36.844002,,36.909,,18.40887,1.791812,1.148771,0.71,0.71,,,,,0.51,-1.311875,,1.062235,36.397649,
01/28/1995,36.844002,36.876999,36.876999,,25.18014,3.40768,2.727391,1.62,1.62,1.62,1.62,1.62,1.62,0.53,3.971853,,3.100559,38.012999,
04/29/1995,36.844002,36.844002,36.844002,,16.362446,1.009988,0.430409,0.27,0.27,,0.27,0.27,0.27,0.52,0.214716,-0.119015,2.652372,37.763081,
07/29/1995,36.844002,36.844002,36.844002,,17.436977,0.801134,0.220063,0.18,0.18,,0.18,0.18,0.18,0.0,1.517669,0.938145,3.303794,37.93958,
10/28/1995,36.844002,36.844002,36.844002,,18.856937,1.965367,1.359597,0.79,0.79,,0.79,0.79,0.79,0.53,-0.271089,-0.877945,2.143253,38.202393,
02/03/1996,36.844002,36.844002,36.844002,,27.256892,3.995766,3.354359,2.11,2.11,2.11,2.11,2.11,2.11,0.0,3.620616,2.393958,4.394012,40.308135,
05/04/1996,36.844002,36.844002,36.844002,,17.788757,1.459966,0.927939,0.36,0.36,0.56,0.36,0.36,0.56,0.55,0.542069,0.323662,4.378487,40.118335,
08/03/1996,36.844002,36.844002,36.844002,,17.900525,1.171453,0.637499,0.39,0.39,0.39,0.39,0.39,0.39,0.0,2.111117,0.760856,4.829063,40.510093,
11/02/1996,36.844002,36.844002,36.844002,,19.751954,1.998127,1.399088,0.85,0.85,0.85,0.85,0.85,0.85,0.57,-1.766502,-2.963305,1.556291,40.78387,
