Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1989,111.599998,,-94.599998,,17.0,,-7.0,,,10.0,-2.3,,1.3,,0.0,1.0,7.7,0.0,,7.7,0.0,,,7.7,0.0,7.7,0,,7.7,7.7,,102.0,0.075,0.075,,102.0,0.075,0.075,0.075,
09/30/1989,110.900002,,-93.699997,,17.200005,,-6.5,,,10.7,-0.7,,0.7,,0.0,0.0,10.0,-2.8,,7.2,0.0,,,7.2,0.0,7.2,0,,7.2,7.2,,102.0,0.071667,0.071667,,102.0,0.071667,0.071667,0.071667,
12/31/1989,104.199997,,-88.800003,,15.399994,,-7.7,,,7.7,-0.7,,0.7,,0.0,0.0,7.0,-1.6,,5.4,0.0,,,5.4,0.0,5.4,0,,5.4,5.4,,102.600002,0.051667,0.051667,,102.600002,0.051667,0.051667,0.051667,
03/31/1990,130.600006,,-111.900002,,18.700004,,-8.3,,,10.4,0.3,,0.7,,0.0,-1.0,10.7,-1.9,,8.8,0.0,,,8.8,0.0,8.8,0,,8.8,8.8,,103.785006,0.085,0.085,0.085,103.785006,0.085,0.085,0.085,
06/30/1990,129.800003,,-110.5,,19.300003,,-7.9,,,11.4,-0.4,,0.4,,0.0,0.0,11.0,-3.6,,7.4,0.0,,,7.4,0.0,7.4,0,,7.4,7.4,,103.799995,0.071667,0.071667,,103.799995,0.071667,0.071667,0.071667,
09/30/1990,130.0,,-109.0,,21.0,,-8.6,,,12.4,-0.4,,0.4,,0.0,0.0,12.0,-4.0,,8.0,0.0,,,8.0,0.0,8.0,0,,8.0,8.0,,103.799995,0.076667,0.076667,,103.799995,0.076667,0.076667,0.076667,
12/31/1990,130.0,,-108.400002,,21.599998,,-8.5,,,13.1,-0.7,,0.7,,0.0,0.0,12.4,-4.0,,8.4,0.0,,,8.4,0.0,8.4,0,,8.4,8.4,,103.799995,0.08,0.08,,103.799995,0.08,0.08,0.08,
03/31/1991,148.5,,-123.300003,,25.199997,,-9.9,,,15.3,-1.0,,1.0,,0.0,0.0,14.3,-4.7,,9.6,0.0,,,9.6,0.0,9.6,0,,9.6,9.6,,105.222006,0.091667,0.091667,0.091667,105.222006,0.091667,0.091667,0.091667,
06/30/1991,145.600006,,-123.400002,,22.200005,,-9.1,,,13.1,-0.9,,0.9,,0.0,0.0,12.2,-4.3,,7.9,0.0,,,7.9,0.0,7.9,0,,7.9,7.9,,106.200005,0.075,0.075,,106.200005,0.075,0.075,0.075,
09/29/1991,143.800003,,-121.599998,,22.200005,,-8.6,,,13.6,-0.5,,0.5,,0.0,0.0,13.1,-4.0,,9.1,0.0,,,9.1,0.0,9.1,0,,9.1,9.1,,106.200005,0.085,0.085,,106.200005,0.085,0.085,0.085,
12/29/1991,149.600006,,-127.800003,,21.800003,,-10.4,,,11.4,0.7,,0.0,,0.0,-0.7,12.1,7.2,,19.299999,0.0,,,19.299999,0.0,19.299999,0,,19.299999,19.299999,,106.200005,0.181667,0.181667,,106.200005,0.181667,0.181667,0.181667,
03/31/1992,144.300003,,-115.5,,28.800003,,-10.2,,,18.6,-3.8,,0.4,,0.0,3.4,14.8,-4.6,,11.0,0.0,,,10.2,0.0,11.0,0,,11.0,11.0,,106.704,0.103333,0.103333,0.103333,106.704,0.103333,0.103333,0.103333,
06/28/1992,122.5,,-101.099998,,21.400002,,-8.0,,,13.4,-0.1,,0.1,,0.0,0.0,13.3,-4.6,,8.7,0.0,,,8.7,0.0,8.7,0,,8.7,8.7,,106.799995,0.081667,0.081667,,106.799995,0.081667,0.081667,0.081667,
09/27/1992,120.0,,-102.0,,18.0,,-8.7,,,9.3,0.0,,0.0,,0.0,0.0,9.3,-3.3,,6.0,0.0,,,6.0,0.0,6.0,0,,6.0,6.0,,106.799995,0.056667,0.056667,,106.799995,0.056667,0.056667,0.056667,
12/27/1992,107.900002,,-94.400002,,13.5,,-7.8,,,5.7,-37.0,,,,0.0,37.0,-31.3,12.6,,-18.700001,0.0,,,-18.7,0.0,-18.700001,0,,-18.700001,-18.700001,,107.399998,-0.176667,-0.176667,,107.399998,-0.176667,-0.176667,-0.176667,
03/31/1993,111.0,,-95.800003,,15.199997,,-7.4,,,7.8,0.6,,0.9,,0.0,-1.5,8.4,-2.6,,5.8,0.0,,,5.8,0.0,5.8,0,,5.8,5.8,,107.4,0.055,0.055,0.055,107.4,0.055,0.055,0.055,
06/27/1993,101.400002,,-85.900002,,15.5,,-7.9,,,7.6,-0.5,,,,0.0,0.5,7.1,-0.1,,7.0,2.9,,,4.1,0.0,4.1,0,,4.1,4.1,,78.0,0.053333,0.09,,78.0,0.053333,0.09,0.09,
09/26/1993,107.900002,,-91.199997,,16.700005,,-7.2,,,9.5,-0.4,,,,0.0,0.4,9.1,-3.6,,5.5,0.0,,,5.5,0.0,5.5,0,,5.5,5.5,,78.0,0.07,0.07,,78.0,0.07,0.07,0.07,
01/02/1994,103.599998,,-86.0,,17.599998,,-7.4,,,10.2,-0.1,,,,0.0,0.1,10.1,-4.1,,6.0,0.0,,,6.0,0.0,6.0,0,,6.0,6.0,,78.0,0.076667,0.076667,,78.0,0.076667,0.076667,0.076667,
04/03/1994,107.5,,-88.599998,,18.900002,,-7.7,,,11.2,-0.1,,,,0.0,0.1,11.1,-4.5,,6.6,0.0,,,6.6,0.0,6.6,0,,6.6,6.6,,78.0,0.085,0.085,0.085,78.0,0.085,0.085,0.085,
07/03/1994,110.199997,,-90.300003,,19.899994,,-8.0,,,11.9,0.2,,,,0.0,-0.2,12.1,-4.6,,7.5,0.0,,,7.5,0.0,7.5,0,,7.5,7.5,,79.2,0.095,0.095,0.095,79.2,0.095,0.095,0.095,
10/02/1994,102.800003,,-84.099998,,18.700005,,-7.5,,,11.2,0.4,,,,0.0,-0.4,11.6,-4.4,,7.2,0.0,,,7.2,0.0,7.2,0,,7.2,7.2,,79.199996,0.09,0.09,0.09,79.199996,0.09,0.09,0.09,
01/01/1995,102.400002,,-85.599998,,16.800004,,-6.9,,,9.9,0.5,,,,0.0,-0.5,10.4,-4.0,,6.4,0.0,,,6.4,0.0,6.4,0,,6.4,6.4,,79.6,0.08,0.08,0.08,79.6,0.08,0.08,0.08,
04/02/1995,121.0,,-99.5,,21.5,,-9.2,,,12.3,0.4,,,,0.0,-0.4,12.7,-4.8,,7.9,0.0,,,7.9,0.0,7.9,0,,7.9,7.9,,80.0,0.0975,0.0975,0.0975,80.0,0.0975,0.0975,0.0975,
07/02/1995,137.199997,,-109.599998,,27.599998,,-11.5,,,16.1,-0.2,,,,0.0,0.2,15.9,-6.5,,9.4,0.0,,,9.4,0.0,9.4,0,,9.4,9.4,,80.800003,0.115,0.115,,80.800003,0.115,0.115,0.115,
10/01/1995,134.0,,-106.699997,,27.300003,,-11.3,,,16.0,0.0,,,,0.0,0.0,16.0,-6.5,,9.5,0.0,,,9.5,0.0,9.5,0,,9.5,9.5,,81.199997,0.1175,0.1175,,81.199997,0.1175,0.1175,0.1175,
12/31/1995,127.699997,,-102.0,,25.699997,,-10.9,,,14.8,0.1,,,,0.0,-0.1,14.9,-3.1,,11.8,0.0,,,11.8,0.0,11.8,0,,11.8,11.8,,81.199997,0.145,0.145,,81.199997,0.145,0.145,0.145,
03/31/1996,157.899994,,-127.800003,,30.099991,,-13.2,,,16.9,1.2,,,,0.0,-1.2,18.1,-6.5,,10.4,0.0,,,11.6,0.0,10.4,0,,10.4,10.4,,81.599998,0.1275,0.1275,,81.599998,0.1275,0.1275,0.1275,
06/30/1996,166.0,,-134.100006,,31.899994,,-12.6,,,19.299999,-0.3,,,,0.0,0.3,18.999999,-7.7,,11.3,0.0,,,11.299999,0.0,11.3,0,,11.3,11.3,,82.400002,0.1375,0.1375,0.1375,83.704002,0.135,0.135,0.135,
09/29/1996,244.899994,,-193.199997,,51.699997,,-23.4,,,28.299999,-5.5,,,,0.0,5.5,22.799999,-9.5,,13.3,0.0,,,13.299999,0.0,13.3,0,,13.3,13.3,,82.400002,0.16,0.16,0.16,83.124001,0.16,0.16,0.16,
12/29/1996,274.600006,,-215.300003,,59.300003,,-26.799999,,,32.5,-6.4,,,,0.0,6.4,26.1,-10.8,,15.3,0.0,,,15.3,0.0,15.3,0,,15.3,15.3,,84.400002,0.175,0.175,0.175,88.695999,0.1725,0.1725,0.1725,
03/30/1997,287.299988,,-222.899994,,64.399994,,-28.700001,,,35.700001,15.8,,,,0.0,-15.8,51.500001,-11.2,,16.6,0.0,,,40.300001,0.0,16.6,0,,16.6,16.6,,96.0,0.175,0.175,0.2,88.0,0.175,0.175,0.2,
