Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1994,195.328995,34.646999,20.601999,14.045,33.52,,,5.702,,,,,29.736,,,,103.605003,15.79,,,4.538,71.396004,,,,71.396004,91.724004,,4.025,4.025,,,,14.563,,,,,38.730001,,,,38.730001,57.318001,69.988998,,,,14.982,,,,14.982,84.970999,142.289,1.1,38.591,,,0.0,,13.349,53.04,0,53.04,195.328999,
12/31/1994,204.852005,35.996,22.337,13.659,35.027,,,6.195,,,,,36.207001,,,,113.425003,17.403999,,,4.538,69.485001,,,,69.485001,91.427,,3.337,3.337,,,,4.574,,,,,46.952999,,,,46.952999,54.863998,52.882999,,,,5.416,,,,5.416,58.298999,113.162998,1.1,72.945,,,0.0,,17.643999,91.688999,0,91.688999,204.851997,
03/31/1995,212.904007,31.897,29.233,2.664,43.275002,,,6.45,,,,,28.882999,,,,110.504997,21.263,,,3.225,77.911003,,,,77.911003,102.399004,,4.394,4.394,,,,5.282,,,,,59.549998,,,,59.549998,69.225998,38.226002,,,,5.784,,,,5.784,44.010002,113.236,1.1,76.466003,,,0.0,,22.101999,99.668003,0,99.668003,212.904002,
06/30/1995,225.731003,41.476002,41.476002,0.0,42.325001,,,6.294,,,,,24.284,,,,114.378998,23.462999,48.691002,-25.228001,3.225,84.664001,,,,84.664001,111.352,,4.36,4.36,,,,5.763,,,,,52.654,,,,52.654,62.777,37.939999,,,,17.290001,,,,17.290001,55.23,118.007,1.1,79.445,,,0.0,,27.179001,107.724001,0,107.724001,225.731001,
09/30/1995,237.820999,25.489,25.489,0.0,51.384998,,,6.848,,,,,26.191999,,,,109.914001,28.471001,,,3.525,95.911003,,,,95.911003,127.907004,,4.787,4.787,,,,6.294,,,,,55.732004,,,,55.732004,66.813004,38.355,,,,18.27,,,,18.27,56.625,123.438004,1.1,80.443001,,,0.0,,32.84,114.383001,0,114.383001,237.821005,
12/31/1995,253.966995,14.399,14.399,0.0,57.742001,,,6.529,,,,,28.285999,,,,106.956001,42.416,,,5.1,99.495003,,,,99.495003,147.011003,,7.25,7.25,,,,11.196,,,,,51.132003,,,,51.132003,69.578003,47.602001,,,,17.124001,,,,17.124001,64.726002,134.304005,1.1,80.651001,,,0.0,,37.911999,119.663,0,119.663,253.967005,
03/31/1996,305.660004,35.401001,35.401001,0.0,58.369999,,,10.892,,,,,27.278999,,,,131.942001,57.303001,86.264999,-28.962,6.932,109.483002,,,,109.483002,173.718003,,14.721,14.721,,,,14.52,,,,,58.026998,,,,58.026998,87.267998,7.315,,,,15.979,,,,15.979,23.294,110.561998,1.1,150.352997,,,0.0,,43.645,195.097997,0,195.097997,305.659995,
06/30/1996,533.60498,25.627001,25.627001,0.0,99.269997,,,10.938,,,,,32.988998,,,,168.824005,84.911003,116.241997,-31.330999,11.495,268.375,,,,268.375,364.781003,,15.976,15.976,,,,11.609,,,,,91.277999,,,,91.277999,118.862999,57.208,,,,54.580002,,,,54.580002,111.788002,230.651001,0.0,252.121002,,,0.0,,50.833,302.954002,0,302.954002,533.605003,
12/31/1996,533.114014,16.398001,16.398001,0.0,99.844002,,,8.917,,,,,31.538,,,,156.697006,93.971001,132.675003,-38.703999,10.937,271.509003,,,,271.509003,376.417004,,14.577,14.577,,,,17.177,,,,,70.888998,,,,70.888998,102.642998,59.521999,,,,49.326,,,,49.326,108.848,211.490997,0.0,253.132004,,,0.0,,68.490997,321.623001,0,321.623001,533.113998,
03/31/1997,570.692017,16.698999,16.698999,0.0,114.028,,,13.081,,,,,26.288,,,,170.095993,97.560997,141.270004,-43.709,11.494,291.540985,,,,291.540985,400.595983,,14.824,14.824,,,,19.195999,,,,,92.952001,,,,92.952001,126.972,77.513,,,,28.473,,,,28.473,105.986,232.958,0.0,259.205994,,,0.0,,78.528,337.733994,0,337.733994,570.691994,
