Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/01/1989,571.55603,3.095,3.095,0.0,115.292,,,87.887001,,,,,25.851,,,,,232.125,332.240997,589.507019,-257.265991,0.0,,7.19,,,,,7.19,339.430997,,29.558001,29.558001,,,,83.580002,,,,,,69.940001,,,69.940001,183.078003,75.0,,,,,66.857002,,,,66.857002,141.857002,324.935005,0.0,43.390999,,,0.0,,203.229996,246.620995,0.0,246.620995,571.556,
12/31/1989,623.307983,6.945,6.945,0.0,153.276001,,,92.489998,,,,,26.615,,,,,279.325989,336.233002,601.093018,-264.859985,0.0,,7.749,,,,,7.749,343.982002,,39.952999,39.952999,,,,115.464996,,,,,,75.132999,,,75.132999,230.550995,75.0,,,,,68.271004,,,,68.271004,143.271004,373.821999,0.0,43.390999,,,0.0,,206.095001,249.486,0.0,249.486,623.307999,
04/01/1990,615.250977,6.341,6.341,0.0,168.873001,,,70.958,,,,,27.549999,,,,,273.721985,332.93399,603.747986,-270.813995,0.0,,8.595,,,,,8.595,341.528991,,43.118,43.118,,,,57.275002,,,,,,100.855,,,100.855,201.248001,75.0,,,,,69.783997,,,,69.783997,144.783997,346.031998,0.0,43.390999,,,0.0,,225.828003,269.219002,0.0,269.219002,615.250999,
06/30/1990,535.039978,9.453,9.453,0.0,93.432999,,,70.142998,,,,,29.188999,,,,,202.218002,326.287994,606.862976,-280.575012,0.0,,6.534,,,,,6.534,332.821994,,43.449001,43.449001,,,,19.943001,,,,,,54.744,,,54.744,118.136002,75.0,,,,,70.521004,,,,70.521004,145.521004,263.657006,0.0,43.390999,,,0.0,,227.992004,271.383003,0.0,271.383003,535.040009,
09/30/1990,582.177979,6.062,6.062,0.0,112.833,,,100.744003,,,,,31.305,,,,,250.944,324.368011,613.411011,-289.042999,0.0,,6.866,,,,,6.866,331.234012,,32.438,32.438,,,,63.152,,,,,,77.395992,,,77.395992,172.985992,75.0,,,,,71.649002,,,,71.649002,146.649002,319.634995,0.0,43.390999,,,0.0,,219.151993,262.542992,0.0,262.542992,582.177986,
12/30/1990,647.377014,5.501,5.501,0.0,160.490005,,,116.103996,,,,,34.756001,,,,,316.851013,323.311005,620.231995,-296.92099,0.0,,7.215,,,,,7.215,330.526005,,43.995998,43.995998,,,,107.889999,,,,,,80.437,,,80.437,232.322998,75.0,,,,,72.851997,,,,72.851997,147.851997,380.174995,0.0,43.390999,,,0.0,,223.811005,267.202003,0.0,267.202003,647.376999,
03/31/1991,600.200989,10.789,10.789,0.0,153.029007,,,79.212997,,,,,31.987,,,,,275.018005,318.876007,622.987,-304.110992,0.0,,6.307,,,,,6.307,325.183007,,29.461,29.461,,,,50.129002,,,,,,86.626001,,,86.626001,166.216003,75.0,,,,,73.517998,,,,73.517998,148.517998,314.734001,0.0,43.390999,,,0.0,,242.076004,285.467003,0.0,285.467003,600.201004,
06/30/1991,556.791016,47.070999,47.070999,0.0,83.526001,,,65.040001,,,,,35.421001,,,,,231.057999,320.364014,632.487976,-312.123993,0.0,,5.369,,,,,5.369,325.733014,,38.672001,38.672001,,,,20.455,,,,,,66.633001,,,66.633001,125.760002,75.0,,,,,71.316002,,,,71.316002,146.316002,272.076004,0.0,43.390999,,,0.0,,241.324005,284.715004,0.0,284.715004,556.791008,
09/29/1991,568.125,7.509,7.509,0.0,112.594002,,,88.113998,,,,,36.263,,,,,244.479996,318.112,635.890015,-317.778015,0.0,,5.533,,,,,5.533,323.645,,32.783001,32.783001,,,,39.509998,,,,,,72.583008,,,72.583008,144.876007,75.0,,,,,71.818001,,,,71.818001,146.818001,291.694008,0.0,43.390999,,,0.0,,233.039993,276.430992,0.0,276.430992,568.125,
12/29/1991,659.23999,8.218,8.218,0.0,186.796005,,,101.014999,,,,,38.150002,,,,,334.178986,318.873993,642.312988,-323.438995,0.0,,6.187,,,,,6.187,325.060993,,37.973,37.973,,,,96.755997,,,,,,88.862007,,,88.862007,223.591003,75.0,,,,,72.557999,,,,72.557999,147.557999,371.149002,0.0,43.390999,,,0.0,,244.699997,288.090996,0.0,288.090996,659.239998,
