Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Discontinued Operations,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2006,9610,115,115,0.0,484,484,,,497,,,,,1824,,,,,,,2920,760,,,1812.0,,4118,3644,2647,997,,474,6690,,368,368,,,,380,,,,,,936,,,,936,1684,1708,,,,,1155,,,1155,2863,4547,0.0,0,,,,,5063,5063,0.0,5063,9610,
09/30/2006,9118,160,160,0.0,390,390,,,550,,,,,842,,,,,,,1942,834,,,2007.0,,4335,3728,2687,1041,,607,7176,,240,240,,,,143,,,,,,1664,,,,1664,2047,1021,,,,,2438,,,2438,3459,5506,0.0,3507,,,-132.0,63.0,174,3612,0.0,3612,9118,
12/31/2006,9520,269,269,0.0,429,429,,,520,,,,,834,,,,,,,2052,916,1419.0,-503.0,2123.0,,4429,3737,2699,1038,,692,7468,,377,377,,,,115,,,,,,1485,,,,1485,1977,1322,,,,,2662,,,2662,3984,5961,0.0,3568,,,-349.0,156.0,184,3559,0.0,3559,9520,
03/31/2007,9774,174,174,0.0,551,551,,,543,,,,,806,,,,,,,2074,936,,,2223.0,,4541,3742,2702,1040,,799,7700,,466,466,,,,123,,,,,,1556,,,,1556,2145,1482,,,,,2731,,,2731,4213,6358,0.0,3585,,,-576.0,222.0,185,3416,0.0,3416,9774,
06/30/2007,9994,251,251,,708,708,,,614,,,,,593,,,,,,,2166,947,,,2366.0,,4515,3749,2709,1040,,766,7828,,401,401,,,,140,,,,,,1642,,,,1642,2183,1571,,,,,2940,,,2940,4511,6694,,3599,,,-812.0,318.0,195,3300,,3300,9994,
09/30/2007,10200,231,231,0.0,705,705,,,554,,,,,520,,,,,,,2010,978,,,2555.0,,4657,3763,2728,1035,,894,8190,,342,342,,,,159,,,,,,1756,,,,1756,2257,1386,,,,,3149,,,3149,4535,6792,0.0,3613,,,-829.0,427.0,197,3408,0.0,3408,10200,
12/31/2007,10459,210,210,0.0,459,459,,,586,,,,,801,,,,,,,2056,1009,1604.0,-595.0,2654.0,,4740,3759,2723,1036,,981,8403,,380,380,,,,175,,,,,,1625,,,,1625,2180,1351,,,,,3412,,,3412,4763,6943,0.0,3654,,,-857.0,525.0,194,3516,0.0,3516,10459,
03/31/2008,10822,229,229,0.0,593,593,,,588,,,,,871,,,,,,,2281,1062,,,2734.0,,4745,3737,2730,1007,,1008,8541,,467,467,,,,193,,,,,,1801,,,,1801,2461,1359,,,,,3465,,,3465,4824,7285,0.0,3663,,,-868.0,560.0,182,3537,0.0,3537,10822,
06/30/2008,10939,240,240,0.0,472,472,,,618,,,,,980,,,,,,,2310,1071,,,2850.0,,4708,3746,2732,1014,,962,8629,,415,415,,,,207,,,,,,1841,,,,1841,2463,1406,,,,,3423,,,3423,4829,7292,0.0,3666,,,-870.0,651.0,200,3647,0.0,3647,10939,
09/30/2008,10997,228,228,0.0,412,412,,,495,,,,,855,,,,,,,1990,1026,,,2973.0,,5008,3862,2750,1112,,1146,9007,,273,273,,,,182,,,,,,1852,,,,1852,2307,1547,,,,,3390,,,3390,4937,7244,0.0,3678,,,-870.0,785.0,160,3753,0.0,3753,10997,
